"","Site","SubplotID","Tag","Species","DBH_cm","Health_status","Canopy_status","dbh.class"
"1","UMBS","C01W",837,"QURU",22.6,"L","OD","18-23"
"2","UMBS","C01W",823,"POGR",20.1,"L","OD","18-23"
"3","UMBS","C01W",820,"QURU",22.5,"L","OS","18-23"
"4","UMBS","C01W",851,"ACRU",8.6,"L","OS","8-13"
"5","UMBS","C01W",847,"ACRU",12.5,"L","UN","8-13"
"6","UMBS","C01W",821,"ACRU",8.5,"L","UN","8-13"
"7","UMBS","C01W",860,"ACRU",9.2,"L","OS","8-13"
"8","UMBS","C01W",824,"QURU",33.8,"L","OD","33-38"
"9","UMBS","C01W",852,"QURU",17.5,"L","OS","13-18"
"10","UMBS","C01W",863,"ACRU",14,"L","OS","13-18"
"11","UMBS","C01W",830,"QURU",15.4,"L","OS","13-18"
"12","UMBS","C01W",872,"QURU",26.9,"L","OD","23-28"
"13","UMBS","C01W",838,"POGR",27.8,"L","OD","23-28"
"14","UMBS","C01W",871,"QURU",30.2,"L","OD","28-33"
"15","UMBS","C01E",717,"POGR",30.5,"L","OD","28-33"
"16","UMBS","C01E",731,"POGR",28.8,"L","OD","28-33"
"17","UMBS","C01E",715,"PIST",8.4,"L","UN","8-13"
"18","UMBS","C01E",766,"BEPA",12,"L","OS","8-13"
"19","UMBS","C01E",762,"QURU",11.2,"L","OS","8-13"
"20","UMBS","C01E",747,"ACRU",11.3,"L","UN","8-13"
"21","UMBS","C01E",815,"ACRU",12,"L","OS","8-13"
"22","UMBS","C01E",775,"FAGR",9.3,"L","UN","8-13"
"23","UMBS","C01E",795,"ACRU",12.4,"L","OS","8-13"
"24","UMBS","C01E",733,"POGR",21.1,"L","OD","18-23"
"25","UMBS","C01E",718,"QURU",22.1,"L","OS","18-23"
"26","UMBS","C01E",749,"QURU",18.5,"L","OD","18-23"
"27","UMBS","C01E",789,"QURU",20.6,"L","OS","18-23"
"28","UMBS","C01E",764,"POGR",24.2,"L","OD","23-28"
"29","UMBS","C01E",801,"QURU",23.5,"L","OS","23-28"
"30","UMBS","C01E",803,"QURU",24.3,"L","OD","23-28"
"31","UMBS","C01E",817,"BEPA",16.6,"L","OS","13-18"
"32","UMBS","C01E",810,"QURU",15.2,"L","OS","13-18"
"33","UMBS","C01E",809,"ACRU",13.4,"L","OS","13-18"
"34","UMBS","C01E",799,"PIRE",15,"L","OS","13-18"
"35","UMBS","C01E",785,"POGR",40.9,"L","OD","38-43"
"36","UMBS","C02E",1091,"QURU",18.2,"L","OS","18-23"
"37","UMBS","C02E",1090,"POGR",22.7,"L","OD","18-23"
"38","UMBS","C02E",1077,"POGR",20.5,"L","OD","18-23"
"39","UMBS","C02E",1025,"QURU",21.5,"L","OD","18-23"
"40","UMBS","C02E",1122,"QURU",13.9,"L","OS","13-18"
"41","UMBS","C02E",1026,"ACRU",13.1,"L","OS","13-18"
"42","UMBS","C02E",1082,"FAGR",11.2,"L","UN","8-13"
"43","UMBS","C02E",1089,"ACRU",12.1,"L","OS","8-13"
"44","UMBS","C02E",1047,"ACPE",8.1,"L","UN","8-13"
"45","UMBS","C02E",1061,"ACRU",9.1,"L","OS","8-13"
"46","UMBS","C02E",1080,"FAGR",12.7,"L","UN","8-13"
"47","UMBS","C02E",1068,"ACRU",8.4,"L","OS","8-13"
"48","UMBS","C02E",1064,"QURU",12,"L","OS","8-13"
"49","UMBS","C02E",1142,"ACRU",9.5,"M","OS","8-13"
"50","UMBS","C02E",1129,"POGR",25,"L","OD","23-28"
"51","UMBS","C02E",1094,"POGR",26.9,"L","OD","23-28"
"52","UMBS","C02E",1049,"POGR",27.8,"L","OD","23-28"
"53","UMBS","C02E",1137,"POGR",25.3,"L","OD","23-28"
"54","UMBS","C02E",1037,"QURU",23.9,"L","OD","23-28"
"55","UMBS","C02E",1058,"POGR",26,"L","OD","23-28"
"56","UMBS","C02E",1030,"POGR",29.6,"L","OD","28-33"
"57","UMBS","C02E",1041,"POGR",32.1,"L","OD","28-33"
"58","UMBS","C02E",1069,"POGR",30,"L","OD","28-33"
"59","UMBS","C02E",1083,"POGR",28.2,"L","OD","28-33"
"60","UMBS","C02E",1066,"PIRE",37.9,"L","OD","33-38"
"61","UMBS","C02E",1035,"POGR",33.8,"L","OD","33-38"
"62","UMBS","C02W",1009,"POGR",34.3,"L","OD","33-38"
"63","UMBS","C02W",899,"POGR",33.7,"L","OD","33-38"
"64","UMBS","C02W",979,"POGR",28.1,"L","OD","28-33"
"65","UMBS","C02W",896,"POGR",31.5,"L","OD","28-33"
"66","UMBS","C02W",925,"POGR",32.2,"L","OD","28-33"
"67","UMBS","C02W",935,"POGR",29.4,"L","OD","28-33"
"68","UMBS","C02W",906,"POGR",28.5,"L","OD","28-33"
"69","UMBS","C02W",915,"POGR",30.7,"L","OD","28-33"
"70","UMBS","C02W",968,"QURU",11.6,"M","UN","8-13"
"71","UMBS","C02W",984,"ACRU",11.5,"L","OS","8-13"
"72","UMBS","C02W",963,"ACRU",12.5,"L","OS","8-13"
"73","UMBS","C02W",932,"ACRU",8.1,"L","OS","8-13"
"74","UMBS","C02W",961,"ACRU",10.1,"L","OS","8-13"
"75","UMBS","C02W",912,"ACRU",10.2,"L","OS","8-13"
"76","UMBS","C02W",1005,"FAGR",10.7,"L","UN","8-13"
"77","UMBS","C02W",1015,"POGR",27.9,"L","OD","23-28"
"78","UMBS","C02W",976,"POGR",23.8,"L","OD","23-28"
"79","UMBS","C02W",938,"POGR",27.7,"L","OD","23-28"
"80","UMBS","C02W",987,"POGR",27.4,"L","OD","23-28"
"81","UMBS","C02W",1017,"POGR",27,"L","OD","23-28"
"82","UMBS","C02W",978,"POGR",26.7,"L","OD","23-28"
"83","UMBS","C02W",998,"POGR",25.1,"L","OD","23-28"
"84","UMBS","C02W",956,"ACRU",13.1,"L","OS","13-18"
"85","UMBS","C02W",942,"ACRU",14.7,"L","OS","13-18"
"86","UMBS","C02W",928,"ACRU",14.1,"L","OS","13-18"
"87","UMBS","C02W",1014,"ACRU",15.7,"L","OS","13-18"
"88","UMBS","C02W",972,"POGR",22,"L","OD","18-23"
"89","UMBS","C02W",911,"ACRU",20.5,"L","OS","18-23"
"90","UMBS","C03E",1324,"ACRU",8.3,"L","OS","8-13"
"91","UMBS","C03E",1283,"ACRU",9.4,"L","OS","8-13"
"92","UMBS","C03E",1325,"ACRU",10.8,"L","OS","8-13"
"93","UMBS","C03E",1354,"FAGR",10,"L","UN","8-13"
"94","UMBS","C03E",1305,"PIST",8,"L","UN","8-13"
"95","UMBS","C03E",1269,"PIST",18.8,"L","OS","18-23"
"96","UMBS","C03E",1300,"BEPA",19.1,"L","OS","18-23"
"97","UMBS","C03E",1319,"QURU",27.3,"L","OD","23-28"
"98","UMBS","C03E",1316,"QURU",27.6,"L","OD","23-28"
"99","UMBS","C03E",1335,"POGR",39.2,"L","OD","38-43"
"100","UMBS","C03E",1275,"PIST",34.3,"L","OD","33-38"
"101","UMBS","C03E",1348,"PIST",43.6,"L","OD","43-48"
"102","UMBS","C03E",1286,"QURU",50.9,"L","OD","48-53"
"103","UMBS","C03E",1346,"PIST",32,"L","OD","28-33"
"104","UMBS","C03E",1282,"PIST",32.3,"L","OD","28-33"
"105","UMBS","C03E",1291,"FAGR",13,"L","UN","13-18"
"106","UMBS","C03E",1337,"ACRU",13.6,"L","OS","13-18"
"107","UMBS","C03E",1350,"PIST",14.8,"L","OS","13-18"
"108","UMBS","C03E",1347,"PIST",17.2,"L","OS","13-18"
"109","UMBS","C03W",1221,"PIST",25.2,"L","OS","23-28"
"110","UMBS","C03W",1220,"POGR",24.3,"L","OD","23-28"
"111","UMBS","C03W",1172,"PIST",24.6,"L","OS","23-28"
"112","UMBS","C03W",1208,"QURU",26.1,"L","OD","23-28"
"113","UMBS","C03W",1196,"ACRU",10.9,"L","OS","8-13"
"114","UMBS","C03W",1237,"ACRU",10.3,"L","OS","8-13"
"115","UMBS","C03W",1161,"BEPA",8.2,"L","UN","8-13"
"116","UMBS","C03W",1224,"FAGR",11.2,"L","UN","8-13"
"117","UMBS","C03W",1167,"ACRU",11,"L","OS","8-13"
"118","UMBS","C03W",1195,"ACRU",10,"L","OS","8-13"
"119","UMBS","C03W",1156,"FAGR",9.7,"L","OS","8-13"
"120","UMBS","C03W",1155,"PIRE",15.7,"L","OS","13-18"
"121","UMBS","C03W",1200,"ACRU",14.6,"L","OS","13-18"
"122","UMBS","C03W",1222,"ACRU",15.4,"L","OS","13-18"
"123","UMBS","C03W",1184,"ACRU",13.1,"L","OS","13-18"
"124","UMBS","C03W",1164,"POGR",39.4,"L","OD","38-43"
"125","UMBS","C03W",1179,"PIRE",38.4,"L","OD","38-43"
"126","UMBS","C03W",1261,"PIST",29.2,"L","OD","28-33"
"127","UMBS","C03W",1188,"POGR",29.6,"L","OD","28-33"
"128","UMBS","C03W",1159,"QURU",30,"L","OD","28-33"
"129","UMBS","C03W",1203,"POGR",28.7,"L","OD","28-33"
"130","UMBS","C03W",1157,"POGR",35.9,"L","OD","33-38"
"131","UMBS","C03W",1177,"PIRE",36.8,"L","OD","33-38"
