"","Site","SubplotID","Tag","Species","DBH_cm","Health_status","Canopy_status","dbh.class"
"1","UMBS","A01W",2901,"ACRU",25.6,"L","OS","23-28"
"2","UMBS","A01W",2876,"FAGR",24.9,"L","OS","23-28"
"3","UMBS","A01W",2916,"ACSA",14.1,"L","OS","13-18"
"4","UMBS","A01W",2924,"ACSA",17,"L","UN","13-18"
"5","UMBS","A01W",2940,"FAGR",16.9,"L","OS","13-18"
"6","UMBS","A01W",2958,"FAGR",16.4,"L","UN","13-18"
"7","UMBS","A01W",2943,"POGR",39.8,"L","OD","38-43"
"8","UMBS","A01W",2967,"POGR",38.6,"L","OD","38-43"
"9","UMBS","A01W",2947,"POGR",37.3,"L","OD","33-38"
"10","UMBS","A01W",2951,"POGR",33.9,"L","OD","33-38"
"11","UMBS","A01W",2948,"POGR",34,"L","OD","33-38"
"12","UMBS","A01W",2954,"FAGR",9.1,"L","UN","8-13"
"13","UMBS","A01W",2887,"FAGR",9.1,"L","UN","8-13"
"14","UMBS","A01W",2959,"FAGR",9.9,"L","UN","8-13"
"15","UMBS","A01W",2953,"FAGR",12.7,"L","UN","8-13"
"16","UMBS","A01W",2897,"FAGR",18.9,"L","OS","18-23"
"17","UMBS","A01W",2969,"FAGR",18.6,"L","OS","18-23"
"18","UMBS","A01W",2890,"ACRU",43.8,"L","OD","43-48"
"19","UMBS","A01W",2974,"POGR",32.8,"L","OD","28-33"
"20","UMBS","A01W",2920,"POGR",30.3,"L","OD","28-33"
"21","UMBS","A01W",2983,"ACRU",28.9,"L","OS","28-33"
"22","UMBS","A01E",2791,"POGR",36.4,"L","OD","33-38"
"23","UMBS","A01E",2789,"POGR",35.9,"L","OD","33-38"
"24","UMBS","A01E",2785,"POGR",36.7,"L","OD","33-38"
"25","UMBS","A01E",2812,"POGR",36.5,"L","OD","33-38"
"26","UMBS","A01E",2782,"QURU",38.2,"L","OD","38-43"
"27","UMBS","A01E",2844,"ACSA",11.9,"L","OS","8-13"
"28","UMBS","A01E",2868,"ACRU",8.4,"M","UN","8-13"
"29","UMBS","A01E",2821,"FAGR",10.9,"L","UN","8-13"
"30","UMBS","A01E",2854,"FAGR",10.4,"L","UN","8-13"
"31","UMBS","A01E",2834,"FAGR",10.2,"L","UN","8-13"
"32","UMBS","A01E",2813,"ACSA",8.4,"L","UN","8-13"
"33","UMBS","A01E",2833,"FAGR",19.1,"L","OS","18-23"
"34","UMBS","A01E",2855,"FAGR",20.8,"L","OS","18-23"
"35","UMBS","A01E",2842,"ACSA",14,"L","OS","13-18"
"36","UMBS","A01E",2783,"FAGR",16.5,"L","OS","13-18"
"37","UMBS","A01E",2803,"FAGR",15.5,"L","OS","13-18"
"38","UMBS","A01E",2795,"ACSA",24.5,"L","OS","23-28"
