"","Site","SubplotID","Tag","Species","DBH_cm","Health_status","Canopy_status","dbh.class"
"1","UMBS","D01E",645,"QURU",35.9,"L","OD","33-38"
"2","UMBS","D01E",685,"QURU",33,"L","OD","33-38"
"3","UMBS","D01E",671,"ACRU",11.1,"L","OS","8-13"
"4","UMBS","D01E",660,"PIST",10.6,"L","OS","8-13"
"5","UMBS","D01E",662,"ACRU",10.2,"L","OS","8-13"
"6","UMBS","D01E",674,"PIST",8.5,"L","OS","8-13"
"7","UMBS","D01E",670,"ACRU",10.2,"L","OS","8-13"
"8","UMBS","D01E",663,"ACRU",8.7,"L","OS","8-13"
"9","UMBS","D01E",656,"QURU",17.5,"M","OS","13-18"
"10","UMBS","D01E",708,"unknown",17.4,"D","UN","13-18"
"11","UMBS","D01E",683,"POGR",14.5,"D","UN","13-18"
"12","UMBS","D01E",669,"QURU",26,"L","UN","23-28"
"13","UMBS","D01E",707,"QURU",26.2,"L","OD","23-28"
"14","UMBS","D01E",695,"QURU",32.9,"L","OD","28-33"
"15","UMBS","D01E",702,"QURU",30.9,"L","OD","28-33"
"16","UMBS","D01E",658,"QURU",21.4,"L","OD","18-23"
"17","UMBS","D01E",664,"QURU",21.7,"L","OD","18-23"
