,Site,SubplotID,Tag,Species,DBH_cm,Health_status,Canopy_status,dbh.class
1,UMBS,B01W,1565,ACRU,16.6,L,OD,13-18
2,UMBS,B01W,1606,FAGR,16.8,L,OS,13-18
3,UMBS,B01W,1566,ACRU,13.2,L,OD,13-18
4,UMBS,B01W,1563,ACRU,17.1,L,OD,13-18
5,UMBS,B01W,1581,QURU,8.8,L,OS,8-13
6,UMBS,B01W,1561,ACRU,10.3,L,OS,8-13
7,UMBS,B01W,1598,QURU,9.2,L,UN,8-13
8,UMBS,B01W,1553,ACRU,9.2,L,OS,8-13
9,UMBS,B01W,1551,ACRU,21.3,L,OD,18-23
10,UMBS,B01W,1645,ACRU,19.3,L,OD,18-23
11,UMBS,B01W,1557,ACRU,19.9,L,OD,18-23
12,UMBS,B01W,1636,ACRU,18.2,L,OS,18-23
13,UMBS,B01W,1571,ACRU,26.8,L,OD,23-28
14,UMBS,B01W,1643,FAGR,23.6,L,OS,23-28
15,UMBS,B01W,1634,ACRU,40.5,L,OD,38-43
16,UMBS,B01W,1620,POGR,40,L,OD,38-43
17,UMBS,B01W,1596,POGR,39.6,L,OD,38-43
18,UMBS,B01W,1615,POGR,30.7,L,OD,28-33
19,UMBS,B01W,1599,POGR,36.1,L,OD,33-38
20,UMBS,B01W,1632,POGR,36.7,L,OD,33-38
21,UMBS,B01E,1706,ACRU,10.9,L,OS,8-13
22,UMBS,B01E,1657,FAGR,9.6,L,UN,8-13
23,UMBS,B01E,1654,QURU,8.7,L,OS,8-13
24,UMBS,B01E,1656,QURU,8.9,L,OS,8-13
25,UMBS,B01E,1686,FAGR,8.5,L,UN,8-13
26,UMBS,B01E,1658,ACRU,18.8,L,OD,18-23
27,UMBS,B01E,1730,ACRU,22.7,L,OS,18-23
28,UMBS,B01E,1662,ACRU,22.3,L,OS,18-23
29,UMBS,B01E,1667,ACRU,18.2,L,OD,18-23
30,UMBS,B01E,1694,ACRU,15.4,L,OS,13-18
31,UMBS,B01E,1683,ACRU,15.7,L,OS,13-18
32,UMBS,B01E,1687,ACRU,13,L,OS,13-18
33,UMBS,B01E,1695,POGR,39,L,OD,38-43
34,UMBS,B01E,1727,ACRU,25.1,L,OS,23-28
35,UMBS,B01E,1685,ACRU,27.2,L,OS,23-28
36,UMBS,B01E,1700,ACRU,23.3,L,OS,23-28
37,UMBS,B01E,1675,POGR,36.4,L,OD,33-38
38,UMBS,B01E,1688,POGR,28,L,OD,28-33
39,UMBS,B02E,1912,ACRU,9.8,L,OS,8-13
40,UMBS,B02E,1915,FAGR,10.7,L,OS,8-13
41,UMBS,B02E,1870,QURU,11.4,L,OS,8-13
42,UMBS,B02E,1929,ACRU,10.5,L,OS,8-13
43,UMBS,B02E,1879,TSCA,9.2,L,UN,8-13
44,UMBS,B02E,1866,ACRU,11.5,L,OS,8-13
45,UMBS,B02E,1886,QURU,8,L,OS,8-13
46,UMBS,B02E,1950,ACRU,17,L,OS,13-18
47,UMBS,B02E,1911,ACRU,14,L,OS,13-18
48,UMBS,B02E,1902,ACRU,17.8,L,OS,13-18
49,UMBS,B02E,1899,FAGR,13.2,L,UN,13-18
50,UMBS,B02E,1890,ACRU,15,L,OS,13-18
51,UMBS,B02E,1935,POGR,38.4,L,OD,38-43
52,UMBS,B02E,1864,POGR,38.9,L,OD,38-43
53,UMBS,B02E,1947,ACRU,18.6,L,OS,18-23
54,UMBS,B02E,1936,FAGR,19.5,L,OS,18-23
55,UMBS,B02E,1916,ACRU,18.8,L,OS,18-23
56,UMBS,B02E,1945,ACRU,25.3,L,OS,23-28
57,UMBS,B02E,1893,ACRU,27.4,L,OS,23-28
58,UMBS,B02E,1958,POGR,35.8,L,OD,33-38
59,UMBS,B02E,1894,ACRU,30.5,L,OD,28-33
60,UMBS,B02E,1940,POGR,43.2,L,OD,43-48
61,UMBS,B02W,1764,ACRU,26.5,L,OS,23-28
62,UMBS,B02W,1835,ACRU,24.9,L,OS,23-28
63,UMBS,B02W,1768,ACRU,25.6,L,OS,23-28
64,UMBS,B02W,1840,ACRU,32.5,L,OS,28-33
65,UMBS,B02W,1762,POGR,29.5,L,OD,28-33
66,UMBS,B02W,1782,QURU,8.3,L,OS,8-13
67,UMBS,B02W,1767,FAGR,11.9,L,OS,8-13
68,UMBS,B02W,1844,FAGR,11.7,L,OS,8-13
69,UMBS,B02W,1824,FAGR,8,L,UN,8-13
70,UMBS,B02W,1772,ACRU,12.6,L,OS,8-13
71,UMBS,B02W,1790,QURU,9.5,L,OS,8-13
72,UMBS,B02W,1830,FAGR,15.2,L,OS,13-18
73,UMBS,B02W,1843,FAGR,14.6,L,OS,13-18
74,UMBS,B02W,1855,ACRU,15.9,L,OS,13-18
75,UMBS,B02W,1751,FAGR,16.2,L,OS,13-18
76,UMBS,B02W,1807,ACRU,14,L,OS,13-18
77,UMBS,B02W,1757,POGR,38.8,L,OD,38-43
78,UMBS,B02W,1797,POGR,40,L,OD,38-43
79,UMBS,B02W,1761,POGR,39.6,L,OD,38-43
80,UMBS,B02W,1800,POGR,33.2,L,OD,33-38
81,UMBS,B02W,1765,POGR,37.2,L,OD,33-38
82,UMBS,B02W,1783,POGR,37.5,L,OD,33-38
83,UMBS,B02W,1802,FAGR,19.1,L,OS,18-23
84,UMBS,B02W,1795,ACRU,20.3,L,OS,18-23
85,UMBS,B03E,2071,ACRU,15.2,L,OS,13-18
86,UMBS,B03E,2112,ACRU,15.2,L,OS,13-18
87,UMBS,B03E,2085,ACRU,14.8,L,OS,13-18
88,UMBS,B03E,2098,ACRU,13.2,L,OS,13-18
89,UMBS,B03E,2093,QURU,15.4,L,OS,13-18
90,UMBS,B03E,2077,QURU,9.3,L,OS,8-13
91,UMBS,B03E,2120,ACRU,12.5,L,OS,8-13
92,UMBS,B03E,2113,POGR,34.8,L,OD,33-38
93,UMBS,B03E,2091,ACRU,20.9,L,OS,18-23
94,UMBS,B03E,2136,BEPA,19.9,L,OD,18-23
95,UMBS,B03E,2104,ACRU,26.2,L,OD,23-28
96,UMBS,B03E,2145,ACRU,25.3,L,OD,23-28
97,UMBS,B03W,2037,ACRU,26.5,L,OS,23-28
98,UMBS,B03W,1998,POGR,25.7,L,OD,23-28
99,UMBS,B03W,2039,ACRU,14.8,L,OS,13-18
100,UMBS,B03W,2069,ACRU,14.5,L,OS,13-18
101,UMBS,B03W,2031,ACRU,13.6,L,OS,13-18
102,UMBS,B03W,2026,ACRU,15.4,L,OS,13-18
103,UMBS,B03W,2048,POGR,47.9,L,OD,43-48
104,UMBS,B03W,1977,POGR,44.4,L,OD,43-48
105,UMBS,B03W,2002,ACRU,11.6,L,OS,8-13
106,UMBS,B03W,1993,ACRU,8.8,L,UN,8-13
107,UMBS,B03W,1974,ACRU,10.2,L,UN,8-13
108,UMBS,B03W,2011,ACRU,11.3,L,OS,8-13
109,UMBS,B03W,2070,ACRU,8,L,OS,8-13
110,UMBS,B03W,2000,ACRU,11.3,L,OS,8-13
111,UMBS,B03W,1976,ACRU,8.9,L,OS,8-13
112,UMBS,B03W,2004,ACRU,21.5,L,OS,18-23
113,UMBS,B03W,2036,ACRU,20.4,L,OS,18-23
114,UMBS,B03W,1988,ACRU,18.1,L,OS,18-23
115,UMBS,B03W,1987,POGR,40,L,OD,38-43
116,UMBS,B03W,1982,POGR,39.7,L,OD,38-43
117,UMBS,B03W,1992,POGR,33.6,L,OD,33-38
118,UMBS,B03W,1989,POGR,34.8,L,OD,33-38
119,UMBS,B03W,2041,POGR,30,L,OD,28-33
120,UMBS,B03W,2027,POGR,29,L,OD,28-33
121,UMBS,B04W,2183,ACRU,24.4,L,OS,23-28
122,UMBS,B04W,2245,POGR,25.9,L,OD,23-28
123,UMBS,B04W,2190,ACRU,12.7,L,OS,8-13
124,UMBS,B04W,2213,ACRU,12.9,L,OS,8-13
125,UMBS,B04W,2224,ACSA,9.7,L,UN,8-13
126,UMBS,B04W,2212,ACRU,10.2,D,OS,8-13
127,UMBS,B04W,2163,QURU,11,L,OS,8-13
128,UMBS,B04W,2195,ACRU,8.5,L,UN,8-13
129,UMBS,B04W,2196,ACRU,15.9,L,OS,13-18
130,UMBS,B04W,2182,ACRU,14.4,L,OS,13-18
131,UMBS,B04W,2202,ACRU,13.1,L,OS,13-18
132,UMBS,B04W,2198,ACRU,13.1,L,OS,13-18
133,UMBS,B04W,92244,ACRU,13.8,L,OS,13-18
134,UMBS,B04W,2184,ACRU,15.2,L,OS,13-18
135,UMBS,B04W,2230,POGR,31.6,L,OD,28-33
136,UMBS,B04W,2161,ACRU,39.3,L,OD,38-43
137,UMBS,B04W,2233,POGR,22.1,D,OS,18-23
138,UMBS,B04W,2194,ACRU,19.2,L,OS,18-23
139,UMBS,B04W,2225,POGR,21.8,D,UN,18-23
140,UMBS,B04W,2186,ACRU,18.4,L,OS,18-23
141,UMBS,B04W,2215,POGR,34.3,L,OD,33-38
142,UMBS,B04E,2246,ACRU,22.6,L,OS,18-23
