"","X1","Site","Subplot","SubplotID","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","X","group","dbh.class"
"1",1,"UMBS",112,"A01E",2772,"POGR",36.2,"L","OD","07/12/2018",NA,NA,"A","33-38"
"2",2,"UMBS",112,"A01E",2773,"POGR",41.6,"L","OD","07/12/2018",NA,NA,"A","38-43"
"3",3,"UMBS",112,"A01E",2774,"FAGR",10.8,"L","UN","07/12/2018",NA,NA,"A","8-13"
"4",4,"UMBS",112,"A01E",2775,"FAGR",26.2,"D","UN","07/12/2018","2775 -2776 share base",NA,"A","23-28"
"5",5,"UMBS",112,"A01E",2776,"FAGR",19.5,"L","OS","07/12/2018","2775 -2776 share base",NA,"A","18-23"
"6",6,"UMBS",112,"A01E",2777,"POGR",26.5,"D","OS","07/12/2018",NA,NA,"A","23-28"
"7",7,"UMBS",112,"A01E",2778,"ACSA",16,"L","OS","07/12/2018","2778 - 2779 share base",NA,"A","13-18"
"8",8,"UMBS",112,"A01E",2779,"ACSA",9.8,"L","UN","07/12/2018","2778 - 2779 share base",NA,"A","8-13"
"9",9,"UMBS",113,"A01E",2780,"FAGR",9.7,"L","UN","07/12/2018",NA,NA,"A","8-13"
"10",10,"UMBS",112,"A01E",2781,"QURU",42.6,"L","OD","07/12/2018","2781 - 2782 share base",NA,"A","38-43"
"11",11,"UMBS",112,"A01E",2782,"QURU",38.2,"L","OD","07/12/2018","2781 - 2782 share base",NA,"A","38-43"
"12",12,"UMBS",112,"A01E",2783,"FAGR",16.5,"L","OS","07/12/2018",NA,NA,"A","13-18"
"13",14,"UMBS",112,"A01E",2785,"POGR",36.7,"L","OD","07/12/2018","In NE veg plot",NA,"A","33-38"
"14",15,"UMBS",112,"A01E",2786,"ACSA",23,"L","OS","07/12/2018","2786- 2787 share base",NA,"A","23-28"
"15",16,"UMBS",112,"A01E",2787,"ACSA",20.7,"L","OS","07/12/2018","2786- 2787 share base",NA,"A","18-23"
"16",17,"UMBS",112,"A01E",2788,"FAGR",12.7,"L","OS","07/12/2018",NA,NA,"A","8-13"
"17",18,"UMBS",112,"A01E",2789,"POGR",35.9,"L","OD","07/12/2018",NA,NA,"A","33-38"
"18",19,"UMBS",112,"A01E",2790,"POGR",30.9,"D","OS","07/12/2018",NA,NA,"A","28-33"
"19",20,"UMBS",112,"A01E",2791,"POGR",36.4,"L","OD","07/12/2018",NA,NA,"A","33-38"
"20",21,"UMBS",112,"A01E",2792,"POGR",32.2,"L","OD","07/12/2018",NA,NA,"A","28-33"
"21",22,"UMBS",112,"A01E",2793,"POGR",31.2,"L","OD","07/12/2018",NA,NA,"A","28-33"
"22",23,"UMBS",113,"A01E",2794,"ACSA",10.9,"L","UN","07/12/2018","2794 - 2795 share base",NA,"A","8-13"
"23",24,"UMBS",113,"A01E",2795,"ACSA",24.5,"L","OS","07/12/2018","2794 - 2795 share base",NA,"A","23-28"
"24",25,"UMBS",112,"A01E",2796,"FAGR",12.7,"D","UN","07/12/2018","2796 - 2797 share base",NA,"A","8-13"
"25",26,"UMBS",112,"A01E",2797,"FAGR",25.3,"L","OS","07/12/2018","2796 - 2797 share base",NA,"A","23-28"
"26",27,"UMBS",112,"A01E",2798,"POGR",39.5,"L","OD","07/12/2018",NA,NA,"A","38-43"
"27",28,"UMBS",112,"A01E",2799,"FAGR",13,"L","OS","07/12/2018",NA,NA,"A","13-18"
"28",29,"UMBS",112,"A01E",2800,"POGR",33.3,"L","OD","07/12/2018",NA,NA,"A","33-38"
"29",30,"UMBS",112,"A01E",2801,"FAGR",17.8,"D","OS","07/12/2018",NA,NA,"A","13-18"
"30",31,"UMBS",112,"A01E",2802,"ACSA",30.9,"L","OS","07/12/2018",NA,NA,"A","28-33"
"31",32,"UMBS",113,"A01E",2803,"FAGR",15.5,"L","OS","07/12/2018",NA,NA,"A","13-18"
"32",33,"UMBS",112,"A01E",2804,"FAGR",9.4,"L","UN","07/12/2018",NA,"Shares base with smaller tree","A","8-13"
"33",34,"UMBS",112,"A01E",2805,"POGR",26.4,"D","UN","07/12/2018",NA,NA,"A","23-28"
"34",35,"UMBS",112,"A01E",2806,"ACSA",12,"L","OS","07/12/2018","Shares base with smaller tree",NA,"A","8-13"
"35",36,"UMBS",112,"A01E",2807,"FAGR",8.3,"L","UN","07/12/2018","shares base with smaller tree",NA,"A","8-13"
"36",37,"UMBS",112,"A01E",2808,"FAGR",13.4,"L","OS","07/12/2018","Shares base with smaller tree",NA,"A","13-18"
"37",38,"UMBS",112,"A01E",2809,"ACSA",19.5,"L","OS","07/12/2018",NA,NA,"A","18-23"
"38",39,"UMBS",112,"A01E",2810,"POGR",30.2,"D","UN","07/12/2018",NA,NA,"A","28-33"
"39",40,"UMBS",112,"A01E",2811,"POGR",36.9,"L","OD","07/12/2018",NA,NA,"A","33-38"
"40",41,"UMBS",112,"A01E",2812,"POGR",36.5,"L","OD","07/12/2018",NA,NA,"A","33-38"
"41",42,"UMBS",112,"A01E",2813,"ACSA",8.4,"L","UN","07/12/2018",NA,NA,"A","8-13"
"42",43,"UMBS",112,"A01E",2814,"ACSA",10.3,"L","OS","07/12/2018",NA,NA,"A","8-13"
"43",44,"UMBS",112,"A01E",2815,"ACRU",28.6,"L","OD","07/12/2018","2815 - 2816 share base",NA,"A","28-33"
"44",45,"UMBS",112,"A01E",2816,"ACRU",32.7,"L","OD","07/12/2018","2815 - 2816 share base",NA,"A","28-33"
