sep=,
Plot,Plot_Radius,Nr,Tree_Spc,Tree_Dia,Tree_Hgt,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude,Tree_Nr
122, 18.00,Plot,0,,0,0,0,0,0,0,0,0,0,45.5641754,-84.7276302
122, 18.00,03082,   1, 105,   0, 574, 572, 504,0.40,5.44,5.45,4.18,6,45.5642242,-84.7276232,3082
122, 18.00,03083,   1,  96,   0, 599, 590, 525,1.67,5.42,5.67,17.13,1,45.5642237,-84.7276069,3083
122, 18.00,03084,   1, 208,   0,1089,1079,1012,1.83,10.39,10.55,10.00,-5,45.5642684,-84.7276030,3084
122, 18.00,03085,   1, 416,   0,1773,1773,1659,-0.24,17.21,17.21,359.21,-7,45.5643303,-84.7276270,3085
122, 18.00,03086,   1,  98,   0,1341,1338,1269,0.62,13.14,13.15,2.69,6,45.5642934,-84.7276176,3086
122, 18.00,03087,   1, 398,   0,1355,1329,1266,4.65,12.16,13.02,20.94,3,45.5642836,-84.7275662,3087
122, 18.00,03088,   1, 124,   0, 827, 783, 747,5.22,5.83,7.82,41.84,1,45.5642265,-84.7275613,3088
122, 18.00,03089,   1,  10,   0, 889, 827, 830,7.45,4.09,8.50,61.21,17,45.5642103,-84.7275334,3089
122, 18.00,03090,   1,  18,   0,1023, 948, 955,8.72,4.43,9.78,63.04,-3,45.5642131,-84.7275170,3090
122, 18.00,03091,   1,  20,   0,1055, 993, 989,8.56,5.43,10.14,57.64,2,45.5642220,-84.7275186,3091
122, 18.00,03092,   1,  32,   0, 951, 893, 889,7.65,4.95,9.11,57.10,-16,45.5642180,-84.7275305,3092
122, 18.00,03093,   1, 303,   0,1322,1239,1257,11.71,4.73,12.63,67.99,5,45.5642150,-84.7274786,3093
122, 18.00,03094,   1,  73,   0,1747,1736,1722,9.35,14.59,17.33,32.65,0,45.5643043,-84.7275052,3094
122, 18.00,03095,   1, 207,   0,1748,1677,1659,13.07,10.72,16.90,50.66,3,45.5642685,-84.7274590,3095
122, 18.00,03097,   1, 362,   0,1543,1478,1508,14.76,2.39,14.95,80.80,0,45.5641932,-84.7274404,3097
122, 18.00,03098,   1, 156,   0, 455, 378, 432,4.05,0.72,4.11,79.92,1,45.5641809,-84.7275781,3098
