Site,Subplot,Tag,Species,DBH_cm,Health_status,Canopy_status,Date,Notes
UMBS,242,2246,ACRU,22.6,L,OS,07/06/2018,2246 - 2247 share base
UMBS,242,2247,ACRU,15.2,L,OS,07/06/2018,2246 - 2247 share base
UMBS,242,2248,ACRU,11.1,L,OS,07/06/2018,Shares base with smaller tree
UMBS,242,2249,ACRU,19.6,L,OS,07/06/2018,2249 - 2251 share base
UMBS,242,2250,ACRU,27,L,OS,07/06/2018,2249 - 2251 share base
UMBS,242,2251,ACRU,24.3,L,OS,07/06/2018,2249 - 2251 share base
UMBS,242,2252,ACRU,9.2,L,OS,07/06/2018,2252 - 2253 share base
UMBS,242,2253,ACRU,8.2,D,OS,07/06/2018,
UMBS,243,2254,QURU,12.1,L,OS,07/06/2018,In a new plot
UMBS,242,2255,QURU,11.9,L,OS,07/06/2018,
UMBS,242,2256,POGR,41.2,L,OD,07/06/2018,
UMBS,242,2257,ACRU,13,L,OS,07/06/2018,2257 - 2258 share base
UMBS,242,2258,ACRU,11.4,L,OS,07/06/2018,2257 - 2258 share base
UMBS,242,2259,FAGR,9.6,L,UN,07/06/2018,
UMBS,242,2260,POGR,29.1,D,UN,07/06/2018,
UMBS,242,2261,QURU,4.3,L,UN,07/06/2018,In NE veg plot
UMBS,242,2262,ACPE,3,L,UN,07/06/2018,In NE veg plot
UMBS,242,2263,ACPE,1.4,L,SA,07/06/2018,In NE veg plot
UMBS,242,2264,ACRU,27.1,L,OD,07/06/2018,In a cluster with 2264 - 2269
UMBS,243,2265,POGR,27.9,L,OD,07/06/2018,"In a cluster with 2264 - 2269, in a new plot"
UMBS,243,2266,ACRU,10.1,L,OS,07/06/2018,"In a cluster with 2264 - 2269, in a new plot"
UMBS,243,2267,ACRU,8.3,L,OS,07/06/2018,"In a cluster with 2264 - 2269, in a new plot"
UMBS,243,2268,ACRU,8.9,L,OS,07/06/2018,"In a cluster with 2264 - 2269, in a new plot"
UMBS,243,2269,ACRU,11.1,L,UN,07/06/2018,"In a cluster with 2264 - 2269, in a new plot"
UMBS,242,2270,POGR,43.6,L,OD,07/06/2018,
UMBS,242,2271,ACRU,8.1,L,OS,07/06/2018,
UMBS,242,2272,POGR,49.4,L,OD,07/06/2018,
UMBS,242,2273,POGR,44.4,L,OD,07/06/2018,
UMBS,242,2274,POGR,39.1,L,OD,07/06/2018,
UMBS,243,2275,POGR,22,D,UN,07/06/2018,In a new plot
UMBS,243,2276,POGR,26,L,OD,07/06/2018,In a new plot
UMBS,243,2277,ACRU,10.2,L,OS,07/06/2018,In a new plot
UMBS,242,2278,POGR,25.4,D,OD,07/06/2018,
UMBS,242,2279,POGR,40.8,L,OD,07/06/2018,Clustered with 2280 & 2281
UMBS,242,2280,ACRU,11.6,L,OS,07/06/2018,2280 & 2281 share base
UMBS,242,2281,ACRU,20.5,L,OS,07/06/2018,2280 & 2281 share base
UMBS,242,2282,QURU,8.3,L,UN,07/06/2018,
UMBS,243,2283,POGR,45.4,L,OD,07/06/2018,In a new plot
UMBS,242,2284,ACRU,9.3,L,OS,07/06/2018,
UMBS,242,2285,ACRU,19.5,L,OD,07/06/2018,2285 - 2289 share base
UMBS,242,2286,ACRU,18.5,L,OD,07/06/2018,2285 - 2289 share base
UMBS,242,2287,ACRU,14.3,L,OD,07/06/2018,"2285 - 2289 share base, taken above DBH"
UMBS,242,2288,ACRU,18,L,OD,07/06/2018,2285 - 2289 share base
UMBS,242,2289,ACRU,15.5,L,OD,07/06/2018,2285 - 2289 share base
UMBS,242,2290,ACRU,8,M,UN,07/06/2018,
UMBS,242,2291,POGR,24.3,L,OD,07/06/2018,
UMBS,242,2292,FAGR,21,L,OS,07/06/2018,
UMBS,242,2293,ACRU,13.8,L,OS,07/06/2018,2293 - 2294 share base
UMBS,242,2294,ACRU,11,L,OS,07/06/2018,2293 - 2294 share base
UMBS,242,2295,ACRU,11.1,L,OS,07/06/2018,2295 - 2297 share base
UMBS,242,2296,ACRU,20.7,L,OS,07/06/2018,2295 - 2297 share base
UMBS,242,2297,ACRU,19.7,L,OS,07/06/2018,2295 - 2297 share base
UMBS,242,2298,POGR,39.9,L,OD,07/06/2018,
UMBS,242,2299,ACRU,9.9,L,OS,07/06/2018,Shares base with smaller tree
UMBS,242,2300,ACRU,8.4,L,OS,07/06/2018,
UMBS,245,2301,ACRU,9.1,L,OS,07/06/2018,in a new plot
UMBS,242,2302,ACRU,10.5,L,OS,07/06/2018,
UMBS,242,2303,QURU,8.2,L,OS,07/06/2018,Taken above DBH
UMBS,242,2304,QURU,9.1,D,UN,07/06/2018,
UMBS,242,2305,POGR,37,L,OD,07/06/2018,
UMBS,242,2306,POGR,24.7,L,OD,07/06/2018,
UMBS,242,2307,POGR,22.3,D,UN,07/06/2018,
UMBS,242,2308,POGR,38.2,D,OS,07/06/2018,
UMBS,242,2309,POGR,28,D,UN,07/06/2018,
UMBS,242,2310,POGR,40.5,L,OD,07/06/2018,
UMBS,242,2311,ACRU,1.7,L,UN,07/06/2018,In SW veg plot
UMBS,242,2312,ACRU,1.7,L,UN,07/06/2018,In SW veg plot
UMBS,242,2313,POGR ,36.6,L,OD,07/06/2018,
UMBS,242,2314,ACRU,16.2,D,UN,07/06/2018,2314 & 2315 share base
UMBS,242,2315,ACRU,12.3,L,OS,07/06/2018,2314 & 2315 share base
UMBS,242,2316,ACRU,10.2,L,OS,07/06/2018,Shares base with smaller tree
UMBS,242,2317,POGR,46.4,L,OD,07/06/2018,
UMBS,242,2318,ACRU,9,L,OS,07/06/2018,
UMBS,242,2319,ACRU,8.4,L,OS,07/06/2018,
UMBS,242,2320,POGR,37.2,L,OD,07/06/2018,
UMBS,242,2321,POGR,47.1,L,OD,07/06/2018,
UMBS,242,2322,ACRU,11.1,L,OS,07/06/2018,2322 - 2324 share base
UMBS,242,2323,ACRU,10.9,L,OS,07/06/2018,2322 - 2324 share base
UMBS,242,2324,ACRU,8.8,L,OS,07/06/2018,2322 - 2324 share base
