Site,Subplot,Tag,Species,DBH_cm,Health_status,Canopy_status,Date,Notes
UMBS,241,2146,POGR,25.4,L,OD,07/06/2018,
UMBS,241,2147,BEPA,10.3,L,OS,07/06/2018,
UMBS,241,2148,unknown,17.3,D,UN,07/06/2018,
UMBS,241,2149,QURU,10,L,OS,07/06/2018,
UMBS,241,2150,ACRU,16.3,L,OS,07/06/2018,
UMBS,241,2151,QURU,10.3,L,OS,07/06/2018,
UMBS,241,2152,POGR,26.7,D,UN,07/06/2018,
UMBS,241,2153,QURU,8.4,L,OS,07/06/2018,
UMBS,241,2154,unknown,1.6,D,UN,07/06/2018,NE veg plot
UMBS,241,2155,ACRU,3.3,L,UN,07/06/2018,NE veg plot
UMBS,241,2156,QURU,1.48,L,OS,07/06/2018,
UMBS,241,2157,ACRU,10.5,L,OS,07/06/2018,
UMBS,241,2158,QURU,10.1,L,OS,07/06/2018,
UMBS,241,2159,QURU,7.9,L,OS,07/06/2018,"REDACT, under minimum DBH"
UMBS,241,2160,ACRU,32.2,L,OD,07/06/2018,2160-2161 share base
UMBS,241,2161,ACRU,39.3,L,OD,07/06/2018,2160-2161 share base
UMBS,241,2162,POGR,62.2,L,OD,07/06/2018,"too big for calipers, reading with DBH tape is 62.4"
UMBS,241,2163,QURU,11,L,OS,07/06/2018,
UMBS,241,2164,POGR,40.1,L,OD,07/06/2018,
UMBS,241,2165,POGR,16.1,D,UN,07/06/2018,
UMBS,241,2166,QURU,9.5,L,OS,07/06/2018,SE veg plot
UMBS,241,2167,ACRU,8,L,OS,07/06/2018,
UMBS,241,2168,ACRU,12.9,L,OS,07/06/2018,
UMBS,241,2169,ACRU,20.8,L,OS,07/06/2018,2169-2173 share base
UMBS,241,2170,ACRU,20.5,L,OS,07/06/2018,2169-2173 share base
UMBS,241,2171,ACRU,10.7,D,UN,07/06/2018,2169-2173 share base
UMBS,241,2172,ACRU,14.4,L,OS,07/06/2018,2169-2173 share base
UMBS,241,2173,ACRU,20.5,L,OS,07/06/2018,2169-2173 share base
UMBS,241,2174,FAGR,15.3,L,OS,07/06/2018,
UMBS,241,2175,unknown,7.7,D,UN,07/06/2018,"REDACT, under minimum DBH"
UMBS,239,2176,QURU,9.4,L,OS,07/06/2018,in new plot 239
UMBS,241,2177,POGR,28.2,L,OD,07/06/2018,
UMBS,241,2178,ACPE,8,L,OS,07/06/2018,
