Site,Subplot,Tag,Species,DBH_cm,Health_status,Canopy_status,Date,Notes
UMBS,331,1148,POGR,23,L,OD,06/28/2018,
UMBS,331,1149,FAGR,9.2,L,UN,06/28/2018,
UMBS,331,1150,ACRU,13.7,L,OS,06/28/2018,"A little above DBH, shared base with 1151"
UMBS,331,1151,ACRU,11.7,L,OS,06/28/2018,Shared base with 1150
UMBS,331,1152,PIST,13.5,L,OS,06/28/2018,
UMBS,331,1153,PIRE,38.8,L,OD,06/28/2018,
UMBS,331,1154,PIRE,28,L,OD,06/28/2018,
UMBS,331,1155,PIRE,15.7,L,OS,06/28/2018,
UMBS,331,1156,FAGR,9.7,L,OS,06/28/2018,
UMBS,331,1157,POGR,35.9,L,OD,06/28/2018,
UMBS,331,1158,PIST,24.9,L,OS,06/28/2018,
UMBS,331,1159,QURU,30,L,OD,06/28/2018,
UMBS,331,1160,PIRE,30.3,L,OD,06/28/2018,
UMBS,331,1161,BEPA,8.2,L,UN,06/28/2018,
UMBS,330,1162,PIRE,36.8,L,OD,06/28/2018,In a new plot
UMBS,331,1163,QURU,23.3,L,OS,06/28/2018,
UMBS,331,1164,POGR,39.4,L,OD,06/28/2018,
UMBS,331,1165,POGR,19,D,UN,06/28/2018,
UMBS,331,1166,PIST,7.7,L,UN,06/28/2018,In NW  veg plot
UMBS,331,1167,ACRU,11,L,OS,06/28/2018,"In NW veg plot, paired with 1187"
UMBS,331,1168,QURU,32.7,L,OD,06/28/2018,
UMBS,331,1169,QURU,37.3,L,OD,06/28/2018,Above DBH
UMBS,331,1170,POGR,38.9,L,OD,06/28/2018,
UMBS,331,1171,POGR,39.4,L,OD,06/28/2018,
UMBS,331,1172,PIST,24.6,L,OS,06/28/2018,
UMBS,331,1173,PIST,31.2,L,OD,06/28/2018,
UMBS,331,1174,PIST,8.8,D,UN,06/28/2018,Was closer to beginning of plot tags
UMBS,330,1175,POGR,26.2,L,OD,06/28/2018,"""In a new plot"
UMBS,330,1176,PIST,9.4,D,UN,06/28/2018,"Shared base with smaller tree, in a new plot"
UMBS,330,1177,PIRE,36.8,L,OD,06/28/2018,In a new plot
UMBS,331,1178,PIST,18.8,L,OS,06/28/2018,
UMBS,330,1179,PIRE,38.4,L,OD,06/28/2018,In a new plot
UMBS,330,1180,PIST,17.4,D,OS,06/28/2018,In a new plot
UMBS,330,1181,TSCA,10,M,UN,06/28/2018,In a new plot
UMBS,330,1182,TSCA,7.8,D,UN,06/28/2018,In a new plot
UMBS,331,1183,PIST ,33.4,L,OD,06/28/2018,
UMBS,331,1184,ACRU,13.1,L,OS,06/28/2018,In a cluster with 1185 & 1186
UMBS,331,1185,ACRU,9.8,L,OS,06/28/2018,In a cluster with 1184 & 1186
UMBS,331,1186,ACRU,10.2,D,OS,06/28/2018,In a cluster with 1184 & 1185
UMBS,331,1187,ACRU,5.4,D,UN,06/28/2018,"Shared base with 1167, in NW veg plot"
UMBS,331,1188,POGR,29.6,L,OD,06/28/2018,
UMBS,331,1189,QURU,37.5,L,OD,06/28/2018,Shared base with 1190
UMBS,331,1190,QURU,28.1,L,OD,06/28/2018,Shared base with 1189
UMBS,331,1191,FAGR,11.1,L,UN,06/28/2018,Taken above DBH
UMBS,331,1192,QURU,10.6,L,OS,06/28/2018,
UMBS,331,1193,ACPE,11.7,L,OS,06/28/2018,
UMBS,331,1194,ACRU,14.5,L,OS,06/28/2018,Shared base with 1195
UMBS,331,1195,ACRU,10,L,OS,06/28/2018,Shared base with 1194
UMBS,331,1196,ACRU,10.9,L,OS,06/28/2018,
UMBS,331,1197,POGR,37.7,L,OD,06/28/2018,
UMBS,331,1198,FAGR,7.5,L,UN,06/28/2018,Redact
UMBS,331,1199,ACRU,8,L,UN,06/28/2018,Shared base with 1200
UMBS,331,1200,ACRU,14.6,L,OS,06/28/2018,Shared base with 1199
UMBS,331,1201,ACRU,9.9,L,OS,06/28/2018,Shared base with smaller tree
UMBS,331,1202,POGR,25.5,L,OD,06/28/2018,
UMBS,331,1203,POGR,28.7,L,OD,06/28/2018,
UMBS,331,1204,BEPA,22.7,L,OD,06/28/2018,
UMBS,331,1205,POGR,33.9,L,OD,06/28/2018,
UMBS,331,1206,QURU,14.8,L,OS,06/28/2018,
UMBS,331,1207,QURU,29.3,L,OD,06/28/2018,
UMBS,331,1208,QURU,26.1,L,OD,06/28/2018,
UMBS,331,1209,BEPA,20.7,D,OS,06/28/2018,
UMBS,331,1210,QURU,28.4,L,OD,06/28/2018,
UMBS,331,1211,PIST,45.3,L,OD,06/28/2018,
UMBS,331,1212,POGR,22.1,D,OS,06/28/2018,
UMBS,331,1213,ACPE,10,L,OS,06/28/2018,Shared base with smaller trees
UMBS,331,1214,PIST,17.3,L,OS,06/28/2018,
UMBS,331,1215,ACRU,12.4,L,OS,06/28/2018,Shared base with smaller tree
UMBS,331,1216,ACRU,8.4,M,OS,06/28/2018,Shared base with 1215
UMBS,331,1217,ACRU,13.6,L,OS,06/28/2018,
UMBS,331,1218,PIST,22.9,L,OS,06/28/2018,
UMBS,331,1219,POGR,41.8,L,OD,06/28/2018,
UMBS,331,1220,POGR,24.3,L,OD,06/28/2018,
UMBS,331,1221,PIST,25.2,L,OS,06/28/2018,
UMBS,331,1222,ACRU,15.4,L,OS,06/28/2018,"A little below DBH, in a cluster with 1239"
UMBS,331,1223,ACRU,21.1,L,OD,06/28/2018,
UMBS,331,1224,FAGR,11.2,L,UN,06/28/2018,
UMBS,331,1225,ACRU,8.2,L,OS,06/28/2018,In a cluster with smaller trees
UMBS,331,1226,?,10.3,D,UN,06/28/2018,
UMBS,331,1227,PIST,25.6,L,OS,06/28/2018,
UMBS,331,1228,POGR,21.3,L,OD,06/28/2018,
UMBS,331,1229,FAGR,10,L,OS,06/28/2018,Shared base with smaller tree
UMBS,331,1230,QURU,32.5,L,OD,06/28/2018,
UMBS,331,1231,PIST,20.4,D,OS,06/28/2018,
UMBS,331,1232,POGR,21.7,L,OD,06/28/2018,
UMBS,331,1233,POGR,22.8,L,OD,06/28/2018,
UMBS,331,1234,POGR,21.8,L,OD,06/28/2018,
UMBS,331,1235,ACRU,11.6,L,OS,06/28/2018,
UMBS,331,1236,QURU,16.5,L,OD,06/28/2018,
