Site,Subplot,Tag,Species,DBH_cm,Health_status,Canopy_status,Date,Notes
UMBS,432,497,POGR,16.1,L,OD,6/25/2018,
UMBS,432,498,ACRU,8.7,L,OS,shared base,
UMBS,432,499,ACRU,12.3,L,OS,shared base,
UMBS,432,500,ACRU,14,L,OS,shared base,
UMBS,432,501,QURU,29.4,L,OD,,
UMBS,432,502,PIST,10.7,L,UN,Taken above DBH,
UMBS,432,503,ACRU,12.2,L,OS,Shared base,
UMBS,432,504,ACRU,8.6,L,OS,shared base,
UMBS,432,505,POGR,18.8,L,OD,,
UMBS,432,506,POGR,23.1,L,OD,,
UMBS,432,507,QURU,29.6,L,OD,shared base,
UMBS,432,508,QURU,26.6,L,OD,shared base,
UMBS,432,509,QURU,30.2,L,OD,shared base,
UMBS,432,510,QURU,12.7,M,UN,used “top” DBH line of 2 avail,
UMBS,432,511,ACRU,8,D,UN,,
UMBS,432,512,POGR,28.7,L,OD,,
UMBS,432,513,ACRU,13.6,L,OS,shared base w/ <8cm stems,
UMBS,432,514,POGR,33.6,L,OD,,
UMBS,432,515,PIST,12.4,L,UN,,
UMBS,432,516,POGR,16,D,UN,,
UMBS,432,517,PIRE,1,L,SA,veg plot,
UMBS,432,518,ACRU,14.1,D,UN,shared base,
UMBS,432,519,ACRU,8.4,L,OS,shared base,
UMBS,432,520,QURU,34.5,L,OD,,
UMBS,432,521,POGR,23.2,L,OD,,
UMBS,432,522,FAGR,14.4,L,OS,,
UMBS,432,523,POGR,16.7,D,UN,,
UMBS,432,524,POGR,20.4,L,OD,,
UMBS,432,525,QURU,5.9,L,UN,,
UMBS,432,526,FAGR,8.6,L,OS,"shared base, taken above DBH, veg plot",
UMBS,432,527,FAGR,10.4,L,OS,"shared base, taken above DBH, veg plot",
UMBS,432,528,PIST,22.6,L,OS,,
UMBS,432,529,QURU,43.4,L,OD,,
UMBS,432,530,POGR,23.9,L,OD,,
UMBS,432,531,QURU,36,L,OD,,
UMBS,432,532,POGR,26.7,L,OD,,
UMBS,432,533,PIST,26,L,OS,,
UMBS,432,534,POGR,19.9,D,UN,,
UMBS,432,535,QURU,12.1,L,OS,,
UMBS,432,536,ACRU,9.5,L,OS,,
UMBS,432,537,POGR,26.2,L,OD,,
UMBS,432,538,FAGR,12.8,L,OS,,
UMBS,432,539,ACRU,12.6,L,OS,,
UMBS,432,540,POGR,29.7,L,OD,,
UMBS,432,541,QURU,18.1,L,OD,,
UMBS,433,542,ACRU,9.2,L,OS,"in a new plot, 433",
UMBS,432,543,PIST,11.6,L,UN,,
UMBS,432,544,ACRU,9.4,L,OS,,
UMBS,432,545,POGR,26.1,L,OD,,
UMBS,432,546,POGR,24.3,L,OD,,
UMBS,432,547,POGR,24,L,OD,,
UMBS,432,548,ACRU,12.4,L,OS,shared base,
UMBS,432,549,ACRU,14.7,L,OS,shared base,
UMBS,433,550,POGR,27.7,L,OD,"in a new plot, 433",
UMBS,432,551,POGR,19.7,L,OD,,
UMBS,432,552,QURU,40.6,L,OD,,
UMBS,432,553,POGR,25.9,L,OD,,
UMBS,432,554,POGR,28.7,L,OD,,
UMBS,433,555,QURU,30.7,L,OD,"in a new plot, 433",
UMBS,432,556,QURU,17.5,L,OS,,
UMBS,432,557,ACRU,8.7,L,UN,shared base,
UMBS,432,558,ACRU,9.3,L,UN,shared base,
UMBS,432,559,POGR,30.8,L,OD,,
UMBS,432,560,POGR,28.4,L,OD,,
UMBS,432,561,POGR,23.9,L,OD,,
UMBS,432,562,ACRU,10.8,L,OS,,
