FileName,Plot,NDVI_IndexAvg,GapFraction,Openness,LAI(Bonhom)-Lin,LAI(2000)-Lin,LAI(2000G)-Lin,LAI(Sphere)-Lin,LAI(Ellips)-Lin,MeanLeafAngle-Lin,LAI(Bonhom)-Log,LAI(2000)-Log,LAI(2000G)-Log,LAI(Sphere)-Log,LAI(Ellips)-Log,MeanLeafAngle-Log,NofZeroGapFrRgn,CI(Bonhom),CI(2000),CI(2000G),CI(Sphere),CI(Ellips),CI(GSD)
d01ec.JPG,d01e,0.714,6.60,6.69,3.18,3.04,2.71,3.88,2.93,4.50,3.92,3.53,3.38,5.07,3.72,3.78,6,0.81,0.86,0.80,0.77,0.79,1.000
d01ee.JPG,d01e,0.723,6.22,6.43,3.05,3.01,2.67,3.33,2.67,7.20,3.45,3.58,3.45,4.57,3.50,4.86,2,0.88,0.84,0.77,0.73,0.76,1.000
d01en.JPG,d01e,0.622,10.32,11.34,2.59,2.39,2.09,2.16,1.97,15.30,3.53,2.89,2.65,2.85,2.55,12.78,0,0.74,0.83,0.79,0.76,0.77,1.000
d01es.JPG,d01e,0.725,6.55,6.48,3.17,3.22,2.95,4.55,3.28,1.62,3.47,3.56,3.43,5.45,3.87,1.44,7,0.91,0.90,0.86,0.83,0.85,1.000
d01ew.JPG,d01e,0.649,7.49,7.43,2.55,3.07,2.96,4.37,3.16,4.14,3.20,3.50,3.51,5.20,3.74,2.88,2,0.80,0.88,0.84,0.84,0.85,1.000
d01wc.JPG,d01w,0.647,8.61,9.13,2.40,2.49,2.26,2.86,2.35,12.24,3.74,3.39,3.32,4.37,3.40,9.36,2,0.64,0.73,0.68,0.66,0.69,1.000
d01we.JPG,d01w,0.677,7.39,7.46,2.92,2.93,2.66,3.29,2.57,9.90,3.38,3.51,3.39,4.54,3.40,6.66,1,0.86,0.83,0.78,0.72,0.76,1.000
d01wn.JPG,d01w,0.748,7.33,7.88,2.77,2.80,2.45,3.10,2.57,9.90,4.70,3.65,3.48,4.28,3.48,7.92,0,0.59,0.77,0.70,0.72,0.74,1.000
d01ws.JPG,d01w,0.655,7.56,8.18,3.09,2.76,2.38,2.57,2.25,14.58,3.64,3.19,2.93,3.18,2.75,13.68,0,0.85,0.87,0.81,0.81,0.82,1.000
d01ww.JPG,d01w,0.602,11.69,12.12,1.75,2.30,2.11,3.18,2.39,9.54,2.93,2.91,2.86,4.41,3.23,7.20,2,0.60,0.79,0.74,0.72,0.74,1.000
d03ec.JPG,d03e,0.671,10.29,11.00,2.24,2.34,2.06,2.46,2.08,13.14,3.25,3.16,2.99,3.68,2.97,11.88,1,0.69,0.74,0.69,0.67,0.70,1.000
d03ee.JPG,d03e,0.713,7.23,7.31,2.70,3.16,2.93,5.24,3.62,2.16,2.97,3.50,3.46,6.16,4.22,2.34,19,0.91,0.90,0.85,0.85,0.86,1.000
d03en.JPG,d03e,0.714,9.05,9.62,2.19,2.53,2.22,2.75,2.27,11.16,5.61,5.06,5.03,6.40,4.83,3.60,35,0.39,0.50,0.44,0.43,0.47,1.000
d03es.JPG,d03e,0.828,2.74,2.72,4.75,4.21,3.79,5.18,3.90,1.44,6.11,4.73,4.63,6.67,4.87,1.44,8,0.78,0.89,0.82,0.78,0.80,1.000
