,,,2017a,Column1,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86,_87,_88,_89,_90,_91,_92,_93,_94,_95,_96,_97,_98,_99,_100,_101,_102,_103,_104,_105,_106,_107,_108,_109,_110,_111,_112,_113,_114,_115,_116
,,,FileName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSize H V PxSizeH PxSizeV,Edited Sharpened ChromAberRemoval_RGB,Camera Make Model Software,LensFocLength [Equiv. 35mm],Aperture,ExposureTime,Camera ISO Metering,Camera Exposure Prog. Bias Mode,Camera Gain Contrast Saturation Sharpness,UserCameraModel-SN LensModel-SN,FOVMax,LensType LensCalCoef[0 to 9],HemiRadiusCentreHV/CoverExtCoef,GapSizeDist Method Params,Bonhom ViewAng Span,LAI2000 NRing PathLengthSubs,LAISphereProjCoef LAIUsedForG(z),NSky NZen NOrien[Orig] ZenMin ZenMax DifRadModel,GapFrZeroSubs PxOrGap,ZenithRingsRange,NofMask,RadiationUnits,TimeZone,MinutesInterval,GrowSeasActive Begin End DayInt,SubstDirRad DiffRad,NDVI-ClrIndex Definition,NDVI_IndexTotal,NDVI_IndexAvg,NDVI_IndexMin,NDVI_IndexMax,,,,SolarConstant PARToRadRatio DiffRadToDirRadRatio AtmTrans SunSizeMeth,Channel NBits,PxClassifMeth PxClassifModif,FieldTripDate,FieldTripSite,FieldTripOpAssist,AcquisitionTime,MemoryCard,CameraHeight,Plot,SkyCond,Analyst,Comment,Slope Aspect,NorthRef Declination[Negative=W],Orientation,Latitude[<0=S],Longitude[<0=W],Altitude,CrownProjArea(CPA),GapFraction,Openness,LAI(Bonhom)-Lin,LAI(2000)-Lin,LAI(2000G)-Lin,LAI(Sphere)-Lin,LAI(Ellips)-Lin,MeanLeafAngle-Lin,LAI(Bonhom)-Log,LAI(2000)-Log,LAI(2000G)-Log,LAI(Sphere)-Log,LAI(Ellips)-Log,MeanLeafAngle-Log,NofZeroGapFrRgn,CI(Bonhom),CI(2000),CI(2000G),CI(Sphere),CI(Ellips),CI(GSD),CrownCoverRatio,FoliageCoverRatio,CrownPorosity,LAIAtZenViewAngle,LAIBeerLambert,LAI(Bonhom)-Lin CICorr,LAI(2000)-Lin CICorr,LAI(2000G)-Lin CICorr,LAI(Sphere)-Lin CICorr,LAI(Ellips)-Lin CICorr,LAI(Bonhom)-Log CICorr,LAI(2000)-Log CICorr,LAI(2000G)-Log CICorr,LAI(Sphere)-Log CICorr,LAI(Ellips)-Log CICorr,SilhouetteArea(SA)/FoliageA,CrownArea(CA)/TotGapA,FrameArea(PFA)/ImageA,LAI IsolTree/FoliageCover,DirectSiteFactor,IndirectSiteFactor,TotalSiteFactor,PPFDDirectOverPerDay[MJorMol/m2day],PPFDDiffuseOverPerDay[MJorMol/m2day],PPFDTotalOverPerDay[MJorMol/m2day],PPFDDirectUnderPerDay[MJorMol/m2day],PPFDDiffuseUnderPerDay[MJorMol/m2day],PPFDTotalUnderPerDay[MJorMol/m2day],GapRgnArea,GapRgnZen,GapRgnAz,GapRgnHeight,GapRgnGapFrac,GapRgnDirRadOver,GapRgnDirRadUnder,GapRgnDifRadOver,GapRgnDifRadUnder,...,
,,,GAP_FRACTION,Zenith,0.0<= Az < 45.0,45.0<= Az < 90.0,90.0<= Az < 135.0,135.0<= Az < 180.0,180.0<= Az < 225.0,225.0<= Az < 270.0,270.0<= Az < 315.0,315.0<= Az < 360.0,GapFr(z)/CI(z)Lin,Openness(z)/CI(z)Log,G(z)Lin,G(z)Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PPFD_TYPE,Date,BeginningHour,MinutesInterval,TotalForDay[MJorMol/m2day],,Value1[JorUMol/m2s],Value2[JorUMol/m2s],Value3[JorUMol/m2s],...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,%Rad/Hr,Hour,January,February,March,April,May,June,July,August,September,October,November,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,subplot,nsp,DensOrCumulDens,X,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,,,,,,,,,,,,,,,,,,,,,,,,,
,D01E,C,d01ec.JPG,2/27/2019 9:12,2018:07:23 17:25:32,2018:07:23 17:25:32,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.3 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),7582299.1,0.726,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,6.6,6.69,3.18,3.04,2.71,3.88,2.93,4.5,3.92,3.53,3.38,5.07,3.72,3.78,6,0.81,0.86,0.8,0.77,0.79,1,,,,,,0,0,0,0,2.926,3.922,3.532,3.384,5.073,3.723,,,,,0.1066,0.0705,0.1019,40.95,6.14,47.09,4.36,0.43,4.8,,,,,,,,,,,
,D01E,C,d01ec.JPG,2/27/2019 9:14,2018:07:23 17:25:32,2018:07:23 17:25:32,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.3 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),7455107.8,0.714,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,6.6,6.69,3.18,3.04,2.71,3.88,2.93,4.5,3.92,3.53,3.38,5.07,3.72,3.78,6,0.81,0.86,0.8,0.77,0.79,1,,,,,,0,0,0,0,2.926,3.922,3.532,3.384,5.073,3.723,,,,,0.1066,0.0705,0.1019,40.95,6.14,47.09,4.36,0.43,4.8,,,,,,,,,,,
,D01E,E,d01ee.JPG,2/27/2019 9:15,2018:07:23 17:27:17,2018:07:23 17:27:17,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.3 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),7552584.4,0.723,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,6.22,6.43,3.05,3.01,2.67,3.33,2.67,7.2,3.45,3.58,3.45,4.57,3.5,4.86,2,0.88,0.84,0.77,0.73,0.76,1,,,,,,0,0,0,0,2.666,3.451,3.576,3.449,4.568,3.501,,,,,0.0336,0.0737,0.0388,40.95,6.14,47.09,1.37,0.45,1.83,,,,,,,,,,,
,D01E,N,d01en.JPG,2/27/2019 9:15,2018:07:23 17:26:33,2018:07:23 17:26:33,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.3 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),6495399.8,0.622,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,10.32,11.34,2.59,2.39,2.09,2.16,1.97,15.3,3.53,2.89,2.65,2.85,2.55,12.78,0,0.74,0.83,0.79,0.76,0.77,1,,,,,,0,0,0,0,1.968,3.528,2.895,2.655,2.845,2.547,,,,,0.2344,0.1819,0.2276,40.95,6.14,47.09,9.6,1.12,10.72,,,,,,,,,,,
,D01E,S,d01es.JPG,2/27/2019 9:15,2018:07:23 17:28:05,2018:07:23 17:28:05,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.3 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),7569487,0.725,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,6.55,6.48,3.17,3.22,2.95,4.55,3.28,1.62,3.47,3.56,3.43,5.45,3.87,1.44,7,0.91,0.9,0.86,0.83,0.85,1,,,,,,0,0,0,0,3.276,3.471,3.558,3.426,5.45,3.873,,,,,0.0762,0.0568,0.0737,40.95,6.14,47.09,3.12,0.35,3.47,,,,,,,,,,,
