13-Aug,13-18,18-23,23-28,28-33,33-38,38-43,43-48,48-53,53-58,58-63,Total
A01E,27,12,12,11,14,14,5,1,1,1,98
A01W,21,15,9,13,13,13,8,3,0,0,95
A02E,22,13,13,7,6,4,4,3,3,1,76
A02W,28,9,10,8,6,13,7,10,2,1,94
A03E,34,21,15,11,10,5,2,5,0,0,103
A03W,42,20,12,9,15,7,3,1,2,0,111
A04E,23,13,8,5,6,13,11,9,7,1,96
A04W,28,21,21,9,6,6,2,1,3,2,99
B01E,27,14,18,12,4,5,5,2,0,0,87
B01W,22,20,14,10,4,8,13,0,1,0,92
B02E,29,22,12,8,3,6,10,3,1,1,95
B02W,25,19,7,13,10,16,14,2,1,0,107
B03E,14,21,12,11,2,3,1,1,1,0,66
B03W,36,17,12,8,6,7,9,8,1,1,105
B04E,38,12,12,10,6,5,7,5,2,0,97
B04W,26,23,16,9,5,3,5,1,0,0,88
C01E,29,20,17,15,9,3,3,1,0,0,97
C01W,22,14,13,11,4,4,2,2,0,0,72
C02E,42,12,21,25,14,6,0,0,0,0,120
C02W,32,19,17,29,23,6,1,0,0,0,127
C03E,27,23,11,6,6,6,4,3,3,1,90
C03W,34,19,12,15,14,8,7,2,0,0,111
C04E,24,22,15,7,12,1,2,0,0,0,83
C04W,49,19,9,4,12,5,3,1,0,0,102
D01E,22,11,10,6,7,9,1,1,0,0,67
D01W,18,11,4,4,8,5,3,2,0,0,55
D02W,32,7,12,13,8,8,1,0,0,0,81
D04E,32,10,4,4,3,4,1,1,1,0,60
D04W,34,29,11,6,1,0,0,0,0,0,81
