"","Species","Subplot","Tag","Site","dbh","Health_status","Canopy_status","Date","Notes","SubplotID","group","plotID","Latitude","Longitude","component","a","b","se","source","ref","leaf.mass","genus","sla","leaf.area","fate","plot.side"
"1","POGR",111,"2903","UMBS",46.3,"L","OD","07/13/2018","","A01W","A","A01",45.5635291,-84.7287584,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",16.617302229318,"Populus",15.89,264.048932423863,"kill","W"
"2","POGR",111,"2904","UMBS",45.8,"L","OD","07/13/2018","","A01W","A","A01",45.5635698,-84.7288476,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",16.2118555932324,"Populus",15.89,257.606385376462,"kill","W"
"3","ACRU",111,"2890","UMBS",43.8,"L","OD","07/13/2018","2889-2890 share base","A01W","A","A01",45.5636659,-84.7287641,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",12.577055054322,"Acer",19,238.964046032118,"kill","W"
"4","POGR",111,"2978","UMBS",42.7,"L","OD","07/13/2018","","A01W","A","A01",45.5636929,-84.7289766,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",13.8225184991045,"Populus",15.89,219.639818950771,"kill","W"
"5","FAGR",111,"2886","UMBS",40.6,"L","OS","07/13/2018","","A01W","A","A01",45.5636795,-84.7287998,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",9.76643161732711,"Fagus",35,341.825106606449,"kill","W"
"6","POGR",111,"2950","UMBS",40.6,"L","OD","07/13/2018","","A01W","A","A01",45.5636786,-84.7290976,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",12.3242497462488,"Populus",15.89,195.832328467893,"kill","W"
"7","POGR",111,"2910","UMBS",40,"L","OD","07/13/2018","","A01W","A","A01",45.5635027,-84.7287784,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",11.913798332605,"Populus",15.89,189.310255505094,"kill","W"
"8","POGR",111,"2943","UMBS",39.8,"L","OD","07/13/2018","","A01W","A","A01",45.5635963,-84.7290382,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",11.7787106466726,"Populus",15.89,187.163712175627,"kill","W"
"9","POGR",111,"2945","UMBS",39.6,"D","OD","07/13/2018","","A01W","A","A01",45.5636301,-84.7290874,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",11.6444857068383,"Populus",15.89,185.030877881661,"kill","W"
"10","POGR",111,"2878","UMBS",39,"L","OD","07/13/2018","","A01W","A","A01",45.5636967,-84.728821,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",11.2469753977903,"Populus",15.89,178.714439070888,"kill","W"
"11","POGR",111,"2967","UMBS",38.6,"L","OD","07/13/2018","","A01W","A","A01",45.563704,-84.7290025,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",10.9862602403155,"Populus",15.89,174.571675218613,"kill","W"
"12","POGR",111,"2885","UMBS",37.4,"L","OD","07/13/2018","read as outside plot at 18.41 m","A01W","A","A01",45.5637448,-84.7287391,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",10.2246078241275,"Populus",15.89,162.469018325386,"kill","W"
"13","POGR",111,"2947","UMBS",37.3,"L","OD","07/13/2018","","A01W","A","A01",45.5636331,-84.7289473,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",10.1625186714,"Populus",15.89,161.482421688546,"kill","W"
"14","POGR",111,"2879","UMBS",37.2,"L","OD","07/13/2018","","A01W","A","A01",45.5636704,-84.7288268,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",10.1006413914826,"Populus",15.89,160.499191710658,"kill","W"
"15","POGR",111,"2912","UMBS",37,"L","OD","07/13/2018","read as outside plot at 18.33 m as tripod is not directly at center","A01W","A","A01",45.5634888,-84.7287777,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",9.97752182433847,"Populus",15.89,158.542821788738,"kill","W"
"16","POGR",111,"2944","UMBS",36.9,"L","OD","07/13/2018","","A01W","A","A01",45.5636134,-84.7290876,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",9.91627922347789,"Populus",15.89,157.569676861064,"kill","W"
"17","POGR",111,"2911","UMBS",36.8,"L","OD","07/13/2018","","A01W","A","A01",45.5636186,-84.7290703,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",9.85524786815687,"Populus",15.89,156.599888625013,"kill","W"
"18","POGR",111,"2966","UMBS",36.7,"L","OD","07/13/2018","","A01W","A","A01",45.5636485,-84.7289513,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",9.79442760078807,"Populus",15.89,155.633454576522,"kill","W"
"19","POGR",111,"2965","UMBS",35.9,"L","OD","07/13/2018","","A01W","A","A01",45.5636605,-84.729004,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",9.31544561439972,"Populus",15.89,148.022430812812,"kill","W"
"20","ACRU",111,"2894","UMBS",35.2,"L","OS","07/13/2018","2893-2894 share base","A01W","A","A01",45.5637625,-84.7290275,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",8.98223748912673,"Acer",19,170.662512293408,"kill","W"
"21","ACSA",111,"2888","UMBS",35,"L","OD","07/13/2018","","A01W","A","A01",45.5636564,-84.7288181,"FL",0.037,1.695,0.405,"Upper Great Lakes","Perala and Alban, 1994",15.3248791791627,"Acer",19,291.172704404092,"kill","W"
"22","POGR",111,"2935","UMBS",34,"L","OD","07/13/2018","","A01W","A","A01",45.5635652,-84.7290314,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",8.23148707181359,"Populus",15.89,130.798329571118,"kill","W"
"23","POGR",111,"2948","UMBS",34,"L","OD","07/13/2018","","A01W","A","A01",45.5636495,-84.7290201,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",8.23148707181359,"Populus",15.89,130.798329571118,"kill","W"
"24","POGR",111,"2951","UMBS",33.9,"L","OD","07/13/2018","","A01W","A","A01",45.5636719,-84.7290739,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",8.17651198321661,"Populus",15.89,129.924775413312,"kill","W"
"25","POGR",111,"2974","UMBS",32.8,"L","OD","07/13/2018","","A01W","A","A01",45.563686,-84.7289682,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",7.58536980613348,"Populus",15.89,120.531526219461,"kill","W"
"26","POGR",111,"2976","UMBS",32.7,"L","OD","07/13/2018","","A01W","A","A01",45.5636666,-84.728945,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",7.53286009401178,"Populus",15.89,119.697146893847,"kill","W"
"27","POGR",111,"2931","UMBS",32.2,"L","OD","07/13/2018","","A01W","A","A01",45.5635851,-84.7289339,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",7.27337320471699,"Populus",15.89,115.573900222953,"kill","W"
"28","POGR",111,"2939","UMBS",31.8,"L","OD","07/13/2018","","A01W","A","A01",45.5635982,-84.7289649,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",7.06944731292249,"Populus",15.89,112.333517802338,"kill","W"
"29","POGR",111,"2930","UMBS",31.7,"L","OD","07/13/2018","","A01W","A","A01",45.563568,-84.7289624,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",7.01897322459611,"Populus",15.89,111.531484538832,"kill","W"
"30","POGR",111,"2938","UMBS",31.6,"L","OD","07/13/2018","SW veg plot","A01W","A","A01",45.5635738,-84.7289926,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",6.96870173959789,"Populus",15.89,110.732670642211,"kill","W"
"31","POGR",111,"2957","UMBS",31.2,"L","OD","07/13/2018","","A01W","A","A01",45.5636793,-84.7290403,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",6.76963830757967,"Populus",15.89,107.569552707441,"kill","W"
"32","POGR",111,"2918","UMBS",30.9,"L","OD","07/13/2018","","A01W","A","A01",45.563598,-84.7289069,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",6.62245940582176,"Populus",15.89,105.230879958508,"kill","W"
"33","ACRU",111,"2984","UMBS",30.5,"L","OS","07/13/2018","2981-2984 share base","A01W","A","A01",45.5637686,-84.7289617,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",7.20328477281265,"Acer",19,136.86241068344,"kill","W"
"34","POGR",111,"2898","UMBS",30.5,"L","OD","07/13/2018","","A01W","A","A01",45.5636261,-84.7288983,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",6.42903660740243,"Populus",15.89,102.157391691625,"kill","W"
"35","POGR",111,"2920","UMBS",30.3,"L","OD","07/13/2018","","A01W","A","A01",45.5635462,-84.728897,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",6.3335287165275,"Populus",15.89,100.639771305622,"kill","W"
