"","Species","Subplot","Tag","Site","dbh","Health_status","Canopy_status","Date","Notes","SubplotID","group","plotID","Latitude","Longitude","component","a","b","se","source","ref","leaf.mass","genus","fate","plot.side"
"1","PIST",312,"737","UMBS",4.1,"L","UN","06/26/2018","NE veg plot, reading taken above DBH","C01E","C","C01",45.5625699,-84.7073923,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.0506399041148321,"Pinus","live","E"
"2","PIST",312,"736","UMBS",6,"L","UN","06/26/2018","NE veg plot","C01E","C","C01",45.5625714,-84.7073857,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.101149893297854,"Pinus","live","E"
"3","PIST",312,"721","UMBS",7.7,"L","UN","06/26/2018","REDACT, under minimum DBH—mistakenly tagged","C01E","C","C01",45.562648,-84.7073685,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.159154255241756,"Pinus","live","E"
"4","PIST",312,"715","UMBS",8.4,"L","UN","06/26/2018","","C01E","C","C01",45.5626443,-84.7074412,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.186414662877526,"Pinus","live","E"
"5","PIST",312,"758","UMBS",8.4,"L","OS","06/26/2018","","C01E","C","C01",45.5624286,-84.7073823,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.186414662877526,"Pinus","live","E"
"6","PIST",312,"742","UMBS",10.4,"L","UN","06/26/2018","","C01E","C","C01",45.5625695,-84.7072919,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.274798390379405,"Pinus","live","E"
"7","PIST",312,"783","UMBS",10.5,"L","UN","06/26/2018","","C01E","C","C01",45.5624637,-84.7075293,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.279618282255425,"Pinus","live","E"
"8","PIST",312,"818","UMBS",11.7,"L","UN","06/26/2018","","C01E","C","C01",45.5626818,-84.7075218,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.340375519990951,"Pinus","live","E"
"9","FAGR",312,"806","UMBS",5.6,"L","UN","06/26/2018","805-806 share base, NW veg plot","C01E","C","C01",45.562582,-84.7075702,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",0.386479854924257,"Fagus","live","E"
"10","PIST",312,"755","UMBS",13.2,"L","OS","06/26/2018","","C01E","C","C01",45.562453,-84.7074245,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.42378681437615,"Pinus","live","E"
"11","PIST",312,"761","UMBS",15.2,"L","OS","06/26/2018","reading taken above DBH","C01E","C","C01",45.562401,-84.7074219,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.547613828240332,"Pinus","live","E"
"12","ACRU",314,"800","UMBS",5.8,"L","OS","06/26/2018","Tree was remeasured, DBH was taken above the DBH mark to accurately represent the ‘new tree’; the tree looks like the trunk snapped off at about DBH and a new branch sprouted up, essentially becoming the new branch; we decided the 5.8 cm DBH reading best represents DBH for this tree","C01E","C","C01",45.5625776,-84.7076416,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",0.558969281851699,"Acer","live","E"
"13","FAGR",312,"805","UMBS",8.7,"L","UN","06/26/2018","805-806 share base, NW veg plot","C01E","C","C01",45.5625755,-84.7075712,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",0.792600165296506,"Fagus","live","E"
"14","FAGR",312,"775","UMBS",9.3,"L","UN","06/26/2018","","C01E","C","C01",45.5624282,-84.7075333,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",0.883636551404782,"Fagus","live","E"
"15","ACRU",312,"741","UMBS",7.9,"L","OS","06/26/2018","REDACT, under minimum DBH","C01E","C","C01",45.5625936,-84.7072961,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",0.899610575897398,"Acer","live","E"
"16","ACRU",312,"794","UMBS",8.9,"L","OS","06/26/2018","","C01E","C","C01",45.5624661,-84.7076876,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.08085999274479,"Acer","live","E"
"17","PIRE",312,"726","UMBS",10.8,"L","UN","06/26/2018","","C01E","C","C01",45.5625964,-84.7073774,"FL",7e-04,3.122,0.553,"","",1.17881866756818,"Pinus","live","E"
"18","ACRU",312,"768","UMBS",9.5,"L","OS","06/26/2018","767-769 share base","C01E","C","C01",45.5623751,-84.707502,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.19509707634791,"Acer","live","E"
"19","QURU",312,"787","UMBS",9.2,"L","OS","06/26/2018","","C01E","C","C01",45.5625038,-84.7076332,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.21213928325994,"Quercus","live","E"
"20","QURU",312,"763","UMBS",9.2,"L","UN","06/26/2018","","C01E","C","C01",45.5624728,-84.7074761,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.21213928325994,"Quercus","live","E"
"21","FAGR",312,"773","UMBS",11.3,"L","OS","06/26/2018","","C01E","C","C01",45.5624077,-84.7075073,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",1.2139189957492,"Fagus","live","E"
"22","ACRU",312,"804","UMBS",9.6,"L","OS","06/26/2018","","C01E","C","C01",45.5625839,-84.707619,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.214525200963,"Acer","live","E"
"23","ACRU",312,"774","UMBS",10,"L","OS","06/26/2018","","C01E","C","C01",45.5624649,-84.7075006,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.29332845218794,"Acer","live","E"
"24","ACRU",312,"782","UMBS",10.2,"L","OS","06/26/2018","","C01E","C","C01",45.562439,-84.7075404,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.33337742001258,"Acer","live","E"
"25","FAGR",312,"792","UMBS",12.3,"L","OS","06/26/2018","","C01E","C","C01",45.5624967,-84.7076694,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",1.39388910712007,"Fagus","live","E"
"26","FAGR",312,"767","UMBS",12.4,"L","OS","06/26/2018","767-769 share base","C01E","C","C01",45.5623711,-84.7075075,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",1.41241166056141,"Fagus","live","E"
"27","ACRU",312,"811","UMBS",10.6,"L","OS","06/26/2018","","C01E","C","C01",45.5626393,-84.7075945,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.41475052678069,"Acer","live","E"
