"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0.0226600107076808
"4",1,3,0.319501908858358
"5",1,4,1.92329906616825
"6",1,5,0.158282367886562
"7",1,6,1.05119675790271
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,1.15093060377496
"12",1,11,0.89083618175694
"13",1,12,2.48329310294454
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",1,24,0
"26",2,0,0
"27",2,1,0
"28",2,2,0.0339423410293072
"29",2,3,1.14105186119201
"30",2,4,1.11940797080397
"31",2,5,4.26993244797657
"32",2,6,0
"33",2,7,1.43566537899814
"34",2,8,0
"35",2,9,0
"36",2,10,0
"37",2,11,0
"38",2,12,0
"39",2,13,0
"40",2,14,0
"41",2,15,0
"42",2,16,0
"43",2,17,0
"44",2,18,0
"45",2,19,0
"46",2,20,0
"47",2,21,0
"48",2,22,0
"49",2,23,0
"50",2,24,0
"51",3,0,0
"52",3,1,0.00873215066683549
"53",3,2,0.88153109494555
"54",3,3,0.580390027928445
"55",3,4,3.19564429050512
"56",3,5,3.33370243595405
"57",3,6,0
"58",3,7,0
"59",3,8,0
"60",3,9,0
"61",3,10,0
"62",3,11,0
"63",3,12,0
"64",3,13,0
"65",3,14,0
"66",3,15,0
"67",3,16,0
"68",3,17,0
"69",3,18,0
"70",3,19,0
"71",3,20,0
"72",3,21,0
"73",3,22,0
"74",3,23,0
"75",3,24,0
"76",4,0,0
"77",4,1,0.000457527580372285
"78",4,2,0.26978775754327
"79",4,3,0.0461428246118591
"80",4,4,0.574281748458674
"81",4,5,3.81809417866077
"82",4,6,1.13773789464784
"83",4,7,0
"84",4,8,0
"85",4,9,0
"86",4,10,0
"87",4,11,0
"88",4,12,0
"89",4,13,0
"90",4,14,0
"91",4,15,0
"92",4,16,2.15349806849721
"93",4,17,0
"94",4,18,0
"95",4,19,0
"96",4,20,0
"97",4,21,0
"98",4,22,0
"99",4,23,0
"100",4,24,0
"101",5,0,0
"102",5,1,0
"103",5,2,0
"104",5,3,4.67098284252361
"105",5,4,0.0049013461096785
"106",5,5,0.237715286319407
"107",5,6,0.223011247990372
"108",5,7,0
"109",5,8,0
"110",5,9,0
"111",5,10,0
"112",5,11,0
"113",5,12,0
"114",5,13,0
"115",5,14,0
"116",5,15,0
"117",5,16,0.09802692219357
"118",5,17,0
"119",5,18,0
"120",5,19,0
"121",5,20,0
"122",5,21,0
"123",5,22,0
"124",5,23,0
"125",5,24,0
"126",6,0,0
"127",6,1,0
"128",6,2,2.94522301873042
"129",6,3,4.62964851231939
"130",6,4,0
"131",6,5,0
"132",6,6,0
"133",6,7,0
"134",6,8,0
"135",6,9,0
"136",6,10,0
"137",6,11,0
"138",6,12,0
"139",6,13,0
"140",6,14,0
"141",6,15,0
"142",6,16,0
"143",6,17,0
"144",6,18,0
"145",6,19,0
"146",6,20,0
"147",6,21,0
"148",6,22,0
"149",6,23,0
"150",6,24,0
"151",7,0,0
"152",7,1,0
"153",7,2,6.35370848558538
"154",7,3,0.517663930930332
"155",7,4,0
"156",7,5,0
"157",7,6,0
"158",7,7,0
"159",7,8,0
"160",7,9,0
"161",7,10,0
"162",7,11,0
"163",7,12,0
"164",7,13,0
"165",7,14,0
"166",7,15,0
"167",7,16,0
"168",7,17,0
"169",7,18,0
"170",7,19,0
"171",7,20,0
"172",7,21,0
"173",7,22,0
"174",7,23,0
"175",7,24,0
"176",8,0,0
"177",8,1,0
"178",8,2,0.541359806777277
"179",8,3,3.86784304501723
"180",8,4,0
"181",8,5,0
"182",8,6,0
"183",8,7,0.216543922710911
"184",8,8,0
"185",8,9,0
"186",8,10,0
"187",8,11,0
"188",8,12,0
"189",8,13,0
"190",8,14,0
"191",8,15,0
"192",8,16,0
"193",8,17,0
"194",8,18,0
"195",8,19,0.0668061038150683
"196",8,20,0.142826842639111
"197",8,21,0.00230365875224373
"198",8,22,0
"199",8,23,0
"200",8,24,0
"201",9,0,0
"202",9,1,0.28176331184894
"203",9,2,2.97169075662263
"204",9,3,0.399333614634828
"205",9,4,0
"206",9,5,0
"207",9,6,0
"208",9,7,0.291898682778758
"209",9,8,0
"210",9,9,0
"211",9,10,0
"212",9,11,0
"213",9,12,0
"214",9,13,0
"215",9,14,0
"216",9,15,0.0141895193017452
"217",9,16,0
"218",9,17,0.0770288190666166
"219",9,18,0
"220",9,19,0.00608122255789079
"221",9,20,0
"222",9,21,0
"223",9,22,0
"224",9,23,0.00608122255789079
"225",9,24,0.00810829674385438
"226",10,0,0
"227",10,1,0.359787108490229
"228",10,2,0.285236626550813
"229",10,3,0.936743012195282
"230",10,4,0
"231",10,5,0
"232",10,6,0
"233",10,7,0
"234",10,8,0
"235",10,9,0
"236",10,10,0
"237",10,11,0
"238",10,12,0
"239",10,13,0
"240",10,14,0
"241",10,15,0.0648265060342756
"242",10,16,0.760090783251881
"243",10,17,0.233375421723392
"244",10,18,0.00648265060342756
"245",10,19,0.0534818674782774
"246",10,20,0.123170361465124
"247",10,21,0.00162066265085689
"248",10,22,0
"249",10,23,0
"250",10,24,0
"251",11,0,0
"252",11,1,0.0133909072298002
"253",11,2,1.48806456591155
"254",11,3,0
"255",11,4,0.428509031353608
"256",11,5,0.120518165068202
"257",11,6,0
"258",11,7,0
"259",11,8,0
"260",11,9,0
"261",11,10,0.0267818144596005
"262",11,11,0
"263",11,12,0
"264",11,13,0
"265",11,14,0.0150647706335253
"266",11,15,0
"267",11,16,0.152321569738978
"268",11,17,0.251079510558754
"269",11,18,0.328077227130106
"270",11,19,0.309664729689131
"271",11,20,0.167386340372503
"272",11,21,0.0502159021117509
"273",11,22,0
"274",11,23,0
"275",11,24,0
"276",12,0,0
"277",12,1,0.010764858211922
"278",12,2,2.02686901761618
"279",12,3,0.71355631576169
"280",12,4,0.0384459221854359
"281",12,5,0.00922702132450461
"282",12,6,0
"283",12,7,0
"284",12,8,0
"285",12,9,0
"286",12,10,0
"287",12,11,0
"288",12,12,0
"289",12,13,0
"290",12,14,0
"291",12,15,0
"292",12,16,0.0445972697351056
"293",12,17,0
"294",12,18,0.00307567377483487
"295",12,19,0.00615134754966974
"296",12,20,0.046135106622523
"297",12,21,0
"298",12,22,0
"299",12,23,0
"300",12,24,0
"301",13,0,0
"302",13,1,1.7650903555197
"303",13,2,0.708064981696982
"304",13,3,0.837910708999581
"305",13,4,0.651257476002095
"306",13,5,0.357075750082146
"307",13,6,0
"308",13,7,0
"309",13,8,0
"310",13,9,0
"311",13,10,0.105499653433361
"312",13,11,0
"313",13,12,0.0223172343801341
"314",13,13,0
"315",13,14,0
"316",13,15,0
"317",13,16,0
"318",13,17,0.0040576789782062
"319",13,18,0
"320",13,19,0.0060865184673093
"321",13,20,0
"322",13,21,0
"323",13,22,0
"324",13,23,0
"325",13,24,0
"326",14,0,0
"327",14,1,0.203793289088726
"328",14,2,1.92865243152084
"329",14,3,1.09871164552182
"330",14,4,0.0620240445052643
"331",14,5,0.026581733359399
"332",14,6,0
"333",14,7,0
"334",14,8,0
"335",14,9,0
"336",14,10,1.42655302362108
"337",14,11,0.773823793351393
"338",14,12,0.233328548376947
"339",14,13,0
"340",14,14,0
"341",14,15,0
"342",14,16,0.277631437309278
"343",14,17,0.711799748846128
"344",14,18,0.141769244583461
"345",14,19,0.0502099407899759
"346",14,20,0.0679310963629085
"347",14,21,0.0590705185764422
"348",14,22,0
"349",14,23,0
"350",14,24,0
"351",15,0,0
"352",15,1,0
"353",15,2,2.11391934373318
"354",15,3,1.32857192234626
"355",15,4,1.57379898277933
"356",15,5,0
"357",15,6,0
"358",15,7,0
"359",15,8,0.220393940389216
"360",15,9,0
"361",15,10,0
"362",15,11,0
"363",15,12,0
"364",15,13,0
"365",15,14,0
"366",15,15,0
"367",15,16,0.403538200712649
"368",15,17,0.64876526114572
"369",15,18,0.763618441348551
"370",15,19,0.381809220674276
"371",15,20,0.0248331200438553
"372",15,21,0
"373",15,22,0
"374",15,23,0
"375",15,24,0
"376",16,0,0
"377",16,1,0.610140420627991
"378",16,2,0.122673735364358
"379",16,3,2.46315947586856
"380",16,4,2.27269236043442
"381",16,5,0.313140850798493
"382",16,6,0
"383",16,7,0.0193695371627934
"384",16,8,0.984618139108662
"385",16,9,0
"386",16,10,0.119445479170559
"387",16,11,0.0807064048449724
"388",16,12,0
"389",16,13,0
"390",16,14,0
"391",16,15,0
"392",16,16,0.0161412809689945
"393",16,17,0.371249462286873
"394",16,18,0.287314801248102
"395",16,19,0.0581086114883801
"396",16,20,0.0710216362635757
"397",16,21,0
"398",16,22,0
"399",16,23,0
"400",16,24,0
"401",17,0,0
"402",17,1,0
"403",17,2,0.256999392760648
"404",17,3,1.23826980148312
"405",17,4,1.2947317892866
"406",17,5,0.424438391074404
"407",17,6,0
"408",17,7,0
"409",17,8,0.00194696509667158
"410",17,9,0.54320326197137
"411",17,10,0
"412",17,11,0.410809635397703
"413",17,12,0.0389393019334315
"414",17,13,0
"415",17,14,0
"416",17,15,0
"417",17,16,0
"418",17,17,0
"419",17,18,0
"420",17,19,0
"421",17,20,0
"422",17,21,0
"423",17,22,0
"424",17,23,0
"425",17,24,0
"426",18,0,0
"427",18,1,0
"428",18,2,0
"429",18,3,0.379311855258648
"430",18,4,0
"431",18,5,0
"432",18,6,0.834803497347485
"433",18,7,0.879241706331761
"434",18,8,0.00793539446147799
"435",18,9,0.50469108775
"436",18,10,0
"437",18,11,0.0222191044921384
"438",18,12,0
"439",18,13,0
"440",18,14,0
"441",18,15,0
"442",18,16,0.031741577845912
"443",18,17,0.0936376546454403
"444",18,18,0.0698314712610063
"445",18,19,0.17299159926022
"446",18,20,0.0682443923687107
"447",18,21,0
"448",18,22,0
"449",18,23,0
"450",18,24,0
"451",19,0,0
"452",19,1,0
"453",19,2,0.3917451405906
"454",19,3,0
"455",19,4,0
"456",19,5,0
"457",19,6,0.00600375694391724
"458",19,7,0.582364423559972
"459",19,8,0
"460",19,9,0.0360225416635034
"461",19,10,0
"462",19,11,0
"463",19,12,0
"464",19,13,0
"465",19,14,0
"466",19,15,0.0795497795069035
"467",19,16,0.303189725667821
"468",19,17,0.291182211779986
"469",19,18,0.157598619777828
"470",19,19,0.175609890609579
"471",19,20,0.71894989403409
"472",19,21,0.0285178454836069
"473",19,22,0
"474",19,23,0
"475",19,24,0
"476",20,0,0
"477",20,1,0
"478",20,2,0.48440559620451
"479",20,3,0.14731238679096
"480",20,4,0.144658109551484
"481",20,5,0
"482",20,6,0
"483",20,7,0
"484",20,8,0
"485",20,9,0
"486",20,10,0
"487",20,11,0
"488",20,12,0.0676840696066575
"489",20,13,0.0159256634368606
"490",20,14,0.0477769903105818
"491",20,15,0
"492",20,16,0.301260466680613
"493",20,17,0.2627734467082
"494",20,18,0.140676693692269
"495",20,19,0.0836097330435181
"496",20,20,0.453881407950527
"497",20,21,0.00530855447895353
"498",20,22,0
"499",20,23,0
"500",20,24,0
"501",21,0,0
"502",21,1,0
"503",21,2,0
"504",21,3,0
"505",21,4,3.03494037249639
"506",21,5,0
"507",21,6,0
"508",21,7,0
"509",21,8,0.265121227942214
"510",21,9,2.07213170260099
"511",21,10,0
"512",21,11,0
"513",21,12,0.118606865132043
"514",21,13,0.272098102361746
"515",21,14,0.0174421860488299
"516",21,15,0
"517",21,16,0.0244190604683618
"518",21,17,0
"519",21,18,0.0209306232585958
"520",21,19,0.0593034325660215
"521",21,20,0.0802340558246173
"522",21,21,0.00697687441953194
"523",21,22,0
"524",21,23,0
"525",21,24,0
"526",22,0,0
"527",22,1,0
"528",22,2,0.387285261943939
"529",22,3,0.589243834123294
"530",22,4,1.82950706562474
"531",22,5,0.39678919475238
"532",22,6,0.125927109711833
"533",22,7,0
"534",22,8,0.0166318824147704
"535",22,9,0.213838488189905
"536",22,10,0
"537",22,11,0
"538",22,12,0
"539",22,13,0
"540",22,14,0
"541",22,15,0
"542",22,16,0
"543",22,17,0
"544",22,18,0
"545",22,19,0
"546",22,20,0
"547",22,21,0
"548",22,22,0
"549",22,23,0
"550",22,24,0
"551",23,0,0
"552",23,1,0
"553",23,2,0.535302944992293
"554",23,3,4.89356108880454
"555",23,4,1.21781419985747
"556",23,5,0.459468361118385
"557",23,6,0
"558",23,7,0
"559",23,8,0.0178434314997431
"560",23,9,0.570989807991779
"561",23,10,0
"562",23,11,0.14720830987288
"563",23,12,0.0312260051245504
"564",23,13,0
"565",23,14,0
"566",23,15,0
"567",23,16,0
"568",23,17,0
"569",23,18,0.00892171574987154
"570",23,19,0
"571",23,20,0
"572",23,21,0
"573",23,22,0
"574",23,23,0
"575",23,24,0
"576",24,0,0
"577",24,1,0
"578",24,2,0.00232888779552757
"579",24,3,1.31116382888202
"580",24,4,0.659075246134301
"581",24,5,0.54495974415345
"582",24,6,0.381937598466521
"583",24,7,0
"584",24,8,0
"585",24,9,0.491395324856316
"586",24,10,0
"587",24,11,0
"588",24,12,0.0605510826837167
"589",24,13,0
"590",24,14,0
"591",24,15,0
"592",24,16,0
"593",24,17,0
"594",24,18,0
"595",24,19,0
"596",24,20,0
"597",24,21,0
"598",24,22,0
"599",24,23,0
"600",24,24,0
"601",25,0,0
"602",25,1,0
"603",25,2,2.997023198316
"604",25,3,0.144382139480917
"605",25,4,3.2682866118862
"606",25,5,0
"607",25,6,0.166258221220449
"608",25,7,0.0568778125227853
"609",25,8,0.105005192349758
"610",25,9,0.85316718784178
"611",25,10,0.0262512980874394
"612",25,11,0
"613",25,12,0
"614",25,13,0
"615",25,14,0.0743786779144116
"616",25,15,0
"617",25,16,0
"618",25,17,0
"619",25,18,0
"620",25,19,0.00437521634790656
"621",25,20,0.0218760817395328
"622",25,21,0
"623",25,22,0
"624",25,23,0
"625",25,24,0
"626",26,0,0
"627",26,1,0
"628",26,2,2.06430901183447
"629",26,3,2.45136695155343
"630",26,4,1.14978976210633
"631",26,5,0.40223668245304
"632",26,6,0.212502398277078
"633",26,7,0
"634",26,8,0.29978016899802
"635",26,9,0.00379468568351925
"636",26,10,0
"637",26,11,0
"638",26,12,0
"639",26,13,0
"640",26,14,0
"641",26,15,0
"642",26,16,0
"643",26,17,0
"644",26,18,0
"645",26,19,0
"646",26,20,0
"647",26,21,0
"648",26,22,0
"649",26,23,0
"650",26,24,0
"651",27,0,0
"652",27,1,0
"653",27,2,2.23139215634515
"654",27,3,3.32076509655721
"655",27,4,0.392822212641523
"656",27,5,0.00809942706477368
"657",27,6,0.121491405971605
"658",27,7,0.291579374331852
"659",27,8,0.105292551842058
"660",27,9,0.222734244281276
"661",27,10,0
"662",27,11,0.39687192617391
"663",27,12,0
"664",27,13,0
"665",27,14,0
"666",27,15,0
"667",27,16,0
"668",27,17,0
"669",27,18,0
"670",27,19,0
"671",27,20,0
"672",27,21,0
"673",27,22,0
"674",27,23,0
"675",27,24,0
"676",28,0,0
"677",28,1,0
"678",28,2,0.569851288372907
"679",28,3,0.00309310956704981
"680",28,4,0.469420841378166
"681",28,5,0.606254380371011
"682",28,6,0.116159313044207
"683",28,7,0.0581853196664649
"684",28,8,1.60228751141968
"685",28,9,0
"686",28,10,0
"687",28,11,2.85313307000899
"688",28,12,0
"689",28,13,0
"690",28,14,0
"691",28,15,0.238696577984115
"692",28,16,1.48291858818741
"693",28,17,0
"694",28,18,0
"695",28,19,0
"696",28,20,0
"697",28,21,0
"698",28,22,0
"699",28,23,0
"700",28,24,0
"701",29,0,0
"702",29,1,0
"703",29,2,2.93017758649
"704",29,3,0
"705",29,4,0.374605585271744
"706",29,5,0.257144511923824
"707",29,6,0.101587955327931
"708",29,7,0.476193540599675
"709",29,8,0.0444447304559696
"710",29,9,0
"711",29,10,0.0920640845159371
"712",29,11,0.0444447304559696
"713",29,12,0.0285716124359805
"714",29,13,0
"715",29,14,0.165080427407887
"716",29,15,0.476193540599675
"717",29,16,0.00317462360399783
"718",29,17,0.130159567763911
"719",29,18,0.11746107334792
"720",29,19,0.0793655900999458
"721",29,20,0
"722",29,21,0
"723",29,22,0
"724",29,23,0
"725",29,24,0
"726",30,0,0
"727",30,1,0
"728",30,2,0
"729",30,3,0
"730",30,4,0
"731",30,5,0.165531847171858
"732",30,6,0
"733",30,7,1.04134580220841
"734",30,8,0.00300966994857923
"735",30,9,0.559798610435736
"736",30,10,0.120386797943169
"737",30,11,0.463489172081201
"738",30,12,0.502614881412731
"739",30,13,0.421353792801092
"740",30,14,0.0932997684059561
"741",30,15,0.641059699047375
"742",30,16,0.0692224088173222
"743",30,17,0.448440822338305
"744",30,18,0.442421482441146
"745",30,19,0
"746",30,20,0
"747",30,21,0
"748",30,22,0
"749",30,23,0
"750",30,24,0
"751",31,0,0
"752",31,1,0
"753",31,2,0
"754",31,3,0
"755",31,4,0.00372087292110235
"756",31,5,1.41021083709779
"757",31,6,0.23813586695055
"758",31,7,0
"759",31,8,0
"760",31,9,1.23160893688488
"761",31,10,0.368366419189132
"762",31,11,0.435342131768975
"763",31,12,0.777662440510391
"764",31,13,0.61766490490299
"765",31,14,0.770220694668186
"766",31,15,0.282786342003778
"767",31,16,0.104184441790866
"768",31,17,0.55441006524425
"769",31,18,0.439063004690077
"770",31,19,0.00372087292110235
"771",31,20,0
"772",31,21,0
"773",31,22,0
"774",31,23,0
"775",31,24,0
"776",32,0,0
"777",32,1,0
"778",32,2,0
"779",32,3,0
"780",32,4,0.387169564317641
"781",32,5,0.832414563282929
"782",32,6,0.0228782015278606
"783",32,7,0
"784",32,8,0.0950325294234211
"785",32,9,0.0545557113356676
"786",32,10,0.00175986165598928
"787",32,11,0
"788",32,12,0.0211183398718713
"789",32,13,0
"790",32,14,0.234061600246574
"791",32,15,0.0105591699359357
"792",32,16,0.506840156924912
"793",32,17,0.350212469541866
"794",32,18,0
"795",32,19,0
"796",32,20,0
"797",32,21,0
"798",32,22,0
"799",32,23,0
"800",32,24,0
"801",33,0,0
"802",33,1,0
"803",33,2,0
"804",33,3,0.0208385229432318
"805",33,4,0.104192614716159
"806",33,5,2.7328234374124
"807",33,6,1.37236558240426
"808",33,7,0
"809",33,8,0.366162617431073
"810",33,9,0.907964213955099
"811",33,10,0.00297693184903311
"812",33,11,0
"813",33,12,0
"814",33,13,0
"815",33,14,0
"816",33,15,0
"817",33,16,0
"818",33,17,0.0744232962258278
"819",33,18,0
"820",33,19,0
"821",33,20,0
"822",33,21,0
"823",33,22,0
"824",33,23,0
"825",33,24,0
"826",34,0,0
"827",34,1,0.0322350396929885
"828",34,2,0.57620133451217
"829",34,3,1.83739726250035
"830",34,4,0.660818313706265
"831",34,5,2.92532985213871
"832",34,6,1.21284336844869
"833",34,7,0
"834",34,8,0
"835",34,9,0
"836",34,10,0.0362644196546121
"837",34,11,0.213557137966049
"838",34,12,0.201468998081178
"839",34,13,0
"840",34,14,0.149087058580072
"841",34,15,0.0483525595394828
"842",34,16,0
"843",34,17,0
"844",34,18,0
"845",34,19,0
"846",34,20,0
"847",34,21,0
"848",34,22,0
"849",34,23,0
"850",34,24,0
"851",35,0,0
"852",35,1,0
"853",35,2,0
"854",35,3,0.126626881285906
"855",35,4,0.199542734911182
"856",35,5,0.222521328025449
"857",35,6,0.214846153844994
"858",35,7,0.0246686804579453
"859",35,8,0.0523296670343976
"860",35,9,0.0425745985668986
"861",35,10,0.0482560029783415
"862",35,11,1.46267734788745
"863",35,12,0.115216028602694
"864",35,13,0
"865",35,14,2.70627467647401
"866",35,15,2.78446589993073
"867",35,16,0
"868",35,17,0
"869",35,18,0
"870",35,19,0
"871",35,20,0
"872",35,21,0
"873",35,22,0
"874",35,23,0
"875",35,24,0
"876",36,0,0
"877",36,1,0
"878",36,2,0.0798525560947123
"879",36,3,0.0395993614147043
"880",36,4,0.00543436182900663
"881",36,5,0.33322653890731
"882",36,6,0.127815290714513
"883",36,7,0.208622577929757
"884",36,8,0.106867941942685
"885",36,9,1.92268459706042
"886",36,10,0.966842115368973
"887",36,11,2.74627900685747
"888",36,12,0
"889",36,13,1.46277565188045
"890",36,14,0
"891",36,15,0
"892",36,16,0
"893",36,17,0
"894",36,18,0
"895",36,19,0
"896",36,20,0
"897",36,21,0
"898",36,22,0
"899",36,23,0
"900",36,24,0
"901",37,0,0
"902",37,1,0
"903",37,2,0.246040466432691
"904",37,3,0.425980509047645
"905",37,4,0.194629025685562
"906",37,5,0.033050211908869
"907",37,6,1.08331250145737
"908",37,7,1.54968771394919
"909",37,8,1.35505868826363
"910",37,9,1.38076440863719
"911",37,10,0.771171611206943
"912",37,11,0.0771171611206943
"913",37,12,0.0110167373029563
"914",37,13,0
"915",37,14,0
"916",37,15,0
"917",37,16,0
"918",37,17,0
"919",37,18,0
"920",37,19,0
"921",37,20,0
"922",37,21,0
"923",37,22,0
"924",37,23,0
"925",37,24,0
"926",38,0,0
"927",38,1,0
"928",38,2,1.16604112096581
"929",38,3,0.269772419955762
"930",38,4,0.167214309889935
"931",38,5,0.980990618020953
"932",38,6,0.684463908482801
"933",38,7,0.276460992351359
"934",38,8,0.158296213362472
"935",38,9,0
