"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0.0720740837699204
"4",1,3,0.1419623456943
"5",1,4,0
"6",1,5,0
"7",1,6,0.973160796340637
"8",1,7,1.76353875134898
"9",1,8,0.0627417376944284
"10",1,9,0
"11",1,10,0.225742145999617
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0.0710057767406471
"17",1,16,0.916854532176714
"18",1,17,3.77291983023476
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",2,0,0
"26",2,1,0
"27",2,2,0
"28",2,3,0
"29",2,4,0
"30",2,5,0
"31",2,6,0.43404407368868
"32",2,7,1.38942552544834
"33",2,8,0.375952570881361
"34",2,9,0
"35",2,10,5.80057782998162
"36",2,11,0
"37",2,12,0
"38",2,13,0
"39",2,14,0
"40",2,15,0
"41",2,16,0
"42",2,17,0
"43",2,18,0
"44",2,19,0
"45",2,20,0
"46",2,21,0
"47",2,22,0
"48",2,23,0
"49",3,0,0
"50",3,1,0
"51",3,2,0
"52",3,3,0
"53",3,4,0
"54",3,5,0.0913195327011046
"55",3,6,2.3637709810709
"56",3,7,3.54038803702744
"57",3,8,0.540892616768081
"58",3,9,0
"59",3,10,0.165077616805843
"60",3,11,0.0526843457890988
"61",3,12,0.056196635508372
"62",3,13,0.0175614485963663
"63",3,14,0
"64",3,15,0
"65",3,16,0.0632212149469186
"66",3,17,0
"67",3,18,0
"68",3,19,0
"69",3,20,0
"70",3,21,0
"71",3,22,0
"72",3,23,0.0175614485963663
"73",4,0,0
"74",4,1,0.22823056007324
"75",4,2,0.0240242694813937
"76",4,3,0.00600606737034843
"77",4,4,0.132133482147665
"78",4,5,1.54656234786472
"79",4,6,2.02104167012225
"80",4,7,1.14415583405138
"81",4,8,0
"82",4,9,0.084084943184878
"83",4,10,0
"84",4,11,0.372376176961603
"85",4,12,0
"86",4,13,0
"87",4,14,0
"88",4,15,0
"89",4,16,0.168169886369756
"90",4,17,0
"91",4,18,0
"92",4,19,0
"93",4,20,0
"94",4,21,0.00900910105552265
"95",4,22,0.0210212357962195
"96",4,23,0
"97",5,0,0
"98",5,1,0
"99",5,2,0
"100",5,3,0
"101",5,4,0.0190596649987325
"102",5,5,0.968230981935611
"103",5,6,1.29224528691406
"104",5,7,2.55018317683041
"105",5,8,0
"106",5,9,0.728079202951582
"107",5,10,0
"108",5,11,0.030495463997972
"109",5,12,0.243963711983776
"110",5,13,0.975854847935104
"111",5,14,0.07623865999493
"112",5,15,0.266835309982255
"113",5,16,0.068614793995437
"114",5,17,0.053367061996451
"115",5,18,0.179160850988086
"116",5,19,0.07623865999493
"117",5,20,0
"118",5,21,0
"119",5,22,0
"120",5,23,0.038119329997465
"121",6,0,0
"122",6,1,0
"123",6,2,1.4173276623272
"124",6,3,0
"125",6,4,0
"126",6,5,0
"127",6,6,0
"128",6,7,0
"129",6,8,0
"130",6,9,0
"131",6,10,0
"132",6,11,0.0205409806134377
"133",6,12,0.0479289547646881
"134",6,13,1.87835856053992
"135",6,14,0.394843294013859
"136",6,15,0.0251056429719795
"137",6,16,0
"138",6,17,0
"139",6,18,0.0684699353781258
"140",6,19,0.0684699353781258
"141",6,20,0.0296703053305212
"142",6,21,0.0616229418403132
"143",6,22,0
"144",6,23,0
"145",7,0,0
"146",7,1,0
"147",7,2,1.35707972199324
"148",7,3,0.169036957146044
"149",7,4,0
"150",7,5,0
"151",7,6,0
"152",7,7,0
"153",7,8,0
"154",7,9,0
"155",7,10,0
"156",7,11,0
"157",7,12,0
"158",7,13,0.0685715958233953
"159",7,14,0
"160",7,15,0
"161",7,16,0
"162",7,17,0
"163",7,18,0.454486158364364
"164",7,19,0.0510300247988058
"165",7,20,0.00956812964977609
"166",7,21,0.00318937654992536
"167",7,22,0
"168",7,23,0
"169",8,0,0
"170",8,1,0.133248757527607
"171",8,2,2.91579634119234
"172",8,3,1.54934339635041
"173",8,4,0
"174",8,5,0
"175",8,6,0
"176",8,7,0
"177",8,8,0
"178",8,9,0
"179",8,10,0.114959712376759
"180",8,11,0.12018515384843
"181",8,12,0
"182",8,13,0
"183",8,14,0
"184",8,15,0
"185",8,16,0
"186",8,17,0
"187",8,18,0
"188",8,19,0
"189",8,20,0
"190",8,21,0
"191",8,22,0
"192",8,23,0
"193",9,0,0
"194",9,1,0
"195",9,2,0.00754607518479002
"196",9,3,4.76911951678729
"197",9,4,2.28268774339898
"198",9,5,0.0226382255543701
"199",9,6,0
"200",9,7,0
"201",9,8,0
"202",9,9,0
"203",9,10,0
"204",9,11,0
"205",9,12,0
"206",9,13,0
"207",9,14,0.399941984793871
"208",9,15,0
"209",9,16,0
"210",9,17,0
"211",9,18,0
"212",9,19,0
"213",9,20,0
"214",9,21,0
"215",9,22,0
"216",9,23,0
"217",10,0,0
"218",10,1,0
"219",10,2,0
"220",10,3,1.37413391718057
"221",10,4,3.17155015706408
"222",10,5,1.07660938600531
"223",10,6,0
"224",10,7,0
"225",10,8,0
"226",10,9,0
"227",10,10,0
"228",10,11,0
"229",10,12,0
"230",10,13,0
"231",10,14,0.122690528319694
"232",10,15,0
"233",10,16,0.0490762113278775
"234",10,17,0
"235",10,18,0
"236",10,19,0
"237",10,20,0
"238",10,21,0
"239",10,22,0.107354212279732
"240",10,23,0
"241",11,0,0
"242",11,1,0
"243",11,2,0
"244",11,3,4.79968279206855
"245",11,4,0.517796969742443
"246",11,5,0.0912181190219848
"247",11,6,0
"248",11,7,0
"249",11,8,0
"250",11,9,0
"251",11,10,0
"252",11,11,0
"253",11,12,0
"254",11,13,0
"255",11,14,0
"256",11,15,0
"257",11,16,0
"258",11,17,0
"259",11,18,0
"260",11,19,0
"261",11,20,0
"262",11,21,0
"263",11,22,0
"264",11,23,0
"265",12,0,0
"266",12,1,0
"267",12,2,0
"268",12,3,0.541131616026435
"269",12,4,0.116651126808094
"270",12,5,0
"271",12,6,3.9855801659432
"272",12,7,0
"273",12,8,0
"274",12,9,0.583255634040469
"275",12,10,0.00648061815600521
"276",12,11,0.191178235602154
"277",12,12,0
"278",12,13,0.113410817730091
"279",12,14,0
"280",12,15,0.0680464906380547
"281",12,16,0.123131744964099
"282",12,17,0.910526850918732
"283",12,18,0
"284",12,19,0
"285",12,20,0
"286",12,21,0
"287",12,22,0.119891435886096
"288",12,23,0
"289",13,0,0
"290",13,1,0
"291",13,2,0
"292",13,3,0.747307310367008
"293",13,4,0
"294",13,5,0
"295",13,6,0.0949755110165428
"296",13,7,0.0674825999328067
"297",13,8,0.0174954888714684
"298",13,9,1.47461977630948
"299",13,10,0.087477444357342
"300",13,11,1.45712428743801
"301",13,12,0.0374903332960037
"302",13,13,0.329914933004833
"303",13,14,0
"304",13,15,0.0974748665696097
"305",13,16,0.292424599708829
"306",13,17,0.0574851777205391
"307",13,18,0
"308",13,19,0.0724813110389405
"309",13,20,0
"310",13,21,0.0399896888490706
"311",13,22,0.0549858221674721
"312",13,23,0.0124967777653346
"313",14,0,0
"314",14,1,0
"315",14,2,1.11647617719271
"316",14,3,1.0723815414426
"317",14,4,0
"318",14,5,0
"319",14,6,0.0123464980100299
"320",14,7,0
"321",14,8,0.038803279460094
"322",14,9,0.116409838380282
"323",14,10,0.0564411337601368
"324",14,11,0.335119231700812
"325",14,12,0
"326",14,13,0
"327",14,14,0.019401639730047
"328",14,15,0
"329",14,16,0
"330",14,17,0.0458584211801111
"331",14,18,0
"332",14,19,0.00881892715002137
"333",14,20,0.0934806277902265
"334",14,21,0
"335",14,22,0.0123464980100299
"336",14,23,0
"337",15,0,0
"338",15,1,0.0303751481340464
"339",15,2,0
"340",15,3,0
"341",15,4,0
"342",15,5,0
"343",15,6,0
"344",15,7,0
"345",15,8,0
"346",15,9,0
"347",15,10,0.393278233735548
"348",15,11,0.503587982222348
"349",15,12,0
"350",15,13,0.0479607602116522
"351",15,14,0.615496422716204
"352",15,15,0.0911254444021393
"353",15,16,0.151875740670232
"354",15,17,0.0895267523950842
"355",15,18,0
"356",15,19,0.222218188980655
"357",15,20,0.00159869200705507
"358",15,21,0.0959215204233045
"359",15,22,0.185448272818389
"360",15,23,0
"361",16,0,0
"362",16,1,0.173698121759614
"363",16,2,0.155487834800945
"364",16,3,0.140079130451301
"365",16,4,0
"366",16,5,0.182102869586692
"367",16,6,0.00140079130451301
"368",16,7,0
"369",16,8,0
"370",16,9,0.170896539150588
"371",16,10,0.00560316521805206
"372",16,11,0
"373",16,12,0.784443130527288
"374",16,13,0
"375",16,14,0.0490276956579555
"376",16,15,0
"377",16,16,0.0154087043496432
"378",16,17,0.0616348173985726
"379",16,18,0
"380",16,19,0
"381",16,20,0
"382",16,21,0
"383",16,22,0.0476269043534425
"384",16,23,0
"385",17,0,0
"386",17,1,0
"387",17,2,0
"388",17,3,0
"389",17,4,0
"390",17,5,0.0284523214722374
"391",17,6,0
"392",17,7,0
"393",17,8,0.329887908657933
"394",17,9,0.213295302335586
"395",17,10,0.0180301536519981
"396",17,11,0.0460334044085645
"397",17,12,0.200974811403716
"398",17,13,2.28285961974444
"399",17,14,4.88046647832553
"400",17,15,0
"401",17,16,0
"402",17,17,0
"403",17,18,0
"404",17,19,0
"405",17,20,0
"406",17,21,0
"407",17,22,0
"408",17,23,0
"409",18,0,0
"410",18,1,0
"411",18,2,0
"412",18,3,1.87167553314639
"413",18,4,0
"414",18,5,0
"415",18,6,0
"416",18,7,0
"417",18,8,0
"418",18,9,0
"419",18,10,1.50625316715114
"420",18,11,1.25966734294297
"421",18,12,0.359480538905894
"422",18,13,0.34462597118251
"423",18,14,0.721931991356464
"424",18,15,0
"425",18,16,0
"426",18,17,0.0505055302595057
"427",18,18,0
"428",18,19,0
"429",18,20,0
"430",18,21,0
"431",18,22,0
"432",18,23,0
"433",19,0,0
"434",19,1,0
"435",19,2,2.14433108694994
"436",19,3,0.781289701405088
"437",19,4,0
"438",19,5,0
"439",19,6,0
"440",19,7,0.00281039460937082
"441",19,8,0
"442",19,9,0.00281039460937082
"443",19,10,2.50687199155877
"444",19,11,0
"445",19,12,0
"446",19,13,0
"447",19,14,0
"448",19,15,0.0955534167186079
"449",19,16,0
"450",19,17,0.00281039460937082
"451",19,18,0
"452",19,19,0
"453",19,20,0.0140519730468541
"454",19,21,0.115226178984204
"455",19,22,0.0562078921874164
"456",19,23,0
"457",20,0,0
"458",20,1,0
"459",20,2,5.98832443855984
"460",20,3,0.678898149534818
"461",20,4,0
"462",20,5,0
"463",20,6,0
"464",20,7,0
"465",20,8,0.642001510973143
"466",20,9,0
"467",20,10,0
"468",20,11,0.498104620582611
"469",20,12,0
"470",20,13,0
"471",20,14,0
"472",20,15,0
"473",20,16,0
"474",20,17,0
"475",20,18,0
"476",20,19,0
"477",20,20,0
"478",20,21,0
"479",20,22,0
"480",20,23,0
"481",21,0,0
"482",21,1,0
"483",21,2,0.912430419660351
"484",21,3,0.366913509182567
"485",21,4,0
"486",21,5,0.184427425250497
"487",21,6,1.30264002466403
"488",21,7,2.09276594126353
"489",21,8,0.526103497293522
"490",21,9,0
"491",21,10,0
"492",21,11,0.112597796468724
"493",21,12,0
"494",21,13,0.116480479105577
"495",21,14,0.0873603593291826
"496",21,15,0.0330028024132468
"497",21,16,0.0155307305474102
"498",21,17,0
"499",21,18,0.0174720718658365
"500",21,19,0.124245844379282
"501",21,20,0.0097067065921314
"502",21,21,0
"503",21,22,0
"504",21,23,0
"505",22,0,0
"506",22,1,0
"507",22,2,0
"508",22,3,0.0183006472905359
"509",22,4,0.391176335835204
"510",22,5,2.33790769136596
"511",22,6,1.35196031858834
"512",22,7,0.953921240019182
"513",22,8,1.42287532683916
"514",22,9,0.576470389651879
"515",22,10,0
"516",22,11,0
"517",22,12,0
"518",22,13,0
"519",22,14,0.0183006472905359
"520",22,15,0.00228758091131698
"521",22,16,0
"522",22,17,0.0114379045565849
"523",22,18,0
"524",22,19,0
"525",22,20,0.0205882282018528
"526",22,21,0.0251633900244868
"527",22,22,0
"528",22,23,0
"529",23,0,0
"530",23,1,0
"531",23,2,0
"532",23,3,0
"533",23,4,0.158163564318212
"534",23,5,3.15658831885784
"535",23,6,0
"536",23,7,0
"537",23,8,0.171529499331019
"538",23,9,2.10513476451705
"539",23,10,0
"540",23,11,0.0222765583546778
"541",23,12,0
"542",23,13,0
"543",23,14,0
"544",23,15,0.0445531167093556
"545",23,16,0.0378701492029522
"546",23,17,0.354197277839377
"547",23,18,0.10024451259605
"548",23,19,0.0935615450896467
"549",23,20,0.211627304369439
"550",23,21,0.398750394548732
"551",23,22,0.0155935908482744
"552",23,23,0.0512360842157589
"553",24,0,0
"554",24,1,0
"555",24,2,0
"556",24,3,0
"557",24,4,0
"558",24,5,0.1316266293124
"559",24,6,0.235298198615627
"560",24,7,0.381252094002033
"561",24,8,0.407387622929156
"562",24,9,0.345333077825565
"563",24,10,0.293843006835349
"564",24,11,2.04429330971475
"565",24,12,0.472822696883002
"566",24,13,0
"567",24,14,0
"568",24,15,0
"569",24,16,0
"570",24,17,0
"571",24,18,3.68814336388212
"572",24,19,0
"573",24,20,0
"574",24,21,0
"575",24,22,0
"576",24,23,0
"577",25,0,0
"578",25,1,0
"579",25,2,0.0944707163494524
"580",25,3,0
"581",25,4,0
"582",25,5,0.0601177285860152
"583",25,6,1.20063692233213
"584",25,7,0.049811832256984
"585",25,8,3.1192512889201
"586",25,9,0.121953106560202
"587",25,10,0.0171764938817186
"588",25,11,0.290282746601045
"589",25,12,0.0137411951053749
"590",25,13,0.012023545717203
"591",25,14,0
"592",25,15,0
"593",25,16,0
"594",25,17,0
"595",25,18,0
"596",25,19,0
"597",25,20,0.049811832256984
"598",25,21,0.012023545717203
"599",25,22,0.0326353383752654
"600",25,23,0
"601",26,0,0
"602",26,1,0
"603",26,2,2.83426759441751
"604",26,3,0
"605",26,4,0
"606",26,5,0
"607",26,6,0.716222483343199
"608",26,7,0
"609",26,8,0.940786302348668
"610",26,9,0
"611",26,10,0
"612",26,11,0
"613",26,12,0
"614",26,13,0
"615",26,14,0
"616",26,15,0.0629459189636541
"617",26,16,0
"618",26,17,0
"619",26,18,0
"620",26,19,0.00340248210614346
"621",26,20,0.26539360427919
"622",26,21,0.0901657758128018
"623",26,22,0.0986719810781605
"624",26,23,0
"625",27,0,0
"626",27,1,0
"627",27,2,0
"628",27,3,2.94845653989055
"629",27,4,1.27925611008746
"630",27,5,0
"631",27,6,0.131307781128729
"632",27,7,0
"633",27,8,1.31506732312257
"634",27,9,0
"635",27,10,0
"636",27,11,0
"637",27,12,0
"638",27,13,0
"639",27,14,0
"640",27,15,0
"641",27,16,0.0497377958820943
"642",27,17,0
"643",27,18,0.0795804734113508
"644",27,19,0
"645",27,20,0.0974860799289047
"646",27,21,0.0119370710117026
"647",27,22,0.0477482840468105
"648",27,23,0.115391686446459
"649",28,0,0
"650",28,1,0
"651",28,2,0.0190996750833761
"652",28,3,1.08340553219139
"653",28,4,1.17802712680647
"654",28,5,1.155812921349
"655",28,6,0
"656",28,7,0
"657",28,8,0.0202691217832645
"658",28,9,1.99599976854863
"659",28,10,0.614800334410218
"660",28,11,1.93258551982766
"661",28,12,0
"662",28,13,0
"663",28,14,0
"664",28,15,0
"665",28,16,0
"666",28,17,0
"667",28,18,0
"668",28,19,0
"669",28,20,0
"670",28,21,0
"671",28,22,0
"672",28,23,0
"673",29,0,0
"674",29,1,0
"675",29,2,0.49876857928336
"676",29,3,1.19163921651443
"677",29,4,3.00735340415189
"678",29,5,0.572478221541985
"679",29,6,0.592134126144285
"680",29,7,0.712526541833372
"681",29,8,0.117935427613799
"682",29,9,0.0982795230114996
"683",29,10,0.110564463387937
"684",29,11,0.776408231790847
"685",29,12,0.0294838569034499
"686",29,13,0.00737096422586247
"687",29,14,0
"688",29,15,0
"689",29,16,0
"690",29,17,0
"691",29,18,0
"692",29,19,0
"693",29,20,0
"694",29,21,0
"695",29,22,0
"696",29,23,0
"697",30,0,0
"698",30,1,0
"699",30,2,0
"700",30,3,0
"701",30,4,0.140896074059168
"702",30,5,0.563584296236672
"703",30,6,4.40714631652721
"704",30,7,0
"705",30,8,0.406112213464661
"706",30,9,0
"707",30,10,0.0559440294058461
"708",30,11,0.0186480098019487
"709",30,12,0.576016302771304
"710",30,13,0
"711",30,14,0.0145040076237379
"712",30,15,0
"713",30,16,0.0393680206930028
"714",30,17,0.0186480098019487
"715",30,18,0.12639206643543
"716",30,19,0.00207200108910541
"717",30,20,0
"718",30,21,0
"719",30,22,0
"720",30,23,0
