"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0
"5",1,4,0
<<<<<<< HEAD
"6",1,5,1.19662361792733
"7",1,6,1.29569049697142
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,0.258095290141189
"12",1,11,0.693468153308649
"13",1,12,0.789928009220002
"14",1,13,0.839461448742049
"15",1,14,0.351948122919803
"16",1,15,0.153814364831618
"17",1,16,0.0547474857875249
"18",1,17,0.117316040973268
=======
"6",1,5,1.22269384925472
"7",1,6,1.26962026564403
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,0.307628729663235
"12",1,11,0.643934713786602
"13",1,12,1.02716711429928
"14",1,13,0.602222343662774
"15",1,14,0.370197284848978
"16",1,15,0.14338627230066
"17",1,16,0.065175578318482
"18",1,17,0.0990668790440927
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",1,24,0
"26",1,25,0
"27",1,26,0
"28",1,27,0
"29",1,28,0
"30",1,29,0
"31",1,30,0
"32",1,31,0
"33",1,32,0
"34",1,33,0
"35",1,34,0
"36",1,35,0
"37",1,36,0
"38",1,37,0
"39",1,38,0
"40",1,39,0
"41",1,40,0
"42",1,41,0
"43",1,42,0
"44",1,43,0
"45",1,44,0
"46",1,45,0
"47",1,46,0
"48",1,47,0
"49",1,48,0
"50",1,49,0
"51",1,50,0
"52",1,51,0
"53",1,52,0
"54",1,53,0
"55",1,54,0
"56",1,55,0
"57",1,56,0
"58",1,57,0
"59",1,58,0
"60",1,59,0
"61",1,60,0
"62",1,61,0
"63",1,62,0
"64",1,63,0
"65",1,64,0
"66",1,65,0
"67",1,66,0
"68",2,0,0
"69",2,1,0
"70",2,2,0
"71",2,3,0
"72",2,4,0
<<<<<<< HEAD
"73",2,5,0.155826134441136
"74",2,6,0.343847751204821
=======
"73",2,5,0.16484086949145
"74",2,6,0.334833016154508
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"75",2,7,0
"76",2,8,0
"77",2,9,0
"78",2,10,0
"79",2,11,0
"80",2,12,0
"81",2,13,0
<<<<<<< HEAD
"82",2,14,0.594972513320702
"83",2,15,0.16484086949145
"84",2,16,0.503537343524664
=======
"82",2,14,0.61300198342133
"83",2,15,0.176431243127568
"84",2,16,0.473917499787919
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"85",2,17,0
"86",2,18,0
"87",2,19,0
"88",2,20,0
"89",2,21,0
"90",2,22,0
"91",2,23,0
"92",2,24,0
"93",2,25,0
"94",2,26,0
"95",2,27,0
"96",2,28,0
"97",2,29,0
"98",2,30,0
"99",2,31,0
"100",2,32,0
"101",2,33,0
"102",2,34,0
"103",2,35,0
"104",2,36,0
"105",2,37,0
"106",2,38,0
"107",2,39,0
"108",2,40,0
"109",2,41,0
"110",2,42,0
"111",2,43,0
"112",2,44,0
"113",2,45,0
"114",2,46,0
"115",2,47,0
"116",2,48,0
"117",2,49,0
"118",2,50,0
"119",2,51,0
"120",2,52,0
"121",2,53,0
"122",2,54,0
"123",2,55,0
"124",2,56,0
"125",2,57,0
"126",2,58,0
"127",2,59,0
"128",2,60,0
"129",2,61,0
"130",2,62,0
"131",2,63,0
"132",2,64,0
"133",2,65,0
"134",2,66,0
"135",3,0,0
"136",3,1,0
"137",3,2,0
"138",3,3,0
"139",3,4,0
<<<<<<< HEAD
"140",3,5,0.375978826001634
"141",3,6,2.28190225934838
=======
"140",3,5,0.642056149018174
"141",3,6,2.01582493633184
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"142",3,7,0
"143",3,8,0
"144",3,9,0
"145",3,10,0
"146",3,11,0.462743170463549
"147",3,12,0
<<<<<<< HEAD
"148",3,13,0.104117213354299
"149",3,14,2.89214481539718
"150",3,15,0.159067964846845
"151",3,16,0.219803005970186
=======
"148",3,13,0.109901502985093
"149",3,14,2.89503696021258
"150",3,15,0.156175820031448
"151",3,16,0.214018716339391
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"152",3,17,0
"153",3,18,0
"154",3,19,0
"155",3,20,0
"156",3,21,0
"157",3,22,0
"158",3,23,0
"159",3,24,0
"160",3,25,0
"161",3,26,0
"162",3,27,0
"163",3,28,0
"164",3,29,0
"165",3,30,0
"166",3,31,0
"167",3,32,0
"168",3,33,0
"169",3,34,0
"170",3,35,0
"171",3,36,0
"172",3,37,0
"173",3,38,0
"174",3,39,0
"175",3,40,0
"176",3,41,0
"177",3,42,0
"178",3,43,0
"179",3,44,0
"180",3,45,0
"181",3,46,0
"182",3,47,0
"183",3,48,0
"184",3,49,0
"185",3,50,0
"186",3,51,0
"187",3,52,0
"188",3,53,0
"189",3,54,0
"190",3,55,0
"191",3,56,0
"192",3,57,0
"193",3,58,0
"194",3,59,0
"195",3,60,0
"196",3,61,0
"197",3,62,0
"198",3,63,0
"199",3,64,0
"200",3,65,0
"201",3,66,0
"202",4,0,0
"203",4,1,0
"204",4,2,0
"205",4,3,0
"206",4,4,0
"207",4,5,0
"208",4,6,0
"209",4,7,0
"210",4,8,0
"211",4,9,0
"212",4,10,0
<<<<<<< HEAD
"213",4,11,0.0480958932281559
"214",4,12,0.0203482625196044
=======
"213",4,11,0.0656693926769052
"214",4,12,0.00277476307085515
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"215",4,13,0
"216",4,14,0
"217",4,15,0
"218",4,16,0.24602899228249
"219",4,17,0
"220",4,18,0
"221",4,19,0
"222",4,20,0
"223",4,21,0
"224",4,22,0
"225",4,23,0
"226",4,24,0
"227",4,25,0
"228",4,26,0
"229",4,27,0
"230",4,28,0
"231",4,29,0
"232",4,30,0
"233",4,31,0
"234",4,32,0
"235",4,33,0
"236",4,34,0
"237",4,35,0
"238",4,36,0
"239",4,37,0
"240",4,38,0
"241",4,39,0
"242",4,40,0
"243",4,41,0
"244",4,42,0
"245",4,43,0
"246",4,44,0
"247",4,45,0
"248",4,46,0
"249",4,47,0
"250",4,48,0
"251",4,49,0
"252",4,50,0
"253",4,51,0
"254",4,52,0
"255",4,53,0
"256",4,54,0
"257",4,55,0
"258",4,56,0
"259",4,57,0
"260",4,58,0
"261",4,59,0
"262",4,60,0
"263",4,61,0
"264",4,62,0
"265",4,63,0
"266",4,64,0
"267",4,65,0
"268",4,66,0
"269",5,0,0
"270",5,1,0
"271",5,2,0
"272",5,3,0
"273",5,4,0
"274",5,5,0
"275",5,6,0
"276",5,7,0
"277",5,8,0
"278",5,9,0
"279",5,10,0
"280",5,11,0
"281",5,12,0
"282",5,13,0
"283",5,14,0
"284",5,15,0
"285",5,16,0
"286",5,17,0
"287",5,18,0
"288",5,19,0
"289",5,20,0
"290",5,21,0
"291",5,22,0
"292",5,23,0
"293",5,24,0
"294",5,25,0
"295",5,26,0
"296",5,27,0
"297",5,28,0
"298",5,29,0
"299",5,30,0
"300",5,31,0
"301",5,32,0
"302",5,33,0
"303",5,34,0
"304",5,35,0
"305",5,36,0
"306",5,37,0
"307",5,38,0
"308",5,39,0
"309",5,40,0
"310",5,41,0
"311",5,42,0
"312",5,43,0
"313",5,44,0
"314",5,45,0
"315",5,46,0
"316",5,47,0
"317",5,48,0
"318",5,49,0
"319",5,50,0
"320",5,51,0
"321",5,52,0
"322",5,53,0
"323",5,54,0
"324",5,55,0
"325",5,56,0
"326",5,57,0
"327",5,58,0
"328",5,59,0
"329",5,60,0
"330",5,61,0
"331",5,62,0
"332",5,63,0
"333",5,64,0
"334",5,65,0
"335",5,66,0
"336",6,0,0
"337",6,1,0
"338",6,2,0
"339",6,3,0
"340",6,4,0
"341",6,5,0
"342",6,6,0
"343",6,7,0
<<<<<<< HEAD
"344",6,8,0.0103768614427604
"345",6,9,0.706664264251983
=======
"344",6,8,0.0145276060198646
"345",6,9,0.702513519674879
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"346",6,10,0
"347",6,11,0
"348",6,12,0
"349",6,13,0.0134899198755885
"350",6,14,0.0664119132336665
"351",6,15,0
"352",6,16,0
"353",6,17,0
"354",6,18,0
"355",6,19,0
"356",6,20,0
"357",6,21,0
"358",6,22,0
"359",6,23,0
"360",6,24,0
"361",6,25,0
"362",6,26,0
"363",6,27,0
"364",6,28,0
"365",6,29,0
"366",6,30,0
"367",6,31,0
"368",6,32,0
"369",6,33,0
"370",6,34,0
"371",6,35,0
"372",6,36,0
"373",6,37,0
"374",6,38,0
"375",6,39,0
"376",6,40,0
"377",6,41,0
"378",6,42,0
"379",6,43,0
"380",6,44,0
"381",6,45,0
"382",6,46,0
"383",6,47,0
"384",6,48,0
"385",6,49,0
"386",6,50,0
"387",6,51,0
"388",6,52,0
"389",6,53,0
"390",6,54,0
"391",6,55,0
"392",6,56,0
"393",6,57,0
"394",6,58,0
"395",6,59,0
"396",6,60,0
"397",6,61,0
"398",6,62,0
"399",6,63,0
"400",6,64,0
"401",6,65,0
"402",6,66,0
"403",7,0,0
"404",7,1,0
"405",7,2,0
"406",7,3,0
"407",7,4,0
"408",7,5,0
"409",7,6,0
"410",7,7,0
<<<<<<< HEAD
"411",7,8,0.162864682340624
"412",7,9,6.78707243523331
=======
"411",7,8,0.325729364681248
"412",7,9,6.62420775289269
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"413",7,10,0
"414",7,11,0
"415",7,12,0
"416",7,13,0.0250561049754806
"417",7,14,0.128412537999338
"418",7,15,0.00626402624387015
"419",7,16,0
"420",7,17,0
"421",7,18,0
"422",7,19,0
"423",7,20,0
"424",7,21,0
"425",7,22,0
"426",7,23,0
"427",7,24,0
"428",7,25,0
"429",7,26,0
"430",7,27,0
"431",7,28,0
"432",7,29,0
"433",7,30,0
"434",7,31,0
"435",7,32,0
"436",7,33,0
"437",7,34,0
"438",7,35,0
"439",7,36,0
"440",7,37,0
"441",7,38,0
"442",7,39,0
"443",7,40,0
"444",7,41,0
"445",7,42,0
"446",7,43,0
"447",7,44,0
"448",7,45,0
"449",7,46,0
"450",7,47,0
"451",7,48,0
"452",7,49,0
"453",7,50,0
"454",7,51,0
"455",7,52,0
"456",7,53,0
"457",7,54,0
"458",7,55,0
"459",7,56,0
"460",7,57,0
"461",7,58,0
"462",7,59,0
"463",7,60,0
"464",7,61,0
"465",7,62,0
"466",7,63,0
"467",7,64,0
"468",7,65,0
"469",7,66,0
"470",8,0,0
"471",8,1,0
"472",8,2,0
"473",8,3,0
"474",8,4,0
"475",8,5,0
"476",8,6,0.558730294500624
"477",8,7,0
<<<<<<< HEAD
"478",8,8,0.154600130031726
"479",8,9,4.39389843248063
"480",8,10,0.572291709415688
=======
"478",8,8,0.173586110912815
"479",8,9,4.64885303288383
"480",8,10,0.298351128131401
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"481",8,11,0.0135614149150637
"482",8,12,0
"483",8,13,0.0895053384394203
"484",8,14,0.244105468471146
"485",8,15,0
"486",8,16,0
"487",8,17,0
"488",8,18,0
"489",8,19,0
"490",8,20,0
"491",8,21,0
"492",8,22,0
"493",8,23,0
"494",8,24,0
"495",8,25,0
"496",8,26,0
"497",8,27,0
"498",8,28,0
"499",8,29,0
"500",8,30,0
"501",8,31,0
"502",8,32,0
"503",8,33,0
"504",8,34,0
"505",8,35,0
"506",8,36,0
"507",8,37,0
"508",8,38,0
"509",8,39,0
"510",8,40,0
"511",8,41,0
"512",8,42,0
"513",8,43,0
"514",8,44,0
"515",8,45,0
"516",8,46,0
"517",8,47,0
"518",8,48,0
"519",8,49,0
"520",8,50,0
"521",8,51,0
"522",8,52,0
"523",8,53,0
"524",8,54,0
"525",8,55,0
"526",8,56,0
"527",8,57,0
"528",8,58,0
"529",8,59,0
"530",8,60,0
"531",8,61,0
"532",8,62,0
"533",8,63,0
"534",8,64,0
"535",8,65,0
"536",8,66,0
"537",9,0,0
"538",9,1,0
"539",9,2,0
<<<<<<< HEAD
"540",9,3,0.00496691513142325
"541",9,4,0.818275459027279
"542",9,5,0
"543",9,6,0.291097228711916
"544",9,7,0
"545",9,8,0.0473989739702743
"546",9,9,1.20301240058031
"547",9,10,0.927479939506264
"548",9,11,1.61080003575091
"549",9,12,0
"550",9,13,0.368728297613515
"551",9,14,0.159359996306426
"552",9,15,2.56888075340168
=======
"540",9,3,0.00677899914542495
"541",9,4,0.816463375013277
"542",9,5,0
"543",9,6,0.291097228711916
"544",9,7,0
"545",9,8,0.0487856860028763
"546",9,9,1.51542752885281
"547",9,10,0.613678099201164
"548",9,11,1.61080003575091
"549",9,12,0.0530266828099909
"550",9,13,0.315701614803525
"551",9,14,0.24931180664695
"552",9,15,2.47892894306116
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"553",9,16,0
"554",9,17,0
"555",9,18,0
"556",9,19,0
"557",9,20,0
"558",9,21,0
"559",9,22,0
"560",9,23,0
"561",9,24,0
"562",9,25,0
"563",9,26,0
"564",9,27,0
"565",9,28,0
"566",9,29,0
"567",9,30,0
"568",9,31,0
"569",9,32,0
"570",9,33,0
"571",9,34,0
"572",9,35,0
"573",9,36,0
"574",9,37,0
"575",9,38,0
"576",9,39,0
"577",9,40,0
"578",9,41,0
"579",9,42,0
"580",9,43,0
"581",9,44,0
"582",9,45,0
"583",9,46,0
"584",9,47,0
"585",9,48,0
"586",9,49,0
"587",9,50,0
"588",9,51,0
"589",9,52,0
"590",9,53,0
"591",9,54,0
"592",9,55,0
"593",9,56,0
"594",9,57,0
"595",9,58,0
"596",9,59,0
"597",9,60,0
"598",9,61,0
"599",9,62,0
"600",9,63,0
"601",9,64,0
"602",9,65,0
"603",9,66,0
"604",10,0,0
"605",10,1,0
"606",10,2,0
<<<<<<< HEAD
"607",10,3,0.802476810396088
"608",10,4,0.697174841834115
"609",10,5,0
"610",10,6,0.0512078683465715
"611",10,7,0
"612",10,8,0.736962233059981
"613",10,9,0.0549794891389353
=======
"607",10,3,0.804436609400638
"608",10,4,0.695215042829564
"609",10,5,0
"610",10,6,0.0512078683465715
"611",10,7,0
"612",10,8,0.741089159360154
"613",10,9,0.0508525628387623
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"614",10,10,0.114728878515121
"615",10,11,0.0446311177913046
"616",10,12,0.419167260260605
"617",10,13,0.0546282225033334
"618",10,14,0
"619",10,15,0.0080451274914369
"620",10,16,0.0581402645401967
<<<<<<< HEAD
"621",10,17,0.494466024359539
"622",10,18,4.46339186176277
=======
"621",10,17,0.611073291680881
"622",10,18,4.34678459444143
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"623",10,19,0
"624",10,20,0
"625",10,21,0
"626",10,22,0
"627",10,23,0
"628",10,24,0
"629",10,25,0
"630",10,26,0
"631",10,27,0
"632",10,28,0
"633",10,29,0
"634",10,30,0
"635",10,31,0
"636",10,32,0
"637",10,33,0
"638",10,34,0
"639",10,35,0
"640",10,36,0
"641",10,37,0
"642",10,38,0
"643",10,39,0
"644",10,40,0
"645",10,41,0
"646",10,42,0
"647",10,43,0
"648",10,44,0
"649",10,45,0
"650",10,46,0
"651",10,47,0
"652",10,48,0
"653",10,49,0
"654",10,50,0
"655",10,51,0
"656",10,52,0
"657",10,53,0
"658",10,54,0
"659",10,55,0
"660",10,56,0
"661",10,57,0
"662",10,58,0
"663",10,59,0
"664",10,60,0
"665",10,61,0
"666",10,62,0
"667",10,63,0
"668",10,64,0
"669",10,65,0
"670",10,66,0
"671",11,0,0
"672",11,1,0
"673",11,2,0
"674",11,3,0.623041757485056
"675",11,4,0
"676",11,5,0
"677",11,6,0
<<<<<<< HEAD
"678",11,7,1.94517596833486
"679",11,8,0.846194546387928
=======
"678",11,7,1.97053880632163
"679",11,8,0.820831708401157
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"680",11,9,0.949517726483496
"681",11,10,0
"682",11,11,0
"683",11,12,0.316058662033411
"684",11,13,3.32001133927525
"685",11,14,0
"686",11,15,0
"687",11,16,0
"688",11,17,0
"689",11,18,0
"690",11,19,0
"691",11,20,0
"692",11,21,0
"693",11,22,0
"694",11,23,0
"695",11,24,0
"696",11,25,0
"697",11,26,0
"698",11,27,0
"699",11,28,0
"700",11,29,0
"701",11,30,0
"702",11,31,0
"703",11,32,0
"704",11,33,0
"705",11,34,0
"706",11,35,0
"707",11,36,0
"708",11,37,0
"709",11,38,0
"710",11,39,0
"711",11,40,0
"712",11,41,0
"713",11,42,0
"714",11,43,0
"715",11,44,0
"716",11,45,0
"717",11,46,0
"718",11,47,0
"719",11,48,0
"720",11,49,0
"721",11,50,0
"722",11,51,0
"723",11,52,0
"724",11,53,0
"725",11,54,0
"726",11,55,0
"727",11,56,0
"728",11,57,0
"729",11,58,0
"730",11,59,0
"731",11,60,0
"732",11,61,0
"733",11,62,0
"734",11,63,0
"735",11,64,0
"736",11,65,0
"737",11,66,0
"738",12,0,0
"739",12,1,0
"740",12,2,0
"741",12,3,0
"742",12,4,0
"743",12,5,0.158706767861089
"744",12,6,0
<<<<<<< HEAD
"745",12,7,1.37961212624511
"746",12,8,2.58252669843462
"747",12,9,0.209467364895541
"748",12,10,1.23159974533639
"749",12,11,0.540886618345388
=======
"745",12,7,1.4182076649261
"746",12,8,2.54393115975363
"747",12,9,0.350856794163315
"748",12,10,1.32648538775768
"749",12,11,0.304611546656318
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"750",12,12,0
"751",12,13,0
"752",12,14,0
"753",12,15,1.89720067888187
"754",12,16,0
"755",12,17,0
"756",12,18,0
"757",12,19,0
"758",12,20,0
"759",12,21,0
"760",12,22,0
"761",12,23,0
"762",12,24,0
"763",12,25,0
"764",12,26,0
"765",12,27,0
"766",12,28,0
"767",12,29,0
"768",12,30,0
"769",12,31,0
"770",12,32,0
"771",12,33,0
"772",12,34,0
"773",12,35,0
"774",12,36,0
"775",12,37,0
"776",12,38,0
"777",12,39,0
"778",12,40,0
"779",12,41,0
"780",12,42,0
"781",12,43,0
"782",12,44,0
"783",12,45,0
"784",12,46,0
"785",12,47,0
"786",12,48,0
"787",12,49,0
"788",12,50,0
"789",12,51,0
"790",12,52,0
"791",12,53,0
"792",12,54,0
"793",12,55,0
"794",12,56,0
"795",12,57,0
"796",12,58,0
"797",12,59,0
"798",12,60,0
"799",12,61,0
"800",12,62,0
"801",12,63,0
"802",12,64,0
"803",12,65,0
"804",12,66,0
"805",13,0,0
"806",13,1,0
"807",13,2,0
"808",13,3,0
"809",13,4,0
"810",13,5,0
<<<<<<< HEAD
"811",13,6,0.212171958599947
"812",13,7,1.91632877329823
=======
"811",13,6,0.446080133241782
"812",13,7,1.68242059865639
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"813",13,8,0.343936676449677
"814",13,9,0
"815",13,10,0
"816",13,11,0.108385798009435
"817",13,12,0
<<<<<<< HEAD
"818",13,13,0.233109604878334
"819",13,14,0.868575393910336
=======
"818",13,13,0.522034229661499
"819",13,14,0.579650769127171
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"820",13,15,2.25706899858363
"821",13,16,2.06042279627041
"822",13,17,0
"823",13,18,0
"824",13,19,0
"825",13,20,0
"826",13,21,0
"827",13,22,0
"828",13,23,0
"829",13,24,0
"830",13,25,0
"831",13,26,0
"832",13,27,0
"833",13,28,0
"834",13,29,0
"835",13,30,0
"836",13,31,0
"837",13,32,0
"838",13,33,0
"839",13,34,0
"840",13,35,0
"841",13,36,0
"842",13,37,0
"843",13,38,0
"844",13,39,0
"845",13,40,0
"846",13,41,0
"847",13,42,0
"848",13,43,0
"849",13,44,0
"850",13,45,0
"851",13,46,0
"852",13,47,0
"853",13,48,0
"854",13,49,0
"855",13,50,0
"856",13,51,0
"857",13,52,0
"858",13,53,0
"859",13,54,0
"860",13,55,0
"861",13,56,0
"862",13,57,0
"863",13,58,0
"864",13,59,0
"865",13,60,0
"866",13,61,0
"867",13,62,0
"868",13,63,0
"869",13,64,0
"870",13,65,0
"871",13,66,0
"872",14,0,0
"873",14,1,0
"874",14,2,0
"875",14,3,0
"876",14,4,0
"877",14,5,0
"878",14,6,0
"879",14,7,0.891435778976488
"880",14,8,0
"881",14,9,0
"882",14,10,0
"883",14,11,0
"884",14,12,0
<<<<<<< HEAD
"885",14,13,0.633548890753222
"886",14,14,1.27725080860185
"887",14,15,0.140111773916578
=======
"885",14,13,0.818333983889578
"886",14,14,1.09449632088457
"887",14,15,0.138081168497497
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"888",14,16,0.178693276879114
"889",14,17,0
"890",14,18,0
"891",14,19,0
"892",14,20,0
"893",14,21,0
"894",14,22,0
"895",14,23,0
"896",14,24,0
"897",14,25,0
"898",14,26,0
"899",14,27,0
"900",14,28,0
"901",14,29,0
"902",14,30,0
"903",14,31,0
"904",14,32,0
"905",14,33,0
"906",14,34,0
"907",14,35,0
"908",14,36,0
"909",14,37,0
"910",14,38,0
"911",14,39,0
"912",14,40,0
"913",14,41,0
