"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,16.7380364711681,1.11113161556632,19.226,2.74348341790295,5.9855138225001,0.389703289913694,103.008952395747,17,17.2097092163627
"2",2,13.8729561278016,1.86557315343634,18.722,4.19136568459921,8,0.574869992979234,142.970496527411,19,17.8713120659263
"3",3,13.2249096209913,2.18848786855149,18.482,4.00532163051461,6.64218526639732,0.509139701160856,91.373618599113,13,13.7565597667638
"4",4,9.41760518292683,4.05639763677196,17.778,1.59652750380104,5.08408758491983,0.275304254707124,49.7171064897267,12,9.77896341463415
"5",5,4.82768272900763,0.959211030214096,12.23,3.26442268410318,8,0.550123078645214,64.6794343018341,6,8.08492928772926
"6",6,5.18551025274201,1.80794563599795,8.446,5.4314378516452,8,0.695361284684002,61.9790720148869,8,7.74738400186087
"7",7,4.37777385496183,3.78986781331356,17.93,4.69506485495734,8,0.590615407833913,110.018474674799,18,13.7523093343499
"8",8,4.56834803921569,3.70961696199076,16.196,0.475543176808955,1.701944001211,0.0893608430564901,8.72663443758188,2,5.12745098039216
"9",9,9.4855237388724,1.72923867938541,17.81,0.688858933977264,0.758645296569732,0.0850288755851868,7.63822994439496,9,10.0682492581602
"10",10,6.93753291984733,1.84837080423329,15.044,2.97934185224843,8,0.448415526938364,86.8030059997128,9,10.8503757499641
"11",11,4.11739075399009,1.50458663417507,65.05,5.87022067775073,8,0.7392546059719,86.7520693328928,5,10.8440086666116
"12",12,4.25262740781508,0.83559332858049,8.236,4.67074134436005,8,0.641673760276104,55.9143917410201,8,6.98929896762752
"13",13,6.70980957622455,4.54150161615934,14.9,3.43095504682889,8,0.561501868471463,106.462202083017,15,13.3077752603771
"14",14,6.31109246009906,3.58328002753952,13.471,5.67372242543505,8,0.716455727608832,93.5631478472811,13,11.6953934809101
"15",15,3.20360044028619,0.638077433019254,7.582,3.31601766406329,8,0.520270494964833,46.0358771554583,3,5.75448464443229
"16",16,3.08375233902036,0.973947863508569,6.205,5.48664288858365,8,0.728553403817801,44.2542779027392,6,5.5317847378424
"17",17,4.33165547605944,1.67744505486019,6.628,5.49896540865604,8,0.703893567827413,54.7823998843662,7,6.84779998554578
"18",18,6.32897131382674,3.12196938608095,17.507,2.02526428259637,5.68443743086227,0.36221997545086,39.1469562256772,7,6.88668961560528
"19",19,6.30237283398547,5.63734842364915,18.529,2.92876610092537,6.79580097867119,0.450896002030737,45.832720351122,1,6.74427054220235
"20",20,1.7466013215859,1.66980828865405,18.473,3.90522577015714,8,0.604121620396514,69.9195341505301,2,8.73994176881626
"21",21,3.29884310699588,2.23101634499282,18.38,3.79792965765443,7.47284944785447,0.529388358214546,27.3889158003925,3,3.66512345679012
"22",22,3.29180562659847,2.26677225872976,16.172,3.07426576717101,8,0.499454073496855,81.6560265802176,13,10.2070033225272
"23",23,3.84640971867008,2.86639803077607,10.625,5.06241740734877,8,0.639524763409301,75.5034874877273,11,9.43793593596591
"24",24,6.08445342886387,2.02317601053814,13.192,4.17119859518339,8,0.545314202232256,87.8862924315301,13,10.9857865539413
"25",25,5.6097074168798,2.44837616738788,14.917,2.78577841075694,8,0.45246432948324,92.0778340223984,15,11.5097292527998
"26",26,3.60281739130435,2.63090597292782,15.951,2.05409500645498,8,0.40173257480597,86.7218847093382,16,10.8402355886673
"27",27,9.49267297850563,3.16028133150058,65.05,2.13565903223213,8,0.383820732866,150.068951828244,11,18.7586189785306
"28",28,3.05516711445459,0.95378283382579,7.458,2.08252947776396,5.45089642492087,0.350101376788183,19.4618384177253,3,3.57039226222461
"29",29,3.89362089077412,1.88173370508065,14.065,2.26826861596845,5.87631127708311,0.342747301778662,25.6987356380602,4,4.37327677624602
"30",30,3.23511833688699,2.11835731877059,8.635,3.35525469738596,5.71184919446103,0.439427213588747,21.4651049152187,2,3.75799573560768
"31",31,6.25291240202858,4.18873338036768,11.922,0.723265389160926,3.04614102735932,0.149228020107566,20.8391718001251,2,6.84117104656524
"32",32,4.14566274797943,2.39871902084812,10.003,2.6692568030437,8,0.45333864655697,68.0953572466721,10,8.51191965583402
"33",33,5.11906612784717,1.77344981104716,11.192,4.32560520926399,8,0.604419762539432,74.3445083215203,11,9.29306354019003
"34",34,5.22340249724568,0.534789320677118,10.655,3.50143270559884,8,0.554633897752827,65.7090555165642,6,8.21363193957052
"35",35,7.7794156626506,2.97557821989163,11.468,0.646001010956006,1.3037831953641,0.0967466311753559,10.8043178200165,5,8.28689759036145
"36",36,10.0512152777778,0.0991572998553693,10.169,0.10666092279002,0.10666092279002,0.013129052015455,1.1199396892952,10,10.5
"37",37,5.4176679245283,0.0384039211804717,5.556,0.415292096344526,0.424094048290172,0.0511137362757513,2.34131921754159,5,5.52075471698113
"38",38,6.16206177606178,0.268293648209507,6.521,0.411998263094671,0.413595155587286,0.0507108372944254,2.68996540380998,6,6.503861003861
"39",39,2.39133734939759,0.062173983918195,2.689,0.373672011450549,0.395933322771007,0.0460352938486569,1.01209461824798,2,2.55622489959839
"40",40,5.22625765306122,0.944552382351815,6.397,0.33148050691392,0.664656566292873,0.057029479815938,3.65306778591325,4,5.49617346938776
