"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0.0323158450225975
"9",1,8,0
"10",1,9,0
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0.297867788903942
"18",1,17,0.893603366711827
"19",1,18,0.137693600531068
"20",1,19,0.0337208817627105
"21",2,0,0
"22",2,1,0.00537227846431698
"23",2,2,0
"24",2,3,0
"25",2,4,0
"26",2,5,0
"27",2,6,0
"28",2,7,0
"29",2,8,0
"30",2,9,0
"31",2,10,0
"32",2,11,0
"33",2,12,0
"34",2,13,0
"35",2,14,0
"36",2,15,0
"37",2,16,0
"38",2,17,0.0558716960288966
"39",2,18,0.182657467786777
"40",2,19,0
"41",3,0,0
"42",3,1,0.612258613120921
"43",3,2,0.839021062424966
"44",3,3,0
"45",3,4,0
"46",3,5,0
"47",3,6,0
"48",3,7,0
"49",3,8,0
"50",3,9,0
"51",3,10,0
"52",3,11,0
"53",3,12,0.389619117440586
"54",3,13,0.42878717686583
"55",3,14,0
"56",3,15,0.0041229536237099
"57",3,16,0.467955236291074
"58",3,17,0.175225529007671
"59",3,18,0.300975614530823
"60",3,19,0.0680287347912134
"61",4,0,0
"62",4,1,0
"63",4,2,0
"64",4,3,0
"65",4,4,0
"66",4,5,0
"67",4,6,0
"68",4,7,0
"69",4,8,0
"70",4,9,0
"71",4,10,0.161506833793111
"72",4,11,0.255719153505759
"73",4,12,0.51293374065775
"74",4,13,0.327499968524919
"75",4,14,0
"76",4,15,0
"77",4,16,0.180947471194133
"78",4,17,0.0702853813729279
"79",4,18,0.0957077533588805
"80",4,19,0.0762671159578579
"81",5,0,0
"82",5,1,0
"83",5,2,0
"84",5,3,0
"85",5,4,0
"86",5,5,0
"87",5,6,0
"88",5,7,0
"89",5,8,0
"90",5,9,0
"91",5,10,0
"92",5,11,0
"93",5,12,0.448898538926244
"94",5,13,0.218914903914716
"95",5,14,0
"96",5,15,0
"97",5,16,0.138974068215522
"98",5,17,0
"99",5,18,0
"100",5,19,0
"101",6,0,0
"102",6,1,0
"103",6,2,0
"104",6,3,0
"105",6,4,0
"106",6,5,0
"107",6,6,0
"108",6,7,0.869171656248835
"109",6,8,0.577529069604634
"110",6,9,0.151577397005867
"111",6,10,0.00767480491168949
"112",6,11,0
"113",6,12,0.0326179208746803
"114",6,13,0.640846210126072
"115",6,14,0.00959350613961186
"116",6,15,0
"117",6,16,0.067154542977283
"118",6,17,0.0805854515727396
"119",6,18,0.303154794011735
"120",6,19,0.166927006829246
"121",7,0,0
"122",7,1,0
"123",7,2,0.0114945741971076
"124",7,3,0.0443973199189394
"125",7,4,0.0185283759198092
"126",7,5,0
"127",7,6,0
"128",7,7,0.582892913252296
"129",7,8,1.95381419584008
"130",7,9,2.45916305579395
"131",7,10,0
"132",7,11,0
"133",7,12,0
"134",7,13,0
"135",7,14,0
"136",7,15,0
"137",7,16,0
"138",7,17,0
"139",7,18,2.92970956507782
"140",7,19,0
"141",8,0,0
"142",8,1,0.00654917892057059
"143",8,2,0.429782949459329
"144",8,3,0.710406707668845
"145",8,4,0.306113894954675
"146",8,5,0
"147",8,6,0.101565618776514
"148",8,7,0.101889686880868
"149",8,8,0.698995039352317
"150",8,9,1.82941014615645
"151",8,10,0
"152",8,11,3.81528677783043
"153",8,12,0
"154",8,13,0
"155",8,14,0
"156",8,15,0
"157",8,16,0
"158",8,17,0
"159",8,18,0
"160",8,19,0
"161",9,0,0
"162",9,1,0.0208921664602051
"163",9,2,1.7653287757875
"164",9,3,0.186766851043072
"165",9,4,0
"166",9,5,0
"167",9,6,0
"168",9,7,6.02701220670923
"169",9,8,0
"170",9,9,0
"171",9,10,0
"172",9,11,0
"173",9,12,0
"174",9,13,0
"175",9,14,0
"176",9,15,0
"177",9,16,0
"178",9,17,0
"179",9,18,0
"180",9,19,0
"181",10,0,0
"182",10,1,0
"183",10,2,1.5925839328531
"184",10,3,0
"185",10,4,0
"186",10,5,0
"187",10,6,0.150265557505421
"188",10,7,1.76789573918831
"189",10,8,1.08796729594596
"190",10,9,0
"191",10,10,0
"192",10,11,0
"193",10,12,0
"194",10,13,0
"195",10,14,0
"196",10,15,0
"197",10,16,0
"198",10,17,0.0431353510357395
"199",10,18,3.35815212347147
"200",10,19,0
"201",11,0,0
"202",11,1,0
"203",11,2,0.866265248040552
"204",11,3,0
"205",11,4,0
"206",11,5,0
"207",11,6,0.0345904526127304
"208",11,7,0.0646691070585829
"209",11,8,0.147385406784677
"210",11,9,0.166936532174481
"211",11,10,0
"212",11,11,0
"213",11,12,0
"214",11,13,0.207542715676382
"215",11,14,0
"216",11,15,0.368463516961693
"217",11,16,0.17746406123053
"218",11,17,0.136857877728629
"219",11,18,0.0496297798356566
"220",11,19,0.0511337125579492
"221",12,0,0
"222",12,1,0
"223",12,2,0
"224",12,3,0
"225",12,4,0
"226",12,5,0
"227",12,6,0
"228",12,7,0
"229",12,8,0.0926345277780564
"230",12,9,0.0745335280972867
"231",12,10,0
"232",12,11,0
"233",12,12,0
"234",12,13,0
"235",12,14,0.010647646871041
"236",12,15,0.184204290869009
"237",12,16,0.154390879630094
"238",12,17,0.0340724699873311
"239",12,18,0.144807997446157
"240",12,19,0
"241",13,0,0
"242",13,1,0
"243",13,2,0
"244",13,3,0
"245",13,4,0
"246",13,5,0
"247",13,6,0
"248",13,7,0
"249",13,8,0.0253272318103795
"250",13,9,0.118193748448438
"251",13,10,0
"252",13,11,0
"253",13,12,0.00422120530172992
"254",13,13,0.240608702198605
"255",13,14,0.00105530132543248
"256",13,15,0.00105530132543248
"257",13,16,0.0928665166380581
"258",13,17,0.0422120530172992
"259",13,18,0.13191266567906
"260",13,19,0
"261",14,0,0
"262",14,1,0
"263",14,2,0
"264",14,3,0
"265",14,4,0.451169802390317
"266",14,5,0.218307968898541
"267",14,6,0.0858678011000926
"268",14,7,0.538492989949733
"269",14,8,0
"270",14,9,0
"271",14,10,0
"272",14,11,0
"273",14,12,0
"274",14,13,0.0174646375118833
"275",14,14,0.387132798180079
"276",14,15,0.17755714803748
"277",14,16,0.128074008420477
"278",14,17,0.104787825071299
"279",14,18,0
"280",14,19,0
"281",15,0,0
"282",15,1,0
"283",15,2,0
"284",15,3,0.226352140175278
"285",15,4,0.405419580125382
"286",15,5,0.0951521564673892
"287",15,6,1.38461624048102
"288",15,7,1.64594886434129
"289",15,8,0
"290",15,9,0
"291",15,10,0
"292",15,11,0.172211006914601
"293",15,12,0.680383756462842
"294",15,13,0
"295",15,14,0
"296",15,15,0
"297",15,16,0
"298",15,17,1.36527629481772
"299",15,18,2.02463996021448
"300",15,19,0
"301",16,0,0
"302",16,1,0
"303",16,2,0
"304",16,3,0
"305",16,4,0
"306",16,5,0
"307",16,6,0.268297078146142
"308",16,7,0.51155309566531
"309",16,8,0
"310",16,9,1.03026078008118
"311",16,10,0
"312",16,11,0.60456274942264
"313",16,12,0
"314",16,13,0
"315",16,14,0.00894323593820473
"316",16,15,0
"317",16,16,0.366672673466394
"318",16,17,0.366672673466394
"319",16,18,0
"320",16,19,0
"321",17,0,0
"322",17,1,0
"323",17,2,0
"324",17,3,0
"325",17,4,0
"326",17,5,0
"327",17,6,0.295517193449845
"328",17,7,0.155336698252694
"329",17,8,0.0290587491900627
"330",17,9,7.5200873591074
"331",17,10,0
"332",17,11,0
"333",17,12,0
"334",17,13,0
"335",17,14,0
"336",17,15,0
"337",17,16,0
"338",17,17,0
"339",17,18,0
"340",17,19,0
"341",18,0,0
"342",18,1,0
"343",18,2,0
"344",18,3,0
"345",18,4,0
"346",18,5,0
"347",18,6,0
"348",18,7,0
"349",18,8,0
"350",18,9,0.67770202417129
"351",18,10,0
"352",18,11,0
"353",18,12,1.16312579962421
"354",18,13,0
"355",18,14,0.064618099979123
"356",18,15,0.1576051219003
"357",18,16,0.152876968243291
"358",18,17,0.285265270639543
"359",18,18,0
"360",18,19,0
"361",19,0,0
"362",19,1,0
"363",19,2,0
"364",19,3,0
"365",19,4,0
"366",19,5,0
"367",19,6,0
"368",19,7,0
"369",19,8,0
"370",19,9,0
"371",19,10,0
"372",19,11,0
"373",19,12,0.425640308456167
"374",19,13,0
"375",19,14,0.0102977493981331
"376",19,15,0.796359286788957
"377",19,16,0.679651460276783
"378",19,17,1.0263423566806
"379",19,18,0
"380",19,19,0
"381",20,0,0
"382",20,1,0
"383",20,2,0
"384",20,3,0
"385",20,4,0
"386",20,5,0
"387",20,6,0
"388",20,7,0
"389",20,8,1.86671131846242
"390",20,9,0.0347580420743277
"391",20,10,0.901664503222267
"392",20,11,0
"393",20,12,0
"394",20,13,0.0388472234948369
"395",20,14,0
"396",20,15,0.480478816909825
"397",20,16,0.177879391792148
"398",20,17,0.396650597789387
"399",20,18,0
"400",20,19,0
"401",21,0,0
"402",21,1,0
"403",21,2,0
"404",21,3,0.167686889841007
"405",21,4,0.336782079475205
"406",21,5,0.19419475180018
"407",21,6,0.42732222345186
"408",21,7,0.441631806135845
"409",21,8,0
"410",21,9,0.00280159191592946
"411",21,10,0.176347951874399
"412",21,11,0
"413",21,12,0
"414",21,13,2.77680471828026
"415",21,14,3.47642798722531
"416",21,15,0
"417",21,16,0
"418",21,17,0
"419",21,18,0
"420",21,19,0
"421",22,0,0
"422",22,1,0
"423",22,2,0.167810789393904
"424",22,3,0.708076222542235
"425",22,4,1.55803456839356
"426",22,5,3.46429778322453
"427",22,6,2.10178063644577
"428",22,7,0
"429",22,8,0
"430",22,9,0
"431",22,10,0
"432",22,11,0
"433",22,12,0
"434",22,13,0
"435",22,14,0
"436",22,15,0
"437",22,16,0
"438",22,17,0
"439",22,18,0
"440",22,19,0
"441",23,0,0
"442",23,1,0
"443",23,2,0
"444",23,3,0
"445",23,4,0.00394198096348423
"446",23,5,0.415471111033023
"447",23,6,0
"448",23,7,0
"449",23,8,0.307828851552847
"450",23,9,0.00386441050903395
"451",23,10,0.159637860292788
"452",23,11,2.58400305778813
"453",23,12,0
"454",23,13,0
"455",23,14,0
"456",23,15,4.52525272786069
"457",23,16,0
"458",23,17,0
"459",23,18,0
"460",23,19,0
"461",24,0,0
"462",24,1,0
"463",24,2,0
"464",24,3,0
"465",24,4,0
"466",24,5,0
"467",24,6,0
"468",24,7,0.461426698956137
"469",24,8,0.0900532281165155
"470",24,9,0
"471",24,10,0.817364459285218
"472",24,11,0.9089035665245
"473",24,12,0
"474",24,13,0
"475",24,14,0
"476",24,15,0
"477",24,16,4.53573640773541
"478",24,17,1.18651563938222
"479",24,18,0
"480",24,19,0
"481",25,0,0
"482",25,1,0
"483",25,2,0
"484",25,3,0
"485",25,4,0
"486",25,5,0
"487",25,6,0
"488",25,7,1.92548977696883
"489",25,8,0.00390633910456689
"490",25,9,0.0480124192129943
"491",25,10,0
"492",25,11,0
"493",25,12,0
"494",25,13,0
"495",25,14,0
"496",25,15,1.98552858544685
"497",25,16,0.604441899592859
"498",25,17,0
"499",25,18,0
"500",25,19,3.4326209796739
"501",26,0,0
"502",26,1,0.483071723580062
"503",26,2,0.443367198354304
"504",26,3,0
"505",26,4,0
"506",26,5,0
"507",26,6,0
"508",26,7,0
"509",26,8,0.982686999337524
"510",26,9,2.24661438569084
"511",26,10,0
"512",26,11,0
"513",26,12,0
"514",26,13,0
"515",26,14,0
"516",26,15,0.195213915693313
"517",26,16,0.463219460967183
"518",26,17,0.304401360064149
"519",26,18,0
"520",26,19,0
"521",27,0,0
"522",27,1,0
"523",27,2,3.28093917581929
"524",27,3,0.227412704396076
"525",27,4,1.31161551499458
"526",27,5,0
"527",27,6,0
"528",27,7,3.18003260479005
"529",27,8,0
"530",27,9,0
"531",27,10,0
"532",27,11,0
"533",27,12,0
"534",27,13,0
"535",27,14,0
"536",27,15,0
"537",27,16,0
"538",27,17,0
"539",27,18,0
"540",27,19,0
"541",28,0,0
"542",28,1,0
"543",28,2,1.07635994925653
"544",28,3,2.72007877785192
"545",28,4,2.10178063644577
"546",28,5,2.10178063644577
"547",28,6,0
"548",28,7,0
"549",28,8,0
"550",28,9,0
"551",28,10,0
"552",28,11,0
"553",28,12,0
"554",28,13,0
"555",28,14,0
"556",28,15,0
"557",28,16,0
"558",28,17,0
"559",28,18,0
"560",28,19,0
"561",29,0,0
"562",29,1,0
"563",29,2,8
"564",29,3,0
"565",29,4,0
"566",29,5,0
"567",29,6,0
"568",29,7,0
"569",29,8,0
"570",29,9,0
"571",29,10,0
"572",29,11,0
"573",29,12,0
"574",29,13,0
"575",29,14,0
"576",29,15,0
"577",29,16,0
"578",29,17,0
"579",29,18,0
"580",29,19,0
"581",30,0,0
"582",30,1,0
"583",30,2,1.84294186063997
"584",30,3,0.283380057923443
"585",30,4,1.71512755398244
"586",30,5,4.15855052745414
"587",30,6,0
"588",30,7,0
"589",30,8,0
"590",30,9,0
"591",30,10,0
"592",30,11,0
"593",30,12,0
"594",30,13,0
"595",30,14,0
"596",30,15,0
"597",30,16,0
"598",30,17,0
"599",30,18,0
"600",30,19,0
"601",31,0,0
"602",31,1,0.134362199954475
"603",31,2,2.15939249926834
"604",31,3,0
"605",31,4,0
"606",31,5,0
"607",31,6,0
"608",31,7,0
"609",31,8,0
"610",31,9,0
"611",31,10,0
"612",31,11,0
"613",31,12,0
"614",31,13,0
"615",31,14,0
"616",31,15,0
"617",31,16,0
"618",31,17,0
"619",31,18,0
"620",31,19,0
"621",32,0,0
"622",32,1,2.37684202586279
"623",32,2,1.68874963237744
"624",32,3,0
"625",32,4,0
"626",32,5,0
"627",32,6,0
"628",32,7,0
"629",32,8,0.0562166988141624
"630",32,9,0
"631",32,10,0
"632",32,11,0
"633",32,12,0
"634",32,13,0
"635",32,14,0
"636",32,15,0
"637",32,16,0
"638",32,17,0
"639",32,18,0
"640",32,19,0
"641",33,0,0
"642",33,1,0
"643",33,2,5.31134442776618
"644",33,3,2.68865557223382
"645",33,4,0
"646",33,5,0
"647",33,6,0
"648",33,7,0
"649",33,8,0
"650",33,9,0
"651",33,10,0
"652",33,11,0
"653",33,12,0
"654",33,13,0
"655",33,14,0
"656",33,15,0
"657",33,16,0
"658",33,17,0
"659",33,18,0
"660",33,19,0
"661",34,0,0
"662",34,1,0
"663",34,2,1.99354039247198
"664",34,3,1.99316476612692
"665",34,4,0
"666",34,5,0
"667",34,6,0
"668",34,7,0
"669",34,8,4.0132948414011
"670",34,9,0
"671",34,10,0
"672",34,11,0
"673",34,12,0
"674",34,13,0
"675",34,14,0
"676",34,15,0
"677",34,16,0
"678",34,17,0
"679",34,18,0
"680",34,19,0
"681",35,0,0
"682",35,1,0
"683",35,2,2.07857858142326
"684",35,3,0
"685",35,4,0
"686",35,5,0
"687",35,6,0
"688",35,7,0
"689",35,8,0
"690",35,9,0
"691",35,10,0.562885035636814
"692",35,11,0
"693",35,12,0
"694",35,13,0
"695",35,14,0
"696",35,15,0.50027675151792
"697",35,16,2.81849921661922
"698",35,17,0
"699",35,18,2.03976041480279
"700",35,19,0
"701",36,0,0
"702",36,1,0
"703",36,2,0
"704",36,3,0
"705",36,4,0
"706",36,5,0
"707",36,6,0
"708",36,7,0
"709",36,8,0
"710",36,9,0
"711",36,10,2.01600474753857
"712",36,11,1.50400354181449
"713",36,12,0.781335173318522
"714",36,13,0.0373334212507143
"715",36,14,0
"716",36,15,0.59200139411847
"717",36,16,0.20000047098597
"718",36,17,0.0506667859831123
"719",36,18,0
"720",36,19,0
"721",37,0,0
"722",37,1,0
"723",37,2,0
"724",37,3,0
"725",37,4,0
"726",37,5,0
"727",37,6,0
"728",37,7,0.69411957903857
"729",37,8,0
"730",37,9,0
"731",37,10,0
"732",37,11,1.52188951180506
"733",37,12,0.776034311968588
"734",37,13,0.2931685178548
"735",37,14,0.388017155984294
"736",37,15,0.116405146795288
"737",37,16,0.0862260346631764
"738",37,17,0
"739",37,18,0
"740",37,19,0
"741",38,0,0
"742",38,1,0
"743",38,2,0
"744",38,3,0
"745",38,4,0
"746",38,5,0.426270045186829
"747",38,6,0
"748",38,7,0.865809196838617
"749",38,8,0
"750",38,9,0.197377958666275
"751",38,10,0
"752",38,11,0.111128766644037
"753",38,12,0.524129705365906
"754",38,13,0
"755",38,14,0.0597109790923184
"756",38,15,0.286944427304752
"757",38,16,0
"758",38,17,0
"759",38,18,0
"760",38,19,0
"761",39,0,0
"762",39,1,0
"763",39,2,0.0372375237032143
"764",39,3,0.240375002834933
"765",39,4,0.0536625947451572
"766",39,5,3.17133874111932
"767",39,6,0
"768",39,7,0
"769",39,8,0
"770",39,9,0.121670273571736
"771",39,10,0
"772",39,11,0
"773",39,12,0
"774",39,13,0
"775",39,14,0
"776",39,15,2.92256122456325
"777",39,16,1.45315463946239
"778",39,17,0
"779",39,18,0
"780",39,19,0
"781",40,0,0
"782",40,1,0
"783",40,2,2.88170300162634
"784",40,3,3.66514235891127
"785",40,4,0
"786",40,5,0
"787",40,6,1.45315463946239
"788",40,7,0
"789",40,8,0
"790",40,9,0
"791",40,10,0
"792",40,11,0
"793",40,12,0
"794",40,13,0
"795",40,14,0
"796",40,15,0
"797",40,16,0
"798",40,17,0
"799",40,18,0
"800",40,19,0
