"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,9.46868181818182,2.97494635440611,13.522,3.73907136955495,8,1.00743319166639,100.003880859342,13,12.5004851074177
"2",2,6.99985537190083,2.8720246578597,11.916,2.51728757942026,8,0.860582442661733,85.0590089902647,12,10.6323761237831
"3",3,3.44498964803313,1.730436725,9.843,2.16622897786855,8,0.802978151379863,58.2467009742447,8,7.28083762178058
"4",4,4.04984917355372,2.01822616497277,8.068,2.97869295659211,8,0.997659340147687,55.5927688490766,8,6.94909610613458
"5",5,2.37723602484472,0.473769936230077,5.858,5.59569494305321,8,1.46681732521841,29.1835961305344,3,3.6479495163168
"6",6,2.4576694214876,0.82630910140897,5.494,4.21477114536623,8,1.21529379727818,34.9703505270569,5,4.37129381588211
"7",7,1.814,0.300213029007508,2.472,6.56130899699094,7.78953432647693,1.7011380688995,18.2456104867063,2,2.34232365145228
"8",8,2.34748966942149,0.448153633235395,3.283,6.42008427388632,8,1.67858250400996,26.4200842738863,3,3.30251053423579
"9",9,2.06723395445135,0.64219457206385,11.215,4.33097035721417,8,1.24069074458132,35.0370544250691,2,4.37963180313364
"10",10,2.06000414937759,0.479400517867475,3.953,5.62397914027795,7.78953432647693,1.45666726465088,20.2172353577233,2,2.5954356846473
"11",11,2.65837411095306,0.521456098253463,4.322,4.86700489769385,8,1.37531407123648,32.3232530673841,4,4.04040663342302
"12",12,2.62711664295875,1.04012349997822,11.674,4.20289636951561,8,1.11112036970028,46.794325384532,5,5.84929067306651
"13",13,10.3468465116279,2.36275228268788,12.761,1.23321620433317,1.83488916215661,0.314428751232155,19.5650390895071,11,10.6627906976744
"14",14,2.10133333333333,0.526782999389452,3.283,1.07453295509031,1.29855219307733,0.279334647914042,3.47039972068035,2,2.67251461988304
"15",15,10.5438032786885,0.0707711852079482,10.741,0.134274497181514,0.17805965930592,0.0356902329551159,2.00390091989367,11,11.2540983606557
"39",16,0,0,0,0,0,0,0,0,0
"40",17,0,0,0,0,0,0,0,0,0
"16",18,6.78895774647887,0.0963452773873691,7.098,0.208824000631614,0.208824000631614,0.0539181251156433,1.56618000473711,7,7.5
"17",19,8.51509195402299,1.57898230656444,12.136,0.303958624337205,0.556724217207092,0.0836515013045671,5.03291490613078,8,9.04022988505747
"18",20,4.25740816326531,1.34707906516814,8.522,1.09198536581739,2.80276243893131,0.36326463000926,12.9608263061898,3,4.62430426716141
"19",21,4.202785,1.60559806665745,8.062,1.66976199598374,2.55902221606704,0.435071855752585,11.8546704159306,3,4.6325
"20",22,6.23325113122172,2.39793239221872,9.513,1.54679015602773,3.20977112189791,0.412971921957067,22.0326823163762,8,6.86425339366516
"21",23,7.44588888888889,0.159864352221223,7.597,0.0182275978508833,0.0328096761315899,0.00581326893863672,0.260654649267631,7,7.94444444444444
"22",24,7.34905172413793,1.31741710304228,9.573,0.178550458029412,0.470723934804814,0.0637291859448164,3.66434235455816,7,7.78448275862069
"23",25,6.96967726161369,1.18661990854247,9.578,1.71643877716264,2.68974505693303,0.455269603364728,19.5351777301212,6,7.26283618581907
"24",26,5.55794006309148,1.83210230618278,6.711,1.16000620486185,1.7024165136167,0.304681784012102,10.0292203128681,6,5.89116719242902
"25",27,5.12421911421911,1.87344553969272,7.193,1.96447870287377,2.98851547352074,0.523837960233192,17.0707626290503,6,5.71212121212121
"26",28,6.37828148148148,0.490992016180787,9.247,5.81874685886552,7.48124596139853,1.52111205271055,50.62309767213,6,6.76666666666667
"27",29,4.68535359116022,1.95257314385984,8.51,2.83678071878032,8,0.949684480393056,59.7182423419306,8,7.46478029274132
"28",30,3.41764206642066,1.74740323765693,8.373,2.90264037326195,8,0.924480512354554,51.8409544033552,6,6.48011930041941
"29",31,3.78819238900634,0.824533555212135,7.011,4.48988978268936,8,1.21245990988727,45.093686644928,5,5.636710830616
"30",32,3.80919661733615,2.29293327824058,13.952,2.52666082792352,8,0.787552897895662,72.6175457338414,14,9.07719321673017
"31",33,4.81079704016913,3.03152905163771,12.584,3.4572286735424,8,0.955541769825446,77.9025236641171,9,9.73781545801463
"32",34,9.07394117647059,4.78424788148293,13.648,1.12744888282608,2.70133725616718,0.309989681459383,26.0486092558978,13,9.64285714285714
"33",35,2.91778858350951,0.776061960846412,4.18,6.82657810071074,8,1.75314441078101,34.1886169050412,4,4.27357711313015
"34",36,3.08016313559322,1.3188992631448,8.057,2.81736659500008,8,0.874016538242985,47.4987174650384,6,5.9373396831298
"35",37,3.13902536997886,1.36200931274315,10.233,1.63404465897931,8,0.591269265272926,53.4521165403441,4,6.68151456754301
"36",38,2.66909725158562,1.32764956986119,8.955,2.58706459388164,8,0.877269140445661,50.1509131396028,8,6.26886414245035
"37",39,2.408955602537,0.987526657082439,7.061,2.08976952522521,8,0.791810376665149,40.1493370196452,6,5.01866712745564
"38",40,2.74980425531915,0.746079127135814,6.435,4.19909684451405,7.5906750650831,1.17055056867076,23.951002386209,2,3.15531914893617
