"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0
"5",1,4,1.47781260926369
"6",1,5,0.295562521852738
"7",1,6,0
"8",1,7,0.0134346600842154
"9",1,8,0.241823881515877
"10",1,9,0.510517083200185
"11",1,10,1.24942338783203
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0.550821063452831
"17",1,16,1.07477280673723
"18",1,17,0.3493011621896
"19",1,18,0.214954561347446
"20",1,19,0
"21",1,20,0
"22",2,0,0
"23",2,1,0
"24",2,2,0.192183680115026
"25",2,3,1.21044685193756
"26",2,4,0
"27",2,5,0
"28",2,6,0
"29",2,7,0
"30",2,8,0.103747024272054
"31",2,9,1.36339195622745
"32",2,10,0
"33",2,11,0
"34",2,12,0
"35",2,13,0
"36",2,14,0
"37",2,15,0
"38",2,16,0.529049264519791
"39",2,17,1.59677732828334
"40",2,18,3.00440389464478
"41",2,19,0
"42",2,20,0
"43",3,0,0
"44",3,1,0
"45",3,2,0.956498722365332
"46",3,3,6.1390855862569
"47",3,4,0
"48",3,5,0
"49",3,6,0
"50",3,7,0
"51",3,8,0
"52",3,9,0
"53",3,10,0
"54",3,11,0
"55",3,12,0
"56",3,13,0.904415691377765
"57",3,14,0
"58",3,15,0
"59",3,16,0
"60",3,17,0
"61",3,18,0
"62",3,19,0
"63",3,20,0
"64",4,0,0
"65",4,1,0
"66",4,2,2.43807220711475
"67",4,3,5.56192779288525
"68",4,4,0
"69",4,5,0
"70",4,6,0
"71",4,7,0
"72",4,8,0
"73",4,9,0
"74",4,10,0
"75",4,11,0
"76",4,12,0
"77",4,13,0
"78",4,14,0
"79",4,15,0
"80",4,16,0
"81",4,17,0
"82",4,18,0
"83",4,19,0
"84",4,20,0
"85",5,0,0
"86",5,1,0.00283960075698187
"87",5,2,6.56369544334546
"88",5,3,0
"89",5,4,0
"90",5,5,0
"91",5,6,0
"92",5,7,0
"93",5,8,0
"94",5,9,0
"95",5,10,0
"96",5,11,0
"97",5,12,0
"98",5,13,0
"99",5,14,0
"100",5,15,0
"101",5,16,0.529049264519791
"102",5,17,0.904415691377765
"103",5,18,0
"104",5,19,0
"105",5,20,0
"106",6,0,0
"107",6,1,0.120884033334349
"108",6,2,1.50640103078188
"109",6,3,0
"110",6,4,0
"111",6,5,0
"112",6,6,0
"113",6,7,0
"114",6,8,0
"115",6,9,0
"116",6,10,0
"117",6,11,0.185975435898998
"118",6,12,0
"119",6,13,0.92987717949499
"120",6,14,0.0836889461545491
"121",6,15,0.0743901743595992
"122",6,16,0.418444730772746
"123",6,17,0.0650914025646493
"124",6,18,0.260365610258597
"125",6,19,0
"126",6,20,0
"127",7,0,0
"128",7,1,0.19510129016065
"129",7,2,0.0650337633868835
"130",7,3,0
"131",7,4,0
"132",7,5,0
"133",7,6,0
"134",7,7,0
"135",7,8,0.0260135053547534
"136",7,9,0
"137",7,10,0
"138",7,11,0
"139",7,12,0
"140",7,13,0.546283612449821
"141",7,14,0
"142",7,15,1.32668877309242
"143",7,16,1.97702640696126
"144",7,17,1.59983057931733
"145",7,18,0
"146",7,19,0
"147",7,20,0
"148",8,0,0
"149",8,1,0
"150",8,2,2.6475222014155
"151",8,3,0.491682694548593
"152",8,4,0
"153",8,5,0.289966717297888
"154",8,6,0.466468197392255
"155",8,7,0.743827666111974
"156",8,8,0
"157",8,9,0
"158",8,10,0
"159",8,11,0
"160",8,12,0
"161",8,13,0
"162",8,14,0.0756434914690143
"163",8,15,0.39082470592324
"164",8,16,0.416039203079579
"165",8,17,0
"166",8,18,0
"167",8,19,0
"168",8,20,0
"169",9,0,0
"170",9,1,0
"171",9,2,0.242438776248475
"172",9,3,1.6243930899628
"173",9,4,0
"174",9,5,0.727222379218116
"175",9,6,3.97248079867306
"176",9,7,1.43346495589756
"177",9,8,0
"178",9,9,0
"179",9,10,0
"180",9,11,0
"181",9,12,0
"182",9,13,0
"183",9,14,0
"184",9,15,0
"185",9,16,0
"186",9,17,0
"187",9,18,0
"188",9,19,0
"189",9,20,0
"190",10,0,0
"191",10,1,0
"192",10,2,1.06734991681615
"193",10,3,1.44638383403679
"194",10,4,0.0395422997957249
"195",10,5,1.19557251188925
"196",10,6,4.25115143746208
"197",10,7,0
"198",10,8,0
"199",10,9,0
"200",10,10,0
"201",10,11,0
"202",10,12,0
"203",10,13,0
"204",10,14,0
"205",10,15,0
"206",10,16,0
"207",10,17,0
"208",10,18,0
"209",10,19,0
"210",10,20,0
"211",11,0,0
"212",11,1,0.00972566225373163
"213",11,2,1.59426354436269
"214",11,3,2.77945080349703
"215",11,4,0.444608965767698
"216",11,5,1.11752445842207
"217",11,6,0
"218",11,7,0
"219",11,8,2.05442656569678
"220",11,9,0
"221",11,10,0
"222",11,11,0
"223",11,12,0
"224",11,13,0
"225",11,14,0
"226",11,15,0
"227",11,16,0
"228",11,17,0
"229",11,18,0
"230",11,19,0
"231",11,20,0
"232",12,0,0
"233",12,1,1.76571451490869
"234",12,2,2.04334258329055
"235",12,3,1.31040448276242
"236",12,4,0.46641515488154
"237",12,5,0
"238",12,6,0
"239",12,7,0
"240",12,8,0
"241",12,9,0
"242",12,10,0
"243",12,11,0
"244",12,12,0
"245",12,13,0
"246",12,14,0
"247",12,15,0
"248",12,16,0
"249",12,17,0
"250",12,18,0
"251",12,19,0
"252",12,20,0
"253",13,0,0
"254",13,1,0
"255",13,2,0
"256",13,3,1.56018177492801
"257",13,4,2.82216186940164
"258",13,5,3.61765635567035
"259",13,6,0
"260",13,7,0
"261",13,8,0
"262",13,9,0
"263",13,10,0
"264",13,11,0
"265",13,12,0
"266",13,13,0
"267",13,14,0
"268",13,15,0
"269",13,16,0
"270",13,17,0
"271",13,18,0
"272",13,19,0
"273",13,20,0
"274",14,0,0
"275",14,1,0
"276",14,2,0.0851306722765643
"277",14,3,2.30541212827867
"278",14,4,2.54857506653589
"279",14,5,2.17608877078005
"280",14,6,0.88479336212883
"281",14,7,0
"282",14,8,0
"283",14,9,0
"284",14,10,0
"285",14,11,0
"286",14,12,0
"287",14,13,0
"288",14,14,0
"289",14,15,0
"290",14,16,0
"291",14,17,0
"292",14,18,0
"293",14,19,0
"294",14,20,0
"295",15,0,0
"296",15,1,0
"297",15,2,0.00242982749779661
"298",15,3,2.9280077955422
"299",15,4,0.297029352454205
"300",15,5,0
"301",15,6,0.0307695362260558
"302",15,7,4.74176348827974
"303",15,8,0
"304",15,9,0
"305",15,10,0
"306",15,11,0
"307",15,12,0
"308",15,13,0
"309",15,14,0
"310",15,15,0
"311",15,16,0
"312",15,17,0
"313",15,18,0
"314",15,19,0
"315",15,20,0
"316",16,0,0
"317",16,1,0
"318",16,2,0.570739825191091
"319",16,3,5.37483360911213
"320",16,4,0
"321",16,5,0
"322",16,6,0
"323",16,7,2.05442656569678
"324",16,8,0
"325",16,9,0
"326",16,10,0
"327",16,11,0
"328",16,12,0
"329",16,13,0
"330",16,14,0
"331",16,15,0
"332",16,16,0
"333",16,17,0
"334",16,18,0
"335",16,19,0
"336",16,20,0
"337",17,0,0
"338",17,1,0
"339",17,2,1.64533825470023
"340",17,3,1.41162596207196
"341",17,4,0
"342",17,5,4.94303578322782
"343",17,6,0
"344",17,7,0
"345",17,8,0
"346",17,9,0
"347",17,10,0
"348",17,11,0
"349",17,12,0
"350",17,13,0
"351",17,14,0
"352",17,15,0
"353",17,16,0
"354",17,17,0
"355",17,18,0
"356",17,19,0
"357",17,20,0
"358",18,0,0
"359",18,1,0
"360",18,2,0.493576114752741
"361",18,3,0.00715120635477175
"362",18,4,1.21898100771154
"363",18,5,0.821182985072077
"364",18,6,0
"365",18,7,0
"366",18,8,0
"367",18,9,0
"368",18,10,0
"369",18,11,0.276005986143156
"370",18,12,0.115076702966245
"371",18,13,0.100167996646935
"372",18,14,0.0263202519760241
"373",18,15,0.36722242439647
"374",18,16,0.232731096293242
"375",18,17,4.3415842276868
"376",18,18,0
"377",18,19,0
"378",18,20,0
"379",19,0,0
"380",19,1,0
"381",19,2,0
"382",19,3,0
"383",19,4,2.50914142834491
"384",19,5,0
"385",19,6,0
"386",19,7,0
"387",19,8,0
"388",19,9,0
"389",19,10,0
"390",19,11,0
"391",19,12,0.0896121938694611
"392",19,13,0.371250517459196
"393",19,14,1.33138116606057
"394",19,15,1.01133761652678
"395",19,16,1.2417689721911
"396",19,17,0.0384052259440548
"397",19,18,0
"398",19,19,0
"399",19,20,0
"400",20,0,0
"401",20,1,1.69146056248733
"402",20,2,0
"403",20,3,0.850067359609017
"404",20,4,0.75465163557127
"405",20,5,0
"406",20,6,0
"407",20,7,0
"408",20,8,0
"409",20,9,0
"410",20,10,0
"411",20,11,0
"412",20,12,0
"413",20,13,0
"414",20,14,0.459730306727325
"415",20,15,0.138786507691268
"416",20,16,0
"417",20,17,0.12143819422986
"418",20,18,0
"419",20,19,0
"420",20,20,0
"421",21,0,0
"422",21,1,0
"423",21,2,0.436871908274594
"424",21,3,2.75914017720888
"425",21,4,0.0646949760837082
"426",21,5,0
"427",21,6,0
"428",21,7,0
"429",21,8,0
"430",21,9,0
"431",21,10,0
"432",21,11,0
"433",21,12,0
"434",21,13,0.255913299396555
"435",21,14,4.48337963903627
"436",21,15,0
"437",21,16,0
"438",21,17,0
"439",21,18,0
"440",21,19,0
"441",21,20,0
"442",22,0,0
"443",22,1,0
"444",22,2,0
"445",22,3,0.511397085369133
"446",22,4,0.243898846699515
"447",22,5,0
"448",22,6,0
"449",22,7,0
"450",22,8,0
"451",22,9,0
"452",22,10,0.0241887755269672
"453",22,11,0.106839814643529
"454",22,12,0
"455",22,13,0.225371535697384
"456",22,14,0.629856211334938
"457",22,15,2.51812801463292
"458",22,16,2.84334441922531
"459",22,17,0.896975296870302
"460",22,18,0
"461",22,19,0
"462",22,20,0
"463",23,0,0
"464",23,1,0
"465",23,2,0
"466",23,3,0
"467",23,4,0.00535844166298338
"468",23,5,0
"469",23,6,0
"470",23,7,0
"471",23,8,0
"472",23,9,0
"473",23,10,0.929600431887913
"474",23,11,0
"475",23,12,0
"476",23,13,0.10312140555316
"477",23,14,0.192541822289395
"478",23,15,1.49279240302319
"479",23,16,1.27658549558335
"480",23,17,1.48187198536708
"481",23,18,0.199480508149966
"482",23,19,2.31864750648296
"483",23,20,0
"484",24,0,0
"485",24,1,0
"486",24,2,0
"487",24,3,0
"488",24,4,0
"489",24,5,0
"490",24,6,2.14434450011991
"491",24,7,0.172698885915697
"492",24,8,0
"493",24,9,0.446138788615551
"494",24,10,2.61926643638807
"495",24,11,0.0719578691315405
"496",24,12,0.0575662953052323
"497",24,13,0.100741016784157
"498",24,14,0
"499",24,15,0.546879805399707
"500",24,16,0.402964067136626
"501",24,17,0.244656755047237
"502",24,18,0.0431747214789243
"503",24,19,0
"504",24,20,0
"505",25,0,0
"506",25,1,0
"507",25,2,0
"508",25,3,0
"509",25,4,0
"510",25,5,0
"511",25,6,0.144090131914127
"512",25,7,0
"513",25,8,0
"514",25,9,0.479183524910169
"515",25,10,1.27069714106157
"516",25,11,0
"517",25,12,0.553909480837641
"518",25,13,0
"519",25,14,0
"520",25,15,0
"521",25,16,0.170267940054677
"522",25,17,0.0621268972015576
"523",25,18,0.646973904853233
"524",25,19,1.16836662733128
"525",25,20,3.50438435183574
"526",26,0,0
"527",26,1,0.214720761066226
"528",26,2,1.55801522948073
"529",26,3,0
"530",26,4,0
"531",26,5,0
"532",26,6,0.0319537670063945
"533",26,7,0
"534",26,8,0
"535",26,9,0.2620789163105
"536",26,10,2.51812801463292
"537",26,11,0
"538",26,12,0.312078608373526
"539",26,13,0
"540",26,14,0
"541",26,15,0
"542",26,16,0
"543",26,17,0
"544",26,18,3.1030247031297
"545",26,19,0
"546",26,20,0
"547",27,0,0
"548",27,1,0
"549",27,2,0.445615956101233
"550",27,3,0
"551",27,4,0
"552",27,5,0
"553",27,6,0
"554",27,7,0.00377828534857252
"555",27,8,0.747081767715729
"556",27,9,0
"557",27,10,1.05445865313453
"558",27,11,0
"559",27,12,0
"560",27,13,0
"561",27,14,0
"562",27,15,0
"563",27,16,0
"564",27,17,0.408298334566614
"565",27,18,0.086302760968183
"566",27,19,1.1969409137197
"567",27,20,4.05752332844544
"568",28,0,0
"569",28,1,0
"570",28,2,0
"571",28,3,0
"572",28,4,0
"573",28,5,0
"574",28,6,0
"575",28,7,0
"576",28,8,0.401116609581919
"577",28,9,0.393101408729316
"578",28,10,3.99015917833551
"579",28,11,0.697494788720336
"580",28,12,2.51812801463292
"581",28,13,0
"582",28,14,0
"583",28,15,0
"584",28,16,0
"585",28,17,0
"586",28,18,0
"587",28,19,0
"588",28,20,0
"589",29,0,0
"590",29,1,0
"591",29,2,0
"592",29,3,0
"593",29,4,0
"594",29,5,0.640702362193559
"595",29,6,0
"596",29,7,0
"597",29,8,0
"598",29,9,0.515953218581131
"599",29,10,0.858343717265503
"600",29,11,0.871847093488942
"601",29,12,0
"602",29,13,0
"603",29,14,0.628277124119357
"604",29,15,0.980492132515768
"605",29,16,0.288761548482483
"606",29,17,0
"607",29,18,0.11259810022356
"608",29,19,3.1030247031297
"609",29,20,0
"610",30,0,0
"611",30,1,0
"612",30,2,0
"613",30,3,0
"614",30,4,0
"615",30,5,0.524872511945122
"616",30,6,0.327624525131437
"617",30,7,0
"618",30,8,0.866574563092125
"619",30,9,0.345711411753175
"620",30,10,2.26763678195465
"621",30,11,0
"622",30,12,0
"623",30,13,0
"624",30,14,0.686895561355555
"625",30,15,0
"626",30,16,2.08340915907775
"627",30,17,0
"628",30,18,0.897275485690188
"629",30,19,0
"630",30,20,0
"631",31,0,0
"632",31,1,0
"633",31,2,0.52648645089826
"634",31,3,0
"635",31,4,0.0186107932724344
"636",31,5,0.122661710832194
"637",31,6,0.118247871530768
"638",31,7,0
"639",31,8,1.76062694217274
"640",31,9,0.365994956749489
"641",31,10,2.33971267529014
"642",31,11,0
"643",31,12,0.380127117968794
"644",31,13,0.915886199751327
"645",31,14,0.535759081782533
"646",31,15,0.915886199751327
"647",31,16,0
"648",31,17,0
"649",31,18,0
"650",31,19,0
"651",31,20,0
"652",32,0,0
"653",32,1,0
"654",32,2,0
"655",32,3,0
"656",32,4,0.298329587336501
"657",32,5,0.311890023124523
"658",32,6,0.461054816792773
"659",32,7,0
"660",32,8,1.28824139986216
"661",32,9,1.00347224831368
"662",32,10,0.257648279972432
"663",32,11,0.339010894700569
"664",32,12,0.732263532553229
"665",32,13,0.135604357880228
"666",32,14,0.244087844184409
"667",32,15,0.203406536820341
"668",32,16,0.0406813073640682
"669",32,17,0.0271208715760455
"670",32,18,0.054241743152091
"671",32,19,0.0813626147281365
"672",32,20,0
"673",33,0,0
"674",33,1,0.952561628908907
"675",33,2,0.0624630576333709
"676",33,3,0
"677",33,4,0.0468472932250282
"678",33,5,0
"679",33,6,0.0312315288166855
"680",33,7,0.312315288166855
"681",33,8,3.59162581391883
"682",33,9,0.0156157644083427
"683",33,10,0.0468472932250282
"684",33,11,0
"685",33,12,0
"686",33,13,0
"687",33,14,1.04625621535896
"688",33,15,0.0468472932250282
"689",33,16,0
"690",33,17,0
"691",33,18,0
"692",33,19,0.218620701716798
"693",33,20,0.109310350858399
"694",34,0,0
"695",34,1,0
"696",34,2,0
"697",34,3,0
"698",34,4,0
"699",34,5,0
"700",34,6,0
"701",34,7,0.179623402794155
"702",34,8,0.643554871799113
"703",34,9,0.364904120546158
"704",34,10,0
"705",34,11,0
"706",34,12,0.078705243137187
"707",34,13,0.268867251499743
"708",34,14,2.10771813529086
"709",34,15,0.396695533160722
"710",34,16,3.95993144177206
"711",34,17,0
"712",34,18,0
"713",34,19,0
"714",34,20,0
"715",35,0,0
"716",35,1,0
"717",35,2,0
"718",35,3,0
"719",35,4,0
"720",35,5,0
"721",35,6,0
"722",35,7,0.957306450610071
"723",35,8,0.629000520763354
"724",35,9,0.797787349160976
"725",35,10,0.0579008291990218
"726",35,11,1.15330502887593
"727",35,12,0
"728",35,13,0
"729",35,14,0.20376524604928
"730",35,15,0
"731",35,16,0
"732",35,17,0
"733",35,18,0
"734",35,19,4.20093457534136
"735",35,20,0
"736",36,0,0
"737",36,1,0
"738",36,2,0
"739",36,3,0
"740",36,4,0.0934222291804029
"741",36,5,0
"742",36,6,0.384732939395401
"743",36,7,0.228557845772893
"744",36,8,0.0431665324982069
"745",36,9,1.28740657949941
"746",36,10,0.137658592060837
"747",36,11,0.552186445427696
"748",36,12,1.07193426082378
"749",36,13,1.45220899164426
"750",36,14,0
"751",36,15,0
"752",36,16,1.29651659205284
"753",36,17,0
"754",36,18,1.45220899164426
"755",36,19,0
"756",36,20,0
"757",37,0,0
"758",37,1,0
"759",37,2,0
"760",37,3,0
"761",37,4,0
"762",37,5,0.00311391802295952
"763",37,6,2.0197255334947
"764",37,7,2.807484483416
"765",37,8,1.71746707342208
"766",37,9,0
"767",37,10,0
"768",37,11,0
"769",37,12,0
"770",37,13,0
"771",37,14,0
"772",37,15,0
"773",37,16,0
"774",37,17,0
"775",37,18,0
"776",37,19,1.45220899164426
"777",37,20,0
"778",38,0,0
"779",38,1,0
"780",38,2,0
"781",38,3,0
"782",38,4,0
"783",38,5,0.0604564910345659
"784",38,6,0.871428837855574
"785",38,7,0.517217062994129
"786",38,8,0
"787",38,9,0
"788",38,10,0.58818373446205
"789",38,11,0.309570306668057
"790",38,12,1.98817612205615
"791",38,13,0.760549461640951
"792",38,14,2.90441798328852
"793",38,15,0
"794",38,16,0
"795",38,17,0
"796",38,18,0
"797",38,19,0
"798",38,20,0
"799",39,0,0
"800",39,1,0
"801",39,2,0.603118756244492
"802",39,3,0
"803",39,4,0
"804",39,5,0.172319644641284
"805",39,6,0.0143599703867736
"806",39,7,0
"807",39,8,0
"808",39,9,0
"809",39,10,3.7048723597876
"810",39,11,0.545678874697398
"811",39,12,0.445159081989983
"812",39,13,0.143599703867736
"813",39,14,0.215399555801604
"814",39,15,0.0287199407735473
"815",39,16,0
"816",39,17,0
"817",39,18,0
"818",39,19,0
"819",39,20,0
"820",40,0,0
"821",40,1,0.0358873421791838
"822",40,2,0.119624473930613
"823",40,3,0.837371317514288
"824",40,4,0
"825",40,5,0
"826",40,6,0
"827",40,7,0
"828",40,8,0
"829",40,9,0
"830",40,10,0.598122369653063
"831",40,11,0.227286500468164
"832",40,12,0.729709290976737
"833",40,13,0.358873421791838
"834",40,14,1.22016963409225
"835",40,15,0.0956995791444901
"836",40,16,0.442610553543266
"837",40,17,0
"838",40,18,0
"839",40,19,0
"840",40,20,0
