"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,0.230603226657948
"12",1,11,2.22916452436016
"13",1,12,0
"14",1,13,0.0307470968877264
"15",1,14,0.0461206453315896
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0.0153735484438632
"20",1,19,0.799424519080886
"21",1,20,1.27600452084065
"22",1,21,0.76867742219316
"23",1,22,0.953160003519518
"24",1,23,0.0922412906631792
"25",1,24,0.645689034642254
"26",1,25,0.138361935994769
"27",1,26,0.0307470968877264
"28",2,0,0
"29",2,1,0
"30",2,2,0
"31",2,3,0
"32",2,4,0
"33",2,5,0
"34",2,6,0
"35",2,7,0.482005674567894
"36",2,8,0.160668558189298
"37",2,9,0.642674232757191
"38",2,10,2.5560906984661
"39",2,11,0.248305953565279
"40",2,12,0.0146062325626634
"41",2,13,0
"42",2,14,0
"43",2,15,0
"44",2,16,0
"45",2,17,0
"46",2,18,0
"47",2,19,0.671886697882518
"48",2,20,0.759524093258499
"49",2,21,0
"50",2,22,0.175274790751961
"51",2,23,0.292124651253269
"52",2,24,0.350549581503923
"53",2,25,0.482005674567894
"54",2,26,0
"55",3,0,0
"56",3,1,0
"57",3,2,0
"58",3,3,0
"59",3,4,0
"60",3,5,0
"61",3,6,0
"62",3,7,0.835572805080474
"63",3,8,0.0913773774450197
"64",3,9,0.198164783803387
"65",3,10,0.399498995265009
"66",3,11,0.49990110633132
"67",3,12,0.0130409144568896
"68",3,13,0
"69",3,14,0
"70",3,15,0
"71",3,16,0
"72",3,17,0
"73",3,18,0
"74",3,19,0.586477847152375
"75",3,20,0.326095566234396
"76",3,21,0.200019766344255
"77",3,22,0.526115332578651
"78",3,23,0
"79",3,24,0.373284769017678
"80",3,25,3.95045073629054
"81",3,26,0
"82",4,0,0
"83",4,1,0
"84",4,2,0
"85",4,3,0
"86",4,4,0
"87",4,5,0
"88",4,6,0
"89",4,7,2.17572469427808
"90",4,8,0.0146618516649971
"91",4,9,0.0148294193111718
"92",4,10,2.28092623612971
"93",4,11,3.51385779861605
"94",4,12,0
"95",4,13,0
"96",4,14,0
"97",4,15,0
"98",4,16,0
"99",4,17,0
"100",4,18,0
"101",4,19,0
"102",4,20,0
"103",4,21,0
"104",4,22,0
"105",4,23,0
"106",4,24,0
"107",4,25,0
"108",4,26,0
"109",5,0,0
"110",5,1,0
"111",5,2,0
"112",5,3,0
"113",5,4,0
"114",5,5,0
"115",5,6,0
"116",5,7,1.78794189659497
"117",5,8,0.223662019368222
"118",5,9,0.270413165179359
"119",5,10,2.73024045282006
"120",5,11,2.98774246603739
"121",5,12,0
"122",5,13,0
"123",5,14,0
"124",5,15,0
"125",5,16,0
"126",5,17,0
"127",5,18,0
"128",5,19,0
"129",5,20,0
"130",5,21,0
"131",5,22,0
"132",5,23,0
"133",5,24,0
"134",5,25,0
"135",5,26,0
"136",6,0,0
"137",6,1,0
"138",6,2,0
"139",6,3,0
"140",6,4,0
"141",6,5,0
"142",6,6,0
"143",6,7,0.131874462294957
"144",6,8,2.43179685266579
"145",6,9,0.0603625145737242
"146",6,10,0.878965662483878
"147",6,11,3.07148507380667
"148",6,12,1.42551543417498
"149",6,13,0
"150",6,14,0
"151",6,15,0
"152",6,16,0
"153",6,17,0
"154",6,18,0
"155",6,19,0
"156",6,20,0
"157",6,21,0
"158",6,22,0
"159",6,23,0
"160",6,24,0
"161",6,25,0
"162",6,26,0
"163",7,0,0
"164",7,1,0
"165",7,2,0
"166",7,3,0
"167",7,4,0
"168",7,5,0
"169",7,6,0
"170",7,7,0
"171",7,8,1.56051982554336
"172",7,9,0.065706097917615
"173",7,10,0.410663111985094
"174",7,11,2.1683012312813
"175",7,12,2.08616860888428
"176",7,13,0.985591468764226
"177",7,14,0.509222258861517
"178",7,15,0
"179",7,16,0
"180",7,17,0
"181",7,18,0
"182",7,19,0
"183",7,20,0
"184",7,21,0
"185",7,22,0
"186",7,23,0
"187",7,24,0
"188",7,25,0
"189",7,26,0
"190",8,0,0
"191",8,1,0
"192",8,2,0
"193",8,3,0
"194",8,4,0
"195",8,5,0
"196",8,6,0
"197",8,7,0
"198",8,8,0.970428050999649
"199",8,9,1.48995013890855
"200",8,10,0.107825338999961
"201",8,11,0
"202",8,12,0.960625747454198
"203",8,13,0
"204",8,14,0
"205",8,15,0
"206",8,16,0
"207",8,17,0
"208",8,18,0
"209",8,19,0
"210",8,20,0.284266802818079
"211",8,21,0.225452981545373
"212",8,22,0.058813821272706
"213",8,23,0.049011517727255
"214",8,24,0
"215",8,25,0
"216",8,26,0
"217",9,0,0
"218",9,1,0
"219",9,2,0
"220",9,3,0
"221",9,4,0.59712161192708
"222",9,5,2.6713335270422
"223",9,6,0
"224",9,7,0
"225",9,8,0
"226",9,9,3.34702377211758
"227",9,10,0
"228",9,11,0
"229",9,12,0
"230",9,13,0
"231",9,14,0
"232",9,15,0.40855689237116
"233",9,16,0
"234",9,17,0
"235",9,18,0
"236",9,19,0
"237",9,20,0.18856471955592
"238",9,21,0.20427844618558
"239",9,22,0
"240",9,23,0
"241",9,24,0
"242",9,25,0
"243",9,26,0
"244",10,0,0
"245",10,1,0
"246",10,2,0
"247",10,3,0.0304125329350992
"248",10,4,1.09235658075075
"249",10,5,0
"250",10,6,0
"251",10,7,0
"252",10,8,0
"253",10,9,0
"254",10,10,0
"255",10,11,0
"256",10,12,0
"257",10,13,0
"258",10,14,0.707057410191128
"259",10,15,0.813141403260702
"260",10,16,0
"261",10,17,0
"262",10,18,0
"263",10,19,0.179319529017575
"264",10,20,0.180210097025491
"265",10,21,0.81939254691792
"266",10,22,0.752606042285402
"267",10,23,1.33644890766527
"268",10,24,2.08905494995067
"269",10,25,0
"270",10,26,0
"271",11,0,0
"272",11,1,0
"273",11,2,0
"274",11,3,0
"275",11,4,0.627513316397385
"276",11,5,0
"277",11,6,0
"278",11,7,0
"279",11,8,0
"280",11,9,0
"281",11,10,0
"282",11,11,1.61360567073613
"283",11,12,3.37661927394784
"284",11,13,0.119526345980454
"285",11,14,1.43431615176545
"286",11,15,0.134467139228011
"287",11,16,0
"288",11,17,0.074703966237784
"289",11,18,0
"290",11,19,0
"291",11,20,0.0448223797426704
"292",11,21,0.194230312218238
"293",11,22,0
"294",11,23,0
"295",11,24,0
"296",11,25,0
"297",11,26,0
"298",12,0,0
"299",12,1,0
"300",12,2,0
"301",12,3,0
"302",12,4,0
"303",12,5,0
"304",12,6,0
"305",12,7,0
"306",12,8,0
"307",12,9,0
"308",12,10,0.0852394899437507
"309",12,11,0.0601472382975631
"310",12,12,1.27811076808426
"311",12,13,0.538910168768971
"312",12,14,0.537246455844742
"313",12,15,0.0176829646311359
"314",12,16,0.467470506285519
"315",12,17,0
"316",12,18,0
"317",12,19,0.135071613206795
"318",12,20,4.88012079493726
"319",12,21,0
"320",12,22,0
"321",12,23,0
"322",12,24,0
"323",12,25,0
"324",12,26,0
"325",13,0,0
"326",13,1,0
"327",13,2,0
"328",13,3,0
"329",13,4,0
"330",13,5,0
"331",13,6,0
"332",13,7,0
"333",13,8,0.442711478108548
"334",13,9,0
"335",13,10,0.625902434567258
"336",13,11,0
"337",13,12,5.1446126938821
"338",13,13,0.381647825955645
"339",13,14,0
"340",13,15,0
"341",13,16,0.076329565191129
"342",13,17,0.18319095645871
"343",13,18,0
"344",13,19,0.915954782293548
"345",13,20,0.0305318260764516
"346",13,21,0
"347",13,22,0
"348",13,23,0
"349",13,24,0
"350",13,25,0
"351",13,26,0
"352",14,0,0
"353",14,1,0.147070229376685
"354",14,2,0
"355",14,3,0
"356",14,4,0
"357",14,5,0
"358",14,6,0
"359",14,7,0
"360",14,8,0
"361",14,9,0
"362",14,10,0
"363",14,11,0
"364",14,12,2.32554800201883
"365",14,13,0
"366",14,14,0
"367",14,15,0.477978245474226
"368",14,16,0.790502482899681
"369",14,17,0.450402577466097
"370",14,18,0
"371",14,19,0
"372",14,20,0.0183837786720856
"373",14,21,0
"374",14,22,0
"375",14,23,0
"376",14,24,0
"377",14,25,0
"378",14,26,0
"379",15,0,0
"380",15,1,0
"381",15,2,1.58127324334937
"382",15,3,1.6377472877547
"383",15,4,0
"384",15,5,0
"385",15,6,0
"386",15,7,0
"387",15,8,0
"388",15,9,0
"389",15,10,0
"390",15,11,0
"391",15,12,2.40014688722672
"392",15,13,0.0141185111013337
"393",15,14,0
"394",15,15,0.296488733128007
"395",15,16,0.42355533304001
"396",15,17,0.268251710925339
"397",15,18,0.338844266432008
"398",15,19,0.0705925555066683
"399",15,20,0.0988295777093356
"400",15,21,0.0282370222026673
"401",15,22,0
"402",15,23,0
"403",15,24,0
"404",15,25,0
"405",15,26,0
"406",16,0,0
"407",16,1,0
"408",16,2,3.10346622271902
"409",16,3,1.04741985016767
"410",16,4,0.0129311092613292
"411",16,5,0
"412",16,6,0
"413",16,7,0
"414",16,8,0
"415",16,9,1.44828423726887
"416",16,10,0.556037698237157
"417",16,11,0
"418",16,12,0.0517244370453169
"419",16,13,0.0517244370453169
"420",16,14,0.16810442039728
"421",16,15,0.0258622185226585
"422",16,16,0
"423",16,17,0
"424",16,18,0
"425",16,19,0
"426",16,20,0
"427",16,21,0
"428",16,22,0
"429",16,23,0
"430",16,24,0
"431",16,25,0
"432",16,26,0
"433",17,0,0
"434",17,1,0.299887622115378
"435",17,2,0.0384627231849273
"436",17,3,0
"437",17,4,0
"438",17,5,0
"439",17,6,0
"440",17,7,0
"441",17,8,0
"442",17,9,0.712553000945666
"443",17,10,0.143926075906356
"444",17,11,0.18394279616819
"445",17,12,0.155583964575138
"446",17,13,3.08238654438929
"447",17,14,0.09500602087784
"448",17,15,1.51102935265759
"449",17,16,1.77722189917962
"450",17,17,0
"451",17,18,0
"452",17,19,0
"453",17,20,0
"454",17,21,0
"455",17,22,0
"456",17,23,0
"457",17,24,0
"458",17,25,0
"459",17,26,0
"460",18,0,0
"461",18,1,1.60908308870761
"462",18,2,0
"463",18,3,0.967624289830929
"464",18,4,0
"465",18,5,0
"466",18,6,0
"467",18,7,0
"468",18,8,0
"469",18,9,2.03309822694813
"470",18,10,0.0217443660636164
"471",18,11,0.467503870367752
"472",18,12,0.0761052812226573
"473",18,13,0.0326165490954246
"474",18,14,0.0543609151590409
"475",18,15,0
"476",18,16,0
"477",18,17,0
"478",18,18,0
"479",18,19,0
"480",18,20,0
"481",18,21,0
"482",18,22,0
"483",18,23,0
"484",18,24,0
"485",18,25,0
"486",18,26,0
"487",19,0,0
"488",19,1,0
"489",19,2,0
"490",19,3,0
"491",19,4,0
"492",19,5,0
"493",19,6,0
"494",19,7,0.490161268730706
"495",19,8,1.699070610612
"496",19,9,0.420374844828119
"497",19,10,0.454524801758926
"498",19,11,1.75023154206055
"499",19,12,1.40841503283007
"500",19,13,0
"501",19,14,0
"502",19,15,0
"503",19,16,0
"504",19,17,0
"505",19,18,0
"506",19,19,0.888610949589812
"507",19,20,0.888610949589812
"508",19,21,0
"509",19,22,0
"510",19,23,0
"511",19,24,0
"512",19,25,0
"513",19,26,0
"514",20,0,0
"515",20,1,0
"516",20,2,3.79318951782266
"517",20,3,0.0764755951173924
"518",20,4,0
"519",20,5,0.336492618516527
"520",20,6,0
"521",20,7,2.32485809156873
"522",20,8,0.978887617502623
"523",20,9,0
"524",20,10,0.19883654730522
"525",20,11,0
"526",20,12,0
"527",20,13,0
"528",20,14,0
"529",20,15,0
"530",20,16,0
"531",20,17,0
"532",20,18,0
"533",20,19,0
"534",20,20,0.0611804760939139
"535",20,21,0
"536",20,22,0.030590238046957
"537",20,23,0
"538",20,24,0
"539",20,25,0
"540",20,26,0
"541",21,0,0
"542",21,1,0
"543",21,2,3.47354825998181
"544",21,3,0.442575647024709
"545",21,4,0.362107347565671
"546",21,5,0.0536455329726921
"547",21,6,1.63618875566711
"548",21,7,0.911974060535765
"549",21,8,0.0938796827022111
"550",21,9,0
"551",21,10,0
"552",21,11,0
"553",21,12,0.013411383243173
"554",21,13,0
"555",21,14,0
"556",21,15,0.0670569162158651
"557",21,16,0
"558",21,17,0
"559",21,18,0
"560",21,19,0
"561",21,20,0
"562",21,21,0
"563",21,22,0
"564",21,23,0
"565",21,24,0
"566",21,25,0
"567",21,26,0
"568",22,0,0
"569",22,1,0
"570",22,2,0.306633346274746
"571",22,3,0.0496095884302919
"572",22,4,0.538964422002035
"573",22,5,0.00483562381925709
"574",22,6,1.68658663491526
"575",22,7,0
"576",22,8,2.93392018589786
"577",22,9,0
"578",22,10,0
"579",22,11,2.47945019866055
"580",22,12,0
"581",22,13,0
"582",22,14,0
"583",22,15,0
"584",22,16,0
"585",22,17,0
"586",22,18,0
"587",22,19,0
"588",22,20,0
"589",22,21,0
"590",22,22,0
"591",22,23,0
"592",22,24,0
"593",22,25,0
"594",22,26,0
"595",23,0,0
"596",23,1,0
"597",23,2,0.0144248938368305
"598",23,3,0.307504978846973
"599",23,4,0.436136068812868
"600",23,5,1.28788402821903
"601",23,6,1.85260562016717
"602",23,7,0.738796230617276
"603",23,8,0
"604",23,9,3.36264817949985
"605",23,10,0
"606",23,11,0
"607",23,12,0
"608",23,13,0
"609",23,14,0
"610",23,15,0
"611",23,16,0
"612",23,17,0
"613",23,18,0
"614",23,19,0
"615",23,20,0
"616",23,21,0
"617",23,22,0
"618",23,23,0
"619",23,24,0
"620",23,25,0
"621",23,26,0
"622",24,0,0
"623",24,1,0
"624",24,2,1.45604088595417
"625",24,3,0
"626",24,4,0.265724667072568
"627",24,5,2.74544252361606
"628",24,6,0
"629",24,7,1.05334172469665
"630",24,8,2.47945019866055
"631",24,9,0
"632",24,10,0
"633",24,11,0
"634",24,12,0
"635",24,13,0
"636",24,14,0
"637",24,15,0
"638",24,16,0
"639",24,17,0
"640",24,18,0
"641",24,19,0
"642",24,20,0
"643",24,21,0
"644",24,22,0
"645",24,23,0
"646",24,24,0
"647",24,25,0
"648",24,26,0
"649",25,0,0
"650",25,1,0.779922143704061
"651",25,2,1.24243112670475
"652",25,3,0
"653",25,4,0
"654",25,5,0
"655",25,6,0
"656",25,7,0
"657",25,8,1.07184507139701
"658",25,9,4.90580165819418
"659",25,10,0
"660",25,11,0
"661",25,12,0
"662",25,13,0
"663",25,14,0
"664",25,15,0
"665",25,16,0
"666",25,17,0
"667",25,18,0
"668",25,19,0
"669",25,20,0
"670",25,21,0
"671",25,22,0
"672",25,23,0
"673",25,24,0
"674",25,25,0
"675",25,26,0
"676",26,0,0
"677",26,1,0
"678",26,2,0
"679",26,3,0.485932952381089
"680",26,4,0.105787117956938
"681",26,5,0
"682",26,6,0.13213749855314
"683",26,7,0
"684",26,8,0.266519828729176
"685",26,9,0.271390240422396
"686",26,10,0
"687",26,11,0
"688",26,12,0
"689",26,13,0
"690",26,14,0
"691",26,15,0
"692",26,16,0.0660347420844822
"693",26,17,0.996533564181123
"694",26,18,0.825270489947226
"695",26,19,1.31760164238723
"696",26,20,2.13295624301427
"697",26,21,0
"698",26,22,1.39983568034293
"699",26,23,0
"700",26,24,0
"701",26,25,0
"702",26,26,0
"703",27,0,0
"704",27,1,0
"705",27,2,0.16914352705814
"706",27,3,1.26207093266459
"707",27,4,0
"708",27,5,0
"709",27,6,0
"710",27,7,0
"711",27,8,0
"712",27,9,0
"713",27,10,0
"714",27,11,0
"715",27,12,0
"716",27,13,0
"717",27,14,0
"718",27,15,0.16914352705814
"719",27,16,0.702596189318429
"720",27,17,1.58734694623793
"721",27,18,0.442375378459752
"722",27,19,1.05389428397764
"723",27,20,1.21002677049285
"724",27,21,0.182154567601074
"725",27,22,0.0390331216288016
"726",27,23,0
"727",27,24,0
"728",27,25,0
"729",27,26,0
"730",28,0,0
"731",28,1,0
"732",28,2,0
"733",28,3,4.38728758373558
"734",28,4,0
"735",28,5,0
"736",28,6,0
"737",28,7,0
"738",28,8,0
"739",28,9,0
"740",28,10,0
"741",28,11,0
"742",28,12,0
"743",28,13,0
"744",28,14,0
"745",28,15,0
"746",28,16,0.641416313411635
"747",28,17,0.744042923557497
"748",28,18,0.115454936414094
"749",28,19,0.320708156705818
"750",28,20,0.359193135510516
"751",28,21,0.14111158895056
"752",28,22,0
"753",28,23,0
"754",28,24,0
"755",28,25,0
"756",28,26,0
"757",29,0,0
"758",29,1,0.146794587257791
"759",29,2,0.543749048829146
"760",29,3,5.54306040223446
"761",29,4,0
"762",29,5,0
"763",29,6,0
"764",29,7,0
"765",29,8,0
"766",29,9,0
"767",29,10,0
"768",29,11,0
"769",29,12,0
"770",29,13,0
"771",29,14,0
"772",29,15,0
"773",29,16,0
"774",29,17,0
"775",29,18,0
"776",29,19,0.366560281335667
"777",29,20,1.39983568034293
"778",29,21,0
"779",29,22,0
"780",29,23,0
"781",29,24,0
"782",29,25,0
"783",29,26,0
"784",30,0,0
"785",30,1,0
"786",30,2,0.99349311825286
"787",30,3,3.18824665569984
"788",30,4,3.8182602260473
"789",30,5,0
"790",30,6,0
"791",30,7,0
"792",30,8,0
"793",30,9,0
"794",30,10,0
"795",30,11,0
"796",30,12,0
"797",30,13,0
"798",30,14,0
"799",30,15,0
"800",30,16,0
"801",30,17,0
"802",30,18,0
"803",30,19,0
"804",30,20,0
"805",30,21,0
"806",30,22,0
"807",30,23,0
"808",30,24,0
"809",30,25,0
"810",30,26,0
"811",31,0,0
"812",31,1,0
"813",31,2,0.0439077858240629
"814",31,3,2.29423621772706
"815",31,4,2.18248973563845
"816",31,5,3.47936626081042
"817",31,6,0
"818",31,7,0
"819",31,8,0
"820",31,9,0
"821",31,10,0
"822",31,11,0
"823",31,12,0
"824",31,13,0
"825",31,14,0
"826",31,15,0
"827",31,16,0
"828",31,17,0
"829",31,18,0
"830",31,19,0
"831",31,20,0
"832",31,21,0
"833",31,22,0
"834",31,23,0
"835",31,24,0
"836",31,25,0
"837",31,26,0
"838",32,0,0
"839",32,1,0
"840",32,2,0.191772508693821
"841",32,3,1.01157890550739
"842",32,4,0.0734618071169463
"843",32,5,0
"844",32,6,0
"845",32,7,1.57283501540151
"846",32,8,0.202019899478346
"847",32,9,0
"848",32,10,0
"849",32,11,0
"850",32,12,4.05747711362413
"851",32,13,0
"852",32,14,0
"853",32,15,0
"854",32,16,0.890854750177855
"855",32,17,0
"856",32,18,0
"857",32,19,0
"858",32,20,0
"859",32,21,0
"860",32,22,0
"861",32,23,0
"862",32,24,0
"863",32,25,0
"864",32,26,0
"865",33,0,0
"866",33,1,0.609459400347445
"867",33,2,0.160989275563476
"868",33,3,0
"869",33,4,0
"870",33,5,0
"871",33,6,0
"872",33,7,0.390973954939871
"873",33,8,0
"874",33,9,0
"875",33,10,0
"876",33,11,0
"877",33,12,0.0689954038129183
"878",33,13,0.0172488509532296
"879",33,14,0
"880",33,15,0.00574961698440986
"881",33,16,0.0229984679376394
"882",33,17,0.0114992339688197
"883",33,18,0.0804946377817381
"884",33,19,0.149490041594656
"885",33,20,0.149490041594656
"886",33,21,0.00574961698440986
"887",33,22,0
"888",33,23,0
"889",33,24,0
"890",33,25,0
"891",33,26,0
"892",34,0,0
"893",34,1,0.179137645190616
"894",34,2,0
"895",34,3,0
"896",34,4,0
"897",34,5,0
"898",34,6,0.496467188099706
"899",34,7,0.399221037853372
"900",34,8,0.0409457474721407
"901",34,9,0.0102364368680352
"902",34,10,0
"903",34,11,0.00511821843401759
"904",34,12,0.00511821843401759
"905",34,13,0.0102364368680352
"906",34,14,0
"907",34,15,0
"908",34,16,0
"909",34,17,0
"910",34,18,0
"911",34,19,0
"912",34,20,0
"913",34,21,0
"914",34,22,0
"915",34,23,0
"916",34,24,0
"917",34,25,0
"918",34,26,0
"919",35,0,0
"920",35,1,1.01733754938996
"921",35,2,0
"922",35,3,0
"923",35,4,0
"924",35,5,0
"925",35,6,0.0100230300432509
"926",35,7,0
"927",35,8,0
"928",35,9,0
"929",35,10,0
"930",35,11,0
"931",35,12,0
"932",35,13,0
"933",35,14,0
"934",35,15,0.0350806051513781
"935",35,16,0
"936",35,17,0
"937",35,18,0
"938",35,19,0
"939",35,20,0
"940",35,21,0
"941",35,22,0
"942",35,23,0
"943",35,24,0
"944",35,25,0
"945",35,26,0
"946",36,0,0
"947",36,1,0.138254224325474
"948",36,2,0.0300552661577118
"949",36,3,0.138254224325474
"950",36,4,0.691271121627372
"951",36,5,0
"952",36,6,0
"953",36,7,0.739359547479711
"954",36,8,0.108198958167763
"955",36,9,0
"956",36,10,0.0360663193892542
"957",36,11,0
"958",36,12,0
"959",36,13,0
"960",36,14,0
"961",36,15,0
"962",36,16,0
"963",36,17,0
"964",36,18,0
"965",36,19,0
"966",36,20,0
"967",36,21,0
"968",36,22,0
"969",36,23,0
"970",36,24,0
"971",36,25,0
"972",36,26,0
"973",37,0,0
"974",37,1,0
"975",37,2,0.52749495677633
"976",37,3,7.47250504322367
"977",37,4,0
"978",37,5,0
"979",37,6,0
"980",37,7,0
"981",37,8,0
"982",37,9,0
"983",37,10,0
"984",37,11,0
"985",37,12,0
"986",37,13,0
"987",37,14,0
