"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0.175671115072977
"4",1,3,0
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,0.830445271254074
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0.191641216443248
"19",1,18,0
"20",1,19,0.023955152055406
"21",1,20,0.151715963017571
"22",1,21,0.127760810962165
"23",1,22,0.0558953547959473
"24",1,23,0.135745861647301
"25",1,24,0.327387078090549
"26",1,25,0.630819004125691
"27",1,26,0.319402027405413
"28",1,27,0.103805658906759
"29",1,28,0.071865456166218
"30",2,0,0
"31",2,1,0
"32",2,2,0
"33",2,3,0
"34",2,4,0
"35",2,5,0
"36",2,6,0
"37",2,7,0
"38",2,8,0
"39",2,9,0
"40",2,10,0.11313195208934
"41",2,11,0
"42",2,12,0
"43",2,13,0
"44",2,14,0
"45",2,15,0
"46",2,16,0
"47",2,17,0.205895729236516
"48",2,18,0
"49",2,19,0.00678171653557562
"50",2,20,0.0274885696481108
"51",2,21,0.0677296232950934
"52",2,22,0.0948968328956881
"53",2,23,0.232396604432411
"54",2,24,0.226147997973186
"55",2,25,0.54363674326043
"56",2,26,0.421076066060106
"57",2,27,1.85163752495918
"58",2,28,4.20918063961437
"59",3,0,0
"60",3,1,0
"61",3,2,0
"62",3,3,0
"63",3,4,0.430149287625178
"64",3,5,0.227726093448624
"65",3,6,0.392194938717074
"66",3,7,0.721132629253975
"67",3,8,0.54401233434949
"68",3,9,0.607269582529663
"69",3,10,0.303634791264832
"70",3,11,0.253028992720693
"71",3,12,0.139165945996381
"72",3,13,0.113863046724312
"73",3,14,0
"74",3,15,0.0632572481801732
"75",3,16,0.037954348908104
"76",3,17,0.113863046724312
"77",3,18,0
"78",3,19,0
"79",3,20,0.0253028992720693
"80",3,21,0.0506057985441386
"81",3,22,0.316286240900866
"82",3,23,0.0253028992720693
"83",3,24,1.17658481615122
"84",3,25,0.177120294904485
"85",3,26,0.0253028992720693
"86",3,27,0.177120294904485
"87",3,28,0.0506057985441386
"88",4,0,0
"89",4,1,0
"90",4,2,0
"91",4,3,0
"92",4,4,0
"93",4,5,0
"94",4,6,0
"95",4,7,0.0348101523956323
"96",4,8,0
"97",4,9,1.96503606844765
"98",4,10,0
"99",4,11,0
"100",4,12,0
"101",4,13,0
"102",4,14,0
"103",4,15,0
"104",4,16,0
"105",4,17,0
"106",4,18,0
"107",4,19,0
"108",4,20,0
"109",4,21,0
"110",4,22,0.0378148176562518
"111",4,23,0.0522056496615766
"112",4,24,0.709724973241766
"113",4,25,0.311560645523307
"114",4,26,0.783075350773552
"115",4,27,4.10577234230027
"116",4,28,0
"117",5,0,0
"118",5,1,0
"119",5,2,0
"120",5,3,0
"121",5,4,0
"122",5,5,0
"123",5,6,0
"124",5,7,0.93029672216681
"125",5,8,2.12342772888512
"126",5,9,4.94627554894807
"127",5,10,0
"128",5,11,0
"129",5,12,0
"130",5,13,0
"131",5,14,0
"132",5,15,0
"133",5,16,0
"134",5,17,0
"135",5,18,0
"136",5,19,0
"137",5,20,0
"138",5,21,0
"139",5,22,0
"140",5,23,0
"141",5,24,0
"142",5,25,0
"143",5,26,0
"144",5,27,0
"145",5,28,0
"146",6,0,0
"147",6,1,0
"148",6,2,0
"149",6,3,0
"150",6,4,0.0904871332869306
"151",6,5,0.186028013392546
"152",6,6,0.229078156075607
"153",6,7,0.734029205773769
"154",6,8,1.28846696414161
"155",6,9,0.180620124451829
"156",6,10,2.19239140909645
"157",6,11,2.2031162943672
"158",6,12,0
"159",6,13,0
"160",6,14,0
"161",6,15,0
"162",6,16,0
"163",6,17,0
"164",6,18,0
"165",6,19,0
"166",6,20,0
"167",6,21,0
"168",6,22,0
"169",6,23,0
"170",6,24,0.895782699414058
"171",6,25,0
"172",6,26,0
"173",6,27,0
"174",6,28,0
"175",7,0,0
"176",7,1,0
"177",7,2,0.243494043107048
"178",7,3,0.10633569672657
"179",7,4,0.461288256852549
"180",7,5,2.16098474474664
"181",7,6,0.434693204337586
"182",7,7,0
"183",7,8,2.5139486292836
"184",7,9,2.07925542494601
"185",7,10,0
"186",7,11,0
"187",7,12,0
"188",7,13,0
"189",7,14,0
"190",7,15,0
"191",7,16,0
"192",7,17,0
"193",7,18,0
"194",7,19,0
"195",7,20,0
"196",7,21,0
"197",7,22,0
"198",7,23,0
"199",7,24,0
"200",7,25,0
"201",7,26,0
"202",7,27,0
"203",7,28,0
"204",8,0,0
"205",8,1,0
"206",8,2,0.246687898957175
"207",8,3,0.00641149719586258
"208",8,4,1.25647885688323
"209",8,5,0
"210",8,6,0
"211",8,7,0
"212",8,8,6.49042174696374
"213",8,9,0
"214",8,10,0
"215",8,11,0
"216",8,12,0
"217",8,13,0
"218",8,14,0
"219",8,15,0
"220",8,16,0
"221",8,17,0
"222",8,18,0
"223",8,19,0
"224",8,20,0
"225",8,21,0
"226",8,22,0
"227",8,23,0
"228",8,24,0
"229",8,25,0
"230",8,26,0
"231",8,27,0
"232",8,28,0
"233",9,0,0
"234",9,1,0
"235",9,2,1.24878453728072
"236",9,3,4.67196003777327
"237",9,4,0
"238",9,5,0
"239",9,6,0
"240",9,7,0
"241",9,8,0
"242",9,9,2.07925542494601
"243",9,10,0
"244",9,11,0
"245",9,12,0
"246",9,13,0
"247",9,14,0
"248",9,15,0
"249",9,16,0
"250",9,17,0
"251",9,18,0
"252",9,19,0
"253",9,20,0
"254",9,21,0
"255",9,22,0
"256",9,23,0
"257",9,24,0
"258",9,25,0
"259",9,26,0
"260",9,27,0
"261",9,28,0
"262",10,0,0
"263",10,1,0
"264",10,2,0.708730717528862
"265",10,3,7.29126928247114
"266",10,4,0
"267",10,5,0
"268",10,6,0
"269",10,7,0
"270",10,8,0
"271",10,9,0
"272",10,10,0
"273",10,11,0
"274",10,12,0
"275",10,13,0
"276",10,14,0
"277",10,15,0
"278",10,16,0
"279",10,17,0
"280",10,18,0
"281",10,19,0
"282",10,20,0
"283",10,21,0
"284",10,22,0
"285",10,23,0
"286",10,24,0
"287",10,25,0
"288",10,26,0
"289",10,27,0
"290",10,28,0
"291",11,0,0
"292",11,1,0
"293",11,2,0.990576811823503
"294",11,3,2.88809287482602
"295",11,4,0
"296",11,5,0.876796759555159
"297",11,6,3.24453355379532
"298",11,7,0
"299",11,8,0
"300",11,9,0
"301",11,10,0
"302",11,11,0
"303",11,12,0
"304",11,13,0
"305",11,14,0
"306",11,15,0
"307",11,16,0
"308",11,17,0
"309",11,18,0
"310",11,19,0
"311",11,20,0
"312",11,21,0
"313",11,22,0
"314",11,23,0
"315",11,24,0
"316",11,25,0
"317",11,26,0
"318",11,27,0
"319",11,28,0
"320",12,0,0
"321",12,1,0
"322",12,2,0.272727722379353
"323",12,3,0.725823620314379
"324",12,4,1.32193573886462
"325",12,5,0.0581853870975349
"326",12,6,1.40505849025024
"327",12,7,2.17983243492594
"328",12,8,0
"329",12,9,0
"330",12,10,0.646352364119682
"331",12,11,0
"332",12,12,0
"333",12,13,0
"334",12,14,0
"335",12,15,0
"336",12,16,0
"337",12,17,0
"338",12,18,0
"339",12,19,0
"340",12,20,0
"341",12,21,0
"342",12,22,0
"343",12,23,0
"344",12,24,0.513038733769178
"345",12,25,0.877045508279063
"346",12,26,0
"347",12,27,0
"348",12,28,0
"349",13,0,0
"350",13,1,0
"351",13,2,0.0159689268790563
"352",13,3,0
"353",13,4,0.0732482111428262
"354",13,5,0.978046809591406
"355",13,6,5.54304606773796
"356",13,7,0
"357",13,8,1.38968998464875
"358",13,9,0
"359",13,10,0
"360",13,11,0
"361",13,12,0
"362",13,13,0
"363",13,14,0
"364",13,15,0
"365",13,16,0
"366",13,17,0
"367",13,18,0
"368",13,19,0
"369",13,20,0
"370",13,21,0
"371",13,22,0
"372",13,23,0
"373",13,24,0
"374",13,25,0
"375",13,26,0
"376",13,27,0
"377",13,28,0
"378",14,0,0
"379",14,1,0
"380",14,2,0
"381",14,3,0
"382",14,4,0
"383",14,5,1.26474647281029
"384",14,6,1.32394851825603
"385",14,7,0
"386",14,8,2.07208147611887
"387",14,9,3.3392235328148
"388",14,10,0
"389",14,11,0
"390",14,12,0
"391",14,13,0
"392",14,14,0
"393",14,15,0
"394",14,16,0
"395",14,17,0
"396",14,18,0
"397",14,19,0
"398",14,20,0
"399",14,21,0
"400",14,22,0
"401",14,23,0
"402",14,24,0
"403",14,25,0
"404",14,26,0
"405",14,27,0
"406",14,28,0
"407",15,0,0
"408",15,1,0
"409",15,2,0
"410",15,3,0
"411",15,4,0.113780052268344
"412",15,5,1.59089892370593
"413",15,6,0.128438527696968
"414",15,7,0.121528623737003
"415",15,8,0.0654430587598508
"416",15,9,0.129549895617572
"417",15,10,0.172458830199981
"418",15,11,0.0433739750480214
"419",15,12,1.25054431519053
"420",15,13,0.0401605266284581
"421",15,14,0
"422",15,15,0.128750053455685
"423",15,16,0.194992954377423
"424",15,17,3.14328350375907
"425",15,18,0
"426",15,19,0
"427",15,20,0
"428",15,21,0
"429",15,22,0
"430",15,23,0
"431",15,24,0.876796759555159
"432",15,25,0
"433",15,26,0
"434",15,27,0
"435",15,28,0
"436",16,0,0
"437",16,1,0.353365110629689
"438",16,2,0
"439",16,3,0.530047665944533
"440",16,4,0.580528396034489
"441",16,5,0.334434836845955
"442",16,6,0.0441706388287111
"443",16,7,0
"444",16,8,0.0252403650449778
"445",16,9,0.126201825224889
"446",16,10,0.00631009126124444
"447",16,11,0.0378605475674667
"448",16,12,0.492187118377067
"449",16,13,0.0126201825224889
"450",16,14,0
"451",16,15,0
"452",16,16,0
"453",16,17,0.0252403650449778
"454",16,18,0.0315504563062222
"455",16,19,0
"456",16,20,0
"457",16,21,0
"458",16,22,0
"459",16,23,0
"460",16,24,0
"461",16,25,0
"462",16,26,0
"463",16,27,0
"464",16,28,0
"465",17,0,0
"466",17,1,0.795622529587204
"467",17,2,0.0138771371439629
"468",17,3,0
"469",17,4,0
"470",17,5,0.0370056990505676
"471",17,6,0.106391384770382
"472",17,7,0.0138771371439629
"473",17,8,0.0555085485758515
"474",17,9,0.0370056990505676
"475",17,10,0
"476",17,11,0
"477",17,12,0
"478",17,13,0
"479",17,14,0
"480",17,15,0.00462571238132096
"481",17,16,0
"482",17,17,0.0693856857198143
"483",17,18,0
"484",17,19,0
"485",17,20,0
"486",17,21,0
"487",17,22,0
"488",17,23,0
"489",17,24,0
"490",17,25,0
"491",17,26,0
"492",17,27,0
"493",17,28,0
"494",18,0,0
"495",18,1,0.0867868772611359
"496",18,2,0.00486519960091591
"497",18,3,0
"498",18,4,0
"499",18,5,0.0650117546191235
"500",18,6,0.193710693409157
"501",18,7,0.0211081235385556
"502",18,8,0.926409013870988
"503",18,9,0.380882988552625
"504",18,10,0.144723412264588
"505",18,11,0.0689248483309408
"506",18,12,0.257216170337638
"507",18,13,0.609501250335496
"508",18,14,0.267295509219663
"509",18,15,0.103318652847008
"510",18,16,0.337272017404344
"511",18,17,1.90258320974234
"512",18,18,0
"513",18,19,0.363903534461567
"514",18,20,2.26648674420391
"515",18,21,0
"516",18,22,0
"517",18,23,0
"518",18,24,0
"519",18,25,0
"520",18,26,0
"521",18,27,0
"522",18,28,0
"523",19,0,0
"524",19,1,0
"525",19,2,0
"526",19,3,0
"527",19,4,0.201501042503405
"528",19,5,0
"529",19,6,0
"530",19,7,0
"531",19,8,0.125935713205139
"532",19,9,0.159744026437768
"533",19,10,0.777565690663982
"534",19,11,0
"535",19,12,0.0124050915722728
"536",19,13,0.934424522343906
"537",19,14,0.24380527398935
"538",19,15,0.0986454560909946
"539",19,16,0.375457614700847
"540",19,17,1.27998794576628
"541",19,18,0
"542",19,19,1.75409101655813
"543",19,20,2.03643660616792
"544",19,21,0
"545",19,22,0
"546",19,23,0
"547",19,24,0
"548",19,25,0
"549",19,26,0
"550",19,27,0
"551",19,28,0
"552",20,0,0
"553",20,1,0
"554",20,2,0
"555",20,3,0
"556",20,4,0
"557",20,5,0
"558",20,6,0
"559",20,7,0
"560",20,8,0.64710980754573
"561",20,9,0
"562",20,10,0.0075994775314091
"563",20,11,0.45348377900398
"564",20,12,0.560267611537931
"565",20,13,1.10943819494437
"566",20,14,0.0627554661847252
"567",20,15,1.91389162979877
"568",20,16,0.614317508615898
"569",20,17,1.75409101655813
"570",20,18,0
"571",20,19,0
"572",20,20,0
"573",20,21,0
"574",20,22,0.877045508279063
"575",20,23,0
"576",20,24,0
"577",20,25,0
"578",20,26,0
"579",20,27,0
"580",20,28,0
"581",21,0,0
"582",21,1,0
"583",21,2,0
"584",21,3,0
"585",21,4,0
"586",21,5,0
"587",21,6,0
"588",21,7,0
"589",21,8,0.0748155697150935
"590",21,9,0
"591",21,10,0
"592",21,11,0
"593",21,12,0.0259457508743927
"594",21,13,0.29338704357409
"595",21,14,0.0402076388848952
"596",21,15,1.87972759870866
"597",21,16,0
"598",21,17,0.0300363739477532
"599",21,18,0
"600",21,19,0
"601",21,20,0
"602",21,21,0
"603",21,22,0.251098132536176
"604",21,23,0
"605",21,24,0.0375464419604559
"606",21,25,3.08007778780847
"607",21,26,2.28715766199002
"608",21,27,0
"609",21,28,0
"610",22,0,0
"611",22,1,0
"612",22,2,0
"613",22,3,0
"614",22,4,0
"615",22,5,0
"616",22,6,0
"617",22,7,0
"618",22,8,0
"619",22,9,0
"620",22,10,0
"621",22,11,0
"622",22,12,0
"623",22,13,0
"624",22,14,0.0283064849308299
"625",22,15,0.367984304100789
"626",22,16,0
"627",22,17,0
"628",22,18,0
"629",22,19,0
"630",22,20,0
"631",22,21,0.016983890958498
"632",22,22,0.486871540810275
"633",22,23,0.0339677819169959
"634",22,24,0.209467988488142
"635",22,25,0.469887649851777
"636",22,26,0.164177612598814
"637",22,27,0.022645187944664
"638",22,28,0
"639",23,0,0
"640",23,1,0
"641",23,2,0
"642",23,3,0
"643",23,4,0
"644",23,5,0
"645",23,6,0
"646",23,7,0
"647",23,8,0
"648",23,9,0
"649",23,10,0
"650",23,11,0
"651",23,12,0
"652",23,13,0
"653",23,14,0
"654",23,15,0
"655",23,16,0
"656",23,17,0
"657",23,18,0
"658",23,19,0
"659",23,20,0
"660",23,21,0
"661",23,22,0.338155258095264
"662",23,23,0.0234830040343933
"663",23,24,0.277099447605841
"664",23,25,0.0892354153306946
"665",23,26,0.187864032275146
"666",23,27,0.0328762056481506
"667",23,28,0
"668",24,0,0
"669",24,1,0
"670",24,2,0
"671",24,3,0
"672",24,4,0
"673",24,5,0
"674",24,6,0
"675",24,7,0
"676",24,8,0
"677",24,9,0
"678",24,10,0
"679",24,11,0
"680",24,12,0
"681",24,13,0
"682",24,14,0
"683",24,15,0
"684",24,16,0.13570457834996
"685",24,17,0.0814227470099762
"686",24,18,0
"687",24,19,0
"688",24,20,0.508892168812351
"689",24,21,0.251053469947427
"690",24,22,0.156060265102454
"691",24,23,0.203556867524941
"692",24,24,0.413898963967379
"693",24,25,0.237483012112431
"694",24,26,0.631026289327316
"695",24,27,0.0678522891749802
"696",24,28,0
"697",25,0,0
"698",25,1,0
"699",25,2,0
"700",25,3,0
"701",25,4,0.42775072256463
"702",25,5,0.827904624318638
"703",25,6,0.151782514458417
"704",25,7,0
"705",25,8,0
"706",25,9,0
"707",25,10,0.0551936416212426
"708",25,11,0.0551936416212426
"709",25,12,0
"710",25,13,0
"711",25,14,0
"712",25,15,0
"713",25,16,0.0137984104053106
"714",25,17,0.234572976890281
"715",25,18,0.151782514458417
"716",25,19,0.124185693647796
"717",25,20,2.04216473998597
"718",25,21,0.689920520265532
"719",25,22,0.607130057833668
"720",25,23,0.717517341076153
"721",25,24,0.689920520265532
"722",25,25,0.165580924863728
"723",25,26,0.193177745674349
"724",25,27,0.0275968208106213
"725",25,28,0
"726",26,0,0
"727",26,1,0
"728",26,2,0
"729",26,3,0
"730",26,4,0.247837627581451
"731",26,5,2.95103933630451
"732",26,6,3.91632967398521
"733",26,7,0.88479336212883
"734",26,8,0
"735",26,9,0
"736",26,10,0
"737",26,11,0
"738",26,12,0
"739",26,13,0
"740",26,14,0
"741",26,15,0
"742",26,16,0
"743",26,17,0
"744",26,18,0
"745",26,19,0
"746",26,20,0
"747",26,21,0
"748",26,22,0
"749",26,23,0
"750",26,24,0
"751",26,25,0
"752",26,26,0
"753",26,27,0
"754",26,28,0
"755",27,0,0
"756",27,1,0.0146488103574816
"757",27,2,1.43511707863927
"758",27,3,0
"759",27,4,0
"760",27,5,0.644726737941678
"761",27,6,5.90550737306157
"762",27,7,0
"763",27,8,0
"764",27,9,0
"765",27,10,0
"766",27,11,0
"767",27,12,0
"768",27,13,0
"769",27,14,0
"770",27,15,0
"771",27,16,0
"772",27,17,0
"773",27,18,0
"774",27,19,0
"775",27,20,0
"776",27,21,0
"777",27,22,0
"778",27,23,0
"779",27,24,0
"780",27,25,0
"781",27,26,0
"782",27,27,0
"783",27,28,0
"784",28,0,0
"785",28,1,0.943192192638925
"786",28,2,1.8240245708885
"787",28,3,0.522263445510809
"788",28,4,0.116924651980032
"789",28,5,0
"790",28,6,0.0155899535973376
"791",28,7,0
"792",28,8,0
"793",28,9,0
"794",28,10,0
"795",28,11,0
"796",28,12,0
"797",28,13,0
"798",28,14,0
"799",28,15,0
"800",28,16,0
"801",28,17,0
"802",28,18,0
"803",28,19,0
"804",28,20,0
"805",28,21,0
"806",28,22,0
"807",28,23,0
"808",28,24,0
"809",28,25,0
"810",28,26,0
"811",28,27,0
"812",28,28,0
"813",29,0,0
"814",29,1,0.394636136265094
"815",29,2,0.532160850418081
"816",29,3,0.878962303499528
"817",29,4,0.155462720346855
"818",29,5,0
"819",29,6,0.0597933539795597
"820",29,7,0
"821",29,8,0.0239173415918239
"822",29,9,0
"823",29,10,0
"824",29,11,0
"825",29,12,0
"826",29,13,0
"827",29,14,0
"828",29,15,0
"829",29,16,0
"830",29,17,0
"831",29,18,0
"832",29,19,0
"833",29,20,0
"834",29,21,0
"835",29,22,0
"836",29,23,0
"837",29,24,0
"838",29,25,0
"839",29,26,0.00597933539795597
"840",29,27,0
"841",29,28,0
"842",30,0,0
"843",30,1,0.0220367227602001
"844",30,2,1.05662326153293
"845",30,3,4.11576115814881
"846",30,4,0
"847",30,5,0
"848",30,6,2.80557885755805
"849",30,7,0
"850",30,8,0
"851",30,9,0
"852",30,10,0
"853",30,11,0
"854",30,12,0
"855",30,13,0
"856",30,14,0
"857",30,15,0
"858",30,16,0
"859",30,17,0
"860",30,18,0
"861",30,19,0
"862",30,20,0
"863",30,21,0
"864",30,22,0
"865",30,23,0
"866",30,24,0
"867",30,25,0
"868",30,26,0
"869",30,27,0
"870",30,28,0
"871",31,0,0
"872",31,1,0
"873",31,2,0.873160023081825
"874",31,3,0.0365371982428706
"875",31,4,0
"876",31,5,0
"877",31,6,2.28379839181703
"878",31,7,0.186413426831121
"879",31,8,1.45164528153386
"880",31,9,0.597228047576774
"881",31,10,2.57121763091652
"882",31,11,0
"883",31,12,0
"884",31,13,0
"885",31,14,0
"886",31,15,0
"887",31,16,0
"888",31,17,0
"889",31,18,0
"890",31,19,0
"891",31,20,0
"892",31,21,0
"893",31,22,0
"894",31,23,0
"895",31,24,0
"896",31,25,0
"897",31,26,0
"898",31,27,0
"899",31,28,0
"900",32,0,0
"901",32,1,0
"902",32,2,0
"903",32,3,0
"904",32,4,0
"905",32,5,0
"906",32,6,2.72917795564709
"907",32,7,0
"908",32,8,0
"909",32,9,0
"910",32,10,2.69960441343638
"911",32,11,0
"912",32,12,0
"913",32,13,0
"914",32,14,2.57121763091652
"915",32,15,0
"916",32,16,0
"917",32,17,0
"918",32,18,0
"919",32,19,0
"920",32,20,0
"921",32,21,0
"922",32,22,0
"923",32,23,0
"924",32,24,0
"925",32,25,0
"926",32,26,0
"927",32,27,0
"928",32,28,0
"929",33,0,0
"930",33,1,0
"931",33,2,0
"932",33,3,0
"933",33,4,0
"934",33,5,0
"935",33,6,0.811633593442701
"936",33,7,0
"937",33,8,2.27955298619682
"938",33,9,0.286928363649876
"939",33,10,4.6218850567106
"940",33,11,0
"941",33,12,0
"942",33,13,0
"943",33,14,0
"944",33,15,0
"945",33,16,0
"946",33,17,0
"947",33,18,0
"948",33,19,0
"949",33,20,0
"950",33,21,0
"951",33,22,0
"952",33,23,0
"953",33,24,0
"954",33,25,0
"955",33,26,0
"956",33,27,0
"957",33,28,0
"958",34,0,0
"959",34,1,1.99993538169888
"960",34,2,0
"961",34,3,0
"962",34,4,0
"963",34,5,0
"964",34,6,0
"965",34,7,0
"966",34,8,0.471779628503326
"967",34,9,0.0923047099245637
"968",34,10,1.10765651909476
"969",34,11,0.0820486310440566
"970",34,12,0
"971",34,13,0
"972",34,14,0
"973",34,15,0
"974",34,16,0.0102560788805071
"975",34,17,0
"976",34,18,0
"977",34,19,0
"978",34,20,0
"979",34,21,0
"980",34,22,0
"981",34,23,0
"982",34,24,0
"983",34,25,0
"984",34,26,0
"985",34,27,0
"986",34,28,0
"987",35,0,0
"988",35,1,0
"989",35,2,0
