"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0.365763666525675
"4",1,3,2.35511477412791
"5",1,4,0
"6",1,5,0
"7",1,6,1.82856367394492
"8",1,7,0
"9",1,8,0.516637699503633
"10",1,9,0
"11",1,10,0.650886524715629
"12",1,11,2.28303366118223
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",1,24,0
"26",1,25,0
"27",2,0,0
"28",2,1,0
"29",2,2,0.00720774725274475
"30",2,3,0.0121042369902112
"31",2,4,0.0146784721243004
"32",2,5,0.00246293134773123
"33",2,6,0.304914165632723
"34",2,7,0
"35",2,8,0
"36",2,9,0.28284646652654
"37",2,10,2.29156024280234
"38",2,11,3.3173012803598
"39",2,12,0
"40",2,13,0.366669954016402
"41",2,14,0
"42",2,15,0
"43",2,16,0
"44",2,17,0
"45",2,18,0
"46",2,19,0
"47",2,20,1.4002545029472
"48",2,21,0
"49",2,22,0
"50",2,23,0
"51",2,24,0
"52",2,25,0
"53",3,0,0
"54",3,1,0
"55",3,2,0
"56",3,3,0.0689122730798233
"57",3,4,0
"58",3,5,0.407788570707636
"59",3,6,0.726394023944508
"60",3,7,0
"61",3,8,0.0123745299773007
"62",3,9,0.441352117329391
"63",3,10,1.16787354060189
"64",3,11,3.77505044141225
"65",3,12,1.4002545029472
"66",3,13,0
"67",3,14,0
"68",3,15,0
"69",3,16,0
"70",3,17,0
"71",3,18,0
"72",3,19,0
"73",3,20,0
"74",3,21,0
"75",3,22,0
"76",3,23,0
"77",3,24,0
"78",3,25,0
"79",4,0,0
"80",4,1,0
"81",4,2,2.36789345732289
"82",4,3,0
"83",4,4,0
"84",4,5,0.146289034624736
"85",4,6,0.126656833681184
"86",4,7,0
"87",4,8,0
"88",4,9,0
"89",4,10,1.5409004483239
"90",4,11,3.8182602260473
"91",4,12,0
"92",4,13,0
"93",4,14,0
"94",4,15,0
"95",4,16,0
"96",4,17,0
"97",4,18,0
"98",4,19,0
"99",4,20,0
"100",4,21,0
"101",4,22,0
"102",4,23,0
"103",4,24,0
"104",4,25,0
"105",5,0,0
"106",5,1,0
"107",5,2,8
"108",5,3,0
"109",5,4,0
"110",5,5,0
"111",5,6,0
"112",5,7,0
"113",5,8,0
"114",5,9,0
"115",5,10,0
"116",5,11,0
"117",5,12,0
"118",5,13,0
"119",5,14,0
"120",5,15,0
"121",5,16,0
"122",5,17,0
"123",5,18,0
"124",5,19,0
"125",5,20,0
"126",5,21,0
"127",5,22,0
"128",5,23,0
"129",5,24,0
"130",5,25,0
"131",6,0,0
"132",6,1,0.0413935744262762
"133",6,2,4.79142746566292
"134",6,3,0
"135",6,4,0
"136",6,5,0
"137",6,6,0.883462228481802
"138",6,7,0
"139",6,8,0
"140",6,9,0.23238096234531
"141",6,10,0
"142",6,11,0
"143",6,12,0
"144",6,13,0
"145",6,14,0
"146",6,15,0
"147",6,16,0
"148",6,17,0
"149",6,18,0
"150",6,19,0
"151",6,20,1.16787354060189
"152",6,21,0.883462228481802
"153",6,22,0
"154",6,23,0
"155",6,24,0
"156",6,25,0
"157",7,0,0
"158",7,1,2.84872336989168
"159",7,2,0.857475261840306
"160",7,3,0
"161",7,4,0
"162",7,5,0
"163",7,6,0.84794775893097
"164",7,7,0
"165",7,8,0.0857475261840306
"166",7,9,0
"167",7,10,0
"168",7,11,0
"169",7,12,0
"170",7,13,0
"171",7,14,0
"172",7,15,0
"173",7,16,0
"174",7,17,0
"175",7,18,0
"176",7,19,0
"177",7,20,0
"178",7,21,0.00952750290933674
"179",7,22,0
"180",7,23,0
"181",7,24,0
"182",7,25,0
"183",8,0,0
"184",8,1,0.499405238206205
"185",8,2,0.680439637055954
"186",8,3,0
"187",8,4,0
"188",8,5,0.00624256547757756
"189",8,6,0.274672881013413
"190",8,7,0
"191",8,8,0.618013982280178
"192",8,9,0.0249702619103102
"193",8,10,0.00624256547757756
"194",8,11,0.187276964327327
"195",8,12,0
"196",8,13,0.00624256547757756
"197",8,14,0
"198",8,15,0
"199",8,16,0
"200",8,17,0
"201",8,18,0
"202",8,19,0
"203",8,20,0.00624256547757756
"204",8,21,0.00624256547757756
"205",8,22,0
"206",8,23,0
"207",8,24,0
"208",8,25,0
"209",9,0,0
"210",9,1,0
"211",9,2,1.62213729112683
"212",9,3,0
"213",9,4,0
"214",9,5,0
"215",9,6,0.183708253404598
"216",9,7,0.262372147857314
"217",9,8,0.168461724274031
"218",9,9,0.0422546953615524
"219",9,10,0.151913700330455
"220",9,11,1.23409968713253
"221",9,12,0.395313104949182
"222",9,13,0
"223",9,14,0.670540675812015
"224",9,15,1.8689442168043
"225",9,16,0
"226",9,17,1.4002545029472
"227",9,18,0
"228",9,19,0
"229",9,20,0
"230",9,21,0
"231",9,22,0
"232",9,23,0
"233",9,24,0
"234",9,25,0
"235",10,0,0
"236",10,1,0
"237",10,2,0.117890523572003
"238",10,3,0
"239",10,4,0
"240",10,5,0.310965742924669
"241",10,6,0.231040018954034
"242",10,7,0.549370829577462
"243",10,8,0.596578429503255
"244",10,9,1.0635757344428
"245",10,10,2.33006971513137
"246",10,11,2.8005090058944
"247",10,12,0
"248",10,13,0
"249",10,14,0
"250",10,15,0
"251",10,16,0
"252",10,17,0
"253",10,18,0
"254",10,19,0
"255",10,20,0
"256",10,21,0
"257",10,22,0
"258",10,23,0
"259",10,24,0
"260",10,25,0
"261",11,0,0
"262",11,1,0
"263",11,2,0
"264",11,3,0
"265",11,4,0.0189899785983368
"266",11,5,0.178449079566031
"267",11,6,0.359132591806665
"268",11,7,0.0124755181933127
"269",11,8,0.580718784491597
"270",11,9,0.871970182535025
"271",11,10,1.10613828154124
"272",11,11,0.868098530004542
"273",11,12,1.0213397741636
"274",11,13,1.55958378205925
"275",11,14,1.4231034970404
"276",11,15,0
"277",11,16,0
"278",11,17,0
"279",11,18,0
"280",11,19,0
"281",11,20,0
"282",11,21,0
"283",11,22,0
"284",11,23,0
"285",11,24,0
"286",11,25,0
"287",12,0,0
"288",12,1,0
"289",12,2,0
"290",12,3,0
"291",12,4,0.154649682543601
"292",12,5,0.428721356715464
"293",12,6,0.738987062858127
"294",12,7,1.6886156674124
"295",12,8,0.767180532301746
"296",12,9,2.79826247687919
"297",12,10,1.42358322128947
"298",12,11,0
"299",12,12,0
"300",12,13,0
"301",12,14,0
"302",12,15,0
"303",12,16,0
"304",12,17,0
"305",12,18,0
"306",12,19,0
"307",12,20,0
"308",12,21,0
"309",12,22,0
"310",12,23,0
"311",12,24,0
"312",12,25,0
"313",13,0,0
"314",13,1,0
"315",13,2,0
"316",13,3,0
"317",13,4,1.14657988856752
"318",13,5,1.36952597801121
"319",13,6,0.270720251467332
"320",13,7,4.10857793403363
"321",13,8,0
"322",13,9,0
"323",13,10,0
"324",13,11,0
"325",13,12,0
"326",13,13,0.175171927420038
"327",13,14,0
"328",13,15,0
"329",13,16,0
"330",13,17,0.127397765396392
"331",13,18,0.398118016863724
"332",13,19,0
"333",13,20,0
"334",13,21,0
"335",13,22,0
"336",13,23,0
"337",13,24,0
"338",13,25,0
"339",14,0,0
"340",14,1,0
"341",14,2,0.554062490880977
"342",14,3,0
"343",14,4,0
"344",14,5,0
"345",14,6,0
"346",14,7,1.99749138723796
"347",14,8,0
"348",14,9,0
"349",14,10,0
"350",14,11,0
"351",14,12,0.353581393426227
"352",14,13,1.08948792875687
"353",14,14,0.334095292532597
"354",14,15,0
"355",14,16,0
"356",14,17,0.162186562148502
"357",14,18,3.50909494501687
"358",14,19,0
"359",14,20,0
"360",14,21,0
"361",14,22,0
"362",14,23,0
"363",14,24,0
"364",14,25,0
"365",15,0,0
"366",15,1,0
"367",15,2,2.82766014178591
"368",15,3,0.29040833888612
"369",15,4,0.183415792980707
"370",15,5,0.397400884791533
"371",15,6,0
"372",15,7,1.92586582629743
"373",15,8,1.17691800495954
"374",15,9,0.106992545905413
"375",15,10,0
"376",15,11,0
"377",15,12,0
"378",15,13,0
"379",15,14,0
"380",15,15,0
"381",15,16,0.0764232470752948
"382",15,17,0.183415792980707
"383",15,18,0.0917078964903537
"384",15,19,0
"385",15,20,0
"386",15,21,0
"387",15,22,0
"388",15,23,0
"389",15,24,0
"390",15,25,0
"391",16,0,0
"392",16,1,0
"393",16,2,0
"394",16,3,0.54170181250797
"395",16,4,0
"396",16,5,1.67136868459648
"397",16,6,0
"398",16,7,1.00687474617827
"399",16,8,2.25854187459723
"400",16,9,2.52151288212005
"401",16,10,0
"402",16,11,0
"403",16,12,0
"404",16,13,0
"405",16,14,0
"406",16,15,0
"407",16,16,0
"408",16,17,0
"409",16,18,0
"410",16,19,0
"411",16,20,0
"412",16,21,0
"413",16,22,0
"414",16,23,0
"415",16,24,0
"416",16,25,0
"417",17,0,0
"418",17,1,0
"419",17,2,0.0523349014372391
"420",17,3,0.216724455377229
"421",17,4,0.0965404710096247
"422",17,5,2.16675664301728
"423",17,6,0.347616819993335
"424",17,7,0.712750753151792
"425",17,8,1.88576307389344
"426",17,9,2.52151288212005
"427",17,10,0
"428",17,11,0
"429",17,12,0
"430",17,13,0
"431",17,14,0
"432",17,15,0
"433",17,16,0
"434",17,17,0
"435",17,18,0
"436",17,19,0
"437",17,20,0
"438",17,21,0
"439",17,22,0
"440",17,23,0
"441",17,24,0
"442",17,25,0
"443",18,0,0
"444",18,1,0
"445",18,2,0.041140004244092
"446",18,3,0.375568470867109
"447",18,4,0.209716401218535
"448",18,5,0.158107130385807
"449",18,6,0.337007861280479
"450",18,7,1.28385346325971
"451",18,8,2.37466142546155
"452",18,9,1.79636202199325
"453",18,10,0
"454",18,11,0
"455",18,12,0
"456",18,13,0
"457",18,14,0.525402210292843
"458",18,15,0
"459",18,16,0
"460",18,17,0
"461",18,18,0.898181010996626
"462",18,19,0
"463",18,20,0
"464",18,21,0
"465",18,22,0
"466",18,23,0
"467",18,24,0
"468",18,25,0
"469",19,0,0
"470",19,1,0
"471",19,2,0.0495270968925097
"472",19,3,1.6038457702298
"473",19,4,0.0293401505898619
"474",19,5,0.311599178752935
"475",19,6,0.233738829224581
"476",19,7,1.36467301829682
"477",19,8,0.462179852603974
"478",19,9,0.0632223576888689
"479",19,10,0
"480",19,11,0
"481",19,12,0
"482",19,13,0
"483",19,14,0.462179852603974
"484",19,15,0
"485",19,16,0
"486",19,17,0.725150860126801
"487",19,18,0
"488",19,19,2.69454303298988
"489",19,20,0
"490",19,21,0
"491",19,22,0
"492",19,23,0
"493",19,24,0
"494",19,25,0
"495",20,0,0
"496",20,1,0
"497",20,2,0
"498",20,3,1.31263049101403
"499",20,4,0.00747113976224713
"500",20,5,0
"501",20,6,0.193587211427556
"502",20,7,0
"503",20,8,0.453665501446727
"504",20,9,6.03264565634944
"505",20,10,0
"506",20,11,0
"507",20,12,0
"508",20,13,0
"509",20,14,0
"510",20,15,0
"511",20,16,0
"512",20,17,0
"513",20,18,0
"514",20,19,0
"515",20,20,0
"516",20,21,0
"517",20,22,0
"518",20,23,0
"519",20,24,0
"520",20,25,0
"521",21,0,0
"522",21,1,0
"523",21,2,1.02467889375739
"524",21,3,0.741716645599764
"525",21,4,0
"526",21,5,0
"527",21,6,0.0876758776784636
"528",21,7,0
"529",21,8,0.281051050182333
"530",21,9,3.07265292866366
"531",21,10,0
"532",21,11,2.79222460411839
"533",21,12,0
"534",21,13,0
"535",21,14,0
"536",21,15,0
"537",21,16,0
"538",21,17,0
"539",21,18,0
"540",21,19,0
"541",21,20,0
"542",21,21,0
"543",21,22,0
"544",21,23,0
"545",21,24,0
"546",21,25,0
"547",22,0,0
"548",22,1,0
"549",22,2,0.26557247374067
"550",22,3,0.901539813531698
"551",22,4,0
"552",22,5,0
"553",22,6,0
"554",22,7,0
"555",22,8,0
"556",22,9,0
"557",22,10,0.413666893643577
"558",22,11,0.515414708784484
"559",22,12,0.398711790786686
"560",22,13,1.36350273800471
"561",22,14,0
"562",22,15,0
"563",22,16,2.37937705271678
"564",22,17,0
"565",22,18,0
"566",22,19,0
"567",22,20,1.76221452879139
"568",22,21,0
"569",22,22,0
"570",22,23,0
"571",22,24,0
"572",22,25,0
"573",23,0,0
"574",23,1,0
"575",23,2,0
"576",23,3,0.703752719642377
"577",23,4,0
"578",23,5,0
"579",23,6,0
"580",23,7,0
"581",23,8,0
"582",23,9,0
"583",23,10,0.0289384320533433
"584",23,11,0.68038581559402
"585",23,12,0.399463739392366
"586",23,13,3.5441375001308
"587",23,14,2.64332179318709
"588",23,15,0
"589",23,16,0
"590",23,17,0
"591",23,18,0
"592",23,19,0
"593",23,20,0
"594",23,21,0
"595",23,22,0
"596",23,23,0
"597",23,24,0
"598",23,25,0
"599",24,0,0
"600",24,1,0
"601",24,2,0
"602",24,3,4.35367969505128
"603",24,4,0.121611164666237
"604",24,5,0.474283542198323
"605",24,6,0.681022522130926
"606",24,7,0.413477959865205
"607",24,8,0.182416746999355
"608",24,9,0.145933397599484
"609",24,10,0
"610",24,11,0
"611",24,12,0.0608055823331184
"612",24,13,0
"613",24,14,0
"614",24,15,0
"615",24,16,0
"616",24,17,0
"617",24,18,0
"618",24,19,0
"619",24,20,0
"620",24,21,0
"621",24,22,0
"622",24,23,0
"623",24,24,0
"624",24,25,0
"625",25,0,0
"626",25,1,0
"627",25,2,0.178836435850069
"628",25,3,1.66338271806401
"629",25,4,0.115163972191387
"630",25,5,0.267321021554319
"631",25,6,0
"632",25,7,0
"633",25,8,0.592056327700643
"634",25,9,0.52623323434691
"635",25,10,4.65700629029266
"636",25,11,0
"637",25,12,0
"638",25,13,0
"639",25,14,0
"640",25,15,0
"641",25,16,0
"642",25,17,0
"643",25,18,0
"644",25,19,0
"645",25,20,0
"646",25,21,0
"647",25,22,0
"648",25,23,0
"649",25,24,0
"650",25,25,0
"651",26,0,0
"652",26,1,0.00235183985834865
"653",26,2,0
"654",26,3,0
"655",26,4,0
"656",26,5,0
"657",26,6,0.110606172110088
"658",26,7,0.0444235841011881
"659",26,8,0.73079428198528
"660",26,9,0.395978894221644
"661",26,10,0.740739921656552
"662",26,11,0.283653183018322
"663",26,12,0.465836371699124
"664",26,13,0
"665",26,14,0.386704093179376
"666",26,15,0.356311191401231
"667",26,16,0.117422108444612
"668",26,17,0.435940764067051
"669",26,18,0.668753277144702
"670",26,19,0
"671",26,20,0
"672",26,21,3.26048431711248
"673",26,22,0
"674",26,23,0
"675",26,24,0
"676",26,25,0
"677",27,0,0
"678",27,1,0
"679",27,2,1.25097989361133
"680",27,3,0
"681",27,4,0
"682",27,5,0
"683",27,6,0
"684",27,7,0
"685",27,8,0
"686",27,9,0
"687",27,10,0.439533476133712
"688",27,11,0.498701444074789
"689",27,12,0.101430802184703
"690",27,13,0
"691",27,14,0
"692",27,15,0.0676205347898018
"693",27,16,0.169051336974505
"694",27,17,0.0845256684872523
"695",27,18,0.456438609831163
"696",27,19,0.0929782353359776
"697",27,20,0.287387272856658
"698",27,21,0.346555240797735
"699",27,22,0.219766738066856
"700",27,23,0.0253577005461757
"701",27,24,0
"702",27,25,0
"703",28,0,0
"704",28,1,0.0130297961301763
"705",28,2,6.18915316183373
"706",28,3,0
"707",28,4,0
"708",28,5,0
"709",28,6,0
"710",28,7,0
"711",28,8,0
"712",28,9,0.117268165171586
"713",28,10,0.338774699384583
"714",28,11,0
"715",28,12,0
"716",28,13,0
"717",28,14,0
"718",28,15,0
"719",28,16,0
"720",28,17,0.182417145822468
"721",28,18,0
"722",28,19,0
"723",28,20,0
"724",28,21,0.10423836904141
"725",28,22,0
"726",28,23,0
"727",28,24,0
"728",28,25,0
"729",29,0,0
"730",29,1,1.99069077173727
"731",29,2,0.0933387277108616
"732",29,3,0
"733",29,4,0.181905367877415
"734",29,5,0
"735",29,6,0.46744037075212
"736",29,7,0.195951577986093
"737",29,8,0
"738",29,9,0
"739",29,10,0
"740",29,11,0.072658008382909
"741",29,12,0.0251724875382011
"742",29,13,0
"743",29,14,0
"744",29,15,0.315836397722467
"745",29,16,0
"746",29,17,1.73003131408725
"747",29,18,2.92697497620541
"748",29,19,0
"749",29,20,0
"750",29,21,0
"751",29,22,0
"752",29,23,0
"753",29,24,0
"754",29,25,0
"755",30,0,0
"756",30,1,0.0800046251226858
"757",30,2,0
"758",30,3,0.851428817163724
"759",30,4,0.833132926363333
"760",30,5,0.871725900185715
"761",30,6,1.43447013690736
"762",30,7,0
"763",30,8,0
"764",30,9,0
"765",30,10,0
"766",30,11,0
"767",30,12,0
"768",30,13,0
"769",30,14,0.404808536674396
"770",30,15,0.0820393725928909
"771",30,16,1.6801751561985
"772",30,17,0.881107264395697
"773",30,18,0
"774",30,19,0.881107264395697
"775",30,20,0
"776",30,21,0
"777",30,22,0
"778",30,23,0
"779",30,24,0
"780",30,25,0
"781",31,0,0
"782",31,1,0
"783",31,2,0
"784",31,3,0.255560006758517
"785",31,4,1.44867857470017
"786",31,5,1.20112760928737
"787",31,6,0.438807494697328
"788",31,7,0
"789",31,8,0
"790",31,9,0
"791",31,10,0
"792",31,11,0
"793",31,12,0.147517815845593
"794",31,13,0
"795",31,14,4.50830849871102
"796",31,15,0
"797",31,16,0
"798",31,17,0
"799",31,18,0
"800",31,19,0
"801",31,20,0
"802",31,21,0
"803",31,22,0
"804",31,23,0
"805",31,24,0
"806",31,25,0
"807",32,0,0
"808",32,1,0
"809",32,2,0.875879771454206
"810",32,3,2.64981348579184
"811",32,4,1.44132114289933
"812",32,5,0
"813",32,6,0.144132114289933
"814",32,7,0
"815",32,8,0
"816",32,9,0
"817",32,10,0
"818",32,11,0
"819",32,12,0
"820",32,13,0
"821",32,14,0.0221741714292204
"822",32,15,0
"823",32,16,0
"824",32,17,0
"825",32,18,0
"826",32,19,0
"827",32,20,0
"828",32,21,0.0221741714292204
"829",32,22,0
"830",32,23,0
"831",32,24,0
"832",32,25,0
"833",33,0,0
"834",33,1,0
"835",33,2,0.152242390274958
"836",33,3,3.64548061639813
"837",33,4,0
"838",33,5,4.20227699332691
"839",33,6,0
"840",33,7,0
"841",33,8,0
"842",33,9,0
"843",33,10,0
"844",33,11,0
"845",33,12,0
"846",33,13,0
"847",33,14,0
"848",33,15,0
"849",33,16,0
"850",33,17,0
"851",33,18,0
"852",33,19,0
"853",33,20,0
"854",33,21,0
"855",33,22,0
"856",33,23,0
"857",33,24,0
"858",33,25,0
"859",34,0,0
"860",34,1,0
"861",34,2,0.658645651553427
"862",34,3,1.34065547094168
"863",34,4,0
"864",34,5,0
"865",34,6,0
"866",34,7,0
"867",34,8,0
"868",34,9,0
"869",34,10,5.10697241758974
"870",34,11,0
"871",34,12,0
"872",34,13,0
"873",34,14,0
"874",34,15,0
"875",34,16,0.893726459915147
"876",34,17,0
"877",34,18,0
"878",34,19,0
"879",34,20,0
"880",34,21,0
"881",34,22,0
"882",34,23,0
"883",34,24,0
"884",34,25,0
"885",35,0,0
"886",35,1,0
"887",35,2,0
"888",35,3,0.0316426857226422
"889",35,4,0
"890",35,5,0
"891",35,6,0
"892",35,7,0
"893",35,8,0
"894",35,9,0
"895",35,10,0.979256454295123
"896",35,11,0.537138934658716
"897",35,12,0.0529954620566361
"898",35,13,0.568686530242915
"899",35,14,0
"900",35,15,0.0869570833265793
"901",35,16,1.70049583650372
"902",35,17,0.73564612377003
"903",35,18,0.996931504640718
"904",35,19,0
"905",35,20,2.31024938478293
"906",35,21,0
"907",35,22,0
"908",35,23,0
"909",35,24,0
"910",35,25,0
"911",36,0,0
"912",36,1,0
"913",36,2,0
"914",36,3,0
"915",36,4,0
"916",36,5,0
"917",36,6,0.0759516549571546
"918",36,7,0
"919",36,8,0
"920",36,9,0.806986333919768
"921",36,10,0.503179714091149
"922",36,11,1.36712978922878
"923",36,12,0.0379758274785773
"924",36,13,0.161397266783954
"925",36,14,0.0474697843482216
"926",36,15,0.0379758274785773
"927",36,16,0
"928",36,17,0
"929",36,18,0
"930",36,19,0.541155541569727
"931",36,20,0.028481870608933
"932",36,21,0.436722016003639
"933",36,22,0.132915396175021
"934",36,23,0
"935",36,24,0
"936",36,25,0
"937",37,0,0
"938",37,1,0
"939",37,2,0
"940",37,3,0
"941",37,4,0
"942",37,5,0
"943",37,6,0
"944",37,7,0
"945",37,8,0
"946",37,9,1.00520652709924
"947",37,10,0.313532698373844
"948",37,11,0.632355357890843
"949",37,12,0
"950",37,13,0
"951",37,14,0
"952",37,15,0.232717150996524
"953",37,16,0.319996543151257
"954",37,17,0.875692952922443
"955",37,18,0.112190270854833
"956",37,19,0
"957",37,20,4.50830849871102
"958",37,21,0
"959",37,22,0
"960",37,23,0
"961",37,24,0
"962",37,25,0
"963",38,0,0
"964",38,1,0
"965",38,2,0
"966",38,3,0
"967",38,4,0
"968",38,5,0
"969",38,6,0
"970",38,7,0
"971",38,8,0
"972",38,9,1.69371332430275
"973",38,10,0.250920492489296
"974",38,11,0.752761477467888
"975",38,12,0.0501840984978592
"976",38,13,0
"977",38,14,0
"978",38,15,0.0752761477467888
"979",38,16,0.200736393991437
