"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0.12002843925814
"4",1,3,0.0856944562497245
"5",1,4,0.0983763961530871
"6",1,5,3.96912839868834
"7",1,6,0
"8",1,7,0
"9",1,8,0.0736986145053278
"10",1,9,0.161382193856393
"11",1,10,3.49169150128898
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",2,0,0
"21",2,1,0
"22",2,2,1.80379713242009
"23",2,3,0.852407943829208
"24",2,4,0.324144121492877
"25",2,5,5.01965080225783
"26",2,6,0
"27",2,7,0
"28",2,8,0
"29",2,9,0
"30",2,10,0
"31",2,11,0
"32",2,12,0
"33",2,13,0
"34",2,14,0
"35",2,15,0
"36",2,16,0
"37",2,17,0
"38",2,18,0
"39",3,0,0
"40",3,1,0
"41",3,2,1.60799847885677
"42",3,3,3.55803199852144
"43",3,4,2.83396952262179
"44",3,5,0
"45",3,6,0
"46",3,7,0
"47",3,8,0
"48",3,9,0
"49",3,10,0
"50",3,11,0
"51",3,12,0
"52",3,13,0
"53",3,14,0
"54",3,15,0
"55",3,16,0
"56",3,17,0
"57",3,18,0
"58",4,0,0
"59",4,1,0.194044964800736
"60",4,2,0.29541889481383
"61",4,3,7.51053614038543
"62",4,4,0
"63",4,5,0
"64",4,6,0
"65",4,7,0
"66",4,8,0
"67",4,9,0
"68",4,10,0
"69",4,11,0
"70",4,12,0
"71",4,13,0
"72",4,14,0
"73",4,15,0
"74",4,16,0
"75",4,17,0
"76",4,18,0
"77",5,0,0
"78",5,1,0
"79",5,2,1.63553963445212
"80",5,3,6.36446036554788
"81",5,4,0
"82",5,5,0
"83",5,6,0
"84",5,7,0
"85",5,8,0
"86",5,9,0
"87",5,10,0
"88",5,11,0
"89",5,12,0
"90",5,13,0
"91",5,14,0
"92",5,15,0
"93",5,16,0
"94",5,17,0
"95",5,18,0
"96",6,0,0
"97",6,1,0
"98",6,2,1.60757244598601
"99",6,3,3.5074307912422
"100",6,4,0
"101",6,5,0
"102",6,6,0
"103",6,7,0
"104",6,8,0
"105",6,9,0
"106",6,10,0
"107",6,11,0
"108",6,12,0.54072891364984
"109",6,13,1.46142949635092
"110",6,14,0.0146142949635092
"111",6,15,0
"112",6,16,0
"113",6,17,0
"114",6,18,0
"115",7,0,0
"116",7,1,0
"117",7,2,0
"118",7,3,0
"119",7,4,0
"120",7,5,0
"121",7,6,0
"122",7,7,0
"123",7,8,0
"124",7,9,0.97446852594583
"125",7,10,0.0446321462265266
"126",7,11,0.141335129717334
"127",7,12,1.04885543632337
"128",7,13,0.617411356133618
"129",7,14,0
"130",7,15,0
"131",7,16,0
"132",7,17,0
"133",7,18,0
"134",8,0,0
"135",8,1,0
"136",8,2,0
"137",8,3,0
"138",8,4,0
"139",8,5,0
"140",8,6,0
"141",8,7,1.41959571436159
"142",8,8,0.380867142877499
"143",8,9,1.21185000006477
"144",8,10,0.631893214319487
"145",8,11,0
"146",8,12,0
"147",8,13,0
"148",8,14,0
"149",8,15,0
"150",8,16,0
"151",8,17,0
"152",8,18,0
"153",9,0,0
"154",9,1,0
"155",9,2,0
"156",9,3,1.3238273693329
"157",9,4,1.8553446219589
"158",9,5,0
"159",9,6,0
"160",9,7,0.311049642390407
"161",9,8,4.50977836631779
"162",9,9,0
"163",9,10,0
"164",9,11,0
"165",9,12,0
"166",9,13,0
"167",9,14,0
"168",9,15,0
"169",9,16,0
"170",9,17,0
"171",9,18,0
"172",10,0,0
"173",10,1,0
"174",10,2,0.126377465694816
"175",10,3,3.02085962710505
"176",10,4,0.553497260920792
"177",10,5,0
"178",10,6,0
"179",10,7,0
"180",10,8,4.29926564627934
"181",10,9,0
"182",10,10,0
"183",10,11,0
"184",10,12,0
"185",10,13,0
"186",10,14,0
"187",10,15,0
"188",10,16,0
"189",10,17,0
"190",10,18,0
"191",11,0,0
"192",11,1,0
"193",11,2,0.254978508291346
"194",11,3,1.93150731721191
"195",11,4,5.81351417449675
"196",11,5,0
"197",11,6,0
"198",11,7,0
"199",11,8,0
"200",11,9,0
"201",11,10,0
"202",11,11,0
"203",11,12,0
"204",11,13,0
"205",11,14,0
"206",11,15,0
"207",11,16,0
"208",11,17,0
"209",11,18,0
"210",12,0,0
"211",12,1,0.671619088400928
"212",12,2,0.456700980112631
"213",12,3,0.416403834808575
"214",12,4,0.214918108288297
"215",12,5,0
"216",12,6,0
"217",12,7,0
"218",12,8,0.0268647635360371
"219",12,9,0
"220",12,10,0
"221",12,11,5.38638508897544
"222",12,12,0
"223",12,13,0.0134323817680186
"224",12,14,0.161188581216223
"225",12,15,0.107459054144148
"226",12,16,0.201485726520278
"227",12,17,0
"228",12,18,0
"229",13,0,0
"230",13,1,0.0866172909592124
"231",13,2,0.673089877723972
"232",13,3,2.79703143237263
"233",13,4,0.244639173537782
"234",13,5,0
"235",13,6,0
"236",13,7,0.303867415275442
"237",13,8,0
"238",13,9,0
"239",13,10,0
"240",13,11,3.0213800971174
"241",13,12,0
"242",13,13,0
"243",13,14,0
"244",13,15,0.873374713013564
"245",13,16,0
"246",13,17,0
"247",13,18,0
"248",14,0,0
"249",14,1,2.17271707402571
"250",14,2,1.60550332461192
"251",14,3,0.115365508355347
"252",14,4,0
"253",14,5,0
"254",14,6,0
"255",14,7,0
"256",14,8,0
"257",14,9,0.0961379236294562
"258",14,10,0.5479861646879
"259",14,11,0.365324109791934
"260",14,12,0.00961379236294562
"261",14,13,0.259572393799532
"262",14,14,0
"263",14,15,0.00961379236294562
"264",14,16,0
"265",14,17,0
"266",14,18,0
"267",15,0,0
"268",15,1,0
"269",15,2,0
"270",15,3,0
"271",15,4,0.315508640180396
"272",15,5,0.0205766504465475
"273",15,6,0.0754477183040076
"274",15,7,0
"275",15,8,0
"276",15,9,0.205766504465475
"277",15,10,2.38003256831733
"278",15,11,0.0342944174109126
"279",15,12,0.144036553125833
"280",15,13,0
"281",15,14,0.00685888348218251
"282",15,15,0
"283",15,16,0
"284",15,17,0
"285",15,18,0
"286",16,0,0
"287",16,1,0
"288",16,2,0
"289",16,3,0
"290",16,4,0
"291",16,5,0
"292",16,6,0
"293",16,7,0
"294",16,8,0
"295",16,9,0.126939378663406
"296",16,10,1.35769944135642
"297",16,11,0
"298",16,12,0
"299",16,13,0.00551910342014807
"300",16,14,0.579505859115547
"301",16,15,0
"302",16,16,0
"303",16,17,0
"304",16,18,0
"305",17,0,0
"306",17,1,0
"307",17,2,0
"308",17,3,0
"309",17,4,0
"310",17,5,0
"311",17,6,0
"312",17,7,2.06832347167053
"313",17,8,0
"314",17,9,0
"315",17,10,0
"316",17,11,0
"317",17,12,0.38743811428987
"318",17,13,0
"319",17,14,0
"320",17,15,0
"321",17,16,0
"322",17,17,0
"323",17,18,0
"324",18,0,0
"325",18,1,0
"326",18,2,0
"327",18,3,0
"328",18,4,0
"329",18,5,0
"330",18,6,0
"331",18,7,0
"332",18,8,0
"333",18,9,0
"334",18,10,0
"335",18,11,0
"336",18,12,0.457793161871925
"337",18,13,0
"338",18,14,0
"339",18,15,0
"340",18,16,0
"341",18,17,0
"342",18,18,0
"343",19,0,0
"344",19,1,0
"345",19,2,0
"346",19,3,0
"347",19,4,0
"348",19,5,0
"349",19,6,0
"350",19,7,0
"351",19,8,0
"352",19,9,0
"353",19,10,0
"354",19,11,0
"355",19,12,0.303346443828199
"356",19,13,0
"357",19,14,0
"358",19,15,0
"359",19,16,0
"360",19,17,0
"361",19,18,0
"362",20,0,0
"363",20,1,0
"364",20,2,0
"365",20,3,0
"366",20,4,0.0802545043904897
"367",20,5,0.375928994250189
"368",20,6,0
"369",20,7,0
"370",20,8,0
"371",20,9,0
"372",20,10,0
"373",20,11,0
"374",20,12,0.367481151682769
"375",20,13,0.0295674489859699
"376",20,14,0
"377",20,15,0
"378",20,16,0
"379",20,17,0
"380",20,18,0
"381",21,0,0
"382",21,1,0
"383",21,2,0
"384",21,3,1.99935645495368
"385",21,4,0.0327763353271096
"386",21,5,0.9423196406544
"387",21,6,0
"388",21,7,0.0163881676635548
"389",21,8,0
"390",21,9,0
"391",21,10,0
"392",21,11,0.303181101775764
"393",21,12,0
"394",21,13,0
"395",21,14,0.37692785626176
"396",21,15,0.0901349221495513
"397",21,16,0
"398",21,17,0.131105341308438
"399",21,18,0
"400",22,0,0
"401",22,1,0
"402",22,2,0.3747446352538
"403",22,3,0.628039644199878
"404",22,4,0.319917439850369
"405",22,5,1.33711539671454
"406",22,6,1.74185150136818
"407",22,7,0.0769964887038199
"408",22,8,0
"409",22,9,0.365371507122874
"410",22,10,0
"411",22,11,3.15596338678654
"412",22,12,0
"413",22,13,0
"414",22,14,0
"415",22,15,0
"416",22,16,0
"417",22,17,0
"418",22,18,0
"419",23,0,0
"420",23,1,0.604422525373375
"421",23,2,1.49695442861993
"422",23,3,0.904995723561629
"423",23,4,0.0251503881299745
"424",23,5,0
"425",23,6,1.37014555170186
"426",23,7,3.59833138261323
"427",23,8,0
"428",23,9,0
"429",23,10,0
"430",23,11,0
"431",23,12,0
"432",23,13,0
"433",23,14,0
"434",23,15,0
"435",23,16,0
"436",23,17,0
"437",23,18,0
"438",24,0,0
"439",24,1,0.0894603090188961
"440",24,2,0.713876925754637
"441",24,3,0.225420405848595
"442",24,4,0
"443",24,5,0.287346385417828
"444",24,6,1.11848947463176
"445",24,7,0.0485429697205776
"446",24,8,2.87586235917565
"447",24,9,0.365371507122874
"448",24,10,0
"449",24,11,0
"450",24,12,0
"451",24,13,0
"452",24,14,0
"453",24,15,0
"454",24,16,0
"455",24,17,1.39529593983183
"456",24,18,0.880333723477353
"457",25,0,0
"458",25,1,0
"459",25,2,0.987451460266039
"460",25,3,0.535447387830258
"461",25,4,0.174024958378808
"462",25,5,0
"463",25,6,0
"464",25,7,0.0360322917583456
"465",25,8,4.22297229634768
"466",25,9,0
"467",25,10,0
"468",25,11,0
"469",25,12,0
"470",25,13,0
"471",25,14,0
"472",25,15,0
"473",25,16,0
"474",25,17,0.648775665587036
"475",25,18,1.39529593983183
"476",26,0,0
"477",26,1,0.0969977382468287
"478",26,2,3.15596338678654
"479",26,3,0.30628861718454
"480",26,4,4.44075025778209
"481",26,5,0
"482",26,6,0
"483",26,7,0
"484",26,8,0
"485",26,9,0
"486",26,10,0
"487",26,11,0
"488",26,12,0
"489",26,13,0
"490",26,14,0
"491",26,15,0
"492",26,16,0
"493",26,17,0
"494",26,18,0
"495",27,0,0
"496",27,1,0
"497",27,2,0.0427347899461521
"498",27,3,0
"499",27,4,0
"500",27,5,0
"501",27,6,0
"502",27,7,0
"503",27,8,0
"504",27,9,0
"505",27,10,0.787247892691139
"506",27,11,2.80867123260207
"507",27,12,0
"508",27,13,0
"509",27,14,0
"510",27,15,0.175458265265145
"511",27,16,1.39529593983183
"512",27,17,0
"513",27,18,2.79059187966367
"514",28,0,0
"515",28,1,0
"516",28,2,0
"517",28,3,0
"518",28,4,0
"519",28,5,0
"520",28,6,0
"521",28,7,0
"522",28,8,0
"523",28,9,0
"524",28,10,1.0317258085994
"525",28,11,0
"526",28,12,0
"527",28,13,0
"528",28,14,0
"529",28,15,0
"530",28,16,0
"531",28,17,0.129613795050175
"532",28,18,0.378472281546512
"533",29,0,0
"534",29,1,0
"535",29,2,0
"536",29,3,0
"537",29,4,0
"538",29,5,0
"539",29,6,0
"540",29,7,0
"541",29,8,0
"542",29,9,0
"543",29,10,0
"544",29,11,0
"545",29,12,0
"546",29,13,0
"547",29,14,0
"548",29,15,0.0426546531322773
"549",29,16,0.0542877403501712
"550",29,17,0.0310215659143835
"551",29,18,0.155107829571918
"552",30,0,0
"553",30,1,0
"554",30,2,0.134263828821232
"555",30,3,0.688102122708815
"556",30,4,0.78879999432474
"557",30,5,0
"558",30,6,0
"559",30,7,0
"560",30,8,0
"561",30,9,0
"562",30,10,0.176221275327867
"563",30,11,0.016782978602654
"564",30,12,0
"565",30,13,0
"566",30,14,0.016782978602654
"567",30,15,0.855931908735356
"568",30,16,1.22515743799374
"569",30,17,0.117480850218578
"570",30,18,0
"571",31,0,0
"572",31,1,0
"573",31,2,0.152790622168985
"574",31,3,2.82092654803677
"575",31,4,0.481089946049675
"576",31,5,0
"577",31,6,0
"578",31,7,0
"579",31,8,0
"580",31,9,0
"581",31,10,4.54519288374457
"582",31,11,0
"583",31,12,0
"584",31,13,0
"585",31,14,0
"586",31,15,0
"587",31,16,0
"588",31,17,0
"589",31,18,0
"590",32,0,0
"591",32,1,0
"592",32,2,1.14177360948241
"593",32,3,3.77987129449091
"594",32,4,3.07835509602668
"595",32,5,0
"596",32,6,0
"597",32,7,0
"598",32,8,0
"599",32,9,0
"600",32,10,0
"601",32,11,0
"602",32,12,0
"603",32,13,0
"604",32,14,0
"605",32,15,0
"606",32,16,0
"607",32,17,0
"608",32,18,0
"609",33,0,0
"610",33,1,0
"611",33,2,0.219057613783296
"612",33,3,1.85732743978952
"613",33,4,1.02575310527946
"614",33,5,0
"615",33,6,0
"616",33,7,0
"617",33,8,0
"618",33,9,0
"619",33,10,0
"620",33,11,2.11783017752039
"621",33,12,0
"622",33,13,0
"623",33,14,0.178519805507271
"624",33,15,0
"625",33,16,0
"626",33,17,1.13276321223113
"627",33,18,1.46874864588892
"628",34,0,0
"629",34,1,0
"630",34,2,0.116020504202941
"631",34,3,1.13276321223113
"632",34,4,2.07669115835528
"633",34,5,0
"634",34,6,0
"635",34,7,0
"636",34,8,0
"637",34,9,0
"638",34,10,0
"639",34,11,1.05409860450416
"640",34,12,3.62042652070649
"641",34,13,0
"642",34,14,0
"643",34,15,0
"644",34,16,0
"645",34,17,0
"646",34,18,0
"647",35,0,0
"648",35,1,0
"649",35,2,0.438433104210364
"650",35,3,0.993776524636972
"651",35,4,0.424516600053096
"652",35,5,0
"653",35,6,0
"654",35,7,0.625655679656743
"655",35,8,0
"656",35,9,0
"657",35,10,0
"658",35,11,0.843092966232175
"659",35,12,1.89449346158333
"660",35,13,2.78003166362732
"661",35,14,0
"662",35,15,0
"663",35,16,0
"664",35,17,0
"665",35,18,0
"666",36,0,0
"667",36,1,0
"668",36,2,0
"669",36,3,0
"670",36,4,0.356833451107962
"671",36,5,0
"672",36,6,0
"673",36,7,2.74530470774432
"674",36,8,0.542071424679811
"675",36,9,0
"676",36,10,0
"677",36,11,0.350758099232114
"678",36,12,0.476843237906634
"679",36,13,1.67483463691094
"680",36,14,1.85335444241821
"681",36,15,0
"682",36,16,0
"683",36,17,0
"684",36,18,0
"685",37,0,0
"686",37,1,0
"687",37,2,0.0272154463067328
"688",37,3,0.00344121845478909
"689",37,4,0.228672446634244
"690",37,5,0
"691",37,6,0.00820194371028482
"692",37,7,1.20458937726509
"693",37,8,0.0835842549769319
"694",37,9,2.37403480864297
"695",37,10,0
"696",37,11,3.14358328279986
"697",37,12,0.926677221209107
"698",37,13,0
"699",37,14,0
"700",37,15,0
"701",37,16,0
"702",37,17,0
"703",37,18,0
"704",38,0,0
"705",38,1,0.00337178648221877
"706",38,2,0.0728459431761361
"707",38,3,0
"708",38,4,0.591087968508892
"709",38,5,0.152620482582923
"710",38,6,0.0767816318783126
"711",38,7,0.669822137359836
"712",38,8,0.276759857958317
"713",38,9,3.76128432495534
"714",38,10,0.926677221209107
"715",38,11,0
"716",38,12,0
"717",38,13,1.46874864588892
"718",38,14,0
"719",38,15,0
"720",38,16,0
"721",38,17,0
"722",38,18,0
"723",39,0,0
"724",39,1,1.07240811769204
"725",39,2,0.193626323657074
"726",39,3,0
"727",39,4,3.52818907932916
"728",39,5,3.20577647932173
"729",39,6,0
"730",39,7,0
"731",39,8,0
"732",39,9,0
"733",39,10,0
"734",39,11,0
"735",39,12,0
"736",39,13,0
"737",39,14,0
"738",39,15,0
"739",39,16,0
"740",39,17,0
"741",39,18,0
"742",40,0,0
"743",40,1,0
"744",40,2,8
"745",40,3,0
"746",40,4,0
"747",40,5,0
"748",40,6,0
"749",40,7,0
"750",40,8,0
"751",40,9,0
"752",40,10,0
"753",40,11,0
"754",40,12,0
"755",40,13,0
"756",40,14,0
"757",40,15,0
"758",40,16,0
"759",40,17,0
"760",40,18,0
