"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0.179857706749532
"5",1,4,0.11010906077395
"6",1,5,0.12761696608446
"7",1,6,0.519688879284779
"8",1,7,0
"9",1,8,0.149306827420942
"10",1,9,0.0496460923232003
"11",1,10,0.0450643026500371
"12",1,11,1.62343322680911
"13",1,12,0.941540475458661
"14",1,13,0.758620547765301
"15",1,14,2.60051294867717
"16",1,15,0.894602966002851
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",2,0,0
"25",2,1,0
"26",2,2,0
"27",2,3,0
"28",2,4,0
"29",2,5,0
"30",2,6,0
"31",2,7,0
"32",2,8,0.0265660204651381
"33",2,9,0.106251260708025
"34",2,10,0.141543746183302
"35",2,11,4.06778193641507
"36",2,12,0
"37",2,13,0.250667654463384
"38",2,14,0
"39",2,15,0
"40",2,16,0.095678063902884
"41",2,17,3.3115113178622
"42",2,18,0
"43",2,19,0
"44",2,20,0
"45",2,21,0
"46",2,22,0
"47",3,0,0
"48",3,1,0
"49",3,2,0
"50",3,3,0
"51",3,4,0
"52",3,5,0.171408830861472
"53",3,6,0
"54",3,7,0
"55",3,8,0
"56",3,9,0.0155826209874065
"57",3,10,7.29266662210626
"58",3,11,0.0311652419748131
"59",3,12,0
"60",3,13,0
"61",3,14,0
"62",3,15,0
"63",3,16,0
"64",3,17,0
"65",3,18,0.0934957259244393
"66",3,19,0
"67",3,20,0
"68",3,21,0
"69",3,22,0
"70",4,0,0
"71",4,1,0
"72",4,2,0
"73",4,3,0
"74",4,4,0
"75",4,5,0.67095297213463
"76",4,6,0.79291768837094
"77",4,7,0.479303475530518
"78",4,8,0
"79",4,9,0
"80",4,10,0.8145379623165
"81",4,11,0.327646650940015
"82",4,12,0
"83",4,13,0
"84",4,14,0
"85",4,15,0
"86",4,16,0
"87",4,17,1.94185873801995
"88",4,18,2.97278251268745
"89",4,19,0
"90",4,20,0
"91",4,21,0
"92",4,22,0
"93",5,0,0
"94",5,1,0
"95",5,2,0
"96",5,3,0
"97",5,4,0
"98",5,5,1.01540156103772
"99",5,6,4.32754474823217
"100",5,7,0
"101",5,8,0
"102",5,9,0
"103",5,10,0
"104",5,11,0
"105",5,12,0
"106",5,13,0
"107",5,14,0
"108",5,15,0
"109",5,16,0
"110",5,17,0
"111",5,18,0.338467187012572
"112",5,19,0
"113",5,20,0
"114",5,21,0
"115",5,22,0
"116",6,0,0
"117",6,1,0
"118",6,2,0
"119",6,3,0
"120",6,4,0
"121",6,5,0.882793320727841
"122",6,6,0.702965051690688
"123",6,7,0
"124",6,8,0
"125",6,9,0
"126",6,10,0
"127",6,11,0
"128",6,12,0
"129",6,13,0
"130",6,14,0
"131",6,15,0.016348024457923
"132",6,16,0.0245220366868845
"133",6,17,0.702965051690688
"134",6,18,0.948185418559533
"135",6,19,0.016348024457923
"136",6,20,0
"137",6,21,0
"138",6,22,0
"139",7,0,0
"140",7,1,0
"141",7,2,0
"142",7,3,0
"143",7,4,0
"144",7,5,0
"145",7,6,0
"146",7,7,0.10219509536544
"147",7,8,0
"148",7,9,0
"149",7,10,0.174332809741045
"150",7,11,0.150286904949177
"151",7,12,0.0721377143756047
"152",7,13,0
"153",7,14,0.174332809741045
"154",7,15,0.0300573809898353
"155",7,16,0.180344285939012
"156",7,17,0.198378714532913
"157",7,18,0.667273857974344
"158",7,19,0
"159",7,20,0
"160",7,21,0
"161",7,22,0
"162",8,0,0
"163",8,1,0
"164",8,2,2.39763988156605
"165",8,3,0
"166",8,4,0
"167",8,5,0.599409970391511
"168",8,6,0
"169",8,7,0.714190603019673
"170",8,8,0
"171",8,9,0
"172",8,10,0
"173",8,11,0.165794247129567
"174",8,12,0.828971235647835
"175",8,13,0.10202722900281
"176",8,14,0.58665656676616
"177",8,15,0.522889548639404
"178",8,16,0
"179",8,17,0.0637670181267565
"180",8,18,0.0765204217521078
"181",8,19,0
"182",8,20,0
"183",8,21,0
"184",8,22,0
"185",9,0,0
"186",9,1,1.94579283340776
"187",9,2,1.61961946827004
"188",9,3,0
"189",9,4,0
"190",9,5,0.236194505789381
"191",9,6,0.269936578045007
"192",9,7,0.0562367870927098
"193",9,8,0
"194",9,9,0
"195",9,10,0
"196",9,11,0.134968289022503
"197",9,12,0.776067661879395
"198",9,13,0.011247357418542
"199",9,14,0.11247357418542
"200",9,15,0.0337420722556259
"201",9,16,0
"202",9,17,0
"203",9,18,0
"204",9,19,0
"205",9,20,0
"206",9,21,0
"207",9,22,0
"208",10,0,0
"209",10,1,0.229640535500065
"210",10,2,0
"211",10,3,0
"212",10,4,0
"213",10,5,0.481504348629169
"214",10,6,1.61489150771014
"215",10,7,0.407426756532374
"216",10,8,0
"217",10,9,0
"218",10,10,0
"219",10,11,0.0296310368387181
"220",10,12,0
"221",10,13,0
"222",10,14,0
"223",10,15,0
"224",10,16,0
"225",10,17,0
"226",10,18,0
"227",10,19,0
"228",10,20,0
"229",10,21,0
"230",10,22,0
"231",11,0,0
"232",11,1,0.0225132172451938
"233",11,2,1.22134203555176
"234",11,3,0
"235",11,4,0
"236",11,5,0
"237",11,6,1.55341198991837
"238",11,7,0
"239",11,8,0
"240",11,9,0
"241",11,10,0
"242",11,11,0
"243",11,12,0
"244",11,13,0
"245",11,14,0.0168849129338953
"246",11,15,0
"247",11,16,0
"248",11,17,0
"249",11,18,0
"250",11,19,0
"251",11,20,0
"252",11,21,0
"253",11,22,0
"254",12,0,0
"255",12,1,0
"256",12,2,0.267205838984051
"257",12,3,0
"258",12,4,0
"259",12,5,0
"260",12,6,0.426084986488081
"261",12,7,0
"262",12,8,0
"263",12,9,0
"264",12,10,0
"265",12,11,0
"266",12,12,0
"267",12,13,0
"268",12,14,0.0397197868760075
"269",12,15,0
"270",12,16,0.00361088971600069
"271",12,17,0
"272",12,18,0
"273",12,19,0
"274",12,20,0
"275",12,21,0
"276",12,22,0
"277",13,0,0
"278",13,1,0
"279",13,2,0
"280",13,3,0
"281",13,4,0
"282",13,5,0
"283",13,6,0.235002849136945
"284",13,7,0
"285",13,8,0
"286",13,9,0
"287",13,10,0.022534519780255
"288",13,11,0
"289",13,12,0
"290",13,13,0
"291",13,14,0
"292",13,15,0
"293",13,16,0
"294",13,17,0
"295",13,18,0
"296",13,19,0
"297",13,20,0
"298",13,21,0
"299",13,22,0
"300",14,0,0
"301",14,1,0
"302",14,2,0
"303",14,3,0
"304",14,4,0
"305",14,5,0
"306",14,6,0
"307",14,7,0
"308",14,8,0
"309",14,9,0
"310",14,10,0
"311",14,11,0
"312",14,12,0
"313",14,13,0
"314",14,14,0
"315",14,15,0
"316",14,16,0
"317",14,17,0
"318",14,18,0
"319",14,19,0
"320",14,20,0
"321",14,21,0
"322",14,22,0
"323",15,0,0
"324",15,1,0
"325",15,2,0
"326",15,3,0
"327",15,4,0
"328",15,5,0
"329",15,6,0
"330",15,7,0
"331",15,8,0.0121189120174652
"332",15,9,0
"333",15,10,0
"334",15,11,0
"335",15,12,0
"336",15,13,0
"337",15,14,0
"338",15,15,0
"339",15,16,0
"340",15,17,0
"341",15,18,0
"342",15,19,0
"343",15,20,0
"344",15,21,0
"345",15,22,0
"346",16,0,0
"347",16,1,0
"348",16,2,0.189194665405978
"349",16,3,0
"350",16,4,0.154158616256723
"351",16,5,2.78886951228072
"352",16,6,0.686706563325403
"353",16,7,0.0700720982985105
"354",16,8,0
"355",16,9,0
"356",16,10,0
"357",16,11,0
"358",16,12,0
"359",16,13,0
"360",16,14,0
"361",16,15,0.0560576786388084
"362",16,16,0
"363",16,17,0.0630648884686595
"364",16,18,0
"365",16,19,0
"366",16,20,0
"367",16,21,0
"368",16,22,0
"369",17,0,0
"370",17,1,0
"371",17,2,0
"372",17,3,0.0662382199186107
"373",17,4,0.0120670527926681
"374",17,5,1.37905741202891
"375",17,6,2.51937058515332
"376",17,7,0
"377",17,8,0
"378",17,9,0
"379",17,10,0
"380",17,11,0
"381",17,12,0
"382",17,13,0
"383",17,14,0
"384",17,15,0.206287055374317
"385",17,16,0.0574453301195167
"386",17,17,2.40291086255689
"387",17,18,1.35662348205577
"388",17,19,0
"389",17,20,0
"390",17,21,0
"391",17,22,0
"392",18,0,0
"393",18,1,0
"394",18,2,0
"395",18,3,0.123588249871448
"396",18,4,0.0318552120863725
"397",18,5,1.35232834065021
"398",18,6,1.45707330023491
"399",18,7,0
"400",18,8,0
"401",18,9,0
"402",18,10,0
"403",18,11,2.8225972958786
"404",18,12,0.8559341192227
"405",18,13,0
"406",18,14,1.35662348205577
"407",18,15,0
"408",18,16,0
"409",18,17,0
"410",18,18,0
"411",18,19,0
"412",18,20,0
"413",18,21,0
"414",18,22,0
"415",19,0,0
"416",19,1,0
"417",19,2,0
"418",19,3,0
"419",19,4,0.121493504824376
"420",19,5,0.405072630702785
"421",19,6,0
"422",19,7,0.89429580583345
"423",19,8,0.0303418682228017
"424",19,9,0.0248219796604142
"425",19,10,0.139192178355897
"426",19,11,0.761418458863209
"427",19,12,0.720641024282827
"428",19,13,0
"429",19,14,0.0719534724398266
"430",19,15,0.7608986306471
"431",19,16,0.370584728926056
"432",19,17,0
"433",19,18,0.986038753129715
"434",19,19,2.71324696411154
"435",19,20,0
"436",19,21,0
"437",19,22,0
"438",20,0,0
"439",20,1,0
"440",20,2,0
"441",20,3,0
"442",20,4,0
"443",20,5,0
"444",20,6,0
"445",20,7,0.0723886701005764
"446",20,8,0.00605959512436841
"447",20,9,0
"448",20,10,0.696787505783101
"449",20,11,0.200525078090168
"450",20,12,0.26001260170811
"451",20,13,0
"452",20,14,0
"453",20,15,0
"454",20,16,1.15259873580214
"455",20,17,0.0537104183910251
"456",20,18,0.2251935584454
"457",20,19,0.977157282254871
"458",20,20,1.28634654153567
"459",20,21,1.71227454242389
"460",20,22,1.35694547034067
"461",21,0,0
"462",21,1,0.072519800273957
"463",21,2,0.184395415844716
"464",21,3,0.0261506861865768
"465",21,4,0
"466",21,5,0
"467",21,6,0
"468",21,7,0
"469",21,8,0
"470",21,9,0
"471",21,10,0.311102896251842
"472",21,11,0
"473",21,12,0.207250933104063
"474",21,13,0.0449223099615714
"475",21,14,0
"476",21,15,0.368744583682005
"477",21,16,0.688652714972295
"478",21,17,0.156305125321156
"479",21,18,0.41824438897836
"480",21,19,0.68279948725338
"481",21,20,1.39652197318018
"482",21,21,0.968808869427926
"483",21,22,2.47358081556197
"484",22,0,0
"485",22,1,0
"486",22,2,0.907219965793948
"487",22,3,1.5710688887826
"488",22,4,1.99728208784067
"489",22,5,0
"490",22,6,0
"491",22,7,0
"492",22,8,0
"493",22,9,0
"494",22,10,2.64332179318709
"495",22,11,0
"496",22,12,0
"497",22,13,0.881107264395697
"498",22,14,0
"499",22,15,0
"500",22,16,0
"501",22,17,0
"502",22,18,0
"503",22,19,0
"504",22,20,0
"505",22,21,0
"506",22,22,0
"507",23,0,0
"508",23,1,0
"509",23,2,1.0742398268567
"510",23,3,0.0333174402923129
"511",23,4,0
"512",23,5,0
"513",23,6,0.0575456972138406
"514",23,7,0.169790892748764
"515",23,8,0
"516",23,9,0
"517",23,10,0.485646238292513
"518",23,11,0.113329794738315
"519",23,12,0.330378781109038
"520",23,13,2.80791562745548
"521",23,14,2.04646933282794
"522",23,15,0.881366368465092
"523",23,16,0
"524",23,17,0
"525",23,18,0
"526",23,19,0
"527",23,20,0
"528",23,21,0
"529",23,22,0
"530",24,0,0
"531",24,1,0.245463164960858
"532",24,2,0.0172170001808489
"533",24,3,0
"534",24,4,1.15755833703854
"535",24,5,0
"536",24,6,0.0663369158905114
"537",24,7,0.204809934955274
"538",24,8,0
"539",24,9,0.380595060181934
"540",24,10,0.564311855627491
"541",24,11,0
"542",24,12,3.96718575798436
"543",24,13,1.39652197318018
"544",24,14,0
"545",24,15,0
"546",24,16,0
"547",24,17,0
"548",24,18,0
"549",24,19,0
"550",24,20,0
"551",24,21,0
"552",24,22,0
"553",25,0,0
"554",25,1,0.701607138238105
"555",25,2,7.2983928617619
"556",25,3,0
"557",25,4,0
"558",25,5,0
"559",25,6,0
"560",25,7,0
"561",25,8,0
"562",25,9,0
"563",25,10,0
"564",25,11,0
"565",25,12,0
"566",25,13,0
"567",25,14,0
"568",25,15,0
"569",25,16,0
"570",25,17,0
"571",25,18,0
"572",25,19,0
"573",25,20,0
"574",25,21,0
"575",25,22,0
"576",26,0,0
"577",26,1,0.924302997710216
"578",26,2,4.8494253167536
"579",26,3,0.227910328202519
"580",26,4,0.316542122503499
"581",26,5,0.215248643302379
"582",26,6,0
"583",26,7,0
"584",26,8,0.10129347920112
"585",26,9,0
"586",26,10,0
"587",26,11,0
"588",26,12,0.0886317943009796
"589",26,13,0
"590",26,14,0
"591",26,15,0
"592",26,16,0
"593",26,17,0
"594",26,18,0
"595",26,19,0
"596",26,20,0
"597",26,21,0
"598",26,22,0
"599",27,0,0
"600",27,1,0
"601",27,2,3.55677981078379
"602",27,3,3.77454184001545
"603",27,4,0.46455899569421
"604",27,5,0
"605",27,6,0.0145174686154441
"606",27,7,0
"607",27,8,0
"608",27,9,0
"609",27,10,0
"610",27,11,0
"611",27,12,0
"612",27,13,0
"613",27,14,0
"614",27,15,0
"615",27,16,0
"616",27,17,0
"617",27,18,0
"618",27,19,0
"619",27,20,0
"620",27,21,0
"621",27,22,0
"622",28,0,0
"623",28,1,0
"624",28,2,3.18965514134712
"625",28,3,4.81034485865288
"626",28,4,0
"627",28,5,0
"628",28,6,0
"629",28,7,0
"630",28,8,0
"631",28,9,0
"632",28,10,0
"633",28,11,0
"634",28,12,0
"635",28,13,0
"636",28,14,0
"637",28,15,0
"638",28,16,0
"639",28,17,0
"640",28,18,0
"641",28,19,0
"642",28,20,0
"643",28,21,0
"644",28,22,0
"645",29,0,0
"646",29,1,0
"647",29,2,0.269104180236458
"648",29,3,0
"649",29,4,0
"650",29,5,0.215064378762512
"651",29,6,0
"652",29,7,0
"653",29,8,0.0966193396813011
"654",29,9,0.192296664147654
"655",29,10,0.602830364229986
"656",29,11,1.55192077423513
"657",29,12,0.149766181432636
"658",29,13,0.082063497618468
"659",29,14,0.28373659589776
"660",29,15,2.79386528682791
"661",29,16,1.76273273693018
"662",29,17,0
"663",29,18,0
"664",29,19,0
"665",29,20,0
"666",29,21,0
"667",29,22,0
"668",30,0,0
"669",30,1,0
"670",30,2,0
"671",30,3,0
"672",30,4,0
"673",30,5,0
"674",30,6,0
"675",30,7,0.0479884456747737
"676",30,8,0
"677",30,9,0.0600840697160171
"678",30,10,1.83661908167929
"679",30,11,0.483373596241604
"680",30,12,0.188086789537539
"681",30,13,0.136019637936844
"682",30,14,1.2067966304047
"683",30,15,4.04103174880923
"684",30,16,0
"685",30,17,0
"686",30,18,0
"687",30,19,0
"688",30,20,0
"689",30,21,0
"690",30,22,0
"691",31,0,0
"692",31,1,0
"693",31,2,0
"694",31,3,0
"695",31,4,0
"696",31,5,0.0243111568166271
"697",31,6,0
"698",31,7,0.138974618403221
"699",31,8,0.641819194622951
"700",31,9,0.263426555059252
"701",31,10,0.410571749984054
"702",31,11,0.397197400375701
"703",31,12,0.117912030693986
"704",31,13,0.114489911908661
"705",31,14,0.0150379228940761
"706",31,15,1.16105115222023
"707",31,16,0.075209265636084
"708",31,17,1.37034910274114
"709",31,18,2.35760415351062
"710",31,19,0.912045785133397
"711",31,20,0
"712",31,21,0
"713",31,22,0
"714",32,0,0
"715",32,1,0
"716",32,2,0
"717",32,3,0
"718",32,4,0
"719",32,5,0
"720",32,6,0
"721",32,7,0.00301444331448085
"722",32,8,0.334998875410522
"723",32,9,1.03434464537011
"724",32,10,0.339252555616998
"725",32,11,3.5522521248877
"726",32,12,2.73613735540019
"727",32,13,0
"728",32,14,0
"729",32,15,0
"730",32,16,0
"731",32,17,0
"732",32,18,0
"733",32,19,0
"734",32,20,0
"735",32,21,0
"736",32,22,0
"737",33,0,0
"738",33,1,0
"739",33,2,0
"740",33,3,0
"741",33,4,0
"742",33,5,0
"743",33,6,0
"744",33,7,0
"745",33,8,0.0138689562705619
"746",33,9,2.912480816818
"747",33,10,0.915351113857086
"748",33,11,1.30368188943282
"749",33,12,0.235772256599552
"750",33,13,0.277379125411238
"751",33,14,0
"752",33,15,0
"753",33,16,0
"754",33,17,0.166427475246743
"755",33,18,0
"756",33,19,0
"757",33,20,0
"758",33,21,0
"759",33,22,0
"760",34,0,0
"761",34,1,0
"762",34,2,0
"763",34,3,0
"764",34,4,0
"765",34,5,0
"766",34,6,0
"767",34,7,0
"768",34,8,0
"769",34,9,0
"770",34,10,3.45003469829504
"771",34,11,1.13425798300111
"772",34,12,1.05549006751492
"773",34,13,0.441100326722654
"774",34,14,0.299318078847515
"775",34,15,0
"776",34,16,0.0315071661944753
"777",34,17,0.173289414069614
"778",34,18,0.173289414069614
"779",34,19,0
"780",34,20,0
"781",34,21,0
"782",34,22,0
"783",35,0,0
"784",35,1,0
"785",35,2,0
"786",35,3,0
"787",35,4,0
"788",35,5,0
"789",35,6,0.638456772367378
"790",35,7,0.139177389028518
"791",35,8,0
"792",35,9,0
"793",35,10,0
"794",35,11,0
"795",35,12,0.519989299446519
"796",35,13,0
"797",35,14,0.247996701701088
"798",35,15,0
"799",35,16,0
"800",35,17,0
"801",35,18,4.33667510513166
"802",35,19,2.11770473232484
"803",35,20,0
"804",35,21,0
"805",35,22,0
"806",36,0,0
"807",36,1,0
"808",36,2,0
"809",36,3,0
"810",36,4,0
"811",36,5,0
"812",36,6,0.633574377410106
"813",36,7,0.09601292320179
"814",36,8,0
"815",36,9,0
"816",36,10,0
"817",36,11,0
"818",36,12,0
"819",36,13,0
"820",36,14,0.551989571950693
"821",36,15,0.594723802699218
"822",36,16,1.40849101771696
"823",36,17,1.2427262978517
"824",36,18,3.47248200916953
"825",36,19,0
"826",36,20,0
"827",36,21,0
"828",36,22,0
"829",37,0,0
"830",37,1,0
"831",37,2,0
"832",37,3,0
"833",37,4,0
"834",37,5,0
"835",37,6,0.00301444331448085
"836",37,7,0.742394337673549
"837",37,8,0
"838",37,9,0.0764582490533329
"839",37,10,0.733536106424966
"840",37,11,0.283830188135217
"841",37,12,0.2997189917211
"842",37,13,0
"843",37,14,0
"844",37,15,1.4303465928131
"845",37,16,4.43070109086425
"846",37,17,0
"847",37,18,0
"848",37,19,0
"849",37,20,0
"850",37,21,0
"851",37,22,0
"852",38,0,0
"853",38,1,0
"854",38,2,0
"855",38,3,0
"856",38,4,0.456047008513087
"857",38,5,0
"858",38,6,0
"859",38,7,0.533512583243823
"860",38,8,0.0258009037391314
"861",38,9,0.173841337511997
"862",38,10,1.49093541442633
"863",38,11,0.172407502782562
"864",38,12,0.138633780703796
"865",38,13,0
"866",38,14,0
"867",38,15,0.448592543412291
"868",38,16,2.73613735540019
"869",38,17,0.378533201889575
"870",38,18,0.533512583243822
"871",38,19,0.912045785133397
"872",38,20,0
"873",38,21,0
"874",38,22,0
"875",39,0,0
"876",39,1,0
"877",39,2,0
"878",39,3,0
"879",39,4,0
"880",39,5,0.197823294278261
"881",39,6,0.0105405417974538
"882",39,7,0.185311120148611
"883",39,8,0.744492072563897
"884",39,9,0.35023525251301
"885",39,10,2.12706992439584
"886",39,11,2.56043622403614
"887",39,12,1.82409157026679
"888",39,13,0
"889",39,14,0
"890",39,15,0
"891",39,16,0
"892",39,17,0
"893",39,18,0
"894",39,19,0
"895",39,20,0
"896",39,21,0
"897",39,22,0
"898",40,0,0
"899",40,1,0
"900",40,2,0
"901",40,3,0
"902",40,4,0
"903",40,5,1.34446404984561
"904",40,6,0.554842552741504
"905",40,7,2.6269024450043
"906",40,8,3.47379095240858
"907",40,9,0
"908",40,10,0
"909",40,11,0
"910",40,12,0
"911",40,13,0
"912",40,14,0
"913",40,15,0
"914",40,16,0
"915",40,17,0
"916",40,18,0
"917",40,19,0
"918",40,20,0
"919",40,21,0
"920",40,22,0
