"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0.767189533093452
"5",1,4,0
"6",1,5,0.0103256661643816
"7",1,6,0.49130701981802
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,2.01463302954946
"12",1,11,1.36623363321966
"13",1,12,0.342697570107944
"14",1,13,3.00761354804708
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",2,0,0
"26",2,1,0
"27",2,2,0
"28",2,3,0
"29",2,4,0
"30",2,5,0
"31",2,6,0.00862483205676563
"32",2,7,0
"33",2,8,0
"34",2,9,0.029167668964131
"35",2,10,0.300450945849655
"36",2,11,2.57648110184566
"37",2,12,1.38323651753002
"38",2,13,0
"39",2,14,0
"40",2,15,0
"41",2,16,0
"42",2,17,0.568811541052506
"43",2,18,0.124537743392642
"44",2,19,0.905705832085638
"45",2,20,1.19727798513734
"46",2,21,0.905705832085638
"47",2,22,0
"48",2,23,0
"49",3,0,0
"50",3,1,0
"51",3,2,0
"52",3,3,0
"53",3,4,0
"54",3,5,0
"55",3,6,0
"56",3,7,0
"57",3,8,0
"58",3,9,0.180556449092903
"59",3,10,0.00328601423020478
"60",3,11,1.0259328677647
"61",3,12,0.00723652802540245
"62",3,13,0
"63",3,14,0
"64",3,15,0.328264384937246
"65",3,16,0.59171196153671
"66",3,17,1.95001635303821
"67",3,18,0.5626843232196
"68",3,19,3.35031111815503
"69",3,20,0
"70",3,21,0
"71",3,22,0
"72",3,23,0
"73",4,0,0
"74",4,1,0
"75",4,2,0
"76",4,3,0
"77",4,4,0
"78",4,5,0
"79",4,6,0.406830127824854
"80",4,7,0.453814090118809
"81",4,8,0.0393431922691095
"82",4,9,0.0346920549131381
"83",4,10,0.33930923592838
"84",4,11,0.860901763487505
"85",4,12,0
"86",4,13,3.52389392283238
"87",4,14,0.238231795402848
"88",4,15,0.291572153051703
"89",4,16,0
"90",4,17,1.81141166417128
"91",4,18,0
"92",4,19,0
"93",4,20,0
"94",4,21,0
"95",4,22,0
"96",4,23,0
"97",5,0,0
"98",5,1,0
"99",5,2,0
"100",5,3,0
"101",5,4,0
"102",5,5,0
"103",5,6,0.454713028655137
"104",5,7,1.65750233025905
"105",5,8,0
"106",5,9,0
"107",5,10,0.0146681622146819
"108",5,11,1.39347541039478
"109",5,12,1.76017946576182
"110",5,13,0
"111",5,14,0.777412597378138
"112",5,15,0
"113",5,16,0
"114",5,17,0.0440044866440456
"115",5,18,0.0146681622146819
"116",5,19,0
"117",5,20,0.190686108790864
"118",5,21,0.1613497843615
"119",5,22,0.0880089732880911
"120",5,23,0
"121",6,0,0
"122",6,1,0
"123",6,2,0
"124",6,3,0
"125",6,4,0
"126",6,5,0
"127",6,6,0.772794183355596
"128",6,7,0.0931077329344091
"129",6,8,0
"130",6,9,0
"131",6,10,0
"132",6,11,0
"133",6,12,0.0279323198803227
"134",6,13,0
"135",6,14,1.0707389287457
"136",6,15,0
"137",6,16,0
"138",6,17,0
"139",6,18,0
"140",6,19,0
"141",6,20,0.288633972096668
"142",6,21,0.493470984552368
"143",6,22,0.837969596409682
"144",6,23,0.0186215465868818
"145",7,0,0
"146",7,1,0
"147",7,2,0
"148",7,3,0.0556108313955493
"149",7,4,0.810581833579169
"150",7,5,0.110160497147803
"151",7,6,2.92663039247593
"152",7,7,0
"153",7,8,0
"154",7,9,0
"155",7,10,0
"156",7,11,4.09701644540155
"157",7,12,0
"158",7,13,0
"159",7,14,0
"160",7,15,0
"161",7,16,0
"162",7,17,0
"163",7,18,0
"164",7,19,0
"165",7,20,0
"166",7,21,0
"167",7,22,0
"168",7,23,0
"169",8,0,0
"170",8,1,0
"171",8,2,0
"172",8,3,1.60249079032204
"173",8,4,0.177205392010767
"174",8,5,0
"175",8,6,0
"176",8,7,0
"177",8,8,0
"178",8,9,0
"179",8,10,0
"180",8,11,0.829482288925239
"181",8,12,0
"182",8,13,0
"183",8,14,0.948211630938786
"184",8,15,0
"185",8,16,3.00761354804708
"186",8,17,0
"187",8,18,0
"188",8,19,1.43499634975608
"189",8,20,0
"190",8,21,0
"191",8,22,0
"192",8,23,0
"193",9,0,0
"194",9,1,0
"195",9,2,0
"196",9,3,1.72279077271561
"197",9,4,0
"198",9,5,0
"199",9,6,0.032532567888735
"200",9,7,0.674814827408415
"201",9,8,0.115368180762543
"202",9,9,0.218282441300463
"203",9,10,0.0239760362180345
"204",9,11,1.96531372899474
"205",9,12,0
"206",9,13,0.905705832085638
"207",9,14,2.34121561262583
"208",9,15,0
"209",9,16,0
"210",9,17,0
"211",9,18,0
"212",9,19,0
"213",9,20,0
"214",9,21,0
"215",9,22,0
"216",9,23,0
"217",10,0,0
"218",10,1,0
"219",10,2,0
"220",10,3,0
"221",10,4,0
"222",10,5,0
"223",10,6,0
"224",10,7,1.79999973737547
"225",10,8,1.37989894914464
"226",10,9,0.251364140238445
"227",10,10,0.168835453793214
"228",10,11,1.26667432674697
"229",10,12,0.124537743392642
"230",10,13,2.10298381722298
"231",10,14,0.905705832085638
"232",10,15,0
"233",10,16,0
"234",10,17,0
"235",10,18,0
"236",10,19,0
"237",10,20,0
"238",10,21,0
"239",10,22,0
"240",10,23,0
"241",11,0,0
"242",11,1,0
"243",11,2,0
"244",11,3,0
"245",11,4,0
"246",11,5,0.64735226331994
"247",11,6,0.437032570229425
"248",11,7,0
"249",11,8,0.269768177332971
"250",11,9,0.403694517883959
"251",11,10,0.385245713801843
"252",11,11,1.12226140118096
"253",11,12,1.50031599234638
"254",11,13,3.23432936390452
"255",11,14,0
"256",11,15,0
"257",11,16,0
"258",11,17,0
"259",11,18,0
"260",11,19,0
"261",11,20,0
"262",11,21,0
"263",11,22,0
"264",11,23,0
"265",12,0,0
"266",12,1,0
"267",12,2,0
"268",12,3,0
"269",12,4,0
"270",12,5,2.67084252655224
"271",12,6,5.32915747344776
"272",12,7,0
"273",12,8,0
"274",12,9,0
"275",12,10,0
"276",12,11,0
"277",12,12,0
"278",12,13,0
"279",12,14,0
"280",12,15,0
"281",12,16,0
"282",12,17,0
"283",12,18,0
"284",12,19,0
"285",12,20,0
"286",12,21,0
"287",12,22,0
"288",12,23,0
"289",13,0,0
"290",13,1,0
"291",13,2,0
"292",13,3,0
"293",13,4,0.0453288180085557
"294",13,5,1.85848153835078
"295",13,6,1.07278202620249
"296",13,7,0
"297",13,8,0
"298",13,9,0
"299",13,10,0
"300",13,11,0.0151096060028519
"301",13,12,0.438178574082705
"302",13,13,1.63183744830801
"303",13,14,1.35986454025667
"304",13,15,0.0906576360171114
"305",13,16,0.438178574082705
"306",13,17,0
"307",13,18,0
"308",13,19,0
"309",13,20,0
"310",13,21,0
"311",13,22,0
"312",13,23,0
"313",14,0,0
"314",14,1,0
"315",14,2,0
"316",14,3,0
"317",14,4,0
"318",14,5,0.0226413116311437
"319",14,6,0.113206558155718
"320",14,7,0
"321",14,8,0
"322",14,9,0
"323",14,10,0.192451148864721
"324",14,11,0.0226413116311437
"325",14,12,0.169809837233577
"326",14,13,1.92451148864721
"327",14,14,2.00375607935621
"328",14,15,0.0113206558155718
"329",14,16,0
"330",14,17,0
"331",14,18,0.0113206558155718
"332",14,19,0.283016395389296
"333",14,20,0.158489181418006
"334",14,21,0
"335",14,22,0
"336",14,23,0
"337",15,0,0
"338",15,1,0
"339",15,2,0
"340",15,3,0
"341",15,4,0.167981326288231
"342",15,5,0
"343",15,6,0
"344",15,7,0
"345",15,8,0
"346",15,9,0
"347",15,10,0
"348",15,11,0
"349",15,12,0.760856595540809
"350",15,13,1.5414757000567
"351",15,14,1.35373186479339
"352",15,15,0
"353",15,16,0
"354",15,17,0
"355",15,18,0.019762508975086
"356",15,19,0.128456308338059
"357",15,20,0.108693799362973
"358",15,21,0
"359",15,22,0
"360",15,23,0
"361",16,0,0
"362",16,1,0
"363",16,2,0
"364",16,3,0.356183408245698
"365",16,4,0
"366",16,5,0
"367",16,6,0
"368",16,7,0
"369",16,8,0
"370",16,9,0
"371",16,10,0
"372",16,11,0
"373",16,12,0.542370189828677
"374",16,13,1.10902561203774
"375",16,14,0
"376",16,15,0.129521239362072
"377",16,16,0.202376936503238
"378",16,17,0.016190154920259
"379",16,18,0.0890458520614245
"380",16,19,0.283327711104532
"381",16,20,0.16190154920259
"382",16,21,0.0728556971411655
"383",16,22,0
"384",16,23,0
"385",17,0,0
"386",17,1,0
"387",17,2,0
"388",17,3,0
"389",17,4,0
"390",17,5,0
"391",17,6,0
"392",17,7,0
"393",17,8,0
"394",17,9,0
"395",17,10,0
"396",17,11,0
"397",17,12,1.87012312048052
"398",17,13,0.962185078956322
"399",17,14,0.0500673220912151
"400",17,15,0.106311299105698
"401",17,16,2.91648506982301
"402",17,17,2.09482810954323
"403",17,18,0
"404",17,19,0
"405",17,20,0
"406",17,21,0
"407",17,22,0
"408",17,23,0
"409",18,0,0
"410",18,1,0
"411",18,2,0
"412",18,3,0
"413",18,4,0
"414",18,5,0
"415",18,6,0
"416",18,7,0
"417",18,8,0
"418",18,9,0
"419",18,10,0.601497288884925
"420",18,11,0.979181633068483
"421",18,12,3.52505387904654
"422",18,13,0
"423",18,14,0.195836326613697
"424",18,15,0.111906472350684
"425",18,16,0.601497288884925
"426",18,17,0.321731108008216
"427",18,18,0.0279766180876709
"428",18,19,0
"429",18,20,0
"430",18,21,0
"431",18,22,0
"432",18,23,0
"433",19,0,0
"434",19,1,0
"435",19,2,0
"436",19,3,0
"437",19,4,0
"438",19,5,0
"439",19,6,0
"440",19,7,0
"441",19,8,0
"442",19,9,0
"443",19,10,0.725352262316854
"444",19,11,1.81834882197239
"445",19,12,0
"446",19,13,0
"447",19,14,0.0695543265235339
"448",19,15,0.278217306094136
"449",19,16,0.506752950385747
"450",19,17,0
"451",19,18,0.00993633236050485
"452",19,19,0.705479597595844
"453",19,20,0
"454",19,21,0
"455",19,22,0
"456",19,23,0
"457",20,0,0
"458",20,1,0
"459",20,2,0
"460",20,3,0
"461",20,4,0
"462",20,5,0
"463",20,6,0
"464",20,7,0
"465",20,8,0
"466",20,9,0
"467",20,10,2.96561842828143
"468",20,11,3.75110655252894
"469",20,12,0
"470",20,13,0
"471",20,14,0
"472",20,15,0
"473",20,16,0.176334068708626
"474",20,17,0
"475",20,18,0
"476",20,19,0.336637767534649
"477",20,20,0
"478",20,21,0.176334068708626
"479",20,22,0
"480",20,23,0
"481",21,0,0
"482",21,1,0
"483",21,2,0
"484",21,3,0
"485",21,4,0
"486",21,5,0
"487",21,6,0
"488",21,7,0
"489",21,8,0.175238631907543
"490",21,9,0
"491",21,10,0.394191316255761
"492",21,11,0.430211981381149
"493",21,12,0.133580830701267
"494",21,13,0.282911494539263
"495",21,14,0.102656242396121
"496",21,15,0.411410774297002
"497",21,16,0.989120331705911
"498",21,17,0
"499",21,18,0.199286997506524
"500",21,19,1.28931528151539
"501",21,20,0
"502",21,21,3.59207611779407
"503",21,22,0
"504",21,23,0
"505",22,0,0
"506",22,1,0
"507",22,2,0
"508",22,3,0
"509",22,4,0.207405564819579
"510",22,5,0.149670068274011
"511",22,6,0
"512",22,7,0
"513",22,8,0.689050555365095
"514",22,9,1.82791041288899
"515",22,10,0.618332199994466
"516",22,11,0.153866787686356
"517",22,12,3.47496104142325
"518",22,13,0
"519",22,14,0
"520",22,15,0
"521",22,16,0
"522",22,17,0.878803369548251
"523",22,18,0
"524",22,19,0
"525",22,20,0
"526",22,21,0
"527",22,22,0
"528",22,23,0
"529",23,0,0
"530",23,1,0
"531",23,2,0
"532",23,3,0
"533",23,4,0
"534",23,5,0.286462912051869
"535",23,6,0
"536",23,7,0
"537",23,8,0
"538",23,9,0.676137609994108
"539",23,10,0.835404789930111
"540",23,11,0.552942330892237
"541",23,12,3.89093856233408
"542",23,13,0
"543",23,14,0
"544",23,15,0
"545",23,16,0
"546",23,17,1.7581137947976
"547",23,18,0
"548",23,19,0
"549",23,20,0
"550",23,21,0
"551",23,22,0
"552",23,23,0
"553",24,0,0
"554",24,1,0
"555",24,2,0
"556",24,3,0
"557",24,4,0.00230727136136208
"558",24,5,0.63386678493669
"559",24,6,0.409952132160633
"560",24,7,0.391316891671155
"561",24,8,0
"562",24,9,0.160120901419711
"563",24,10,0.740355564489598
"564",24,11,0.72785452391667
"565",24,12,1.58830959547384
"566",24,13,1.58830959547384
"567",24,14,1.7576067390965
"568",24,15,0
"569",24,16,0
"570",24,17,0
"571",24,18,0
"572",24,19,0
"573",24,20,0
"574",24,21,0
"575",24,22,0
"576",24,23,0
"577",25,0,0
"578",25,1,0
"579",25,2,0
"580",25,3,1.13124174909567
"581",25,4,0.29716321529854
"582",25,5,0.893387117966795
"583",25,6,3.40587880186282
"584",25,7,0.231222208701391
"585",25,8,0
"586",25,9,0
"587",25,10,2.04110690707479
"588",25,11,0
"589",25,12,0
"590",25,13,0
"591",25,14,0
"592",25,15,0
"593",25,16,0
"594",25,17,0
"595",25,18,0
"596",25,19,0
"597",25,20,0
"598",25,21,0
"599",25,22,0
"600",25,23,0
"601",26,0,0
"602",26,1,0
"603",26,2,0.499171239003419
"604",26,3,0.568174612363772
"605",26,4,2.38930663705356
"606",26,5,0
"607",26,6,0.189583100607752
"608",26,7,0.378442921628319
"609",26,8,3.97532148934318
"610",26,9,0
"611",26,10,0
"612",26,11,0
"613",26,12,0
"614",26,13,0
"615",26,14,0
"616",26,15,0
"617",26,16,0
"618",26,17,0
"619",26,18,0
"620",26,19,0
"621",26,20,0
"622",26,21,0
"623",26,22,0
"624",26,23,0
"625",27,0,0
"626",27,1,0
"627",27,2,0.12499402932142
"628",27,3,5.17475281390679
"629",27,4,0.674967758335668
"630",27,5,0
"631",27,6,0
"632",27,7,0
"633",27,8,0
"634",27,9,0.6249701466071
"635",27,10,0.012499402932142
"636",27,11,0
"637",27,12,0
"638",27,13,0.06249701466071
"639",27,14,0
"640",27,15,0
"641",27,16,0
"642",27,17,0
"643",27,18,0.037498208796426
"644",27,19,0.024998805864284
"645",27,20,0
"646",27,21,0
"647",27,22,0
"648",27,23,0
"649",28,0,0
"650",28,1,0
"651",28,2,0.606075425848283
"652",28,3,0.4506162009463
"653",28,4,0.194555385381292
"654",28,5,0.0634054748344126
"655",28,6,0
"656",28,7,0
"657",28,8,0
"658",28,9,1.19464776148226
"659",28,10,0.947352239928198
"660",28,11,0.951271393785185
"661",28,12,0.076862639601062
"662",28,13,3.515213478193
"663",28,14,0
"664",28,15,0
"665",28,16,0
"666",28,17,0
"667",28,18,0
"668",28,19,0
"669",28,20,0
"670",28,21,0
"671",28,22,0
"672",28,23,0
"673",29,0,0
"674",29,1,1.1036668181205
"675",29,2,1.41407311071689
"676",29,3,1.18414252360846
"677",29,4,1.79345857944582
"678",29,5,0.517343820993985
"679",29,6,0.0804757054879533
"680",29,7,0.0114965293554219
"681",29,8,0.0114965293554219
"682",29,9,0
"683",29,10,0
"684",29,11,0
"685",29,12,0
"686",29,13,0
"687",29,14,0
"688",29,15,0
"689",29,16,0
"690",29,17,0
"691",29,18,0
"692",29,19,0
"693",29,20,0
"694",29,21,0
"695",29,22,0
"696",29,23,0
"697",30,0,0
"698",30,1,0
"699",30,2,0
"700",30,3,0.165063153234856
"701",30,4,0.00791809664681256
"702",30,5,0.175792279587753
"703",30,6,0
"704",30,7,0.0183801916687888
"705",30,8,1.45978541674781
"706",30,9,0.879056897398798
"707",30,10,3.9007317463378
"708",30,11,0
"709",30,12,0.514215320978582
"710",30,13,0
"711",30,14,0
"712",30,15,0
"713",30,16,0.879056897398798
"714",30,17,0
"715",30,18,0
"716",30,19,0
"717",30,20,0
"718",30,21,0
"719",30,22,0
"720",30,23,0
"721",31,0,0
"722",31,1,0
"723",31,2,0.0104485877969169
"724",31,3,0.187299921436237
"725",31,4,0.0121140980235159
"726",31,5,5.62924689520382
"727",31,6,0
"728",31,7,0
"729",31,8,2.16089049753951
"730",31,9,0
"731",31,10,0
"732",31,11,0
"733",31,12,0
"734",31,13,0
"735",31,14,0
"736",31,15,0
"737",31,16,0
"738",31,17,0
"739",31,18,0
"740",31,19,0
"741",31,20,0
"742",31,21,0
"743",31,22,0
"744",31,23,0
"745",32,0,0
"746",32,1,0
"747",32,2,0.0751397493412293
"748",32,3,2.72498554520724
"749",32,4,0
"750",32,5,5.19987470545153
"751",32,6,0
"752",32,7,0
"753",32,8,0
"754",32,9,0
"755",32,10,0
"756",32,11,0
"757",32,12,0
"758",32,13,0
"759",32,14,0
"760",32,15,0
"761",32,16,0
"762",32,17,0
"763",32,18,0
"764",32,19,0
"765",32,20,0
"766",32,21,0
"767",32,22,0
"768",32,23,0
"769",33,0,0
"770",33,1,0
"771",33,2,0
"772",33,3,3.58905759536838
"773",33,4,0
"774",33,5,0
"775",33,6,0
"776",33,7,0
"777",33,8,0
"778",33,9,0
"779",33,10,0
"780",33,11,0
"781",33,12,0
"782",33,13,0
"783",33,14,0
"784",33,15,0
"785",33,16,0
"786",33,17,0
"787",33,18,0
"788",33,19,0
"789",33,20,0
"790",33,21,0
"791",33,22,0
"792",33,23,0
"793",34,0,0
"794",34,1,0
"795",34,2,0
"796",34,3,3.17312119621746
"797",34,4,1.87328841704404
"798",34,5,2.25559217562446
"799",34,6,0
"800",34,7,0
"801",34,8,0
"802",34,9,0
"803",34,10,0
"804",34,11,0
"805",34,12,0
"806",34,13,0
"807",34,14,0
"808",34,15,0
"809",34,16,0
"810",34,17,0
"811",34,18,0
"812",34,19,0
"813",34,20,0
"814",34,21,0
"815",34,22,0
"816",34,23,0
"817",35,0,0
"818",35,1,0
"819",35,2,0
"820",35,3,2.95812278887644
"821",35,4,1.16949040490464
"822",35,5,0.701694242942783
"823",35,6,0
"824",35,7,0.110069685167495
"825",35,8,0
"826",35,9,0
"827",35,10,0
"828",35,11,0
"829",35,12,0
"830",35,13,0
"831",35,14,0
"832",35,15,0
"833",35,16,0
"834",35,17,0
"835",35,18,0
"836",35,19,0
"837",35,20,0
"838",35,21,0
"839",35,22,0
"840",35,23,0
"841",36,0,0
"842",36,1,0
"843",36,2,0
"844",36,3,2.13087016127219
"845",36,4,0.124626282009179
"846",36,5,2.95135604420798
"847",36,6,0
"848",36,7,0.631318285022908
"849",36,8,2.16182922748775
"850",36,9,0
"851",36,10,0
"852",36,11,0
"853",36,12,0
"854",36,13,0
"855",36,14,0
"856",36,15,0
"857",36,16,0
"858",36,17,0
"859",36,18,0
"860",36,19,0
"861",36,20,0
"862",36,21,0
"863",36,22,0
"864",36,23,0
"865",37,0,0
"866",37,1,0
"867",37,2,0
"868",37,3,2.25549644328137
"869",37,4,0.631318285022908
"870",37,5,1.89228433159656
"871",37,6,0
"872",37,7,0
"873",37,8,1.74522291799517
"874",37,9,1.47567802210399
"875",37,10,0
"876",37,11,0
"877",37,12,0
"878",37,13,0
"879",37,14,0
"880",37,15,0
"881",37,16,0
"882",37,17,0
"883",37,18,0
"884",37,19,0
"885",37,20,0
"886",37,21,0
"887",37,22,0
"888",37,23,0
"889",38,0,0
"890",38,1,0.551606633304923
"891",38,2,0.203564857434405
"892",38,3,1.11390463297226
"893",38,4,4.65524585418442
"894",38,5,1.47567802210399
"895",38,6,0
"896",38,7,0
"897",38,8,0
"898",38,9,0
"899",38,10,0
"900",38,11,0
"901",38,12,0
"902",38,13,0
"903",38,14,0
"904",38,15,0
"905",38,16,0
"906",38,17,0
"907",38,18,0
"908",38,19,0
"909",38,20,0
"910",38,21,0
"911",38,22,0
"912",38,23,0
"913",39,0,0
"914",39,1,0.0175128950363553
"915",39,2,5.18933959245299
"916",39,3,0
"917",39,4,0
"918",39,5,2.79314751251065
"919",39,6,0
"920",39,7,0
"921",39,8,0
"922",39,9,0
"923",39,10,0
"924",39,11,0
"925",39,12,0
"926",39,13,0
"927",39,14,0
"928",39,15,0
"929",39,16,0
"930",39,17,0
"931",39,18,0
"932",39,19,0
"933",39,20,0
"934",39,21,0
"935",39,22,0
"936",39,23,0
"937",40,0,0
"938",40,1,0.0389536059529746
"939",40,2,2.8456331296897
"940",40,3,0
"941",40,4,5.11541326435732
"942",40,5,0
"943",40,6,0
"944",40,7,0
"945",40,8,0
"946",40,9,0
"947",40,10,0
"948",40,11,0
"949",40,12,0
"950",40,13,0
"951",40,14,0
"952",40,15,0
"953",40,16,0
"954",40,17,0
"955",40,18,0
"956",40,19,0
"957",40,20,0
"958",40,21,0
"959",40,22,0
"960",40,23,0
