"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","X","SubplotID"
"1","UMBS",112,2772,"POGR",36.2,"L","OD","07/12/2018","","","A01E"
"2","UMBS",112,2773,"POGR",41.6,"L","OD","07/12/2018","","","A01E"
"3","UMBS",112,2774,"FAGR",10.8,"L","UN","07/12/2018","","","A01E"
"4","UMBS",112,2775,"FAGR",26.2,"D","UN","07/12/2018","2775 -2776 share base","","A01E"
"5","UMBS",112,2776,"FAGR",19.5,"L","OS","07/12/2018","2775 -2776 share base","","A01E"
"6","UMBS",112,2777,"POGR",26.5,"D","OS","07/12/2018","","","A01E"
"7","UMBS",112,2778,"ACSA",16,"L","OS","07/12/2018","2778 - 2779 share base","","A01E"
"8","UMBS",112,2779,"ACSA",9.8,"L","UN","07/12/2018","2778 - 2779 share base","","A01E"
"9","UMBS",113,2780,"FAGR",9.7,"L","UN","07/12/2018","","","A01E"
"10","UMBS",112,2781,"QURU",42.6,"L","OD","07/12/2018","2781 - 2782 share base","","A01E"
"11","UMBS",112,2782,"QURU",38.2,"L","OD","07/12/2018","2781 - 2782 share base","","A01E"
"12","UMBS",112,2783,"FAGR",16.5,"L","OS","07/12/2018","","","A01E"
"13","UMBS",112,2784,"ACPE",1.1,"L","SA","07/12/2018","In NE veg plot","","A01E"
"14","UMBS",112,2785,"POGR",36.7,"L","OD","07/12/2018","In NE veg plot","","A01E"
"15","UMBS",112,2786,"ACSA",23,"L","OS","07/12/2018","2786- 2787 share base","","A01E"
"16","UMBS",112,2787,"ACSA",20.7,"L","OS","07/12/2018","2786- 2787 share base","","A01E"
"17","UMBS",112,2788,"FAGR",12.7,"L","OS","07/12/2018","","","A01E"
"18","UMBS",112,2789,"POGR",35.9,"L","OD","07/12/2018","","","A01E"
"19","UMBS",112,2790,"POGR",30.9,"D","OS","07/12/2018","","","A01E"
"20","UMBS",112,2791,"POGR",36.4,"L","OD","07/12/2018","","","A01E"
"21","UMBS",112,2792,"POGR",32.2,"L","OD","07/12/2018","","","A01E"
"22","UMBS",112,2793,"POGR",31.2,"L","OD","07/12/2018","","","A01E"
"23","UMBS",113,2794,"ACSA",10.9,"L","UN","07/12/2018","2794 - 2795 share base","","A01E"
"24","UMBS",113,2795,"ACSA",24.5,"L","OS","07/12/2018","2794 - 2795 share base","","A01E"
"25","UMBS",112,2796,"FAGR",12.7,"D","UN","07/12/2018","2796 - 2797 share base","","A01E"
"26","UMBS",112,2797,"FAGR",25.3,"L","OS","07/12/2018","2796 - 2797 share base","","A01E"
"27","UMBS",112,2798,"POGR",39.5,"L","OD","07/12/2018","","","A01E"
"28","UMBS",112,2799,"FAGR",13,"L","OS","07/12/2018","","","A01E"
"29","UMBS",112,2800,"POGR",33.3,"L","OD","07/12/2018","","","A01E"
"30","UMBS",112,2801,"FAGR",17.8,"D","OS","07/12/2018","","","A01E"
"31","UMBS",112,2802,"ACSA",30.9,"L","OS","07/12/2018","","","A01E"
"32","UMBS",113,2803,"FAGR",15.5,"L","OS","07/12/2018","","","A01E"
"33","UMBS",112,2804,"FAGR",9.4,"L","UN","07/12/2018","","Shares base with smaller tree","A01E"
"34","UMBS",112,2805,"POGR",26.4,"D","UN","07/12/2018","","","A01E"
"35","UMBS",112,2806,"ACSA",12,"L","OS","07/12/2018","Shares base with smaller tree","","A01E"
"36","UMBS",112,2807,"FAGR",8.3,"L","UN","07/12/2018","shares base with smaller tree","","A01E"
"37","UMBS",112,2808,"FAGR",13.4,"L","OS","07/12/2018","Shares base with smaller tree","","A01E"
"38","UMBS",112,2809,"ACSA",19.5,"L","OS","07/12/2018","","","A01E"
"39","UMBS",112,2810,"POGR",30.2,"D","UN","07/12/2018","","","A01E"
"40","UMBS",112,2811,"POGR",36.9,"L","OD","07/12/2018","","","A01E"
"41","UMBS",112,2812,"POGR",36.5,"L","OD","07/12/2018","","","A01E"
"42","UMBS",112,2813,"ACSA",8.4,"L","UN","07/12/2018","","","A01E"
"43","UMBS",112,2814,"ACSA",10.3,"L","OS","07/12/2018","","","A01E"
"44","UMBS",112,2815,"ACRU",28.6,"L","OD","07/12/2018","2815 - 2816 share base","","A01E"
"45","UMBS",112,2816,"ACRU",32.7,"L","OD","07/12/2018","2815 - 2816 share base","","A01E"
"46","UMBS",112,2817,"POGR",43.8,"L","OD","07/12/2018","","","A01E"
"47","UMBS",112,2818,"ACSA",20.6,"L","OS","07/12/2018","2818 - 2819 share base","","A01E"
"48","UMBS",112,2819,"ACSA",22.8,"L","OS","07/12/2018","2818 - 2819 share base","","A01E"
"49","UMBS",112,2820,"POGR",38.2,"L","OD","07/12/2018","","","A01E"
"50","UMBS",112,2821,"FAGR",10.9,"L","UN","07/12/2018","","","A01E"
"51","UMBS",112,2822,"POGR",19.8,"D","UN","07/12/2018","","","A01E"
"52","UMBS",112,2823,"POGR",34.9,"L","OD","07/12/2018","","","A01E"
"53","UMBS",112,2824,"POGR",33.4,"L","OD","07/12/2018","","","A01E"
"54","UMBS",112,2825,"POGR",36.4,"L","OD","07/12/2018","","","A01E"
"55","UMBS",112,2826,"POGR",29.1,"L","OD","07/12/2018","","","A01E"
"56","UMBS",112,2827,"FAGR",25.7,"D","UN","07/12/2018","","","A01E"
"57","UMBS",112,2828,"FAGR",14.6,"L","OS","07/12/2018","Shares base with smaller tree","","A01E"
"58","UMBS",112,2829,"POGR",32.5,"L","OD","07/12/2018","","","A01E"
"59","UMBS",112,2830,"FAGR",9.6,"L","UN","07/12/2018","","","A01E"
"60","UMBS",112,2831,"POGR",25.2,"L","OD","07/12/2018","","","A01E"
"61","UMBS",112,2832,"FAGR",8.4,"D","UN","07/12/2018","2832 - 2834 share base","","A01E"
"62","UMBS",112,2833,"FAGR",19.1,"L","OS","07/12/2018","2832 - 2834 share base","","A01E"
"63","UMBS",112,2834,"FAGR",10.2,"L","UN","07/12/2018","2832 - 2834 share base","","A01E"
"64","UMBS",112,2835,"ACPE",1.6,"L","SA","07/12/2018","in SW veg plot","","A01E"
"65","UMBS",112,2836,"ACPE",1.4,"L","SA","07/12/2018","in SW veg plot","","A01E"
"66","UMBS",112,2837,"ACPE",2.6,"L","SA","07/12/2018","in SW veg plot","","A01E"
"67","UMBS",112,2838,"ACPE",3.2,"L","SA","07/12/2018","in SW veg plot","","A01E"
"68","UMBS",112,2839,"ACPE",1.1,"L","SA","07/12/2018","in SW veg plot","","A01E"
"69","UMBS",112,2840,"POGR",35.1,"L","OD","07/12/2018","","","A01E"
"70","UMBS",112,2841,"ACSA",10.9,"L","OS","07/12/2018","2841 - 2842 share base, taken a little above DBH","","A01E"
"71","UMBS",114,2842,"ACSA",14,"L","OS","07/12/2018","2841 - 2842 share base","","A01E"
"72","UMBS",112,2843,"BEPA",18.4,"D","UN","07/12/2018","","","A01E"
"73","UMBS",112,2844,"ACSA",11.9,"L","OS","07/12/2018","Shares base with smaller tree","","A01E"
"74","UMBS",112,2845,"POGR",33.9,"L","OD","07/12/2018","","","A01E"
