"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","SubplotID"
"1","UMBS",121,2985,"POGR",25.5,"D","UN","07/13/2018","","A02W"
"2","UMBS",121,2986,"POGR",35.8,"L","OD","07/13/2018","","A02W"
"3","UMBS",121,2987,"POGR",27.7,"L","OD","07/13/2018","","A02W"
"4","UMBS",121,2988,"ACSA",10.4,"L","UN","07/13/2018","2988-2989 share base","A02W"
"5","UMBS",121,2989,"ACSA",15,"L","OS","07/13/2018","2988-2989 share base","A02W"
"6","UMBS",121,2990,"POGR",46.7,"L","OD","07/13/2018","","A02W"
"7","UMBS",121,2991,"FAGR",21.8,"L","OS","07/13/2018","","A02W"
"8","UMBS",121,2992,"POGR",47.2,"L","OD","07/13/2018","","A02W"
"9","UMBS",121,2993,"ACSA",12.4,"L","UN","07/13/2018","2993-2995 share base","A02W"
"10","UMBS",121,2994,"ACSA",8,"L","UN","07/13/2018","2993-2995 share base","A02W"
"11","UMBS",121,2995,"ACSA",9.4,"L","UN","07/13/2018","2993-2995 share base","A02W"
"12","UMBS",121,2996,"ACSA",19.7,"L","OS","07/13/2018","","A02W"
"13","UMBS",121,2997,"ACSA",19.6,"L","OS","07/13/2018","read as outside plot at 18.60 m, tripod is not exactly at center","A02W"
"14","UMBS",121,2998,"FAGR",14.8,"L","UN","07/13/2018","2998-2999 share base","A02W"
"15","UMBS",121,2999,"FAGR",15.4,"L","OS","07/13/2018","2998-2999 share base","A02W"
"16","UMBS",121,3000,"ACPE",1.3,"L","SA","07/13/2018","NE veg plot","A02W"
"17","UMBS",121,3001,"ACPE",1.6,"L","SA","07/13/2018","NE veg plot","A02W"
"18","UMBS",121,3002,"POGR",44.9,"L","OD","07/13/2018","","A02W"
"19","UMBS",121,3003,"POGR",35.7,"L","OD","07/13/2018","","A02W"
"20","UMBS",121,3004,"ACSA",34.2,"L","OD","07/13/2018","","A02W"
"21","UMBS",121,3005,"POGR",46.5,"L","OD","07/13/2018","","A02W"
"22","UMBS",121,3006,"POGR",50.1,"D","UN","07/13/2018","reading taken above DBH","A02W"
"23","UMBS",121,3007,"ACSA",11.2,"L","UN","07/13/2018","","A02W"
"24","UMBS",121,3008,"ACSA",10.2,"L","UN","07/13/2018","","A02W"
"25","UMBS",121,3009,"POGR",40.8,"L","OD","07/13/2018","","A02W"
"26","UMBS",121,3010,"POGR",44.5,"D","UN","07/13/2018","","A02W"
"27","UMBS",121,3011,"FAGR",9.1,"L","UN","07/13/2018","","A02W"
"28","UMBS",121,3012,"ACSA",14.3,"L","OS","07/13/2018","3012-3013 share base","A02W"
"29","UMBS",121,3013,"ACSA",9.9,"L","UN","07/13/2018","3012-3013 share base","A02W"
"30","UMBS",121,3014,"POGR",37.2,"L","OD","07/13/2018","","A02W"
"31","UMBS",121,3015,"FAGR",8.8,"L","UN","07/13/2018","","A02W"
"32","UMBS",121,3016,"FAGR",19.7,"D","UN","07/13/2018","","A02W"
"33","UMBS",121,3017,"FAGR",28.2,"L","OS","07/13/2018","","A02W"
"34","UMBS",121,3018,"ACSA",18.7,"L","OS","07/13/2018","","A02W"
"35","UMBS",121,3019,"POGR",36.3,"L","OD","07/13/2018","","A02W"
"36","UMBS",121,3020,"FAGR",20.4,"L","OS","07/13/2018","","A02W"
"37","UMBS",121,3021,"ACSA",8,"L","UN","07/13/2018","","A02W"
"38","UMBS",121,3022,"ACSA",23.3,"L","OS","07/13/2018","3022-3024 share base ","A02W"
"39","UMBS",121,3023,"ACSA",15.5,"L","UN","07/13/2018","3022-3024 share base ","A02W"
"40","UMBS",120,3024,"ACSA",19.7,"L","OS","07/13/2018","3022-3024 share base, 3024 in new plot 120","A02W"
"41","UMBS",121,3025,"FAGR",26.2,"D","UN","07/13/2018","","A02W"
"42","UMBS",120,3026,"POGR",34.5,"L","OD","07/13/2018","in new plot 120","A02W"
"43","UMBS",121,3027,"POGR",47.6,"L","OD","07/13/2018","","A02W"
"44","UMBS",121,3028,"POGR",44.4,"L","OD","07/13/2018","","A02W"
"45","UMBS",121,3029,"POGR",38.6,"L","OD","07/13/2018","","A02W"
"46","UMBS",121,3030,"POGR",36.5,"L","OD","07/13/2018","","A02W"
"47","UMBS",121,3031,"ACSA",12.5,"L","UN","07/13/2018","3031-3032 share base","A02W"
"48","UMBS",121,3032,"ACSA",8.7,"L","UN","07/13/2018","3031-3032 share base","A02W"
"49","UMBS",121,3033,"ACSA",8.4,"L","UN","07/13/2018","3033-3036 share base","A02W"
"50","UMBS",121,3034,"ACSA",9.2,"L","UN","07/13/2018","3033-3036 share base","A02W"
"51","UMBS",121,3035,"ACSA",23.5,"L","OS","07/13/2018","3033-3036 share base","A02W"
"52","UMBS",121,3036,"ACSA",12.5,"L","UN","07/13/2018","3033-3036 share base","A02W"
"53","UMBS",121,3037,"FAGR",16.8,"L","OS","07/13/2018","3037-3038 share base","A02W"
"54","UMBS",121,3038,"FAGR",10.3,"L","UN","07/13/2018","3037-3038 share base","A02W"
"55","UMBS",120,3039,"POGR",43,"L","OD","07/13/2018","in new plot 120","A02W"
"56","UMBS",121,3040,"POGR",32.5,"L","OD","07/13/2018","","A02W"
"57","UMBS",120,3041,"POGR",30.6,"D","UN","07/13/2018","in new plot 120","A02W"
"58","UMBS",121,3042,"POGR",35.7,"L","OD","07/13/2018","","A02W"
"59","UMBS",121,3043,"POGR",30.9,"L","OD","07/13/2018","","A02W"
"60","UMBS",121,3044,"FAGR",9.5,"D","UN","07/13/2018","","A02W"
"61","UMBS",121,3045,"POGR",40.4,"L","OD","07/13/2018","","A02W"
"62","UMBS",121,3046,"POGR",30.1,"L","OD","07/13/2018","","A02W"
"63","UMBS",121,3047,"ACSA",12.8,"L","OS","07/13/2018","SW veg plot, 3047-3048 share base","A02W"
"64","UMBS",121,3048,"ACSA",13,"L","OS","07/13/2018","3047-3048 share base","A02W"
"65","UMBS",121,3049,"ACSA",18.3,"L","OS","07/13/2018","","A02W"
"66","UMBS",121,3050,"ACPE",8,"L","UN","07/13/2018","","A02W"
"67","UMBS",121,3051,"POGR ",34.3,"L","OD","07/13/2018","","A02W"
"68","UMBS",121,3052,"ACPE",7.4,"D","UN","07/13/2018","REDACT, under minimum DBH","A02W"
"69","UMBS",121,3053,"ACPE",13.4,"L","UN","07/13/2018","","A02W"
"70","UMBS",121,3054,"POGR",35.7,"L","OD","07/13/2018","","A02W"
"71","UMBS",121,3055,"POGR",42.2,"L","OD","07/13/2018","","A02W"
"72","UMBS",121,3056,"FAGR",12.3,"L","OS","07/13/2018","","A02W"
"73","UMBS",121,3057,"POGR",42.6,"L","OD","07/13/2018","","A02W"
"74","UMBS",121,3058,"ACSA",9.5,"L","UN","07/13/2018","","A02W"
"75","UMBS",121,3059,"ACSA",8.1,"L","UN","07/13/2018","3059-3060 share base","A02W"
"76","UMBS",121,3060,"ACSA",26.4,"L","OS","07/13/2018","3059-3060 share base","A02W"
"77","UMBS",121,3061,"ACSA",10.5,"L","OS","07/13/2018","","A02W"
"78","UMBS",121,3062,"ACSA",22,"L","OS","07/13/2018","","A02W"
"79","UMBS",121,3063,"POGR",33.9,"L","OD","07/13/2018","","A02W"
"80","UMBS",121,3064,"ACSA",10.7,"L","OS","07/13/2018","","A02W"
"81","UMBS",121,3065,"ACSA",10.6,"L","UN","07/13/2018","","A02W"
"82","UMBS",121,3066,"POGR",36.5,"L","OD","07/13/2018","","A02W"
"83","UMBS",121,3067,"ACSA",11.6,"L","OS","07/13/2018","","A02W"
"84","UMBS",121,3068,"ACSA",9.9,"D","UN","07/13/2018","","A02W"
"85","UMBS",121,3069,"POGR",55.1,"L","OD","07/13/2018","3069-3070 share base","A02W"
"86","UMBS",121,3070,"POGR",39.3,"L","OD","07/13/2018","3069-3070 share base","A02W"
"87","UMBS",121,3071,"FAGR",12.2,"L","UN","07/13/2018","","A02W"
"88","UMBS",121,3072,"POGR",42,"L","OD","07/13/2018","","A02W"
"89","UMBS",121,3073,"ACRU",23.9,"L","UN","07/13/2018","3073-3074 share base","A02W"
"90","UMBS",121,3074,"ACRU",16.6,"L","OS","07/13/2018","3073-3074 share base","A02W"
"91","UMBS",121,3075,"POGR",33,"D","OD","07/13/2018","","A02W"
"92","UMBS",121,3076,"POGR",30.8,"L","OD","07/13/2018","","A02W"
"93","UMBS",121,3077,"POGR",44.8,"L","OD","07/13/2018","read as outside plot at 18.66 m, tripod is slightly off center","A02W"
"94","UMBS",119,3078,"POGR",22.4,"D","UN","07/13/2018","in new plot 119","A02W"
"95","UMBS",121,3079,"POGR",46.6,"L","OD","07/13/2018","","A02W"
"96","UMBS",121,3080,"POGR",27.4,"D","OS","07/13/2018","","A02W"
"97","UMBS",121,3081,"POGR",50,"D","OS","07/13/2018","","A02W"
