"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","SubplotID"
"1","UMBS",132,2466,"ACSA",8.9,"L","OS","07/11/2018","2466 - 2467 share base","A03E"
"2","UMBS",132,2467,"ACSA",13.5,"L","OS","07/11/2018","2466 - 2467 share base","A03E"
"3","UMBS",132,2468,"POGR",27.1,"L","OD","07/11/2018","","A03E"
"4","UMBS",132,2469,"POGR",46,"L","OD","07/11/2018","","A03E"
"5","UMBS",133,2470,"POGR",46.5,"L","OD","07/11/2018","","A03E"
"6","UMBS",132,2471,"ACSA",9,"L","OS","07/11/2018","2471 - 2472 share base","A03E"
"7","UMBS",132,2472,"ACSA",10.5,"L","OS","07/11/2018","2471 - 2472 share base","A03E"
"8","UMBS",132,2473,"ACSA",19.6,"L","OS","07/11/2018","2473 - 2474 share base","A03E"
"9","UMBS",132,2474,"ACSA",15.7,"L","OS","07/11/2018","2473 - 2474 share base","A03E"
"10","UMBS",132,2475,"ACSA",8,"D","OS","07/11/2018","2475 - 2476 share base","A03E"
"11","UMBS",132,2476,"ACSA",14.8,"L","UN","07/11/2018","2475 - 2476 share base","A03E"
"12","UMBS",132,2477,"ACSA",10.5,"L","OS","07/11/2018","2477 - 2478 share base","A03E"
"13","UMBS",132,2478,"ACSA",23,"L","OS","07/11/2018","2477 - 2478 share base","A03E"
"14","UMBS",132,2479,"ACRU",43.3,"L","OD","07/11/2018","2479 - 2482 share base, slightly above DBH","A03E"
"15","UMBS",132,2480,"ACRU",39.5,"L","OD","07/11/2018","2479 - 2482 share base, slightly above DBH","A03E"
"16","UMBS",132,2481,"ACRU",11.2,"D","OS","07/11/2018","2479 - 2482 share base","A03E"
"17","UMBS",132,2482,"ACRU",28.7,"L","OD","07/11/2018","2479 - 2482 share base","A03E"
"18","UMBS",132,2483,"ACSA",14.8,"L","OS","07/11/2018","","A03E"
"19","UMBS",132,2484,"ACSA",20.5,"L","OD","07/11/2018","2484 - 2485 share base","A03E"
"20","UMBS",132,2485,"ACSA",20.6,"L","OD","07/11/2018","2484 - 2485 share base","A03E"
"21","UMBS",132,2486,"FAGR",15.4,"L","OS","07/11/2018","","A03E"
"22","UMBS",132,2487,"FAGR",8.6,"D","UN","07/11/2018","2487 - 2488 share base","A03E"
"23","UMBS",132,2488,"FAGR",21.3,"L","OS","07/11/2018","2487 - 2488 share base","A03E"
"24","UMBS",132,2489,"FAGR",12.6,"L","OS","07/11/2018","Slightly below DBH","A03E"
"25","UMBS",132,2490,"ACRU",31,"L","OD","07/11/2018","","A03E"
"26","UMBS",132,2491,"FAGR",18.4,"L","OS","07/11/2018","","A03E"
"27","UMBS",132,2492,"FAGR",22.9,"L","OD","07/11/2018","2492 - 2493 share base","A03E"
"28","UMBS",132,2493,"FAGR",17.7,"L","OD","07/11/2018","2492 - 2493 share base","A03E"
"29","UMBS",133,2494,"FAGR",23,"L","OD","07/11/2018","","A03E"
"30","UMBS",132,2495,"FAGR",9.5,"L","OS","07/11/2018","","A03E"
"31","UMBS",132,2496,"ACSA",18.7,"L","OS","07/11/2018","","A03E"
"32","UMBS",132,2497,"FAGR",16.1,"L","OS","07/11/2018","","A03E"
"33","UMBS",132,2498,"FAGR",28.1,"L","OD","07/11/2018","2498 - 2499 share base","A03E"
"34","UMBS",132,2499,"FAGR",9.5,"D","UN","07/11/2018","2498 - 2499 share base","A03E"
"35","UMBS",132,2500,"ACSA",8.5,"L","UN","07/11/2018","Shares base with smaller tree","A03E"
"36","UMBS",132,2501,"FAGR",13.4,"L","OS","07/11/2018","Shares base with smaller trees","A03E"
"37","UMBS",133,2502,"ACSA",18,"L","OD","07/11/2018","2502- 2503 share base","A03E"
"38","UMBS",133,2503,"ACSA",15.1,"L","OD","07/11/2018","2502- 2503 share base","A03E"
"39","UMBS",132,2504,"ACRU",30.1,"L","OD","07/11/2018","2504 - 2506 share base","A03E"
"40","UMBS",132,2505,"ACRU",27,"L","OD","07/11/2018","2504 - 2506 share base","A03E"
"41","UMBS",132,2506,"ACRU",30.2,"L","OD","07/11/2018","2504 - 2506 share base","A03E"
"42","UMBS",132,2507,"?",11.5,"D","UN","07/11/2018","","A03E"
"43","UMBS",132,2508,"FAGR",8.5,"L","UN","07/11/2018","","A03E"
"44","UMBS",132,2509,"?",3.1,"D","UN","07/11/2018","In SE veg plot","A03E"
"45","UMBS",132,2510,"FAGR",9,"M","UN","07/11/2018","","A03E"
"46","UMBS",132,2511,"FAGR",11.2,"L","OS","07/11/2018","2511 - 2513 share base","A03E"
"47","UMBS",133,2512,"FAGR",8.9,"L","OS","07/11/2018","2511 - 2513 share base","A03E"
"48","UMBS",132,2513,"FAGR",15.1,"L","OD","07/11/2018","2511 - 2513 share base","A03E"
"49","UMBS",132,2514,"FAGR",14.5,"L","OD","07/11/2018","","A03E"
"50","UMBS",132,2515,"FAGR",15.9,"L","OD","07/11/2018","","A03E"
"51","UMBS",132,2516,"QURU",22.6,"L","OD","07/11/2018","","A03E"
"52","UMBS",132,2517,"BEAL",20.5,"L","OD","07/11/2018","","A03E"
"53","UMBS",132,2518,"FAGR",9.6,"L","OS","07/11/2018","2518-2519 share base","A03E"
"54","UMBS",132,2519,"FAGR",13.9,"L","OS","07/11/2018","2518-2519 share base, taken above DBH","A03E"
"55","UMBS",132,2520,"FAGR",29.2," D","UN","07/11/2018","","A03E"
"56","UMBS",132,2521,"FAGR",8.2,"D","UN","07/11/2018","","A03E"
"57","UMBS",132,2522,"ACRU",35.1,"L","OD","07/11/2018","2522- 2524 share base, taken above DBH","A03E"
"58","UMBS",132,2523,"ACRU",22.5,"L","OD","07/11/2018","2522- 2524 share base","A03E"
"59","UMBS",133,2524,"ACRU",34.3,"L","OD","07/11/2018","2522- 2524 share base","A03E"
"60","UMBS",132,2525,"ACRU",19.4,"L","OS","07/11/2018","","A03E"
"61","UMBS",132,2526,"ACRU",24.8,"L","OD","07/11/2018","","A03E"
"62","UMBS",132,2527,"ACRU",13.6,"L","OS","07/11/2018","","A03E"
"63","UMBS",132,2528,"FAGR",22.7,"L","OD","07/11/2018","2528- 2529 share base","A03E"
"64","UMBS",132,2529,"FAGR",11,"L","UN","07/11/2018","2528- 2529 share base","A03E"
"65","UMBS",132,2530,"ACRU",12.2,"L","OS","07/11/2018","","A03E"
"66","UMBS",132,2531,"ACSA",9.5,"L","UN","07/11/2018","2531 - 2532 share base","A03E"
"67","UMBS",134,2532,"ACSA",24.8,"L","OD","07/11/2018","2531 - 2532 share base","A03E"
"68","UMBS",132,2533,"ACSA",9.6,"L","OS","07/11/2018","","A03E"
"69","UMBS",132,2534,"ACSA",28.3,"L","OD","07/11/2018","","A03E"
"70","UMBS",132,2535,"ACRU",28.1,"L","OD","07/11/2018","2535 - 2536 share base","A03E"
"71","UMBS",132,2536,"ACRU",32.6,"L","OD","07/11/2018","","A03E"
"72","UMBS",132,2537,"FAGR",11.2,"L","UN","07/11/2018","2537 - 2538 share base","A03E"
"73","UMBS",132,2538,"FAGR",24.2,"L","OS","07/11/2018","2537 - 2538 share base","A03E"
"74","UMBS",132,2539,"FAGR",12.3,"L","OS","07/11/2018","","A03E"
"75","UMBS",132,2540,"FAGR",24.2,"L","OD","07/11/2018","","A03E"
"76","UMBS",132,2541,"POGR",33.8,"L","OD","07/11/2018","","A03E"
"77","UMBS",132,2542,"ACPE",8.3,"D","UN","07/11/2018","","A03E"
"78","UMBS",132,2543,"POGR",34.5,"M","OD","07/11/2018","","A03E"
"79","UMBS",132,2544,"ACRU",8.7,"L","UN","07/11/2018",".08 our of plot","A03E"
"80","UMBS",134,2545,"FAGR",27.8,"L","OD","07/11/2018","2545- 2547 share base","A03E"
"81","UMBS",134,2546,"FAGR",13.7,"L","OS","07/11/2018","2545- 2547 share base","A03E"
"82","UMBS",132,2547,"FAGR",9.2,"L","UN","07/11/2018","2545- 2547 share base, slightly above DBH","A03E"
"83","UMBS",132,2548,"ACSA",16.8,"L","OS","07/11/2018","","A03E"
"84","UMBS",134,2549,"ACSA",12.3,"L","OS","07/11/2018","2549 - 2550 share bse","A03E"
"85","UMBS",132,2550,"ACSA",29.3,"L","OD","07/11/2018","2549 - 2550 share bse","A03E"
"86","UMBS",132,2551,"POGR",39.1,"L","OD","07/11/2018","","A03E"
"87","UMBS",132,2552,"FAGR",1.8,"L","SA","07/11/2018","In NW veg plot","A03E"
"88","UMBS",132,2553,"FAGR",1.4,"L","SA","07/11/2018","In NW veg plot","A03E"
"89","UMBS",132,2554,"FAGR",2.2,"L","UN","07/11/2018","In NW veg plot","A03E"
"90","UMBS",132,2555,"ACSA",34.2,"L","OD","07/11/2018","In NW veg plot","A03E"
"91","UMBS",132,2556,"FAGR",12.7,"D","UN","07/11/2018","","A03E"
"92","UMBS",132,2557,"FAGR",9.7,"L","UN","07/11/2018","Shares base with smaller trees","A03E"
"93","UMBS",135,2558,"ACSA",23,"D","OS","07/11/2018","2558 - 2559 share base","A03E"
"94","UMBS",135,2559,"ACSA",20.2,"L","OD","07/11/2018","2558 - 2559 share base, taken above DBH","A03E"
"95","UMBS",132,2560,"ACSA",13.3,"L","OS","07/11/2018","2560 - 2563 share base","A03E"
"96","UMBS",132,2561,"ACSA",12.7,"L","OS","07/11/2018","2560 - 2563 share base","A03E"
"97","UMBS",132,2562,"ACSA",14.2,"L","OS","07/11/2018","2560 - 2563 share base, slightly above DBH","A03E"
"98","UMBS",132,2563,"ACSA",13.3,"L","OS","07/11/2018","2560 - 2563 share base, taken above DBH","A03E"
"99","UMBS",132,2564,"POGR",47.3,"L","OD","07/11/2018","","A03E"
"100","UMBS",132,2565,"ACSA",12,"L","OS","07/11/2018","2565 - 2567 share base, taken above DBH","A03E"
"101","UMBS",132,2566,"ACSA",7.7,"D","UN","07/11/2018","2565 - 2567 share base, REDACT","A03E"
"102","UMBS",132,2567,"ACSA",15.3,"L","OS","07/11/2018","2565 - 2567 share base","A03E"
"103","UMBS",132,2568,"POGR",25.1,"L","OD","07/11/2018","","A03E"
"104","UMBS",135,2569,"?",22.5,"D","UN","07/11/2018","","A03E"
"105","UMBS",132,2570,"ACSA",16.1,"L","OS","07/11/2018","2570 - 2571 share base","A03E"
"106","UMBS",132,2571,"ACSA",10.2,"L","OS","07/11/2018","2570 - 2571 share base","A03E"
"107","UMBS",132,2572,"FAGR",9.6,"L","OS","07/11/2018","","A03E"
"108","UMBS",132,2573,"POGR",43.2,"L","OD","07/11/2018","","A03E"
