"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","SubplotID"
"1","UMBS",342,1465,"PIST",9.1,"L","UN","06/29/2018","","C04E"
"2","UMBS",342,1466,"FAGR",18.8,"L","UN","06/29/2018","1466-1470 share base","C04E"
"3","UMBS",342,1467,"FAGR",14.1,"L","UN","06/29/2018","1466-1470 share base","C04E"
"4","UMBS",342,1468,"FAGR",15.2,"L","UN","06/29/2018","1466-1470 share base","C04E"
"5","UMBS",342,1469,"FAGR",16.1,"L","UN","06/29/2018","1466-1470 share base","C04E"
"6","UMBS",342,1470,"FAGR",21,"L","OS","06/29/2018","1466-1470 share base","C04E"
"7","UMBS",342,1471,"PIST",16.3,"L","OS","06/29/2018","","C04E"
"8","UMBS",342,1472,"PIST",8.4,"L","UN","06/29/2018","","C04E"
"9","UMBS",342,1473,"QURU",41.2,"L","OD","06/29/2018","NE veg plot","C04E"
"10","UMBS",342,1474,"QURU",30.3,"L","OD","06/29/2018","reading taken under DBH","C04E"
"11","UMBS",342,1475,"PIST",11.9,"L","OS","06/29/2018","","C04E"
"12","UMBS",342,1476,"QURU",33.5,"L","OD","06/29/2018","","C04E"
"13","UMBS",342,1477,"ACRU",20.8,"L","OS","06/29/2018","","C04E"
"14","UMBS",342,1478,"ACRU",14.3,"D","UN","06/29/2018","","C04E"
"15","UMBS",342,1479,"ACRU",13.9,"L","OD","06/29/2018","","C04E"
"16","UMBS",342,1480,"ACRU",10.5,"L","OS","06/29/2018","1480-1481 share base","C04E"
"17","UMBS",342,1481,"ACRU",12.6,"L","OD","06/29/2018","1480-1481 share base","C04E"
"18","UMBS",342,1482,"QURU",39.3,"L","OD","06/29/2018","","C04E"
"19","UMBS",342,1483,"ACRU",10.1,"L","OD","06/29/2018","","C04E"
"20","UMBS",342,1484,"QURU",24.6,"L","OD","06/29/2018","","C04E"
"21","UMBS",342,1485,"ACRU",19.1,"L","OD","06/29/2018","SE veg plot","C04E"
"22","UMBS",342,1486,"ACRU",12.6,"L","OS","06/29/2018","","C04E"
"23","UMBS",342,1487,"QURU",23.1,"L","OD","06/29/2018","","C04E"
"24","UMBS",342,1488,"QURU",31.6,"L","OD","06/29/2018","","C04E"
"25","UMBS",342,1489,"QURU",19.4,"L","OD","06/29/2018","","C04E"
"26","UMBS",342,1490,"QURU",23.6,"L","OD","06/29/2018","","C04E"
"27","UMBS",342,1491,"ACRU",12,"L","OS","06/29/2018","","C04E"
"28","UMBS",342,1492,"QURU",21.1,"L","OD","06/29/2018","","C04E"
"29","UMBS",342,1493,"ACRU",8.1,"L","OS","06/29/2018","","C04E"
"30","UMBS",342,1494,"ACRU",10.2,"L","OS","06/29/2018","","C04E"
"31","UMBS",342,1495,"QURU",18.4,"L","OS","06/29/2018","","C04E"
"32","UMBS",342,1496,"QURU",28,"L","OD","06/29/2018","","C04E"
"33","UMBS",342,1497,"ACRU",12.8,"L","OS","06/29/2018","","C04E"
"34","UMBS",342,1498,"ACRU",18.6,"L","OD","06/29/2018","","C04E"
"35","UMBS",342,1499,"FAGR",8.5,"L","UN","06/29/2018","","C04E"
"36","UMBS",342,1500,"QURU",21.2,"L","OD","06/29/2018","","C04E"
"37","UMBS",342,1501,"QURU",16.9,"D","UN","06/29/2018","","C04E"
"38","UMBS",342,1502,"ACRU",14.8,"L","OS","06/29/2018","","C04E"
"39","UMBS",342,1503,"FAGR",14.6,"L","OS","06/29/2018","","C04E"
"40","UMBS",342,1504,"BEPA",14.1,"D","UN","06/29/2018","","C04E"
"41","UMBS",342,1505,"ACRU",11.1,"M","UN","06/29/2018","","C04E"
"42","UMBS",342,1506,"FAGR",9.6,"L","UN","06/29/2018","","C04E"
"43","UMBS",342,1507,"QURU",28.7,"L","OD","06/29/2018","","C04E"
"44","UMBS",342,1508,"QURU",28.4,"L","OD","06/29/2018","","C04E"
"45","UMBS",342,1509,"QURU",32.3,"L","OD","06/29/2018","","C04E"
"46","UMBS",342,1510,"QURU",18.7,"L","OD","06/29/2018","","C04E"
"47","UMBS",342,1511,"QURU",31.3,"L","OD","06/29/2018","","C04E"
"48","UMBS",342,1512,"ACRU",9.3,"L","UN","06/29/2018","","C04E"
"49","UMBS",342,1513,"QURU",27.9,"L","OD","06/29/2018","","C04E"
"50","UMBS",342,1514,"ACRU",10.8,"L","OS","06/29/2018","","C04E"
"51","UMBS",342,1515,"PIST",1.6,"L","UN","06/29/2018","SW veg plot","C04E"
"52","UMBS",342,1516,"QURU",28.7,"L","OD","06/29/2018","SW veg plot","C04E"
"53","UMBS",342,1517,"QURU",30.7,"L","OD","06/29/2018","","C04E"
"54","UMBS",342,1518,"QURU",20.8,"L","OD","06/29/2018","","C04E"
"55","UMBS",342,1519,"ACRU",8.2,"L","OS","06/29/2018","","C04E"
"56","UMBS",342,1520,"QURU",29.8,"L","OD","06/29/2018","","C04E"
"57","UMBS",342,1521,"QURU",28.4,"L","OD","06/29/2018","","C04E"
"58","UMBS",342,1522,"ACRU",15.5,"L","OD","06/29/2018","","C04E"
"59","UMBS",342,1523,"QURU",17.8,"L","OD","06/29/2018","","C04E"
"60","UMBS",342,1524,"ACRU",13.5,"L","OD","06/29/2018","","C04E"
"61","UMBS",342,1525,"QURU",15,"L","OD","06/29/2018","","C04E"
"62","UMBS",342,1526,"QURU",18.9,"L","OD","06/29/2018","","C04E"
"63","UMBS",343,1527,"ACRU",13.3,"L","OS","06/29/2018","reading taken under DBH, in new plot 343, 1527-1529 share base","C04E"
"64","UMBS",343,1528,"ACRU",9.1,"D","UN","06/29/2018","1527-1529 share base, in new plot 343","C04E"
"65","UMBS",343,1529,"ACRU",11.6,"D","OS","06/29/2018","1527-1529 share base, in new plot 343","C04E"
"66","UMBS",342,1530,"QURU",30.1,"L","OD","06/29/2018","","C04E"
"67","UMBS",342,1531,"QURU",26.7,"L","OD","06/29/2018","","C04E"
"68","UMBS",342,1532,"ACRU",9.5,"L","UN","06/29/2018","","C04E"
"69","UMBS",342,1533,"unknown",11.4,"D","OS","06/29/2018","","C04E"
"70","UMBS",342,1534,"QURU",14.4,"L","OS","06/29/2018","","C04E"
"71","UMBS",342,1535,"ACRU",14.3,"L","OS","06/29/2018","1535-1536 share base","C04E"
"72","UMBS",342,1536,"ACRU",14.3,"L","OS","06/29/2018","1535-1536 share base","C04E"
"73","UMBS",342,1537,"QURU",27.6,"L","OD","06/29/2018","","C04E"
"74","UMBS",342,1538,"FAGR",11.2,"L","OS","06/29/2018","reading taken above DBH","C04E"
"75","UMBS",342,1539,"ACRU",16.6,"L","OS","06/29/2018","reading taken under DBH","C04E"
"76","UMBS",342,1540,"ACRU",12.1,"L","OS","06/29/2018","","C04E"
"77","UMBS",342,1541,"ACRU",16,"L","OD","06/29/2018","1541-1543 share base ","C04E"
"78","UMBS",342,1542,"ACRU",20.6,"L","OD","06/29/2018","1541-1543 share base ","C04E"
"79","UMBS",342,1543,"ACRU",21.3,"L","OD","06/29/2018","1541-1543 share base ","C04E"
"80","UMBS",342,1544,"BEPA",21.7,"L","OS","06/29/2018","","C04E"
"81","UMBS",342,1545,"BEPA",25.8,"D","UN","06/29/2018","","C04E"
"82","UMBS",342,1546,"ACRU",16.5,"L","OS","06/29/2018","1546-1548 share base","C04E"
"83","UMBS",342,1547,"ACRU",17.1,"L","OS","06/29/2018","1546-1548 share base","C04E"
"84","UMBS",342,1548,"ACRU",11.5,"D","UN","06/29/2018","1546-1548 share base","C04E"
"85","UMBS",-99999,-99999,"",-99999,"","","","",NA
"86","UMBS",-99999,-99999,"",-99999,"","","","",NA
"87","UMBS",-99999,-99999,"",-99999,"","","","",NA
"88","UMBS",-99999,-99999,"",-99999,"","","","",NA
"89","UMBS",-99999,-99999,"",-99999,"","","","",NA
"90","UMBS",-99999,-99999,"",-99999,"","","","",NA
"91","UMBS",-99999,-99999,"",-99999,"","","","",NA
"92","UMBS",-99999,-99999,"",-99999,"","","","",NA
"93","UMBS",-99999,-99999,"",-99999,"","","","",NA
"94","UMBS",-99999,-99999,"",-99999,"","","","",NA
"95","UMBS",-99999,-99999,"",-99999,"","","","",NA
"96","UMBS",-99999,-99999,"",-99999,"","","","",NA
"97","UMBS",-99999,-99999,"",-99999,"","","","",NA
"98","UMBS",-99999,-99999,"",-99999,"","","","",NA
"99","UMBS",-99999,-99999,"",-99999,"","","","",NA
"100","UMBS",-99999,-99999,"",-99999,"","","","",NA
"101","UMBS",-99999,-99999,"",-99999,"","","","",NA
"102","UMBS",-99999,-99999,"",-99999,"","","","",NA
"103","UMBS",-99999,-99999,"",-99999,"","","","",NA
"104","UMBS",-99999,-99999,"",-99999,"","","","",NA
"105","UMBS",-99999,-99999,"",-99999,"","","","",NA
"106","UMBS",-99999,-99999,"",-99999,"","","","",NA
"107","UMBS",-99999,-99999,"",-99999,"","","","",NA
"108","UMBS",-99999,-99999,"",-99999,"","","","",NA
"109","UMBS",-99999,-99999,"",-99999,"","","","",NA
"110","UMBS",-99999,-99999,"",-99999,"","","","",NA
"111","UMBS",-99999,-99999,"",-99999,"","","","",NA
"112","UMBS",-99999,-99999,"",-99999,"","","","",NA
"113","UMBS",-99999,-99999,"",-99999,"","","","",NA
"114","UMBS",-99999,-99999,"",-99999,"","","","",NA
"115","UMBS",-99999,-99999,"",-99999,"","","","",NA
"116","UMBS",-99999,-99999,"",-99999,"","","","",NA
"117","UMBS",-99999,-99999,"",-99999,"","","","",NA
"118","UMBS",-99999,-99999,"",-99999,"","","","",NA
"119","UMBS",-99999,-99999,"",-99999,"","","","",NA
"120","UMBS",-99999,-99999,"",-99999,"","","","",NA
"121","UMBS",-99999,-99999,"",-99999,"","","","",NA
"122","UMBS",-99999,-99999,"",-99999,"","","","",NA
"123","UMBS",-99999,-99999,"",-99999,"","","","",NA
"124","UMBS",-99999,-99999,"",-99999,"","","","",NA
"125","UMBS",-99999,-99999,"",-99999,"","","","",NA
"126","UMBS",-99999,-99999,"",-99999,"","","","",NA
"127","UMBS",-99999,-99999,"",-99999,"","","","",NA
"128","UMBS",-99999,-99999,"",-99999,"","","","",NA
"129","UMBS",-99999,-99999,"",-99999,"","","","",NA
"130","UMBS",-99999,-99999,"",-99999,"","","","",NA
"131","UMBS",-99999,-99999,"",-99999,"","","","",NA
"132","UMBS",-99999,-99999,"",-99999,"","","","",NA
"133","UMBS",-99999,-99999,"",-99999,"","","","",NA
"134","UMBS",-99999,-99999,"",-99999,"","","","",NA
"135","UMBS",-99999,-99999,"",-99999,"","","","",NA
"136","UMBS",-99999,-99999,"",-99999,"","","","",NA
"137","UMBS",-99999,-99999,"",-99999,"","","","",NA
"138","UMBS",-99999,-99999,"",-99999,"","","","",NA
"139","UMBS",-99999,-99999,"",-99999,"","","","",NA
"140","UMBS",-99999,-99999,"",-99999,"","","","",NA
"141","UMBS",-99999,-99999,"",-99999,"","","","",NA
"142","UMBS",-99999,-99999,"",-99999,"","","","",NA
"143","UMBS",-99999,-99999,"",-99999,"","","","",NA
"144","UMBS",-99999,-99999,"",-99999,"","","","",NA
