"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","SubplotID"
"1","UMBS",422,206,"ACRU",18.3,"L","OD","6/22/2018","","D02W"
"2","UMBS",422,207,"QURU",34.4,"L","OD","6/22/2018","","D02W"
"3","UMBS",422,208,"PIST",8.9,"L","OS","6/22/2018","","D02W"
"4","UMBS",422,209,"POGR",24.8,"L","OS","6/22/2018","","D02W"
"5","UMBS",422,210,"PIST",7.9,"L","OS","6/22/2018","","D02W"
"6","UMBS",422,211,"QURU",23.4,"D","OS","6/22/2018","0211- 0212 SHARE BASE","D02W"
"7","UMBS",422,212,"QURU",26.6,"L","OD","6/22/2018","0211- 0212 SHARE BASE","D02W"
"8","UMBS",422,213,"PIST",8.1,"L","OS","6/22/2018","","D02W"
"9","UMBS",422,214,"QURU",21.6,"L","OD","6/22/2018","0214- 0215 SHARE BASE","D02W"
"10","UMBS",422,215,"QURU",25.8,"L","OD","6/22/2018","0214- 0215 SHARE BASE","D02W"
"11","UMBS",422,216,"QURU",17.5,"L","OD","6/22/2018","","D02W"
"12","UMBS",422,217,"QURU",12.9,"D","OS","6/22/2018","","D02W"
"13","UMBS",422,218,"QURU",30.5,"L","OD","6/22/2018","","D02W"
"14","UMBS",422,219,"QURU",30.8,"L","OD","6/22/2018","","D02W"
"15","UMBS",422,220,"QURU",15.3,"D","OS","6/22/2018","","D02W"
"16","UMBS",422,221,"ACRU",10.2,"L","OS","6/22/2018","","D02W"
"17","UMBS",422,222,"ACRU",8.7,"L","OS","6/22/2018","","D02W"
"18","UMBS",422,223,"FAGR",10.8,"L","OS","6/22/2018","","D02W"
"19","UMBS",422,224,"ACRU",12.4,"L","OS","6/22/2018","","D02W"
"20","UMBS",422,225,"QURU",23.2,"L","OD","6/22/2018","0225-- 0226 SHARE BASE","D02W"
"21","UMBS",422,226,"QURU",24.5,"L","OD","6/22/2018","0225-- 0226 SHARE BASE","D02W"
"22","UMBS",422,227,"ACRU",9.8,"L","OS","6/22/2018","","D02W"
"23","UMBS",422,228,"QURU",13.6,"D","OS","6/22/2018","0228-0230 SHARE BASE","D02W"
"24","UMBS",422,229,"QURU",12.8,"D","OS","6/22/2018","0228-0230 SHARE BASE","D02W"
"25","UMBS",423,230,"QURU",29.1,"L","OD","6/22/2018","0228-0230 SHARE BASE","D02W"
"26","UMBS",422,231,"ACRU",11.7,"L","OS","6/22/2018","","D02W"
"27","UMBS",422,232,"QURU",34.4,"L","OD","6/22/2018","0232- 0233 SHARE BASE","D02W"
"28","UMBS",422,233,"QURU",35.5,"L","OD","6/22/2018","0232- 0233 SHARE BASE","D02W"
"29","UMBS",422,234,"ACRU",9.3,"L","OS","6/22/2018","","D02W"
"30","UMBS",422,235,"ACRU",13.1,"L","OS","6/22/2018","","D02W"
"31","UMBS",422,236,"FAGR",9.3,"L","UN","6/22/2018","","D02W"
"32","UMBS",422,237,"ACRU",9.5,"L","OS","6/22/2018","0237-0240 SHARE BASE","D02W"
"33","UMBS",422,238,"ACRU",16.3,"L","OS","6/22/2018","0237-0240 SHARE BASE","D02W"
"34","UMBS",422,239,"ACRU",9.5,"L","OS","6/22/2018","0237-0240 SHARE BASE","D02W"
"35","UMBS",422,240,"ACRU",9.8,"L","OS","6/22/2018","0237-0240 SHARE BASE","D02W"
"36","UMBS",422,241,"QURU",24.4,"L","OD","6/22/2018","","D02W"
"37","UMBS",422,242,"FAGR",8.7,"L","UN","6/22/2018","","D02W"
"38","UMBS",422,243,"ACRU",10.7,"L","OS","6/22/2018","0243- 0245 SHARE BASE","D02W"
"39","UMBS",422,244,"ACRU",10.6,"L","OS","6/22/2018","0243- 0245 SHARE BASE","D02W"
"40","UMBS",422,245,"ACRU",8.6,"L","OS","6/22/2018","0243- 0245 SHARE BASE","D02W"
"41","UMBS",422,246,"QURU",18.2,"D","OS","6/22/2018","","D02W"
"42","UMBS",422,247,"QURU",26.8,"L","OD","6/22/2018","","D02W"
"43","UMBS",422,248,"QURU",27.2,"L","OD","6/22/2018","","D02W"
"44","UMBS",422,249,"FAGR",11.2,"L","UN","6/22/2018","","D02W"
"45","UMBS",422,250,"ACRU",10.3,"L","OS","6/22/2018","","D02W"
"46","UMBS",422,251,"ACRU",9,"L","OS","6/22/2018","","D02W"
"47","UMBS",422,252,"QURU",33.1,"L","OD","6/22/2018","0525- 0253 SHARE BASE","D02W"
"48","UMBS",422,253,"QURU",40.9,"L","OD","6/22/2018","0525- 0253 SHARE BASE","D02W"
"49","UMBS",424,254,"QURU",22,"L","OD","6/22/2018","","D02W"
"50","UMBS",422,255,"ACRU",9.8,"L","OS","6/22/2018","","D02W"
"51","UMBS",422,256,"PIST",20.1,"M","OS","6/22/2018","","D02W"
"52","UMBS",422,257,"QURU",31.7,"L","OD","6/22/2018","0257- 0258 SHARE BASE","D02W"
"53","UMBS",422,258,"QURU",33.1,"L","OD","6/22/2018","0257- 0258 SHARE BASE","D02W"
"54","UMBS",422,259,"PIST",1,"L","SA","6/22/2018","IN A VEG PLOT","D02W"
"55","UMBS",422,260,"QURU",22.8,"M","OD","6/22/2018","","D02W"
"56","UMBS",422,261,"ACRU",9.5,"L","OS","6/22/2018","","D02W"
