"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0.126480190442797
"4",1,3,0.00353363716315047
"5",1,4,0.435754892072712
"6",1,5,0.686083273057469
"7",1,6,0.00601211743218744
"8",1,7,4.0936249661329
"9",1,8,2.64851092369879
"10",1,9,0
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",2,0,0
"21",2,1,0
"22",2,2,0
"23",2,3,0.00154423282658438
"24",2,4,0.43392942427021
"25",2,5,0
"26",2,6,0
"27",2,7,0
"28",2,8,0.466358313628482
"29",2,9,0
"30",2,10,0
"31",2,11,0
"32",2,12,0.00617693130633752
"33",2,13,0.0216192595721813
"34",2,14,0
"35",2,15,0
"36",2,16,0
"37",2,17,1.73262923142767
"38",2,18,0.0308846565316876
"39",3,0,0
"40",3,1,0
"41",3,2,0
"42",3,3,0
"43",3,4,0
"44",3,5,0
"45",3,6,0.246829677786045
"46",3,7,0.635729925925686
"47",3,8,0
"48",3,9,0
"49",3,10,0
"50",3,11,0.285576196973389
"51",3,12,0
"52",3,13,0
"53",3,14,0
"54",3,15,0
"55",3,16,0.0129155063957814
"56",3,17,1.12364905643298
"57",3,18,0.0200907877267711
"58",4,0,0
"59",4,1,0
"60",4,2,0
"61",4,3,0
"62",4,4,0.573596019448144
"63",4,5,0
"64",4,6,0.160949330830225
"65",4,7,0.975969346523707
"66",4,8,0.025683403855887
"67",4,9,0.755092073363079
"68",4,10,0
"69",4,11,0
"70",4,12,0
"71",4,13,0
"72",4,14,0
"73",4,15,0
"74",4,16,0
"75",4,17,0.74653093874445
"76",4,18,0
"77",5,0,0
"78",5,1,0
"79",5,2,0
"80",5,3,0
"81",5,4,0.533611602718734
"82",5,5,0
"83",5,6,0
"84",5,7,0
"85",5,8,0
"86",5,9,0.185604035728255
"87",5,10,0
"88",5,11,0
"89",5,12,0
"90",5,13,0
"91",5,14,0.184549467343436
"92",5,15,0
"93",5,16,0
"94",5,17,0
"95",5,18,0
"96",6,0,0
"97",6,1,0
"98",6,2,0
"99",6,3,0
"100",6,4,0
"101",6,5,0
"102",6,6,0
"103",6,7,0
"104",6,8,0
"105",6,9,0
"106",6,10,0
"107",6,11,0
"108",6,12,0
"109",6,13,0
"110",6,14,0
"111",6,15,0
"112",6,16,0
"113",6,17,0
"114",6,18,0
"115",7,0,0
"116",7,1,0
"117",7,2,0
"118",7,3,0
"119",7,4,0
"120",7,5,0
"121",7,6,0
"122",7,7,0
"123",7,8,0
"124",7,9,0
"125",7,10,0
"126",7,11,0
"127",7,12,0
"128",7,13,0
"129",7,14,0.00347333485934081
"130",7,15,0.0911750400576962
"131",7,16,0
"132",7,17,0
"133",7,18,0
"134",8,0,0
"135",8,1,0
"136",8,2,0
"137",8,3,0
"138",8,4,0.308741010061777
"139",8,5,0
"140",8,6,0
"141",8,7,0.998428588990102
"142",8,8,0.00124492342766846
"143",8,9,0
"144",8,10,0
"145",8,11,0
"146",8,12,0
"147",8,13,0.00995938742134765
"148",8,14,0.150635734747883
"149",8,15,0.176779126728921
"150",8,16,0
"151",8,17,0
"152",8,18,0
"153",9,0,0
"154",9,1,0
"155",9,2,0.176832718146119
"156",9,3,0.00447677767458529
"157",9,4,0.212646939542801
"158",9,5,0
"159",9,6,0.00223838883729264
"160",9,7,0.360380602804116
"161",9,8,0.919977812127277
"162",9,9,1.5825409079659
"163",9,10,1.32960296935183
"164",9,11,0.208170161868216
"165",9,12,0
"166",9,13,0
"167",9,14,0
"168",9,15,0
"169",9,16,0
"170",9,17,0
"171",9,18,0
"172",10,0,0
"173",10,1,0
"174",10,2,0.435108807668843
"175",10,3,0.145003223886094
"176",10,4,0
"177",10,5,0.321344410732891
"178",10,6,0.109155061766697
"179",10,7,0.279029620089334
"180",10,8,0.320135716984057
"181",10,9,0.0954564009413468
"182",10,10,3.05694313653705
"183",10,11,3.23782362139369
"184",10,12,0
"185",10,13,0
"186",10,14,0
"187",10,15,0
"188",10,16,0
"189",10,17,0
"190",10,18,0
