"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,5.00376587473002,1.72484229673872,7.526,4.0936249661329,8,1.08219409015829,59.3165320830669,7,7.41456651038337
"2",2,13.4431003440367,5.45348443531254,17.983,1.73262923142767,2.69314204956316,0.410116046239758,37.1835822313253,17,13.8067660550459
"3",3,12.3720598765432,4.9818389330181,17.808,1.12364905643298,2.32479115124066,0.291102633357082,29.9051375312988,17,12.8635802469136
"4",4,9.09550819672131,4.64431282314956,17.327,0.975969346523707,3.23782111276549,0.323505363785494,31.4030978945931,7,9.6988365943945
"5",5,7.03526254375729,3.9598535621359,14.083,0.533611602718734,0.903765105790424,0.131288420248633,6.84045782813254,4,7.56884480746791
"10",6,0,0,0,0,0,0,0,0,0
"6",7,14.5815321100917,0.0408866021720191,14.648,0.0911750400576962,0.094648374917037,0.0208878775689239,1.46357647635473,15,15.4633027522936
"7",8,7.97197579425113,3.46997447357415,14.948,0.998428588990102,1.6457887713777,0.236133719051002,13.9468771601697,7,8.47428139183056
"8",9,8.65904106392907,1.9739638322923,11.05,1.5825409079659,4.79686727831814,0.480584845548555,43.3408038620788,9,9.03523098460103
"9",10,5.35062229904927,3.06833703211105,11.369,3.23782362139369,8,0.971109362435218,79.1257715969316,11,9.89072144961645
