"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
<<<<<<< HEAD
"1",1,5.6698336492891,2.61210465534855,10.922,0.554068555770518,1.66773844889557,0.118396319199515,10.2340651356871,6,6.13649289099526
"2",2,4.76354451119607,1.65053157571998,24.929,2.53923969742666,8,0.49125786372829,86.756466860384,7,10.844558357548
"3",3,9.5112085650723,7.20988706655927,26.888,2.83478906529338,6.66268070509476,0.47684319569393,67.4605685407398,5,10.1251390433815
"4",4,6.59737078651685,4.46229275795638,25.955,4.44964985718022,7.65163634724347,0.705903873372701,54.1580262423762,5,7.07796656618252
"5",5,6.12817720442302,2.13620210553478,20.693,4.0205585005455,5.82840519170734,0.620258818428395,37.9821318766083,5,6.51672809753332
"6",6,9.03993032786885,6.36980018386831,42.1,3.74763496855595,7.94229530105083,0.613106232784533,76.5975791083312,6,9.64426229508197
"7",7,6.61292324501502,3.21501587735551,28.306,3.01353261455592,8,0.512323392094179,144.009779004171,28,18.0012223755214
"8",8,12.4743999414862,2.12614091324891,25.139,1.47448498210748,4.96042290240488,0.327592105429349,64.4434110536246,12,12.9915155061439
"9",9,9.64024430239022,3.78944186227195,26.563,2.47217438360705,6.69291454643956,0.455823234334566,67.1932905076403,9,10.0394663702057
"10",10,8.0076964969896,5.91078951142299,28.152,2.313266593276,7.80487177454339,0.476990075408651,67.1060910073425,6,8.59797482211275
"11",11,12.4205108747045,5.44529462145293,28.356,3.35084263103231,7.4209760886213,0.625199091968534,95.107206160199,13,12.8159968479117
"12",12,4.57528056426332,1.98195416332863,15.549,3.6003968974441,8,0.601024595074473,79.279496708108,12,9.9099370885135
"13",13,6.6131355799373,2.91124392516322,16.604,2.00412988414641,8,0.453119671767077,101.052866079547,17,12.6316082599434
"14",14,7.44333672670321,3.32572004804026,22.68,1.55043685617908,8,0.410631893146268,117.811148072346,14,14.7263935090432
"15",15,3.77887382445141,2.20722913950123,9.386,3.55473642763575,8,0.707109142758592,62.8427742200744,9,7.8553467775093
"16",16,6.6142963562753,4.77248858591631,22.662,3.0301242955082,5.99712100152664,0.49744800103279,41.6277893000705,2,6.9412955465587
"17",17,5.51066953797964,3.03210863297848,10.925,6.0573871724909,8,0.938571278195466,80.5840649218182,11,10.0730081152273
"18",18,5.30840438871473,2.43690410527421,15.303,2.57550172046672,8,0.501261316619246,86.5207729199826,12,10.8150966149978
"19",19,4.85768680445151,2.14048105370955,15.452,4.90128800351132,6.87382420113405,0.75434789532544,37.4508673088814,4,5.4483306836248
"20",20,9.72303918495298,3.44439658895324,15.981,3.40537806842151,8,0.649176075928179,116.283311019376,16,14.535413877422
"21",21,9.9697908847185,2.88854989943516,19.212,2.4384453162858,8,0.523547684427693,117.930646807883,16,14.7413308509854
"22",22,3.05873100983021,3.15267870713808,13.529,3.35496797262934,8,0.614242451660134,82.3838641705592,14,10.2979830213199
"23",23,7.01597048300537,3.61697093404322,14.552,3.62161538043133,8,0.615041495000851,101.011873242037,14,12.6264841552546
"24",24,4.91196067917784,1.14365394481932,16.211,3.25036013746306,8,0.662626560977043,74.2025180285786,6,9.27531475357232
"25",25,6.35432021466905,3.51538434072193,13.045,6.10956868663028,8,0.951169383366478,94.0678531937443,13,11.758481649218
"26",26,6.31281590705987,5.84808208336169,22.291,3.35496797262934,8,0.594118933649107,137.839821145195,14,17.2299776431494
"27",27,11.7388023255814,5.4192909712836,25.076,2.73256995136529,8,0.528352472517257,166.931459142308,25,20.8664323927885
"28",28,11.9745907059875,5.43650299596836,24.818,2.39163769973837,8,0.51580397794481,165.223733696291,21,20.6529667120364
"29",29,5.07075581395349,2.3408911743194,18.523,4.114894381281,8,0.669098010953979,82.4133417504421,11,10.3016677188053
"30",30,3.98792128801431,0.659111559232719,4.735,7.237279989212,8,1.10639253838337,42.5155772147282,5,5.31444715184102
=======
"1",1,5.6198336492891,2.61210465534855,10.872,0.550906966293939,1.66773844889557,0.121381783816417,10.1550253987726,6,6.08909952606635
"2",2,4.71354451119607,1.65053157571998,24.879,2.36830011939279,8,0.47464467025791,86.5155245300325,7,10.8144405662541
"3",3,9.4612085650723,7.20988706655927,26.838,2.54945735545339,6.66268070509476,0.436034943817603,66.6860967568884,5,10.0088987764182
"4",4,6.54737078651685,4.46229275795638,25.905,4.61530600172181,7.65163634724347,0.72379915582268,53.7868726020741,5,7.02946012606193
"5",5,6.07817720442302,2.13620210553478,20.643,4.02551603260536,5.82840519170734,0.62147810155055,37.9077688957104,5,6.5039693790757
"6",6,8.98993032786885,6.36980018386831,42.05,3.8517962184058,7.94229530105083,0.625639926030807,75.8684503593823,6,9.55245901639344
"7",7,6.56292324501502,3.21501587735551,28.256,3.01353261455592,8,0.512943943512616,143.852559791712,28,17.9815699739639
"8",8,12.4243999414863,2.12614091324891,25.089,1.50351027703085,4.96042290240488,0.332196155192134,64.1313891331983,12,12.9286132241077
"9",9,9.59024430239022,3.78944186227195,26.513,2.66563272513838,6.69291454643956,0.469119281914495,66.7747508264427,9,9.9769316286826
"10",10,7.9576964969896,5.91078951142299,28.102,2.30258669210667,7.80487177454339,0.484648463658038,66.7686061303918,6,8.55473453749316
"11",11,12.3705108747045,5.44529462145293,28.306,3.02336062869757,7.4209760886213,0.592237425983361,94.6510705140898,13,12.7545311268716
"12",12,4.52528056426332,1.98195416332863,15.499,3.6003968974441,8,0.601027846551341,78.4688896454746,12,9.80861120568433
"13",13,6.5631355799373,2.91124392516322,16.554,1.59626701329769,8,0.379003891197949,99.8200090065728,14,12.4775011258216
"14",14,7.39333672670321,3.32572004804026,22.63,1.50657226226315,8,0.39050937468535,117.274886000471,14,14.6593607500589
"15",15,3.72887382445141,2.20722913950123,9.336,3.40537806842151,8,0.700652817239917,62.6391678903594,9,7.82989598629493
"16",16,6.5642963562753,4.77248858591631,22.612,3.10296382184253,5.99712100152664,0.509340512267839,41.3704229736892,2,6.89838056680162
"17",17,5.46066953797964,3.03210863297848,10.875,6.03225344551788,8,0.935680132726696,80.5255435279604,11,10.065692940995
"18",18,5.25840438871473,2.43690410527421,15.253,2.32590981523402,8,0.482338926484264,86.1386468320335,12,10.7673308540042
"19",19,4.80768680445151,2.14048105370955,15.402,4.88489573594105,6.87382420113404,0.751261966808961,37.3415855250795,4,5.43243243243243
"20",20,9.67303918495298,3.44439658895324,15.931,3.3508049922114,8,0.64618595996406,116.215045294083,16,14.5268806617604
"21",21,9.9197908847185,2.88854989943516,19.162,2.21721906070648,8,0.509396977099901,117.486899100558,16,14.6858623875698
"22",22,3.00873100983021,3.15267870713808,13.479,4.14475733744589,8,0.709796673799628,79.023681428187,13,9.87796017852337
"23",23,6.96597048300537,3.61697093404322,14.502,3.62161538043133,8,0.604339961392305,100.622832484521,14,12.5778540605652
"24",24,4.86196067917784,1.14365394481932,16.161,3.09402972214677,8,0.651478009357444,73.974125927082,6,9.24676574088524
"25",25,6.30432021466905,3.51538434072193,12.995,6.08249923852542,8,0.939250493467747,93.7082205860901,13,11.7135275732613
"26",26,6.26281590705988,5.84808208336169,22.241,3.35496797262934,8,0.59447918836329,137.750165804506,22,17.2187707255633
"27",27,11.6888023255814,5.4192909712836,25.026,2.50389161050534,8,0.508520143029503,166.522891216101,25,20.8153614020126
"28",28,11.9245907059875,5.43650299596836,24.768,2.36936809444964,8,0.506736634791095,164.951409274156,25,20.6189261592695
"29",29,5.02075581395349,2.3408911743194,18.473,3.94944929196443,8,0.646146617031403,81.4199022571887,11,10.1774877821486
"30",30,3.93792128801431,0.659111559232719,4.685,7.09106236752665,8,1.08402735750999,42.3655161823792,5,5.2956895227974
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
