"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0
"9",1,8,1.44502493411101
"10",1,9,0.0506342968825962
"11",1,10,0
"12",1,11,0.0480376662732323
"13",1,12,0.081793864194963
"14",1,13,0.0688107111481435
"15",1,14,0.00908820713277367
"16",1,15,0.0298612520076849
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",1,24,0
"26",1,25,0
"27",1,26,0
"28",1,27,0
"29",1,28,0
"30",1,29,0
"31",1,30,0
"32",1,31,0
"33",1,32,0
"34",1,33,0
"35",1,34,0
"36",1,35,0
"37",1,36,0
"38",1,37,0
"39",1,38,0
"40",1,39,0
"41",1,40,0
"42",1,41,0
"43",2,0,0
"44",2,1,0
"45",2,2,0
"46",2,3,0
"47",2,4,0
"48",2,5,0
"49",2,6,0
"50",2,7,0
"51",2,8,0.545332074156846
"52",2,9,0
"53",2,10,0
"54",2,11,0.0051349536172961
"55",2,12,0.0410796289383688
"56",2,13,0.0975641187286259
"57",2,14,0
"58",2,15,0
"59",2,16,0
"60",2,17,0
"61",2,18,0
"62",2,19,0
"63",2,20,0
"64",2,21,0
"65",2,22,0
"66",2,23,0
"67",2,24,0
"68",2,25,0
"69",2,26,0
"70",2,27,0
"71",2,28,0
"72",2,29,0
"73",2,30,0
"74",2,31,0
"75",2,32,0
"76",2,33,0
"77",2,34,0
"78",2,35,0
"79",2,36,0
"80",2,37,0
"81",2,38,0
"82",2,39,0
"83",2,40,0
"84",2,41,0
"85",3,0,0
"86",3,1,0
"87",3,2,0
"88",3,3,0
"89",3,4,0
"90",3,5,0
"91",3,6,0
"92",3,7,0
"93",3,8,0
"94",3,9,0
"95",3,10,0.0115281642813224
"96",3,11,0
"97",3,12,0.0274902379016149
"98",3,13,0.0434523115219074
"99",3,14,0
"100",3,15,0
"101",3,16,0
"102",3,17,0
"103",3,18,0
"104",3,19,0
"105",3,20,0
"106",3,21,0
"107",3,22,0
"108",3,23,0
"109",3,24,0
"110",3,25,0
"111",3,26,0
"112",3,27,0
"113",3,28,0
"114",3,29,0
"115",3,30,0
"116",3,31,0
"117",3,32,0
"118",3,33,0
"119",3,34,0
"120",3,35,0
"121",3,36,0
"122",3,37,0
"123",3,38,0
"124",3,39,0
"125",3,40,0
"126",3,41,0
"127",4,0,0
"128",4,1,0
"129",4,2,0
"130",4,3,0
"131",4,4,0
"132",4,5,0.168602896292651
"133",4,6,0
"134",4,7,0
"135",4,8,0
"136",4,9,0
"137",4,10,0.124180576311354
"138",4,11,0.0121151781767174
"139",4,12,0.0121151781767174
"140",4,13,0.275620303520322
"141",4,14,0.0242303563534349
"142",4,15,0
"143",4,16,0
"144",4,17,0
"145",4,18,0
"146",4,19,0
"147",4,20,0
"148",4,21,0
"149",4,22,0
"150",4,23,0
"151",4,24,0
"152",4,25,0
"153",4,26,0
"154",4,27,0
"155",4,28,0
"156",4,29,0
"157",4,30,0
"158",4,31,0
"159",4,32,0
"160",4,33,0
"161",4,34,0
"162",4,35,0
"163",4,36,0
"164",4,37,0
"165",4,38,0
"166",4,39,0
"167",4,40,0
"168",4,41,0
"169",5,0,0
"170",5,1,0
"171",5,2,2.57975322673493
"172",5,3,0
"173",5,4,0.360129784389092
"174",5,5,1.47582597916314
"175",5,6,0.138873576986643
"176",5,7,0.112981893141676
"177",5,8,0
"178",5,9,0
"179",5,10,0.207133470759739
"180",5,11,0.0353068416067737
"181",5,12,0.00941515776180632
"182",5,13,0.0470757888090316
"183",5,14,0
"184",5,15,0
"185",5,16,0
"186",5,17,0
"187",5,18,0
"188",5,19,0
"189",5,20,0
"190",5,21,0
"191",5,22,0
"192",5,23,0
"193",5,24,0
"194",5,25,0
"195",5,26,0
"196",5,27,0
"197",5,28,0
"198",5,29,0
"199",5,30,0
"200",5,31,0
"201",5,32,0
"202",5,33,0
"203",5,34,0
"204",5,35,0
"205",5,36,0
"206",5,37,0
"207",5,38,0
"208",5,39,0
"209",5,40,0
"210",5,41,0
"211",6,0,0
"212",6,1,0
"213",6,2,0.536905713850066
"214",6,3,1.777754474748
"215",6,4,0.554802570978402
"216",6,5,0.0517020317040805
"217",6,6,0.847117904074549
"218",6,7,0.00198853968092617
"219",6,8,0
"220",6,9,0
"221",6,10,0
"222",6,11,0.143174857026684
"223",6,12,0.0258510158520402
"224",6,13,0
"225",6,14,0
"226",6,15,0
"227",6,16,0
"228",6,17,0
"229",6,18,0
"230",6,19,0
"231",6,20,0
"232",6,21,0
"233",6,22,0
"234",6,23,0
"235",6,24,0
"236",6,25,0
"237",6,26,0
"238",6,27,0
"239",6,28,0
"240",6,29,0
"241",6,30,0
"242",6,31,0
"243",6,32,0
"244",6,33,0
"245",6,34,0
"246",6,35,0
"247",6,36,0
"248",6,37,0
"249",6,38,0
"250",6,39,0
"251",6,40,0
"252",6,41,0
"253",7,0,0
"254",7,1,0
"255",7,2,0
"256",7,3,0.539312373083316
"257",7,4,3.06338161714936
"258",7,5,0.0152841563221993
"259",7,6,0.526211667664289
"260",7,7,0.183409875866391
"261",7,8,0
"262",7,9,0
"263",7,10,0
"264",7,11,0
"265",7,12,0
"266",7,13,0.0829711343205102
"267",7,14,0
"268",7,15,0.0131007054190279
"269",7,16,0
"270",7,17,0.0458524689665978
"271",7,18,0.00218345090317132
"272",7,19,0.0240179599348845
"273",7,20,0
"274",7,21,0
"275",7,22,0
"276",7,23,0
"277",7,24,0
"278",7,25,0
"279",7,26,0
"280",7,27,0
"281",7,28,0
"282",7,29,0
"283",7,30,0
"284",7,31,0
"285",7,32,0
"286",7,33,0
"287",7,34,0
"288",7,35,0
"289",7,36,0
"290",7,37,0
"291",7,38,0
"292",7,39,0
"293",7,40,0
"294",7,41,0
"295",8,0,0
"296",8,1,0
"297",8,2,0
"298",8,3,0.386658529546375
"299",8,4,0.639473721942082
"300",8,5,1.71914330829081
"301",8,6,2.43892303252329
"302",8,7,1.33843337150668
"303",8,8,0
"304",8,9,0.0208200746678817
"305",8,10,0
"306",8,11,0
"307",8,12,0
"308",8,13,0.0208200746678817
"309",8,14,0
"310",8,15,0
"311",8,16,0
"312",8,17,0
"313",8,18,0.0148714819056298
"314",8,19,0.0148714819056298
"315",8,20,0
"316",8,21,0
"317",8,22,0
"318",8,23,0
"319",8,24,0
"320",8,25,0
"321",8,26,0
"322",8,27,0
"323",8,28,0
"324",8,29,0
"325",8,30,0
"326",8,31,0
"327",8,32,0
"328",8,33,0
"329",8,34,0
"330",8,35,0
"331",8,36,0
"332",8,37,0
"333",8,38,0
"334",8,39,0
"335",8,40,0
"336",8,41,0
"337",9,0,0
"338",9,1,0
"339",9,2,0
"340",9,3,0
"341",9,4,0
"342",9,5,0
"343",9,6,6.88762094637434
"344",9,7,0
"345",9,8,0
"346",9,9,0
"347",9,10,0
"348",9,11,0
"349",9,12,0
"350",9,13,0
"351",9,14,0.616048207813541
"352",9,15,0
"353",9,16,0.0269310691940346
"354",9,17,0.0370302201417975
"355",9,18,0.00673276729850864
"356",9,19,0
"357",9,20,0
"358",9,21,0
"359",9,22,0
"360",9,23,0
"361",9,24,0
"362",9,25,0
"363",9,26,0
"364",9,27,0
"365",9,28,0
"366",9,29,0
"367",9,30,0
"368",9,31,0
"369",9,32,0
"370",9,33,0
"371",9,34,0
"372",9,35,0
"373",9,36,0
"374",9,37,0
"375",9,38,0
"376",9,39,0
"377",9,40,0
"378",9,41,0
"379",10,0,0
"380",10,1,0
"381",10,2,0
"382",10,3,0
"383",10,4,0
"384",10,5,0
"385",10,6,1.24494416816564
"386",10,7,0
"387",10,8,0.541988786795515
"388",10,9,0.497162646534232
"389",10,10,1.79304561045133
"390",10,11,0.00407510366011665
"391",10,12,0
"392",10,13,0
"393",10,14,0
"394",10,15,0
"395",10,16,0
"396",10,17,0
"397",10,18,0
"398",10,19,0
"399",10,20,0
"400",10,21,0
"401",10,22,0
"402",10,23,0
"403",10,24,0
"404",10,25,0
"405",10,26,0
"406",10,27,0
"407",10,28,0
"408",10,29,0
"409",10,30,0
"410",10,31,0
"411",10,32,0
"412",10,33,0
"413",10,34,0
"414",10,35,0
"415",10,36,0
"416",10,37,0
"417",10,38,0
"418",10,39,0
"419",10,40,0
"420",10,41,0
"421",11,0,0
"422",11,1,0
"423",11,2,0
"424",11,3,0.304398922665363
"425",11,4,0.000640747150713609
"426",11,5,0.00707437437253548
"427",11,6,0.00258446740712537
"428",11,7,0.0149865220478891
"429",11,8,0.521483579818684
"430",11,9,0.434577275234001
"431",11,10,0.697114526560197
"432",11,11,3.19834715466778
"433",11,12,0
"434",11,13,0
"435",11,14,2.81879243007571
"436",11,15,0
"437",11,16,0
"438",11,17,0
"439",11,18,0
"440",11,19,0
"441",11,20,0
"442",11,21,0
"443",11,22,0
"444",11,23,0
"445",11,24,0
"446",11,25,0
"447",11,26,0
"448",11,27,0
"449",11,28,0
"450",11,29,0
"451",11,30,0
"452",11,31,0
"453",11,32,0
"454",11,33,0
"455",11,34,0
"456",11,35,0
"457",11,36,0
"458",11,37,0
"459",11,38,0
"460",11,39,0
"461",11,40,0
"462",11,41,0
"463",12,0,0
"464",12,1,0
"465",12,2,0.190100857011511
"466",12,3,0.807928642298922
"467",12,4,0.760403428046045
"468",12,5,3.19150092636633
"469",12,6,1.13329357064555
"470",12,7,0.21203557128207
"471",12,8,0.230314499840869
"472",12,9,0.998029499310434
"473",12,10,0.277839714093747
"474",12,11,0.120640928488074
"475",12,12,0
"476",12,13,0.0146231428470393
"477",12,14,0.0146231428470393
"478",12,15,0
"479",12,16,0
"480",12,17,0
"481",12,18,0
"482",12,19,0
"483",12,20,0
"484",12,21,0
"485",12,22,0
"486",12,23,0
"487",12,24,0
"488",12,25,0
"489",12,26,0
"490",12,27,0
"491",12,28,0
"492",12,29,0
"493",12,30,0
"494",12,31,0
"495",12,32,0
"496",12,33,0
"497",12,34,0
"498",12,35,0
"499",12,36,0
"500",12,37,0
"501",12,38,0
"502",12,39,0
"503",12,40,0
"504",12,41,0
"505",13,0,0
"506",13,1,0
"507",13,2,0.0032481568187415
"508",13,3,0.350800936424082
"509",13,4,0.506712463723675
"510",13,5,1.65655997755817
"511",13,6,1.53637817526473
"512",13,7,0.142918900024626
"513",13,8,1.1271104161033
"514",13,9,0.763316852404254
"515",13,10,0.120181802293436
"516",13,11,0.646383206929559
"517",13,12,0.0162407840937075
"518",13,13,0.025985254549932
"519",13,14,0
"520",13,15,0.019488940912449
"521",13,16,0.0552186659186056
"522",13,17,0.00974447045622451
"523",13,18,0
"524",13,19,0
"525",13,20,0
"526",13,21,0
"527",13,22,0
"528",13,23,0
"529",13,24,0
"530",13,25,0
"531",13,26,0
"532",13,27,0
"533",13,28,0
"534",13,29,0
"535",13,30,0
"536",13,31,0
"537",13,32,0
"538",13,33,0
"539",13,34,0
"540",13,35,0
"541",13,36,0
"542",13,37,0
"543",13,38,0
"544",13,39,0
"545",13,40,0
"546",13,41,0
"547",14,0,0
"548",14,1,0
"549",14,2,0.0110613129821336
"550",14,3,0.0566308417169216
"551",14,4,0.402599445567746
"552",14,5,0.000751864201753601
"553",14,6,0
"554",14,7,0.202806503131002
"555",14,8,0.575930451690811
"556",14,9,0
"557",14,10,0
"558",14,11,0
"559",14,12,0
"560",14,13,0.637603675203382
"561",14,14,0.602518795006289
"562",14,15,0.0815787460885943
"563",14,16,0.920415760307214
"564",14,17,0
"565",14,18,0
"566",14,19,0
"567",14,20,0.500268580246451
"568",14,21,4.0078340238577
"569",14,22,0
"570",14,23,0
"571",14,24,0
"572",14,25,0
"573",14,26,0
"574",14,27,0
"575",14,28,0
"576",14,29,0
"577",14,30,0
"578",14,31,0
"579",14,32,0
"580",14,33,0
"581",14,34,0
"582",14,35,0
"583",14,36,0
"584",14,37,0
"585",14,38,0
"586",14,39,0
"587",14,40,0
"588",14,41,0
"589",15,0,0
"590",15,1,0
"591",15,2,0
"592",15,3,0.0773364259177598
"593",15,4,0.199356120143558
"594",15,5,0
"595",15,6,0
"596",15,7,0.50182747484413
"597",15,8,0
"598",15,9,1.1806694356778
"599",15,10,0
"600",15,11,0.134049804924117
"601",15,12,0.436521159624688
"602",15,13,0
"603",15,14,0
"604",15,15,0
"605",15,16,0
"606",15,17,0
"607",15,18,0
"608",15,19,0.3969936530445
"609",15,20,0
"610",15,21,0
"611",15,22,0.00171858724261688
"612",15,23,0
"613",15,24,0
"614",15,25,0
"615",15,26,0
"616",15,27,0
"617",15,28,0
"618",15,29,0
"619",15,30,0
"620",15,31,0
"621",15,32,0
"622",15,33,0
"623",15,34,0
"624",15,35,0
"625",15,36,0
"626",15,37,0
"627",15,38,0
"628",15,39,0
"629",15,40,0
"630",15,41,0
"631",16,0,0
"632",16,1,0
"633",16,2,0.55215478505034
"634",16,3,3.19938075047314
"635",16,4,0.320606004222778
"636",16,5,0
"637",16,6,0
"638",16,7,0
"639",16,8,0
"640",16,9,0.115774390413781
"641",16,10,0
"642",16,11,0
"643",16,12,0
"644",16,13,0
"645",16,14,0
"646",16,15,0
"647",16,16,0
"648",16,17,0
"649",16,18,0
"650",16,19,0.195925891469476
"651",16,20,0
"652",16,21,0
"653",16,22,0
"654",16,23,0
"655",16,24,0
"656",16,25,0
"657",16,26,0
"658",16,27,0
"659",16,28,0
"660",16,29,0
"661",16,30,0
"662",16,31,0
"663",16,32,0
"664",16,33,0
"665",16,34,0
"666",16,35,0
"667",16,36,0
"668",16,37,0
"669",16,38,0
"670",16,39,0
"671",16,40,0
"672",16,41,0
"673",17,0,0
"674",17,1,0
"675",17,2,0
"676",17,3,3.16279946580222
"677",17,4,2.72942131758431
"678",17,5,0
"679",17,6,0
"680",17,7,0
"681",17,8,0
"682",17,9,0
"683",17,10,0.066011241119284
"684",17,11,0.00861016188512401
"685",17,12,0
"686",17,13,0
"687",17,14,0
"688",17,15,0
"689",17,16,0
"690",17,17,0
"691",17,18,0
"692",17,19,0
"693",17,20,0.040180755463912
"694",17,21,0.04305080942562
"695",17,22,0
"696",17,23,0
"697",17,24,0
"698",17,25,0
"699",17,26,0
"700",17,27,0
"701",17,28,0
"702",17,29,0
"703",17,30,0
"704",17,31,0
"705",17,32,0
"706",17,33,0
"707",17,34,0
"708",17,35,0
"709",17,36,0
"710",17,37,0
"711",17,38,0
"712",17,39,0
"713",17,40,0
"714",17,41,0
"715",18,0,0
"716",18,1,0
"717",18,2,0
"718",18,3,0.238022177323552
"719",18,4,0.485863775802467
"720",18,5,0.847692630224832
"721",18,6,0
"722",18,7,0
"723",18,8,0
"724",18,9,0
"725",18,10,0.660555027839339
"726",18,11,0.187331077472142
"727",18,12,0
"728",18,13,0
"729",18,14,0.808071486346654
"730",18,15,0.810132770104947
"731",18,16,1.93684541376608
"732",18,17,0.160454473558594
"733",18,18,0
"734",18,19,1.86503116756139
"735",18,20,0
"736",18,21,0
"737",18,22,0
"738",18,23,0
"739",18,24,0
"740",18,25,0
"741",18,26,0
"742",18,27,0
"743",18,28,0
"744",18,29,0
"745",18,30,0
"746",18,31,0
"747",18,32,0
"748",18,33,0
"749",18,34,0
"750",18,35,0
"751",18,36,0
"752",18,37,0
"753",18,38,0
"754",18,39,0
"755",18,40,0
"756",18,41,0
"757",19,0,0
"758",19,1,0
"759",19,2,0
"760",19,3,0
"761",19,4,0.0154137933817615
"762",19,5,0
"763",19,6,0
"764",19,7,0.188322583983103
"765",19,8,1.53408345588591
"766",19,9,0
"767",19,10,6.26218016674923
"768",19,11,0
"769",19,12,0
"770",19,13,0
"771",19,14,0
"772",19,15,0
"773",19,16,0
"774",19,17,0
"775",19,18,0
"776",19,19,0
"777",19,20,0
"778",19,21,0
"779",19,22,0
"780",19,23,0
"781",19,24,0
"782",19,25,0
"783",19,26,0
"784",19,27,0
"785",19,28,0
"786",19,29,0
"787",19,30,0
"788",19,31,0
"789",19,32,0
"790",19,33,0
"791",19,34,0
"792",19,35,0
"793",19,36,0
"794",19,37,0
"795",19,38,0
"796",19,39,0
"797",19,40,0
"798",19,41,0
"799",20,0,0
"800",20,1,0
"801",20,2,0
"802",20,3,0.604519789480359
"803",20,4,0.906779684220539
"804",20,5,0.507364823313873
"805",20,6,1.22703123936192
"806",20,7,1.75238772307699
"807",20,8,1.06870462783135
"808",20,9,0.0791633057652851
"809",20,10,0.798829721813332
"810",20,11,0.00359833208024023
"811",20,12,0.201506596493453
"812",20,13,0.0863599699257656
"813",20,14,0.0287866566419219
"814",20,15,0
"815",20,16,0
"816",20,17,0
"817",20,18,0.0935566340862461
"818",20,19,0.377824868425224
"819",20,20,0.0755649736850449
"820",20,21,0
"821",20,22,0
"822",20,23,0
"823",20,24,0
"824",20,25,0
"825",20,26,0
"826",20,27,0
"827",20,28,0
"828",20,29,0
"829",20,30,0
"830",20,31,0
"831",20,32,0
"832",20,33,0
"833",20,34,0
"834",20,35,0
"835",20,36,0
"836",20,37,0
"837",20,38,0
"838",20,39,0
"839",20,40,0
"840",20,41,0
"841",21,0,0
"842",21,1,0
"843",21,2,0
"844",21,3,0
"845",21,4,0.0479259976954611
"846",21,5,0.367965833155009
"847",21,6,0.431640207207472
"848",21,7,0
"849",21,8,0.0449644847466089
"850",21,9,0.362485049404298
"851",21,10,0.0148475791208201
"852",21,11,0.0359807166147766
"853",21,12,0
"854",21,13,0
"855",21,14,0.1681096295946
"856",21,15,0.0866828535210465
"857",21,16,0.641812207971755
"858",21,17,0.0667727865379348
"859",21,18,0.0521673888938564
"860",21,19,0.113121043033835
"861",21,20,0.713541851979525
"862",21,21,4.851982370523
"863",21,22,0
"864",21,23,0
"865",21,24,0
"866",21,25,0
"867",21,26,0
"868",21,27,0
"869",21,28,0
"870",21,29,0
"871",21,30,0
"872",21,31,0
"873",21,32,0
"874",21,33,0
"875",21,34,0
"876",21,35,0
"877",21,36,0
"878",21,37,0
"879",21,38,0
"880",21,39,0
"881",21,40,0
"882",21,41,0
"883",22,0,0
"884",22,1,0
"885",22,2,0.308491012698266
"886",22,3,0.536506109040463
"887",22,4,3.28878244841804
"888",22,5,0.442617539958382
"889",22,6,1.01131401554127
"890",22,7,0.203872321435376
"891",22,8,0.107301221808093
"892",22,9,0.673315166845781
"893",22,10,0.18509460761896
"894",22,11,0
"895",22,12,0.0214602443616185
"896",22,13,0.0616982025396533
"897",22,14,0
"898",22,15,0
"899",22,16,0.0295078359972255
"900",22,17,0.0187777138164162
"901",22,18,0.00268253054520232
"902",22,19,0
"903",22,20,0
"904",22,21,0
"905",22,22,0
"906",22,23,0
"907",22,24,0
"908",22,25,0
"909",22,26,0
"910",22,27,0
"911",22,28,0
"912",22,29,0
"913",22,30,0
"914",22,31,0
"915",22,32,0
"916",22,33,0
"917",22,34,0
"918",22,35,0
"919",22,36,0
"920",22,37,0
"921",22,38,0
"922",22,39,0
"923",22,40,0
"924",22,41,0
"925",23,0,0
"926",23,1,0
"927",23,2,0.105168350103028
"928",23,3,0.0388182338300838
"929",23,4,0.292299047337335
"930",23,5,1.17028407462045
"931",23,6,0.450015527016426
"932",23,7,0.00295236989491615
"933",23,8,0.316531415082867
"934",23,9,0.400358079577956
"935",23,10,1.90979316634597
"936",23,11,0
"937",23,12,2.60878617497124
"938",23,13,0.704993561219734
"939",23,14,0
"940",23,15,0
"941",23,16,0
"942",23,17,0
"943",23,18,0
"944",23,19,0
"945",23,20,0
"946",23,21,0
"947",23,22,0
"948",23,23,0
"949",23,24,0
"950",23,25,0
"951",23,26,0
"952",23,27,0
"953",23,28,0
"954",23,29,0
"955",23,30,0
"956",23,31,0
"957",23,32,0
"958",23,33,0
"959",23,34,0
"960",23,35,0
"961",23,36,0
"962",23,37,0
"963",23,38,0
"964",23,39,0
"965",23,40,0
"966",23,41,0
"967",24,0,0
"968",24,1,0.0180614397073618
"969",24,2,0.030704447502515
"970",24,3,0
"971",24,4,0
"972",24,5,0
"973",24,6,0.839856946392323
"974",24,7,0.00361228794147236
"975",24,8,0.173389821190673
"976",24,9,0.0180614397073618
"977",24,10,0.586996790489258
"978",24,11,2.04274883090262
"979",24,12,0.494883447981713
"980",24,13,0
"981",24,14,0
"982",24,15,0
"983",24,16,0
"984",24,17,0
"985",24,18,0
"986",24,19,0
"987",24,20,0
"988",24,21,0
"989",24,22,0
"990",24,23,0
"991",24,24,0
"992",24,25,0
"993",24,26,0
"994",24,27,0
"995",24,28,0
"996",24,29,0
"997",24,30,0
"998",24,31,0
"999",24,32,0
"1000",24,33,0
"1001",24,34,0
"1002",24,35,0
"1003",24,36,0
"1004",24,37,0
"1005",24,38,0
"1006",24,39,0
"1007",24,40,0
"1008",24,41,0
"1009",25,0,0
"1010",25,1,0
"1011",25,2,1.61114872382603
"1012",25,3,1.68309794913245
"1013",25,4,0.169594602508003
"1014",25,5,0
"1015",25,6,0.0462530734112735
"1016",25,7,0.00770884556854558
"1017",25,8,0.408568815132916
"1018",25,9,1.98374292630573
"1019",25,10,0.557606496124797
"1020",25,11,0.0950757620120622
"1021",25,12,0
"1022",25,13,0
