"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0.142809549673562
"4",1,3,0.432774998417049
"5",1,4,0.442889774030865
"6",1,5,0.828658057314269
"7",1,6,0.992908586501057
"8",1,7,5.1599590340632
"9",1,8,0
"10",1,9,0
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",1,24,0
"26",1,25,0
"27",1,26,0
"28",1,27,0
"29",1,28,0
"30",1,29,0
"31",1,30,0
"32",1,31,0
"33",1,32,0
"34",1,33,0
"35",1,34,0
"36",1,35,0
"37",1,36,0
"38",1,37,0
"39",1,38,0
"40",1,39,0
"41",1,40,0
"42",1,41,0
"43",1,42,0
"44",1,43,0
"45",1,44,0
"46",1,45,0
"47",1,46,0
"48",1,47,0
"49",1,48,0
"50",1,49,0
"51",1,50,0
"52",1,51,0
"53",1,52,0
"54",1,53,0
"55",1,54,0
"56",1,55,0
"57",1,56,0
"58",1,57,0
"59",1,58,0
"60",1,59,0
"61",1,60,0
"62",1,61,0
"63",1,62,0
"64",1,63,0
"65",1,64,0
"66",1,65,0
"67",1,66,0
"68",1,67,0
"69",1,68,0
"70",1,69,0
"71",1,70,0
"72",1,71,0
"73",1,72,0
"74",1,73,0
"75",1,74,0
"76",1,75,0
"77",1,76,0
"78",1,77,0
"79",1,78,0
"80",1,79,0
"81",1,80,0
"82",1,81,0
"83",1,82,0
"84",1,83,0
"85",1,84,0
"86",1,85,0
"87",1,86,0
"88",1,87,0
"89",1,88,0
"90",1,89,0
"91",1,90,0
"92",1,91,0
"93",1,92,0
"94",1,93,0
"95",1,94,0
"96",1,95,0
"97",1,96,0
"98",1,97,0
"99",1,98,0
"100",1,99,0
"101",1,100,0
"102",1,101,0
"103",1,102,0
"104",1,103,0
"105",1,104,0
"106",1,105,0
"107",1,106,0
"108",1,107,0
"109",1,108,0
"110",1,109,0
"111",1,110,0
"112",1,111,0
"113",2,0,0
"114",2,1,0
"115",2,2,0.999971742283668
"116",2,3,1.94290409819821
"117",2,4,0.789639005047531
"118",2,5,0.987494376515422
"119",2,6,0.0873415603777179
"120",2,7,0.146163427570875
"121",2,8,0.108731330266139
"122",2,9,0
"123",2,10,0
"124",2,11,0
"125",2,12,0
"126",2,13,0
"127",2,14,0
"128",2,15,0
"129",2,16,0
"130",2,17,0
"131",2,18,0
"132",2,19,0
"133",2,20,0
"134",2,21,0
"135",2,22,0
"136",2,23,0
"137",2,24,0
"138",2,25,0
"139",2,26,0
"140",2,27,0
"141",2,28,0
"142",2,29,0
"143",2,30,0
"144",2,31,0
"145",2,32,0
"146",2,33,0
"147",2,34,0
"148",2,35,0
"149",2,36,0
"150",2,37,0
"151",2,38,0
"152",2,39,0
"153",2,40,0
"154",2,41,0
"155",2,42,0
"156",2,43,0
"157",2,44,0
"158",2,45,0
"159",2,46,0
"160",2,47,0
"161",2,48,0
"162",2,49,0
"163",2,50,0
"164",2,51,0
"165",2,52,0
"166",2,53,0
"167",2,54,0
"168",2,55,0
"169",2,56,0
"170",2,57,0
"171",2,58,0
"172",2,59,0
"173",2,60,0
"174",2,61,0
"175",2,62,0
"176",2,63,0
"177",2,64,0
"178",2,65,0
"179",2,66,0
"180",2,67,0
"181",2,68,0
"182",2,69,0
"183",2,70,0
"184",2,71,0
"185",2,72,0
"186",2,73,0
"187",2,74,0
"188",2,75,0
"189",2,76,0
"190",2,77,0
"191",2,78,0
"192",2,79,0
"193",2,80,0
"194",2,81,0
"195",2,82,0
"196",2,83,0
"197",2,84,0
"198",2,85,0
"199",2,86,0
"200",2,87,0
"201",2,88,0
"202",2,89,0
"203",2,90,0
"204",2,91,0
"205",2,92,0
"206",2,93,0
"207",2,94,0
"208",2,95,0
"209",2,96,0
"210",2,97,0
"211",2,98,0
"212",2,99,0
"213",2,100,0
"214",2,101,0
"215",2,102,0
"216",2,103,0
"217",2,104,0
"218",2,105,0
"219",2,106,0
"220",2,107,0
"221",2,108,0
"222",2,109,0
"223",2,110,0
"224",2,111,0
"225",3,0,0
"226",3,1,0
"227",3,2,3.03329638688602
"228",3,3,2.59812176319924
"229",3,4,0.0495495858653256
"230",3,5,0
"231",3,6,0.575206062001823
"232",3,7,0.0193889683820839
"233",3,8,0.0969448419104196
"234",3,9,0
"235",3,10,0
"236",3,11,0
"237",3,12,0
"238",3,13,0
"239",3,14,0
"240",3,15,0
"241",3,16,0
"242",3,17,0
"243",3,18,0
"244",3,19,0
"245",3,20,0
"246",3,21,0
"247",3,22,0
"248",3,23,0
"249",3,24,0
"250",3,25,0
"251",3,26,0
"252",3,27,0
"253",3,28,0
"254",3,29,0
"255",3,30,0
"256",3,31,0
"257",3,32,0
"258",3,33,0
"259",3,34,0
"260",3,35,0
"261",3,36,0
"262",3,37,0
"263",3,38,0
"264",3,39,0
"265",3,40,0
"266",3,41,0
"267",3,42,0
"268",3,43,0
"269",3,44,0
"270",3,45,0
"271",3,46,0
"272",3,47,0
"273",3,48,0
"274",3,49,0
"275",3,50,0
"276",3,51,0
"277",3,52,0
"278",3,53,0
"279",3,54,0
"280",3,55,0
"281",3,56,0
"282",3,57,0
"283",3,58,0
"284",3,59,0
"285",3,60,0
"286",3,61,0
"287",3,62,0
"288",3,63,0
"289",3,64,0
"290",3,65,0
"291",3,66,0
"292",3,67,0
"293",3,68,0
"294",3,69,0
"295",3,70,0
"296",3,71,0
"297",3,72,0
"298",3,73,0
"299",3,74,0
"300",3,75,0
"301",3,76,0
"302",3,77,0
"303",3,78,0
"304",3,79,0
"305",3,80,0
"306",3,81,0
"307",3,82,0
"308",3,83,0
"309",3,84,0
"310",3,85,0
"311",3,86,0
"312",3,87,0
"313",3,88,0
"314",3,89,0
"315",3,90,0
"316",3,91,0
"317",3,92,0
"318",3,93,0
"319",3,94,0
"320",3,95,0
"321",3,96,0
"322",3,97,0
"323",3,98,0
"324",3,99,0
"325",3,100,0
"326",3,101,0
"327",3,102,0
"328",3,103,0
"329",3,104,0
"330",3,105,0
"331",3,106,0
"332",3,107,0
"333",3,108,0
"334",3,109,0
"335",3,110,0
"336",3,111,0
"337",4,0,0
"338",4,1,0
"339",4,2,0.248122857793129
"340",4,3,0.186292889993547
"341",4,4,0
"342",4,5,0
"343",4,6,0.00802986594799771
"344",4,7,0.204761581673942
"345",4,8,0.240895978439931
"346",4,9,0
"347",4,10,0
"348",4,11,0
"349",4,12,0
"350",4,13,0
"351",4,14,0
"352",4,15,0
"353",4,16,0
"354",4,17,0
"355",4,18,0
"356",4,19,0
"357",4,20,0
"358",4,21,0
"359",4,22,0
"360",4,23,0
"361",4,24,0
"362",4,25,0
"363",4,26,0
"364",4,27,0
"365",4,28,0
"366",4,29,0
"367",4,30,0
"368",4,31,0
"369",4,32,0
"370",4,33,0
"371",4,34,0
"372",4,35,0
"373",4,36,0
"374",4,37,0
"375",4,38,0
"376",4,39,0
"377",4,40,0
"378",4,41,0
"379",4,42,0
"380",4,43,0
"381",4,44,0
"382",4,45,0
"383",4,46,0
"384",4,47,0
"385",4,48,0
"386",4,49,0
"387",4,50,0
"388",4,51,0
"389",4,52,0
"390",4,53,0
"391",4,54,0
"392",4,55,0
"393",4,56,0
"394",4,57,0
"395",4,58,0
"396",4,59,0
"397",4,60,0
"398",4,61,0
"399",4,62,0
"400",4,63,0
"401",4,64,0
"402",4,65,0
"403",4,66,0
"404",4,67,0
"405",4,68,0
"406",4,69,0
"407",4,70,0
"408",4,71,0
"409",4,72,0
"410",4,73,0
"411",4,74,0
"412",4,75,0
"413",4,76,0
"414",4,77,0
"415",4,78,0
"416",4,79,0
"417",4,80,0
"418",4,81,0
"419",4,82,0
"420",4,83,0
"421",4,84,0
"422",4,85,0
"423",4,86,0
"424",4,87,0
"425",4,88,0
"426",4,89,0
"427",4,90,0
"428",4,91,0
"429",4,92,0
"430",4,93,0
"431",4,94,0
"432",4,95,0
"433",4,96,0
"434",4,97,0
"435",4,98,0
"436",4,99,0
"437",4,100,0
"438",4,101,0
"439",4,102,0
"440",4,103,0
"441",4,104,0
"442",4,105,0
"443",4,106,0
"444",4,107,0
"445",4,108,0
"446",4,109,0
"447",4,110,0
"448",4,111,0
"449",5,0,0
"450",5,1,0
"451",5,2,0
"452",5,3,0
"453",5,4,0
"454",5,5,0
"455",5,6,0
"456",5,7,0.809567682930973
"457",5,8,0.128296583654056
"458",5,9,0
"459",5,10,0
"460",5,11,0
"461",5,12,0
"462",5,13,0
"463",5,14,0
"464",5,15,0
"465",5,16,0
"466",5,17,0
"467",5,18,0
"468",5,19,0
"469",5,20,0
"470",5,21,0
"471",5,22,0
"472",5,23,0
"473",5,24,0
"474",5,25,0
"475",5,26,0
"476",5,27,0
"477",5,28,0
"478",5,29,0
"479",5,30,0
"480",5,31,0
"481",5,32,0
"482",5,33,0
"483",5,34,0
"484",5,35,0
"485",5,36,0
"486",5,37,0
"487",5,38,0
"488",5,39,0
"489",5,40,0
"490",5,41,0
"491",5,42,0
"492",5,43,0
"493",5,44,0
"494",5,45,0
"495",5,46,0
"496",5,47,0
"497",5,48,0
"498",5,49,0
"499",5,50,0
"500",5,51,0
"501",5,52,0
"502",5,53,0
"503",5,54,0
"504",5,55,0
"505",5,56,0
"506",5,57,0
"507",5,58,0
"508",5,59,0
"509",5,60,0
"510",5,61,0
"511",5,62,0
"512",5,63,0
"513",5,64,0
"514",5,65,0
"515",5,66,0
"516",5,67,0
"517",5,68,0
"518",5,69,0
"519",5,70,0
"520",5,71,0
"521",5,72,0
"522",5,73,0
"523",5,74,0
"524",5,75,0
"525",5,76,0
"526",5,77,0
"527",5,78,0
"528",5,79,0
"529",5,80,0
"530",5,81,0
"531",5,82,0
"532",5,83,0
"533",5,84,0
"534",5,85,0
"535",5,86,0
"536",5,87,0
"537",5,88,0
"538",5,89,0
"539",5,90,0
"540",5,91,0
"541",5,92,0
"542",5,93,0
"543",5,94,0
"544",5,95,0
"545",5,96,0
"546",5,97,0
"547",5,98,0
"548",5,99,0
"549",5,100,0
"550",5,101,0
"551",5,102,0
"552",5,103,0
"553",5,104,0
"554",5,105,0
"555",5,106,0
"556",5,107,0
"557",5,108,0
"558",5,109,0
"559",5,110,0
"560",5,111,0
"561",6,0,0
"562",6,1,0
"563",6,2,0
"564",6,3,0
"565",6,4,0
"566",6,5,0
"567",6,6,0
"568",6,7,0
"569",6,8,0
"570",6,9,0
"571",6,10,0
"572",6,11,0
"573",6,12,0
"574",6,13,0
"575",6,14,0
"576",6,15,0
"577",6,16,0
"578",6,17,0
"579",6,18,0
"580",6,19,0
"581",6,20,0
"582",6,21,0
"583",6,22,0
"584",6,23,0
"585",6,24,0
"586",6,25,0
"587",6,26,0
"588",6,27,0
"589",6,28,0
"590",6,29,0
"591",6,30,0
"592",6,31,0
"593",6,32,0
"594",6,33,0
"595",6,34,0
"596",6,35,0
"597",6,36,0
"598",6,37,0
"599",6,38,0
"600",6,39,0
"601",6,40,0
"602",6,41,0
"603",6,42,0
"604",6,43,0
"605",6,44,0
"606",6,45,0
"607",6,46,0
"608",6,47,0
"609",6,48,0
"610",6,49,0
"611",6,50,0
"612",6,51,0
"613",6,52,0
"614",6,53,0
"615",6,54,0
"616",6,55,0
"617",6,56,0
"618",6,57,0
"619",6,58,0
"620",6,59,0
"621",6,60,0
"622",6,61,0
"623",6,62,0
"624",6,63,0
"625",6,64,0
"626",6,65,0
"627",6,66,0
"628",6,67,0
"629",6,68,0
"630",6,69,0
"631",6,70,0
"632",6,71,0
"633",6,72,0
"634",6,73,0
"635",6,74,0
"636",6,75,0
"637",6,76,0
"638",6,77,0
"639",6,78,0
"640",6,79,0
"641",6,80,0
"642",6,81,0
"643",6,82,0
"644",6,83,0
"645",6,84,0
"646",6,85,0
"647",6,86,0
"648",6,87,0
"649",6,88,0
"650",6,89,0
"651",6,90,0
"652",6,91,0
"653",6,92,0
"654",6,93,0
"655",6,94,0
"656",6,95,0
"657",6,96,0
"658",6,97,0
"659",6,98,0
"660",6,99,0
"661",6,100,0
"662",6,101,0
"663",6,102,0
"664",6,103,0
"665",6,104,0
"666",6,105,0
"667",6,106,0
"668",6,107,0
"669",6,108,0
"670",6,109,0
"671",6,110,0
"672",6,111,0
"673",7,0,0
"674",7,1,0
"675",7,2,0
"676",7,3,0
"677",7,4,0
"678",7,5,0
"679",7,6,0
"680",7,7,0
"681",7,8,0
"682",7,9,0
"683",7,10,0
"684",7,11,0
"685",7,12,0
"686",7,13,0
"687",7,14,0
"688",7,15,0
"689",7,16,0
"690",7,17,0
"691",7,18,0
"692",7,19,0
"693",7,20,0
"694",7,21,0
"695",7,22,0
"696",7,23,0
"697",7,24,0
"698",7,25,0
"699",7,26,0
"700",7,27,0
"701",7,28,0
"702",7,29,0
"703",7,30,0
"704",7,31,0
"705",7,32,0
"706",7,33,0
"707",7,34,0
"708",7,35,0
"709",7,36,0
"710",7,37,0
"711",7,38,0
"712",7,39,0
"713",7,40,0
"714",7,41,0
"715",7,42,0
"716",7,43,0
"717",7,44,0
"718",7,45,0
"719",7,46,0
"720",7,47,0
"721",7,48,0
"722",7,49,0
"723",7,50,0
"724",7,51,0
"725",7,52,0
"726",7,53,0
"727",7,54,0
"728",7,55,0
"729",7,56,0
"730",7,57,0
"731",7,58,0
"732",7,59,0
"733",7,60,0
"734",7,61,0
"735",7,62,0
"736",7,63,0
"737",7,64,0
"738",7,65,0
"739",7,66,0
"740",7,67,0
"741",7,68,0
"742",7,69,0
"743",7,70,0
"744",7,71,0
"745",7,72,0
"746",7,73,0
"747",7,74,0
"748",7,75,0
"749",7,76,0
"750",7,77,0
"751",7,78,0
"752",7,79,0
"753",7,80,0
"754",7,81,0
"755",7,82,0
"756",7,83,0
"757",7,84,0
"758",7,85,0
"759",7,86,0
"760",7,87,0
"761",7,88,0
"762",7,89,0
"763",7,90,0
"764",7,91,0
"765",7,92,0
"766",7,93,0
"767",7,94,0
"768",7,95,0
"769",7,96,0
"770",7,97,0
"771",7,98,0
"772",7,99,0
"773",7,100,0
"774",7,101,0
"775",7,102,0
"776",7,103,0
"777",7,104,0
"778",7,105,0
"779",7,106,0
"780",7,107,0
"781",7,108,0
"782",7,109,0
"783",7,110,0
"784",7,111,0
"785",8,0,0
"786",8,1,0
"787",8,2,0
"788",8,3,0
"789",8,4,0
"790",8,5,0.0642685700687264
"791",8,6,0.0656074986118249
"792",8,7,0
"793",8,8,0
"794",8,9,0
"795",8,10,0
"796",8,11,0
"797",8,12,0
"798",8,13,0
"799",8,14,0
"800",8,15,0
"801",8,16,0
"802",8,17,0
"803",8,18,0
"804",8,19,0
"805",8,20,0
"806",8,21,0
"807",8,22,0
"808",8,23,0
"809",8,24,0
"810",8,25,0
"811",8,26,0
"812",8,27,0
"813",8,28,0
"814",8,29,0
"815",8,30,0
"816",8,31,0
"817",8,32,0
"818",8,33,0
"819",8,34,0
"820",8,35,0
"821",8,36,0
"822",8,37,0
"823",8,38,0
"824",8,39,0
"825",8,40,0
"826",8,41,0
"827",8,42,0
"828",8,43,0
"829",8,44,0
"830",8,45,0
"831",8,46,0
"832",8,47,0
"833",8,48,0
"834",8,49,0
"835",8,50,0
"836",8,51,0
"837",8,52,0
"838",8,53,0
"839",8,54,0
"840",8,55,0
"841",8,56,0
"842",8,57,0
"843",8,58,0
"844",8,59,0
"845",8,60,0
"846",8,61,0
"847",8,62,0
"848",8,63,0
"849",8,64,0
"850",8,65,0
"851",8,66,0
"852",8,67,0
"853",8,68,0
"854",8,69,0
"855",8,70,0
"856",8,71,0
"857",8,72,0
"858",8,73,0
"859",8,74,0
"860",8,75,0
"861",8,76,0
"862",8,77,0
"863",8,78,0
"864",8,79,0
"865",8,80,0
"866",8,81,0
"867",8,82,0
"868",8,83,0
"869",8,84,0
"870",8,85,0
"871",8,86,0
"872",8,87,0
"873",8,88,0
"874",8,89,0
"875",8,90,0
"876",8,91,0
"877",8,92,0
"878",8,93,0
"879",8,94,0
"880",8,95,0
"881",8,96,0
"882",8,97,0
"883",8,98,0
"884",8,99,0
"885",8,100,0
"886",8,101,0
"887",8,102,0
"888",8,103,0
"889",8,104,0
"890",8,105,0
"891",8,106,0
"892",8,107,0
"893",8,108,0
"894",8,109,0
"895",8,110,0
"896",8,111,0
"897",9,0,0
"898",9,1,0
"899",9,2,0
"900",9,3,3.32365459420733
"901",9,4,0
"902",9,5,1.83528401835018
"903",9,6,0.201433611770141
"904",9,7,0
"905",9,8,0
"906",9,9,0
"907",9,10,0
"908",9,11,0
"909",9,12,0
"910",9,13,0
"911",9,14,0
"912",9,15,0
"913",9,16,0
"914",9,17,0
"915",9,18,0
"916",9,19,0
"917",9,20,0
"918",9,21,0
"919",9,22,0
"920",9,23,0
"921",9,24,0
"922",9,25,0
"923",9,26,0
"924",9,27,0
"925",9,28,0
"926",9,29,0
"927",9,30,0
"928",9,31,0
"929",9,32,0
"930",9,33,0
"931",9,34,0
"932",9,35,0
"933",9,36,0
"934",9,37,0
"935",9,38,0
"936",9,39,0
"937",9,40,0
"938",9,41,0
"939",9,42,0
"940",9,43,0
"941",9,44,0
"942",9,45,0
"943",9,46,0
"944",9,47,0
"945",9,48,0
"946",9,49,0
"947",9,50,0
"948",9,51,0
"949",9,52,0
"950",9,53,0
"951",9,54,0
"952",9,55,0
"953",9,56,0
"954",9,57,0
"955",9,58,0
"956",9,59,0
"957",9,60,0
"958",9,61,0
"959",9,62,0
"960",9,63,0
"961",9,64,0
"962",9,65,0
"963",9,66,0
"964",9,67,0
"965",9,68,0
"966",9,69,0
"967",9,70,0
"968",9,71,0
"969",9,72,0
"970",9,73,0
"971",9,74,0
"972",9,75,0
"973",9,76,0
"974",9,77,0
"975",9,78,0
"976",9,79,0
"977",9,80,0
"978",9,81,0
"979",9,82,0
"980",9,83,0
"981",9,84,0
"982",9,85,0
"983",9,86,0
"984",9,87,0
"985",9,88,0
"986",9,89,0
"987",9,90,0
"988",9,91,0
"989",9,92,0
"990",9,93,0
"991",9,94,0
"992",9,95,0
"993",9,96,0
"994",9,97,0
"995",9,98,0
"996",9,99,0
"997",9,100,0
"998",9,101,0
"999",9,102,0
"1000",9,103,0
"1001",9,104,0
"1002",9,105,0
"1003",9,106,0
"1004",9,107,0
"1005",9,108,0
"1006",9,109,0
"1007",9,110,0
"1008",9,111,0
"1009",10,0,0
"1010",10,1,0
"1011",10,2,0.365076923677413
"1012",10,3,5.61127972950933
"1013",10,4,0
"1014",10,5,0.637699301748208
"1015",10,6,0.488349651152903
"1016",10,7,0
"1017",10,8,0
"1018",10,9,0
"1019",10,10,0
"1020",10,11,0
"1021",10,12,0
"1022",10,13,0
"1023",10,14,0
"1024",10,15,0
"1025",10,16,0
"1026",10,17,0
"1027",10,18,0
"1028",10,19,0
"1029",10,20,0
"1030",10,21,0
"1031",10,22,0
"1032",10,23,0
"1033",10,24,0
"1034",10,25,0
"1035",10,26,0
"1036",10,27,0
"1037",10,28,0
"1038",10,29,0
"1039",10,30,0
"1040",10,31,0
"1041",10,32,0
"1042",10,33,0
"1043",10,34,0
"1044",10,35,0
"1045",10,36,0
"1046",10,37,0
"1047",10,38,0
"1048",10,39,0
"1049",10,40,0
"1050",10,41,0
"1051",10,42,0
"1052",10,43,0
"1053",10,44,0
"1054",10,45,0
"1055",10,46,0
"1056",10,47,0
"1057",10,48,0
"1058",10,49,0
"1059",10,50,0
"1060",10,51,0
"1061",10,52,0
"1062",10,53,0
"1063",10,54,0
"1064",10,55,0
"1065",10,56,0
"1066",10,57,0
"1067",10,58,0
"1068",10,59,0
"1069",10,60,0
"1070",10,61,0
"1071",10,62,0
"1072",10,63,0
"1073",10,64,0
"1074",10,65,0
"1075",10,66,0
"1076",10,67,0
"1077",10,68,0
"1078",10,69,0
"1079",10,70,0
"1080",10,71,0
"1081",10,72,0
"1082",10,73,0
"1083",10,74,0
"1084",10,75,0
"1085",10,76,0
"1086",10,77,0
"1087",10,78,0
"1088",10,79,0
"1089",10,80,0
"1090",10,81,0
"1091",10,82,0
"1092",10,83,0
"1093",10,84,0
"1094",10,85,0
"1095",10,86,0
"1096",10,87,0
"1097",10,88,0
"1098",10,89,0
"1099",10,90,0
"1100",10,91,0
"1101",10,92,0
"1102",10,93,0
"1103",10,94,0
"1104",10,95,0
"1105",10,96,0
"1106",10,97,0
"1107",10,98,0
"1108",10,99,0
"1109",10,100,0
"1110",10,101,0
"1111",10,102,0
"1112",10,103,0
"1113",10,104,0
"1114",10,105,0
"1115",10,106,0
"1116",10,107,0
"1117",10,108,0
"1118",10,109,0
"1119",10,110,0
"1120",10,111,0
"1121",11,0,0
"1122",11,1,0
"1123",11,2,0.663425952812292
"1124",11,3,2.96154557807293
"1125",11,4,4.37502846911478
"1126",11,5,0
"1127",11,6,0
"1128",11,7,0
"1129",11,8,0
"1130",11,9,0
"1131",11,10,0
"1132",11,11,0
"1133",11,12,0
"1134",11,13,0
"1135",11,14,0
"1136",11,15,0
"1137",11,16,0
"1138",11,17,0
"1139",11,18,0
