"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0.66187688709504
"4",1,3,0.229101581110001
"5",1,4,2.33297579588628
"6",1,5,4.77604573590868
"7",1,6,0
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",1,24,0
"26",1,25,0
"27",1,26,0
"28",1,27,0
"29",1,28,0
"30",1,29,0
"31",2,0,0
"32",2,1,0
"33",2,2,0.014208129376218
"34",2,3,0.790594541964467
"35",2,4,0.338645742623847
"36",2,5,0.218236339975332
"37",2,6,1.45829920756372
"38",2,7,0
"39",2,8,0.270133383772794
"40",2,9,2.17738735175617
"41",2,10,0
"42",2,11,2.73249530296746
"43",2,12,0
"44",2,13,0
"45",2,14,0
"46",2,15,0
"47",2,16,0
"48",2,17,0
"49",2,18,0
"50",2,19,0
"51",2,20,0
"52",2,21,0
"53",2,22,0
"54",2,23,0
"55",2,24,0
"56",2,25,0
"57",2,26,0
"58",2,27,0
"59",2,28,0
"60",2,29,0
"61",3,0,0
"62",3,1,0.0678433617632255
"63",3,2,0.775163542487951
"64",3,3,0
"65",3,4,0
"66",3,5,0.565396908414785
"67",3,6,0.121084299914641
"68",3,7,0
"69",3,8,0.694512927218558
"70",3,9,1.97104272399592
"71",3,10,0
"72",3,11,0
"73",3,12,0
"74",3,13,0
"75",3,14,3.80495623620491
"76",3,15,0
"77",3,16,0
"78",3,17,0
"79",3,18,0
"80",3,19,0
"81",3,20,0
"82",3,21,0
"83",3,22,0
"84",3,23,0
"85",3,24,0
"86",3,25,0
"87",3,26,0
"88",3,27,0
"89",3,28,0
"90",3,29,0
"91",4,0,0
"92",4,1,0.225672472537732
"93",4,2,0.13164227564701
"94",4,3,0.564181181344329
"95",4,4,0
"96",4,5,0
"97",4,6,0
"98",4,7,0
"99",4,8,1.74896166216742
"100",4,9,0.0564181181344329
"101",4,10,0
"102",4,11,0
"103",4,12,0
"104",4,13,0.300896630050309
"105",4,14,1.93702205594886
"106",4,15,0.112836236268866
"107",4,16,0
"108",4,17,0
"109",4,18,0
"110",4,19,0
"111",4,20,0
"112",4,21,0
"113",4,22,0
"114",4,23,0.0376120787562886
"115",4,24,0.0376120787562886
"116",4,25,0.13164227564701
"117",4,26,0
"118",4,27,0
"119",4,28,0
"120",4,29,0
"121",5,0,0
"122",5,1,0.852905843071246
"123",5,2,1.59575931929459
"124",5,3,0.935445118207173
"125",5,4,0
"126",5,5,0
"127",5,6,0
"128",5,7,0
"129",5,8,0
"130",5,9,0
"131",5,10,0
"132",5,11,0
"133",5,12,0
"134",5,13,0
"135",5,14,0
"136",5,15,0
"137",5,16,0
"138",5,17,0
"139",5,18,0
"140",5,19,0
"141",5,20,0
"142",5,21,0
"143",5,22,0
"144",5,23,0
"145",5,24,0
"146",5,25,0
"147",5,26,0
"148",5,27,0
"149",5,28,0
"150",5,29,0
"151",6,0,0
"152",6,1,0
"153",6,2,0.491458961123865
"154",6,3,7.50854103887613
"155",6,4,0
"156",6,5,0
"157",6,6,0
"158",6,7,0
"159",6,8,0
"160",6,9,0
"161",6,10,0
"162",6,11,0
"163",6,12,0
"164",6,13,0
"165",6,14,0
"166",6,15,0
"167",6,16,0
"168",6,17,0
"169",6,18,0
"170",6,19,0
"171",6,20,0
"172",6,21,0
"173",6,22,0
"174",6,23,0
"175",6,24,0
"176",6,25,0
"177",6,26,0
"178",6,27,0
"179",6,28,0
"180",6,29,0
"181",7,0,0
"182",7,1,0
"183",7,2,0
"184",7,3,0.825871889401135
"185",7,4,5.22630994518527
"186",7,5,0
"187",7,6,0
"188",7,7,0
"189",7,8,0
"190",7,9,0
"191",7,10,0
"192",7,11,1.9478181654136
"193",7,12,0
"194",7,13,0
"195",7,14,0
"196",7,15,0
"197",7,16,0
"198",7,17,0
"199",7,18,0
"200",7,19,0
"201",7,20,0
"202",7,21,0
"203",7,22,0
"204",7,23,0
"205",7,24,0
"206",7,25,0
"207",7,26,0
"208",7,27,0
"209",7,28,0
"210",7,29,0
"211",8,0,0
"212",8,1,0
"213",8,2,0
"214",8,3,0.154246832516043
"215",8,4,4.47856914148443
"216",8,5,0
"217",8,6,0
"218",8,7,0
"219",8,8,0
"220",8,9,0
"221",8,10,0
"222",8,11,0
"223",8,12,0
"224",8,13,0
"225",8,14,0
"226",8,15,0
"227",8,16,0
"228",8,17,0
"229",8,18,0
"230",8,19,0
"231",8,20,0.133836918814949
"232",8,21,0.500851804217124
"233",8,22,0
"234",8,23,0
"235",8,24,2.73249530296746
"236",8,25,0
"237",8,26,0
"238",8,27,0
"239",8,28,0
"240",8,29,0
"241",9,0,0
"242",9,1,0.144362475490037
"243",9,2,0.283701791053087
"244",9,3,0.389317845947314
"245",9,4,3.20180070118931
"246",9,5,0
"247",9,6,0
"248",9,7,0
"249",9,8,0
"250",9,9,0
"251",9,10,0
"252",9,11,0
"253",9,12,0
"254",9,13,0
"255",9,14,0
"256",9,15,0
"257",9,16,0
"258",9,17,0
"259",9,18,0
"260",9,19,0
"261",9,20,0.376925334813648
"262",9,21,0
"263",9,22,0
"264",9,23,0.869783394533059
"265",9,24,2.73410845697354
"266",9,25,0
"267",9,26,0
"268",9,27,0
"269",9,28,0
"270",9,29,0
"271",10,0,0
"272",10,1,0.462500975876711
"273",10,2,1.89868821675703
"274",10,3,0
"275",10,4,0
"276",10,5,0
"277",10,6,0
"278",10,7,0
"279",10,8,0
"280",10,9,0
"281",10,10,0
"282",10,11,0
"283",10,12,0
"284",10,13,0
"285",10,14,0
"286",10,15,0
"287",10,16,0
"288",10,17,0
"289",10,18,0
"290",10,19,0.0486843132501802
"291",10,20,1.38750292763013
"292",10,21,0.316448036126171
"293",10,22,0
"294",10,23,1.09539704812905
"295",10,24,1.09539704812905
"296",10,25,0.389474506001441
"297",10,26,0.316448036126171
"298",10,27,0.0486843132501802
"299",10,28,0.0730264698752702
"300",10,29,0
"301",11,0,0
"302",11,1,0
"303",11,2,0.25057038808487
"304",11,3,0.653622077272727
"305",11,4,0
"306",11,5,0
"307",11,6,0
"308",11,7,0
"309",11,8,0
"310",11,9,0
"311",11,10,0
"312",11,11,0
"313",11,12,0
"314",11,13,0.0520885056778518
"315",11,14,0.0306873003252686
"316",11,15,0.00778142671613795
"317",11,16,0
"318",11,17,0.0236154690766429
"319",11,18,0.00796398321626486
"320",11,19,0
"321",11,20,0.0323314142370316
"322",11,21,0
"323",11,22,0.0499880465270771
"324",11,23,0.281944200719342
"325",11,24,1.24419017704425
"326",11,25,0.889947632970176
"327",11,26,0.891811538885224
"328",11,27,1.15050784456604
"329",11,28,2.4329499946811
"330",11,29,0
"331",12,0,0
"332",12,1,0
"333",12,2,0.387196463843549
"334",12,3,6.71140537328818
"335",12,4,0.559283781107348
"336",12,5,0
"337",12,6,0
"338",12,7,0
"339",12,8,0
"340",12,9,0
"341",12,10,0
"342",12,11,0
"343",12,12,0
"344",12,13,0
"345",12,14,0
"346",12,15,0
"347",12,16,0
"348",12,17,0
"349",12,18,0
"350",12,19,0
"351",12,20,0
"352",12,21,0
"353",12,22,0
"354",12,23,0
"355",12,24,0
"356",12,25,0.0645327439739248
"357",12,26,0
"358",12,27,0
"359",12,28,0
"360",12,29,0
"361",13,0,0
"362",13,1,0
"363",13,2,0.373237900017753
"364",13,3,3.10211072543147
"365",13,4,4.52465137455078
"366",13,5,0
"367",13,6,0
"368",13,7,0
"369",13,8,0
"370",13,9,0
"371",13,10,0
"372",13,11,0
"373",13,12,0
"374",13,13,0
"375",13,14,0
"376",13,15,0
"377",13,16,0
"378",13,17,0
"379",13,18,0
"380",13,19,0
"381",13,20,0
"382",13,21,0
"383",13,22,0
"384",13,23,0
"385",13,24,0
"386",13,25,0
"387",13,26,0
"388",13,27,0
"389",13,28,0
"390",13,29,0
"391",14,0,0
"392",14,1,0.477569674633047
"393",14,2,0.14075654370481
"394",14,3,0.620815393855487
"395",14,4,0.0476713153976846
"396",14,5,2.64350548654426
"397",14,6,0
"398",14,7,0
"399",14,8,0
"400",14,9,0.143131532225067
"401",14,10,0.798504121241486
"402",14,11,0
"403",14,12,0.143131532225067
"404",14,13,0
"405",14,14,0.34140891362884
"406",14,15,0
"407",14,16,0
"408",14,17,0
"409",14,18,0
"410",14,19,0
"411",14,20,0
"412",14,21,0
"413",14,22,0
"414",14,23,2.64350548654426
"415",14,24,0
"416",14,25,0
"417",14,26,0
"418",14,27,0
"419",14,28,0
"420",14,29,0
"421",15,0,0
"422",15,1,1.97369042375662
"423",15,2,4.65533502125203
"424",15,3,1.07265783899816
"425",15,4,0.0214531567799633
"426",15,5,0
"427",15,6,0
"428",15,7,0
"429",15,8,0
"430",15,9,0
"431",15,10,0
"432",15,11,0
"433",15,12,0
"434",15,13,0
"435",15,14,0
"436",15,15,0
"437",15,16,0
"438",15,17,0
"439",15,18,0
"440",15,19,0
"441",15,20,0
"442",15,21,0
"443",15,22,0
"444",15,23,0
"445",15,24,0
"446",15,25,0
"447",15,26,0
"448",15,27,0
"449",15,28,0
"450",15,29,0
"451",16,0,0
"452",16,1,2.35018607920068
"453",16,2,0.0876751348480542
"454",16,3,0.0460550236096641
"455",16,4,0
"456",16,5,5.5160837623416
"457",16,6,0
"458",16,7,0
"459",16,8,0
"460",16,9,0
"461",16,10,0
"462",16,11,0
"463",16,12,0
"464",16,13,0
"465",16,14,0
"466",16,15,0
"467",16,16,0
"468",16,17,0
"469",16,18,0
"470",16,19,0
"471",16,20,0
"472",16,21,0
"473",16,22,0
"474",16,23,0
"475",16,24,0
"476",16,25,0
"477",16,26,0
"478",16,27,0
"479",16,28,0
"480",16,29,0
"481",17,0,0
"482",17,1,0.689262214521939
"483",17,2,0.214688230752735
"484",17,3,0
"485",17,4,0
"486",17,5,1.15253681772521
"487",17,6,0
"488",17,7,0
"489",17,8,0
"490",17,9,0
"491",17,10,0
"492",17,11,0
"493",17,12,0
"494",17,13,0.0112993805659334
"495",17,14,0.745759117351606
"496",17,15,0
"497",17,16,0.0903950445274674
"498",17,17,0.0225987611318668
"499",17,18,0
"500",17,19,0
"501",17,20,0
"502",17,21,0
"503",17,22,0
"504",17,23,0.0790956639615339
"505",17,24,0.338981416978003
"506",17,25,0
"507",17,26,0.0112993805659334
"508",17,27,0.0225987611318668
"509",17,28,0
"510",17,29,0
"511",18,0,0
"512",18,1,0.83845540860683
"513",18,2,0.856682700098282
"514",18,3,0.109363748948717
"515",18,4,0.0182272914914528
"516",18,5,0.783773534132471
"517",18,6,0
"518",18,7,0.0911364574572641
"519",18,8,0
"520",18,9,0.291636663863245
"521",18,10,0.966046449047
"522",18,11,0.200500206405981
"523",18,12,0
"524",18,13,0
"525",18,14,1.53109248528204
"526",18,15,0.0729091659658113
"527",18,16,0.236954789388887
"528",18,17,0.0182272914914528
"529",18,18,0
"530",18,19,0
"531",18,20,0
"532",18,21,0
"533",18,22,0.0364545829829056
"534",18,23,0.0546818744743585
"535",18,24,0.255182080880339
"536",18,25,0.0729091659658113
"537",18,26,0
"538",18,27,0
"539",18,28,0
"540",18,29,0
"541",19,0,0
"542",19,1,0.588983974254977
"543",19,2,0.0116609564703177
"544",19,3,0
"545",19,4,1.48079624361623
"546",19,5,0.333965097263962
"547",19,6,0
"548",19,7,1.15849210282259
"549",19,8,0
"550",19,9,0
"551",19,10,0
"552",19,11,0.499551571932279
"553",19,12,0.669025900801262
"554",19,13,0.614018666294131
"555",19,14,0.457095207612646
"556",19,15,0.693953078845062
"557",19,16,1.49245720008655
"558",19,17,0
"559",19,18,0
"560",19,19,0
"561",19,20,0
"562",19,21,0
"563",19,22,0
"564",19,23,0
"565",19,24,0
"566",19,25,0
"567",19,26,0
"568",19,27,0
"569",19,28,0
"570",19,29,0
"571",20,0,0
"572",20,1,1.55531046390029
"573",20,2,0.0130698358310949
"574",20,3,0
"575",20,4,1.55531046390029
"576",20,5,0.352885567439562
"577",20,6,0.261396716621898
"578",20,7,0
"579",20,8,0.0392095074932847
"580",20,9,0.222187209128613
"581",20,10,0.156838029973139
"582",20,11,0.0261396716621898
"583",20,12,0.0261396716621898
"584",20,13,0
"585",20,14,0
"586",20,15,0
"587",20,16,0
"588",20,17,0
"589",20,18,0
"590",20,19,0
"591",20,20,0
"592",20,21,0
"593",20,22,0
"594",20,23,0
"595",20,24,0
"596",20,25,0
"597",20,26,0
"598",20,27,0
"599",20,28,0
"600",20,29,0
"601",21,0,0
"602",21,1,1.00534160321362
"603",21,2,0
"604",21,3,0.542565309670845
"605",21,4,0.127662425804905
"606",21,5,0
"607",21,6,0
"608",21,7,0
"609",21,8,0
"610",21,9,0
"611",21,10,0
"612",21,11,0.0638312129024523
"613",21,12,0.143620229030518
"614",21,13,0.41490288386594
"615",21,14,0
"616",21,15,1.72344274836621
"617",21,16,0.590438719347684
"618",21,17,0.0957468193536785
"619",21,18,0
"620",21,19,0
"621",21,20,0
"622",21,21,0
"623",21,22,0
"624",21,23,0
"625",21,24,0
"626",21,25,0
"627",21,26,0
"628",21,27,0
"629",21,28,0
"630",21,29,0
"631",22,0,0
"632",22,1,0
"633",22,2,0
"634",22,3,0
"635",22,4,0
"636",22,5,0.129306605213998
"637",22,6,1.45469930865748
"638",22,7,0
"639",22,8,0
"640",22,9,0
"641",22,10,0
"642",22,11,0
"643",22,12,0.0161633256517498
"644",22,13,0.129306605213998
"645",22,14,0
"646",22,15,0.517226420855993
"647",22,16,1.90727242690647
"648",22,17,0.404083141293744
"649",22,18,0.0161633256517498
"650",22,19,0.0323266513034995
"651",22,20,0.0646533026069991
"652",22,21,0
"653",22,22,0
"654",22,23,0
"655",22,24,0
"656",22,25,0
"657",22,26,0.0323266513034995
"658",22,27,0
"659",22,28,0.0161633256517498
"660",22,29,0.0484899769552493
"661",23,0,0
"662",23,1,0
"663",23,2,0
"664",23,3,0
"665",23,4,0
"666",23,5,0.120902220429269
"667",23,6,0.362706661287808
"668",23,7,0
"669",23,8,0
"670",23,9,0
"671",23,10,0
"672",23,11,0
"673",23,12,0
"674",23,13,0
"675",23,14,0
"676",23,15,0
"677",23,16,2.5147661849288
"678",23,17,0.0483608881717077
"679",23,18,3.60288616879223
"680",23,19,0.0967217763434155
"681",23,20,0.0967217763434155
"682",23,21,0
"683",23,22,0.338526217201954
"684",23,23,0.169263108600977
"685",23,24,0.0241804440858539
"686",23,25,0.169263108600977
"687",23,26,0.120902220429269
"688",23,27,0.0241804440858539
"689",23,28,0
"690",23,29,0
"691",24,0,0
"692",24,1,0
"693",24,2,0
"694",24,3,0.387472569353627
"695",24,4,0.107194692331453
"696",24,5,0
"697",24,6,0
"698",24,7,0
"699",24,8,0
"700",24,9,0
"701",24,10,0
"702",24,11,0
"703",24,12,0
"704",24,13,0
"705",24,14,0
"706",24,15,0.00620531402213397
"707",24,16,0.0965739483771132
"708",24,17,0.287971997299948
"709",24,18,2.49319579275666
"710",24,19,0.0504377536512186
"711",24,20,1.87219361465269
"712",24,21,2.69875431755516
"713",24,22,0
"714",24,23,0
"715",24,24,0
"716",24,25,0
"717",24,26,0
"718",24,27,0
"719",24,28,0
"720",24,29,0
"721",25,0,0
"722",25,1,0
"723",25,2,0
"724",25,3,0
"725",25,4,0
"726",25,5,0
"727",25,6,0
"728",25,7,0.117526370001785
"729",25,8,0.247209864411216
"730",25,9,0
"731",25,10,0
"732",25,11,0
"733",25,12,0.219438558055656
"734",25,13,0.102779262399247
"735",25,14,0.265720570986246
"736",25,15,0.0616494991915294
"737",25,16,0.479314130314868
"738",25,17,0.695790876504342
"739",25,18,2.61714928889487
"740",25,19,0.49466726168508
"741",25,20,0.466648422466873
"742",25,21,2.23210589508828
"743",25,22,0
"744",25,23,0
"745",25,24,0
"746",25,25,0
"747",25,26,0
"748",25,27,0
"749",25,28,0
"750",25,29,0
"751",26,0,0
"752",26,1,0
"753",26,2,0
"754",26,3,0
"755",26,4,0.0227331222756875
"756",26,5,4.81942192244575
"757",26,6,0
"758",26,7,0.295530589583937
"759",26,8,0.204598100481187
"760",26,9,0
"761",26,10,0
"762",26,11,0
"763",26,12,0
"764",26,13,0.27279746730825
"765",26,14,0.09093248910275
"766",26,15,0.0681993668270625
"767",26,16,0.772926157373375
"768",26,17,0.113665611378437
"769",26,18,0.159131855929812
"770",26,19,0.340996834135312
"771",26,20,0.0227331222756875
"772",26,21,0
"773",26,22,0
"774",26,23,0
"775",26,24,0
"776",26,25,0
"777",26,26,0
"778",26,27,0
"779",26,28,0
"780",26,29,0
"781",27,0,0
"782",27,1,0
"783",27,2,0.422291604077088
"784",27,3,0.135714763550939
"785",27,4,0
"786",27,5,0.179648881934771
"787",27,6,0
"788",27,7,0
"789",27,8,0.00739673950773773
"790",27,9,0.0224299018829141
"791",27,10,0
"792",27,11,0
"793",27,12,0
"794",27,13,0
"795",27,14,0
"796",27,15,0.349621496491477
"797",27,16,2.47530024936327
"798",27,17,1.92263136830391
"799",27,18,0
"800",27,19,0
"801",27,20,0.562333626583995
"802",27,21,0.398982057567957
"803",27,22,1.52364931073595
"804",27,23,0
"805",27,24,0
"806",27,25,0
"807",27,26,0
"808",27,27,0
"809",27,28,0
"810",27,29,0
"811",28,0,0
"812",28,1,0.175321622978803
"813",28,2,1.42403525025127
"814",28,3,6.40064312676993
"815",28,4,0
"816",28,5,0
"817",28,6,0
"818",28,7,0
"819",28,8,0
"820",28,9,0
"821",28,10,0
"822",28,11,0
"823",28,12,0
"824",28,13,0
"825",28,14,0
"826",28,15,0
"827",28,16,0
"828",28,17,0
"829",28,18,0
"830",28,19,0
"831",28,20,0
"832",28,21,0
"833",28,22,0
"834",28,23,0
"835",28,24,0
"836",28,25,0
"837",28,26,0
"838",28,27,0
"839",28,28,0
"840",28,29,0
"841",29,0,0
"842",29,1,0
"843",29,2,0
"844",29,3,0.416427386586273
"845",29,4,0.73008103246638
"846",29,5,0
"847",29,6,0
"848",29,7,0
"849",29,8,0.508891851716971
"850",29,9,0.250002486286585
"851",29,10,0
"852",29,11,0
"853",29,12,0
"854",29,13,0
"855",29,14,0
"856",29,15,0
"857",29,16,0.125352332554553
"858",29,17,0.0970245430625985
"859",29,18,0.902290377550839
"860",29,19,0
"861",29,20,0.505718199599232
"862",29,21,4.46421179017657
"863",29,22,0
"864",29,23,0
"865",29,24,0
"866",29,25,0
"867",29,26,0
"868",29,27,0
"869",29,28,0
"870",29,29,0
"871",30,0,0
"872",30,1,0.0440318052171247
"873",30,2,0.372395581369148
"874",30,3,5.35146671832544
"875",30,4,0
"876",30,5,0
"877",30,6,0
"878",30,7,0
"879",30,8,0
"880",30,9,2.23210589508828
"881",30,10,0
"882",30,11,0
"883",30,12,0
"884",30,13,0
"885",30,14,0
"886",30,15,0
"887",30,16,0
"888",30,17,0
"889",30,18,0
"890",30,19,0
"891",30,20,0
"892",30,21,0
"893",30,22,0
"894",30,23,0
"895",30,24,0
"896",30,25,0
"897",30,26,0
"898",30,27,0
"899",30,28,0
"900",30,29,0
"901",31,0,0
"902",31,1,0
"903",31,2,2.2936251527594
"904",31,3,0
"905",31,4,0
"906",31,5,0
"907",31,6,0
"908",31,7,0
"909",31,8,0
"910",31,9,0.106186349664787
"911",31,10,0.169898159463659
"912",31,11,0
"913",31,12,0.0424745398659148
"914",31,13,0.0637118097988722
"915",31,14,0.0637118097988722
"916",31,15,0
"917",31,16,0
"918",31,17,0
"919",31,18,0.65835536792168
"920",31,19,0.276084509128446
"921",31,20,1.10433803651378
"922",31,21,1.42289708550815
"923",31,22,0.637118097988722
"924",31,23,0
"925",31,24,0
"926",31,25,0.0424745398659148
"927",31,26,0
"928",31,27,0.127423619597744
"929",31,28,0
"930",31,29,0
"931",32,0,0
"932",32,1,0
"933",32,2,0
"934",32,3,0
"935",32,4,0
"936",32,5,0.0587388376802064
"937",32,6,0
"938",32,7,0
"939",32,8,0
"940",32,9,0
"941",32,10,0.11622135599172
"942",32,11,0
"943",32,12,0.101610721737365
"944",32,13,0
"945",32,14,0.0151483155709799
"946",32,15,0
"947",32,16,0
"948",32,17,0
"949",32,18,0.0676410489086868
"950",32,19,0.640320332874474
"951",32,20,2.03184763672601
"952",32,21,2.29098091895266
"953",32,22,1.72374935394115
"954",32,23,0
"955",32,24,0
"956",32,25,0
"957",32,26,0
"958",32,27,0.953741477616761
"959",32,28,0
"960",32,29,0
"961",33,0,0
"962",33,1,0.843406088341427
"963",33,2,2.72527713065669
"964",33,3,0
"965",33,4,0.530928409795038
"966",33,5,3.90038837120685
"967",33,6,0
"968",33,7,0
"969",33,8,0
"970",33,9,0
"971",33,10,0
"972",33,11,0
"973",33,12,0
"974",33,13,0
"975",33,14,0
"976",33,15,0
"977",33,16,0
"978",33,17,0
"979",33,18,0
"980",33,19,0
"981",33,20,0
"982",33,21,0
"983",33,22,0
"984",33,23,0
"985",33,24,0
"986",33,25,0
"987",33,26,0
"988",33,27,0
"989",33,28,0
"990",33,29,0
"991",34,0,0
