"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,3.31570033670034,0.992093473708103,4.926,4.77604573590868,8,0.957918435633818,39.2231903806086,5,4.90289879757607
"2",2,4.74489898989899,1.93935630600836,10.811,2.73249530296746,8,0.671112591165637,69.4107613690301,11,8.67634517112876
"3",3,4.89458108108108,3.57918716274323,14.09,3.80495623620491,8,0.780175324306834,85.7365360288815,14,10.7170670036102
"4",4,10.2974697508897,5.14078406332039,25.495,1.93702205594886,5.28449706525855,0.46952759409101,57.1045385717352,14,10.8060498220641
"5",5,2.04244308943089,0.588874730115307,3.049,1.59575931929459,3.38411028057301,0.360421863536356,8.54281497656845,2,2.52439024390244
"6",6,2.79792929292929,0.372484044258091,3.46,7.50854103887613,8,1.37070818733039,27.5085410388761,3,3.43856762985952
"7",7,3.70065878378378,0.808007070234972,11.103,5.22630994518527,8,1.01126486678518,48.8088552684941,4,6.10110690856176
"8",8,4.47692592592593,3.41392106356873,24.023,4.47856914148443,8,0.941080372148087,101.151530599563,4,12.6439413249454
"9",9,4.11845608108108,4.53915303435024,24.237,3.20180070118931,8,0.759878278103587,111.849050138094,4,13.9811312672617
"10",10,15.666,10.0359786586554,27.987,1.89868821675703,7.13225189115139,0.484600306548616,115.953863083617,2,16.2576791808874
"11",11,13.1479806094183,10.7453032834072,28.084,2.4329499946811,8,0.551559076657181,190.944064522859,28,23.8680080653573
"12",12,3.04854317548747,2.03097600933762,24.963,6.71140537328818,7.722418362213,1.22505436656793,28.6202719524356,3,3.70612813370473
"13",13,2.97678393351801,0.452633077873895,4.097,4.52465137455078,8,0.984387332842065,32.151413474533,4,4.01892668431663
"14",14,3.61661666666667,3.17442900930191,22.806,2.64350548654426,8,0.676543467439312,96.6008960083841,5,12.075112001048
"15",15,1.98313333333333,0.54118204887806,3.506,4.65533502125203,7.72313644078678,0.923457245498699,18.4497148307684,2,2.38888888888889
"16",16,1.88447777777778,1.36410404015745,5.164,5.5160837623416,8,1.08002281810465,34.2441202314338,5,4.28051502892922
"17",17,8.94685953177258,7.63227799917643,26.521,1.15253681772521,3.37851478921409,0.272650149961878,31.8473041250833,5,9.42642140468227
"18",18,9.13089801699717,6.38680310117717,25.379,1.53109248528204,6.43423389648285,0.381969658687249,61.8543136762451,14,9.61331444759207
"19",19,4.06411111111111,2.94605204289241,15.57,1.49245720008655,8,0.44922157462599,82.5083261210701,16,10.3135407651338
"20",20,3.88166459627329,2.62805047544451,11.671,1.55531046390029,4.20848713761255,0.394684467615177,17.7226973869647,1,4.2111801242236
"21",21,10.2850881355932,6.22701700560743,16.893,1.72344274836621,4.70755195155586,0.376351398315389,50.2431434558428,15,10.6728813559322
"22",22,12.7291694915254,5.39744323558655,29.131,1.90727242690647,4.76818106726618,0.434290478138271,63.6754214050682,16,13.3542372881356
"23",23,17.1306855345912,3.74791393525775,26.851,3.60288616879223,7.68938121930153,0.780999818427376,136.256802423787,18,17.7201257861635
"24",24,13.5119686520376,6.88466917071613,21.024,2.69875431755516,8,0.722245977075968,152.078537866557,21,19.0098172333196
"25",25,13.8840344827586,3.89838752693058,21.325,2.61714928889487,8,0.618195575796098,147.626615498768,18,18.453326937346
"26",26,7.83649050632911,5.0831080490193,19.839,4.81942192244575,7.18366663911725,0.880363677256651,61.4248963889076,5,8.55063291139241
"27",27,10.5605673981191,6.6318763242059,22.269,2.47530024936327,8,0.611358515542624,137.090455216638,16,17.1363069020797
"28",28,2.23420689655172,0.659218968843514,3.189,6.40064312676993,8,1.18748521832362,26.2253215037911,3,3.27816518797389
"29",29,8.28962695924765,6.54494959515887,21.175,4.46421179017657,8,0.828766462018598,138.249856414484,21,17.2812320518105
"30",30,2.86551410658307,0.812577922120309,9.142,5.35146671832544,8,1.04432417842739,40.9321761787263,3,5.11652202234079
"31",31,13.8058151515152,8.67588130746196,27.433,2.2936251527594,7.00829907787594,0.520324322211001,100.558473132553,2,14.3484848484848
"32",32,17.6634371257485,4.22375843554775,26.896,2.29098091895266,8,0.631547006002943,172.691995747015,21,21.5864994683769
"33",33,1.89232732732733,0.860665397042678,5.059,3.90038837120685,8,0.861034869692629,31.9196158448692,5,3.98995198060865
"34",34,7.89503293413174,7.59852283744837,29.413,3.0232889548099,8,0.65077979834263,162.983242357055,29,20.3729052946318
"35",35,16.799619760479,6.92538167912284,29.312,2.57552136699487,8,0.662252358601088,189.243980247385,28,23.6554975309231
"36",36,18.7986816816817,1.67952070602976,27.144,1.90261853485747,8,0.534078431426068,179.394175700515,19,22.4242719625644
"37",37,12.6548108108108,6.85714020510102,26.409,2.9606606690001,7.70234377169557,0.714737605734296,102.385659776007,7,13.2927927927928
"38",38,2.63112312312312,0.440862312030105,4.867,5.03844862365446,8,1.02568523982988,33.0750534201602,3,4.13438167752002
"39",39,2.32389520958084,0.224628992298829,2.895,5.72244886570056,8,1.11107786834992,25.7224488657006,3,3.21530610821257
"40",40,5.91775675675676,2.48947509545596,11.051,5.7467368627824,8,1.0564424168362,71.8445404063521,9,8.98056755079401
