"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0.724590087341658
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0
"9",1,8,0.0207533642725505
"10",1,9,2.8346417656322
"11",1,10,0.0560549176352282
"12",1,11,0.0584409387358313
"13",1,12,0
"14",1,13,0.0610391510491347
"15",1,14,1.38908464542865
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,1.34683039469114
"24",1,23,0
"25",1,24,1.50856473521361
"26",1,25,0
"27",1,26,0
"28",1,27,0
"29",1,28,0
"30",2,0,0
"31",2,1,0.640846222658616
"32",2,2,1.93073189710659
"33",2,3,0
"34",2,4,0
"35",2,5,0
"36",2,6,0
"37",2,7,0
"38",2,8,0
"39",2,9,1.31273077654241
"40",2,10,0
"41",2,11,0.306566089732941
"42",2,12,0
"43",2,13,0.285265640704377
"44",2,14,0.850467909087121
"45",2,15,0
"46",2,16,1.16406138724678
"47",2,17,0
"48",2,18,0
"49",2,19,0
"50",2,20,0
"51",2,21,0
"52",2,22,0
"53",2,23,0
"54",2,24,0
"55",2,25,1.50933007692117
"56",2,26,0
"57",2,27,0
"58",2,28,0
"59",3,0,0
"60",3,1,0.46283882596812
"61",3,2,7.53716117403188
"62",3,3,0
"63",3,4,0
"64",3,5,0
"65",3,6,0
"66",3,7,0
"67",3,8,0
"68",3,9,0
"69",3,10,0
"70",3,11,0
"71",3,12,0
"72",3,13,0
"73",3,14,0
"74",3,15,0
"75",3,16,0
"76",3,17,0
"77",3,18,0
"78",3,19,0
"79",3,20,0
"80",3,21,0
"81",3,22,0
"82",3,23,0
"83",3,24,0
"84",3,25,0
"85",3,26,0
"86",3,27,0
"87",3,28,0
"88",4,0,0
"89",4,1,0
"90",4,2,1.43419429777295
"91",4,3,0
"92",4,4,1.80439943477774
"93",4,5,4.76140626744931
"94",4,6,0
"95",4,7,0
"96",4,8,0
"97",4,9,0
"98",4,10,0
"99",4,11,0
"100",4,12,0
"101",4,13,0
"102",4,14,0
"103",4,15,0
"104",4,16,0
"105",4,17,0
"106",4,18,0
"107",4,19,0
"108",4,20,0
"109",4,21,0
"110",4,22,0
"111",4,23,0
"112",4,24,0
"113",4,25,0
"114",4,26,0
"115",4,27,0
"116",4,28,0
"117",5,0,0
"118",5,1,0
"119",5,2,0
"120",5,3,0.0706468395300801
"121",5,4,0.681684692295146
"122",5,5,1.51558856023592
"123",5,6,0.567369923222135
"124",5,7,2.00290421670501
"125",5,8,3.16180576801171
"126",5,9,0
"127",5,10,0
"128",5,11,0
"129",5,12,0
"130",5,13,0
"131",5,14,0
"132",5,15,0
"133",5,16,0
"134",5,17,0
"135",5,18,0
"136",5,19,0
"137",5,20,0
"138",5,21,0
"139",5,22,0
"140",5,23,0
"141",5,24,0
"142",5,25,0
"143",5,26,0
"144",5,27,0
"145",5,28,0
"146",6,0,0
"147",6,1,0
"148",6,2,0.577523888570856
"149",6,3,0
"150",6,4,0
"151",6,5,0
"152",6,6,0.575740968126691
"153",6,7,0.258031386985681
"154",6,8,0.0114013222133557
"155",6,9,0.574330201504068
"156",6,10,0
"157",6,11,0.0352288902730149
"158",6,12,4.06318083534661
"159",6,13,1.90456250697972
"160",6,14,0
"161",6,15,0
"162",6,16,0
"163",6,17,0
"164",6,18,0
"165",6,19,0
"166",6,20,0
"167",6,21,0
"168",6,22,0
"169",6,23,0
"170",6,24,0
"171",6,25,0
"172",6,26,0
"173",6,27,0
"174",6,28,0
"175",7,0,0
"176",7,1,0.55299017515622
"177",7,2,2.12855473396317
"178",7,3,0.119540705742505
"179",7,4,0
"180",7,5,0
"181",7,6,0
"182",7,7,0
"183",7,8,0
"184",7,9,0
"185",7,10,0
"186",7,11,0
"187",7,12,1.22797297780591
"188",7,13,0.952281253489861
"189",7,14,3.01866015384234
"190",7,15,0
"191",7,16,0
"192",7,17,0
"193",7,18,0
"194",7,19,0
"195",7,20,0
"196",7,21,0
"197",7,22,0
"198",7,23,0
"199",7,24,0
"200",7,25,0
"201",7,26,0
"202",7,27,0
"203",7,28,0
"204",8,0,0
"205",8,1,4.00143441583545
"206",8,2,1.1889976549911
"207",8,3,0.0228653395190597
"208",8,4,0
"209",8,5,0
"210",8,6,0
"211",8,7,0
"212",8,8,0
"213",8,9,0
"214",8,10,0
"215",8,11,0
"216",8,12,0.0914613580762387
"217",8,13,0.548768148457432
"218",8,14,0.548768148457432
"219",8,15,0.937478920281447
"220",8,16,0
"221",8,17,0.0685960185571791
"222",8,18,0.0914613580762387
"223",8,19,0
"224",8,20,0
"225",8,21,0
"226",8,22,0
"227",8,23,0.114326697595298
"228",8,24,0.0228653395190597
"229",8,25,0
"230",8,26,0.0685960185571791
"231",8,27,0
"232",8,28,0
"233",9,0,0
"234",9,1,0.00815344495143773
"235",9,2,0.00820212252303882
"236",9,3,0
"237",9,4,0
"238",9,5,0
"239",9,6,0
"240",9,7,0
"241",9,8,0
"242",9,9,0
"243",9,10,1.77137867579278
"244",9,11,0.0610701181047745
"245",9,12,0
"246",9,13,0
"247",9,14,2.03550453493558
"248",9,15,4.11569110369239
"249",9,16,0
"250",9,17,0
"251",9,18,0
"252",9,19,0
"253",9,20,0
"254",9,21,0
"255",9,22,0
"256",9,23,0
"257",9,24,0
"258",9,25,0
"259",9,26,0
"260",9,27,0
"261",9,28,0
"262",10,0,0
"263",10,1,0.366895585537073
"264",10,2,1.42172039395616
"265",10,3,0
"266",10,4,0
"267",10,5,0
"268",10,6,0
"269",10,7,0
"270",10,8,0
"271",10,9,0
"272",10,10,0.664998248785945
"273",10,11,0
"274",10,12,0.687929222882012
"275",10,13,0.366895585537073
"276",10,14,0.458619481921341
"277",10,15,1.51344429034043
"278",10,16,1.26120357528369
"279",10,17,0.0687929222882012
"280",10,18,0.527412404209543
"281",10,19,0
"282",10,20,0.137585844576402
"283",10,21,0
"284",10,22,0
"285",10,23,0
"286",10,24,0.0229309740960671
"287",10,25,0.183447792768537
"288",10,26,0.0229309740960671
"289",10,27,0
"290",10,28,0
"291",11,0,0
"292",11,1,1.04672341754036
"293",11,2,0
"294",11,3,0
"295",11,4,0
"296",11,5,0
"297",11,6,0
"298",11,7,0
"299",11,8,0
"300",11,9,0
"301",11,10,0
"302",11,11,0
"303",11,12,0
"304",11,13,0.133219344050591
"305",11,14,1.63669479833583
"306",11,15,0.380626697287402
"307",11,16,1.90313348643701
"308",11,17,0.0190313348643701
"309",11,18,0.323532692694292
"310",11,19,0.0951566743218505
"311",11,20,0
"312",11,21,0
"313",11,22,0.0380626697287402
"314",11,23,0.0951566743218505
"315",11,24,0
"316",11,25,0.0761253394574804
"317",11,26,0.0190313348643701
"318",11,27,0.0380626697287402
"319",11,28,0.114188009186221
"320",12,0,0
"321",12,1,0
"322",12,2,0
"323",12,3,0
"324",12,4,0
"325",12,5,0
"326",12,6,0
"327",12,7,0
"328",12,8,0
"329",12,9,0
"330",12,10,0
"331",12,11,0
"332",12,12,0
"333",12,13,0.0526160312407577
"334",12,14,0.960278456386483
"335",12,15,0.171018220365694
"336",12,16,1.70555439604877
"337",12,17,0.445518404802317
"338",12,18,0
"339",12,19,0.0486151273005383
"340",12,20,0
"341",12,21,0.334103252749338
"342",12,22,4.2822961111061
"343",12,23,0
"344",12,24,0
"345",12,25,0
"346",12,26,0
"347",12,27,0
"348",12,28,0
"349",13,0,0
"350",13,1,0
"351",13,2,0
"352",13,3,0
"353",13,4,0
"354",13,5,0
"355",13,6,0
"356",13,7,0
"357",13,8,0
"358",13,9,0.107309540390225
"359",13,10,0.121390124416574
"360",13,11,0
"361",13,12,0
"362",13,13,0.0516996171396051
"363",13,14,0.75048752307467
"364",13,15,0.589161228608275
"365",13,16,0.618281228051755
"366",13,17,0.043984296358497
"367",13,18,1.71339729832797
"368",13,19,4.00428914363243
"369",13,20,0
"370",13,21,0
"371",13,22,0
"372",13,23,0
"373",13,24,0
"374",13,25,0
"375",13,26,0
"376",13,27,0
"377",13,28,0
"378",14,0,0
"379",14,1,0
"380",14,2,0
"381",14,3,0
"382",14,4,0
"383",14,5,0
"384",14,6,0
"385",14,7,0
"386",14,8,0.986336697355182
"387",14,9,0.346916190016887
"388",14,10,2.74164460489495
"389",14,11,0
"390",14,12,0
"391",14,13,0
"392",14,14,0.735126524547657
"393",14,15,0
"394",14,16,0.494133532102855
"395",14,17,0.775285538309505
"396",14,18,0.398551569149994
"397",14,19,1.52200534362297
"398",14,20,0
"399",14,21,0
"400",14,22,0
"401",14,23,0
"402",14,24,0
"403",14,25,0
"404",14,26,0
"405",14,27,0
"406",14,28,0
"407",15,0,0
"408",15,1,0
"409",15,2,0
"410",15,3,0
"411",15,4,0
"412",15,5,0
"413",15,6,0
"414",15,7,0
"415",15,8,0.0348543909430571
"416",15,9,0.188779860663395
"417",15,10,1.17890252065985
"418",15,11,0.972170280191245
"419",15,12,0
"420",15,13,0
"421",15,14,0.78126994919987
"422",15,15,0.330292001468345
"423",15,16,1.32375501368892
"424",15,17,3.18997598318533
"425",15,18,0
"426",15,19,0
"427",15,20,0
"428",15,21,0
"429",15,22,0
"430",15,23,0
"431",15,24,0
"432",15,25,0
"433",15,26,0
"434",15,27,0
"435",15,28,0
"436",16,0,0
"437",16,1,0.198581327180141
"438",16,2,0
"439",16,3,0
"440",16,4,0
"441",16,5,0
"442",16,6,0
"443",16,7,0
"444",16,8,0
"445",16,9,0
"446",16,10,0.0200059645025584
"447",16,11,0.46212055263195
"448",16,12,0
"449",16,13,0.00705034074744441
"450",16,14,0.668206505498676
"451",16,15,1.17002585617851
"452",16,16,0
"453",16,17,0.629986454918138
"454",16,18,0
"455",16,19,1.52200534362297
"456",16,20,0
"457",16,21,0
"458",16,22,0
"459",16,23,0
"460",16,24,0
"461",16,25,3.32201765471962
"462",16,26,0
"463",16,27,0
"464",16,28,0
"465",17,0,0
"466",17,1,0
"467",17,2,0
"468",17,3,0.16910385412691
"469",17,4,0.321346763178988
"470",17,5,0.114983016660412
"471",17,6,0.0894109551241166
"472",17,7,0.0287137525449699
"473",17,8,0.0145831764132187
"474",17,9,0
"475",17,10,0
"476",17,11,0.466144924283628
"477",17,12,0
"478",17,13,0
"479",17,14,0.0955819629528609
"480",17,15,0.213558651073017
"481",17,16,0
"482",17,17,1.41111505953115
"483",17,18,1.15035537637775
"484",17,19,0.88109182048704
"485",17,20,0
"486",17,21,0
"487",17,22,0
"488",17,23,0
"489",17,24,0.8143131604471
"490",17,25,2.22969752679884
"491",17,26,0
"492",17,27,0
"493",17,28,0
"494",18,0,0
"495",18,1,0
"496",18,2,0
"497",18,3,0.0043091448953016
"498",18,4,0.026140189977442
"499",18,5,0.00440505607031347
"500",18,6,0
"501",18,7,0
"502",18,8,0.0539830228907725
"503",18,9,0.960278456386483
"504",18,10,0
"505",18,11,0.598920771228264
"506",18,12,0.28115200620665
"507",18,13,0.469612733270526
"508",18,14,0
"509",18,15,0.799806337141834
"510",18,16,3.27938693830944
"511",18,17,1.52200534362297
"512",18,18,0
"513",18,19,0
"514",18,20,0
"515",18,21,0
"516",18,22,0
"517",18,23,0
"518",18,24,0
"519",18,25,0
"520",18,26,0
"521",18,27,0
"522",18,28,0
"523",19,0,0
"524",19,1,0
"525",19,2,0
"526",19,3,1.23542008888445
"527",19,4,0.143634952300099
"528",19,5,0
"529",19,6,0
"530",19,7,0
"531",19,8,0
"532",19,9,0.58520861831824
"533",19,10,0
"534",19,11,0
"535",19,12,0.701784332146646
"536",19,13,0.258494124239837
"537",19,14,0.110890284091822
"538",19,15,1.30844669254995
"539",19,16,1.73556399469599
"540",19,17,1.92055691277297
"541",19,18,0
"542",19,19,0
"543",19,20,0
"544",19,21,0
"545",19,22,0
"546",19,23,0
"547",19,24,0
"548",19,25,0
"549",19,26,0
"550",19,27,0
"551",19,28,0
"552",20,0,0
"553",20,1,0
"554",20,2,0
"555",20,3,0.511156549486199
"556",20,4,3.02704507995707
"557",20,5,0.309307220229519
"558",20,6,0.309307220229519
"559",20,7,0
"560",20,8,0
"561",20,9,0
"562",20,10,0.519375929093015
"563",20,11,0.278156794715177
"564",20,12,0
"565",20,13,0
"566",20,14,0.348355875656389
"567",20,15,2.69729533063311
"568",20,16,0
"569",20,17,0
"570",20,18,0
"571",20,19,0
"572",20,20,0
"573",20,21,0
"574",20,22,0
"575",20,23,0
"576",20,24,0
"577",20,25,0
"578",20,26,0
"579",20,27,0
"580",20,28,0
"581",21,0,0
"582",21,1,0
"583",21,2,0
"584",21,3,0.304351113459752
"585",21,4,0.660031131077624
"586",21,5,1.03945249551856
"587",21,6,4.09922332389349
"588",21,7,0.393651018707799
"589",21,8,0
"590",21,9,0
"591",21,10,1.50329091734277
"592",21,11,0
"593",21,12,0
"594",21,13,0
"595",21,14,0
"596",21,15,0
"597",21,16,0
"598",21,17,0
"599",21,18,0
"600",21,19,0
"601",21,20,0
"602",21,21,0
"603",21,22,0
"604",21,23,0
"605",21,24,0
"606",21,25,0
"607",21,26,0
"608",21,27,0
"609",21,28,0
"610",22,0,0
"611",22,1,0
"612",22,2,0.0240187234306297
"613",22,3,0.199642529199723
"614",22,4,1.82952960298337
"615",22,5,0.966836853426122
"616",22,6,0.323623829914271
"617",22,7,0.363756168203117
"618",22,8,0.679638042783755
"619",22,9,0
"620",22,10,2.66401349617036
"621",22,11,0.948940753888652
"622",22,12,0
"623",22,13,0
"624",22,14,0
"625",22,15,0
"626",22,16,0
"627",22,17,0
"628",22,18,0
"629",22,19,0
"630",22,20,0
"631",22,21,0
"632",22,22,0
"633",22,23,0
"634",22,24,0
"635",22,25,0
"636",22,26,0
"637",22,27,0
"638",22,28,0
"639",23,0,0
"640",23,1,0
"641",23,2,0.111566581424338
"642",23,3,0.771524008438219
"643",23,4,1.55803250835569
"644",23,5,2.40656395105545
"645",23,6,3.15231295072631
"646",23,7,0
"647",23,8,0
"648",23,9,0
"649",23,10,0
"650",23,11,0
"651",23,12,0
"652",23,13,0
"653",23,14,0
"654",23,15,0
"655",23,16,0
"656",23,17,0
"657",23,18,0
"658",23,19,0
"659",23,20,0
"660",23,21,0
"661",23,22,0
"662",23,23,0
"663",23,24,0
"664",23,25,0
"665",23,26,0
"666",23,27,0
"667",23,28,0
"668",24,0,0
"669",24,1,0
"670",24,2,0.339374892103476
"671",24,3,0.517328443472931
"672",24,4,0.650548089196922
"673",24,5,0
"674",24,6,0.801922767074959
"675",24,7,0.11130966057627
"676",24,8,2.42876379170723
"677",24,9,0
"678",24,10,0
"679",24,11,2.20228138784292
"680",24,12,0
"681",24,13,0
"682",24,14,0.948470968025285
"683",24,15,0
"684",24,16,0
"685",24,17,0
"686",24,18,0
"687",24,19,0
"688",24,20,0
"689",24,21,0
"690",24,22,0
"691",24,23,0
"692",24,24,0
"693",24,25,0
"694",24,26,0
"695",24,27,0
"696",24,28,0
"697",25,0,0
"698",25,1,0
"699",25,2,1.9670598078514
"700",25,3,2.00190865507709
"701",25,4,1.02296051643235
"702",25,5,0.344057524468794
"703",25,6,0
"704",25,7,0
"705",25,8,0
"706",25,9,0
"707",25,10,0
"708",25,11,2.66401349617036
"709",25,12,0
"710",25,13,0
"711",25,14,0
"712",25,15,0
"713",25,16,0
"714",25,17,0
"715",25,18,0
"716",25,19,0
"717",25,20,0
"718",25,21,0
"719",25,22,0
"720",25,23,0
"721",25,24,0
"722",25,25,0
"723",25,26,0
"724",25,27,0
"725",25,28,0
"726",26,0,0
"727",26,1,0
"728",26,2,0.816655512202189
"729",26,3,0.711398721548018
"730",26,4,2.01150695650882
"731",26,5,4.46043880974097
"732",26,6,0
"733",26,7,0
"734",26,8,0
"735",26,9,0
"736",26,10,0
"737",26,11,0
"738",26,12,0
"739",26,13,0
"740",26,14,0
"741",26,15,0
"742",26,16,0
"743",26,17,0
"744",26,18,0
"745",26,19,0
"746",26,20,0
"747",26,21,0
"748",26,22,0
"749",26,23,0
"750",26,24,0
"751",26,25,0
"752",26,26,0
"753",26,27,0
"754",26,28,0
"755",27,0,0
"756",27,1,0
"757",27,2,0
"758",27,3,0.144380352211211
"759",27,4,3.96014680350749
"760",27,5,2.743226692013
"761",27,6,0.185631881414414
"762",27,7,0
"763",27,8,0
"764",27,9,0
"765",27,10,0
"766",27,11,0
"767",27,12,0
"768",27,13,0
"769",27,14,0
"770",27,15,0
"771",27,16,0
"772",27,17,0
"773",27,18,0
"774",27,19,0
"775",27,20,0
"776",27,21,0
"777",27,22,0
"778",27,23,0
"779",27,24,0
"780",27,25,0
"781",27,26,0
"782",27,27,0
"783",27,28,0
"784",28,0,0
"785",28,1,0
"786",28,2,1.46830976634004
"787",28,3,0.821554274023595
"788",28,4,2.58702196926579
"789",28,5,0
"790",28,6,0
"791",28,7,0
"792",28,8,0.349597563414296
"793",28,9,0.122359147195003
"794",28,10,0
"795",28,11,0
"796",28,12,0.297157928902151
"797",28,13,0
"798",28,14,0
"799",28,15,0
"800",28,16,0
"801",28,17,0
"802",28,18,0
"803",28,19,0
"804",28,20,0
"805",28,21,0
"806",28,22,0
"807",28,23,0
"808",28,24,0
"809",28,25,0
"810",28,26,0.122359147195003
"811",28,27,0.0174798781707148
"812",28,28,0
"813",29,0,0
"814",29,1,0
"815",29,2,2.81932284400678
"816",29,3,0.393845997457727
"817",29,4,4.78683115853549
"818",29,5,0
"819",29,6,0
"820",29,7,0
"821",29,8,0
"822",29,9,0
"823",29,10,0
"824",29,11,0
"825",29,12,0
"826",29,13,0
"827",29,14,0
"828",29,15,0
"829",29,16,0
"830",29,17,0
"831",29,18,0
"832",29,19,0
"833",29,20,0
"834",29,21,0
"835",29,22,0
"836",29,23,0
"837",29,24,0
"838",29,25,0
"839",29,26,0
"840",29,27,0
"841",29,28,0
"842",30,0,0
"843",30,1,0
"844",30,2,0.200496027854759
"845",30,3,0.440575179520553
"846",30,4,0
"847",30,5,0
"848",30,6,0
"849",30,7,1.30939406857245
"850",30,8,2.25377170849763
"851",30,9,3.79576301555461
"852",30,10,0
"853",30,11,0
"854",30,12,0
"855",30,13,0
"856",30,14,0
"857",30,15,0
"858",30,16,0
"859",30,17,0
"860",30,18,0
"861",30,19,0
"862",30,20,0
"863",30,21,0
"864",30,22,0
"865",30,23,0
"866",30,24,0
"867",30,25,0
"868",30,26,0
"869",30,27,0
"870",30,28,0
"871",31,0,0
"872",31,1,1.97504761373646
"873",31,2,1.87017782893629
"874",31,3,0
"875",31,4,0
"876",31,5,0
"877",31,6,0
"878",31,7,0
"879",31,8,0.0174782974666943
"880",31,9,0.297131056933803
"881",31,10,0
"882",31,11,0
"883",31,12,0
"884",31,13,0
"885",31,14,0
"886",31,15,0
"887",31,16,0
"888",31,17,0
"889",31,18,0
"890",31,19,0
"891",31,20,0
"892",31,21,0
"893",31,22,0
"894",31,23,0
"895",31,24,0
"896",31,25,0
"897",31,26,0
"898",31,27,0
"899",31,28,0
"900",32,0,0
"901",32,1,0.411636905547571
"902",32,2,0.507309380496554
"903",32,3,0.491633703441295
"904",32,4,1.31109692806394
"905",32,5,0
"906",32,6,3.70634691080486
"907",32,7,0
"908",32,8,0
"909",32,9,1.57197617164578
"910",32,10,0
"911",32,11,0
"912",32,12,0
"913",32,13,0
"914",32,14,0
"915",32,15,0
"916",32,16,0
"917",32,17,0
"918",32,18,0
"919",32,19,0
"920",32,20,0
"921",32,21,0
"922",32,22,0
"923",32,23,0
"924",32,24,0
"925",32,25,0
"926",32,26,0
"927",32,27,0
"928",32,28,0
"929",33,0,0
"930",33,1,0.553720185409843
"931",33,2,7.44627981459016
"932",33,3,0
"933",33,4,0
"934",33,5,0
"935",33,6,0
"936",33,7,0
"937",33,8,0
"938",33,9,0
"939",33,10,0
"940",33,11,0
"941",33,12,0
"942",33,13,0
"943",33,14,0
"944",33,15,0
"945",33,16,0
"946",33,17,0
"947",33,18,0
"948",33,19,0
"949",33,20,0
"950",33,21,0
"951",33,22,0
"952",33,23,0
"953",33,24,0
"954",33,25,0
"955",33,26,0
"956",33,27,0
"957",33,28,0
"958",34,0,0
"959",34,1,0
"960",34,2,8
"961",34,3,0
"962",34,4,0
"963",34,5,0
"964",34,6,0
"965",34,7,0
"966",34,8,0
"967",34,9,0
"968",34,10,0
"969",34,11,0
"970",34,12,0
"971",34,13,0
"972",34,14,0
"973",34,15,0
"974",34,16,0
"975",34,17,0
"976",34,18,0
"977",34,19,0
"978",34,20,0
"979",34,21,0
"980",34,22,0
"981",34,23,0
"982",34,24,0
"983",34,25,0
"984",34,26,0
"985",34,27,0
"986",34,28,0
"987",35,0,0
"988",35,1,0
"989",35,2,3.71348345614603
"990",35,3,0
"991",35,4,0
"992",35,5,0
"993",35,6,0
"994",35,7,0
"995",35,8,0
"996",35,9,0
"997",35,10,0
"998",35,11,0
"999",35,12,0
"1000",35,13,0
"1001",35,14,0
"1002",35,15,0
"1003",35,16,0.0733942605358938
"1004",35,17,0
"1005",35,18,0.0773634014298285
"1006",35,19,1.57197617164578
"1007",35,20,0.991806538596678
"1008",35,21,0.580169633049106
"1009",35,22,0.991806538596678
"1010",35,23,0
