"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0
"9",1,8,0.249069174671652
"10",1,9,0
"11",1,10,1.01891935092948
"12",1,11,0.0226426522428774
"13",1,12,0.113213261214387
"14",1,13,0.0226426522428774
"15",1,14,0
"16",1,15,1.47177239578703
"17",1,16,0.475495697100426
"18",1,17,1.35855913457265
"19",1,18,1.26798852560114
"20",1,19,0.928348741957974
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",1,24,0
"26",1,25,0
"27",1,26,0
"28",1,27,0
"29",1,28,0
"30",1,29,0.0226426522428774
"31",1,30,0
"32",1,31,0
"33",1,32,0
"34",2,0,0
"35",2,1,0.966131267219894
"36",2,2,0
"37",2,3,0
"38",2,4,0
"39",2,5,0
"40",2,6,0
"41",2,7,0
"42",2,8,0
"43",2,9,0
"44",2,10,0.0836075135094139
"45",2,11,0
"46",2,12,0
"47",2,13,0
"48",2,14,0
"49",2,15,0.585252594565897
"50",2,16,0.00928972372326821
"51",2,17,0
"52",2,18,0
"53",2,19,0
"54",2,20,0
"55",2,21,0
"56",2,22,0
"57",2,23,0
"58",2,24,0
"59",2,25,0
"60",2,26,0
"61",2,27,0
"62",2,28,0
"63",2,29,0
"64",2,30,0
"65",2,31,0
"66",2,32,0
"67",3,0,0
"68",3,1,0.0225900975520731
"69",3,2,0
"70",3,3,0
"71",3,4,0
"72",3,5,0
"73",3,6,0
"74",3,7,0
"75",3,8,0
"76",3,9,0
"77",3,10,0.205771882107867
"78",3,11,0.945134172707212
"79",3,12,1.24116898061445
"80",3,13,0.0255746351116768
"81",3,14,0
"82",3,15,4.59366658892646
"83",3,16,0.966093642980269
"84",3,17,0
"85",3,18,0
"86",3,19,0
"87",3,20,0
"88",3,21,0
"89",3,22,0
"90",3,23,0
"91",3,24,0
"92",3,25,0
"93",3,26,0
"94",3,27,0
"95",3,28,0
"96",3,29,0
"97",3,30,0
"98",3,31,0
"99",3,32,0
"100",4,0,0
"101",4,1,0
"102",4,2,0
"103",4,3,0
"104",4,4,0
"105",4,5,0
"106",4,6,0
"107",4,7,0
"108",4,8,0
"109",4,9,0
"110",4,10,2.5475064131638
"111",4,11,2.39004919421857
"112",4,12,0.56512855332855
"113",4,13,0
"114",4,14,0.56512855332855
"115",4,15,0
"116",4,16,0.966093642980269
"117",4,17,0
"118",4,18,0.966093642980269
"119",4,19,0
"120",4,20,0
"121",4,21,0
"122",4,22,0
"123",4,23,0
"124",4,24,0
"125",4,25,0
"126",4,26,0
"127",4,27,0
"128",4,28,0
"129",4,29,0
"130",4,30,0
"131",4,31,0
"132",4,32,0
"133",5,0,0
"134",5,1,0
"135",5,2,0
"136",5,3,0
"137",5,4,0
"138",5,5,0
"139",5,6,0
"140",5,7,0
"141",5,8,0
"142",5,9,0.804854024660991
"143",5,10,2.63917249946976
"144",5,11,0
"145",5,12,0
"146",5,13,0.0374350709144647
"147",5,14,0
"148",5,15,0
"149",5,16,0
"150",5,17,0.131022748200626
"151",5,18,0
"152",5,19,0
"153",5,20,0
"154",5,21,0
"155",5,22,0
"156",5,23,0
"157",5,24,0
"158",5,25,0
"159",5,26,0.112305212743394
"160",5,27,0.280763031858485
"161",5,28,0.617678670088668
"162",5,29,0.561526063716971
"163",5,30,0.31819810277295
"164",5,31,0
"165",5,32,0.0374350709144647
"166",6,0,0
"167",6,1,0.087862556542331
"168",6,2,0.098891004686573
"169",6,3,0.0575374890417506
"170",6,4,0
"171",6,5,0.525642102078908
"172",6,6,0
"173",6,7,0
"174",6,8,0
"175",6,9,0
"176",6,10,0.200649314181407
"177",6,11,0.0181012740013719
"178",6,12,0.350276648828418
"179",6,13,0.256460322931168
"180",6,14,0.0574835492012763
"181",6,15,0.0447240031721878
"182",6,16,0
"183",6,17,0.322421577837476
"184",6,18,0
"185",6,19,0
"186",6,20,0
"187",6,21,0
"188",6,22,0
"189",6,23,0
"190",6,24,0.0192248359386876
"191",6,25,0
"192",6,26,0.0796661687478857
"193",6,27,0.19787509890002
"194",6,28,1.1967841100546
"195",6,29,1.2771063289477
"196",6,30,0.711977775619148
"197",6,31,2.49731583928909
"198",6,32,0
"199",7,0,0
"200",7,1,0
"201",7,2,1.06353547096033
"202",7,3,2.10599631413833
"203",7,4,0
"204",7,5,1.93218728596054
"205",7,6,0
"206",7,7,1.36705873263199
"207",7,8,1.53122219630882
"208",7,9,0
"209",7,10,0
"210",7,11,0
"211",7,12,0
"212",7,13,0
"213",7,14,0
"214",7,15,0
"215",7,16,0
"216",7,17,0
"217",7,18,0
"218",7,19,0
"219",7,20,0
"220",7,21,0
"221",7,22,0
"222",7,23,0
"223",7,24,0
"224",7,25,0
"225",7,26,0
"226",7,27,0
"227",7,28,0
"228",7,29,0
"229",7,30,0
"230",7,31,0
"231",7,32,0
"232",8,0,0
"233",8,1,0.00899215059525807
"234",8,2,0
"235",8,3,0
"236",8,4,0
"237",8,5,0.203620751804481
"238",8,6,0
"239",8,7,2.83201938188307
"240",8,8,0.214851904500132
"241",8,9,0
"242",8,10,0
"243",8,11,0
"244",8,12,0.199450880308979
"245",8,13,0.170880481534005
"246",8,14,1.65801670558485
"247",8,15,2.71216774378922
"248",8,16,0
"249",8,17,0
"250",8,18,0
"251",8,19,0
"252",8,20,0
"253",8,21,0
"254",8,22,0
"255",8,23,0
"256",8,24,0
"257",8,25,0
"258",8,26,0
"259",8,27,0
"260",8,28,0
"261",8,29,0
"262",8,30,0
"263",8,31,0
"264",8,32,0
"265",9,0,0
"266",9,1,1.16048719834841
"267",9,2,0
"268",9,3,0
"269",9,4,0
"270",9,5,0
"271",9,6,0
"272",9,7,0
"273",9,8,1.55355544295029
"274",9,9,0.0374350709144647
"275",9,10,0.524090992802506
"276",9,11,0.598961134631435
"277",9,12,0.935876772861618
"278",9,13,0.112305212743394
"279",9,14,0.617678670088668
"280",9,15,0
"281",9,16,0
"282",9,17,0
"283",9,18,0
"284",9,19,0
"285",9,20,0
"286",9,21,0
"287",9,22,0
"288",9,23,0
"289",9,24,0
"290",9,25,0
"291",9,26,0
"292",9,27,0
"293",9,28,0
"294",9,29,0
"295",9,30,0
"296",9,31,0
"297",9,32,0
"298",10,0,0
"299",10,1,0.112374404059719
"300",10,2,0.0445901182440455
"301",10,3,0
"302",10,4,0
"303",10,5,0.0408691811985038
"304",10,6,0.591610965663387
"305",10,7,0
"306",10,8,0.522532871563127
"307",10,9,0.145651665073225
"308",10,10,1.54493503970633
"309",10,11,3.46535390254551
"310",10,12,0.565445826646462
"311",10,13,0
"312",10,14,0.966636025299684
"313",10,15,0
"314",10,16,0
"315",10,17,0
"316",10,18,0
"317",10,19,0
"318",10,20,0
"319",10,21,0
"320",10,22,0
"321",10,23,0
"322",10,24,0
"323",10,25,0
"324",10,26,0
"325",10,27,0
"326",10,28,0
"327",10,29,0
"328",10,30,0
"329",10,31,0
"330",10,32,0
"331",11,0,0
"332",11,1,4.65889062921803
"333",11,2,0
"334",11,3,0
"335",11,4,0
"336",11,5,0
"337",11,6,0.159733393001761
"338",11,7,1.14475598317929
"339",11,8,0.399333482504402
"340",11,9,0
"341",11,10,0.452577946838322
"342",11,11,0.532444643339203
"343",11,12,0
"344",11,13,0
"345",11,14,0
"346",11,15,0
"347",11,16,0
"348",11,17,0
"349",11,18,0
"350",11,19,0
"351",11,20,0
"352",11,21,0
"353",11,22,0
"354",11,23,0
"355",11,24,0
"356",11,25,0
"357",11,26,0
"358",11,27,0
"359",11,28,0
"360",11,29,0
"361",11,30,0
"362",11,31,0
"363",11,32,0
"364",12,0,0
"365",12,1,5.78726828116336
"366",12,2,0.200328517424886
"367",12,3,0
"368",12,4,0
"369",12,5,0
"370",12,6,0
"371",12,7,0
"372",12,8,0
"373",12,9,0
"374",12,10,0
"375",12,11,0
"376",12,12,0
"377",12,13,0
"378",12,14,0
"379",12,15,0
"380",12,16,0
"381",12,17,0
"382",12,18,0
"383",12,19,0
"384",12,20,0
"385",12,21,0
"386",12,22,0
"387",12,23,0
"388",12,24,0
"389",12,25,0
"390",12,26,0
"391",12,27,0
"392",12,28,0
"393",12,29,0
"394",12,30,0
"395",12,31,0
"396",12,32,0
"397",13,0,0
"398",13,1,3.40558479622305
"399",13,2,0.779055345541222
"400",13,3,0
"401",13,4,0
"402",13,5,0
"403",13,6,0.0890348966332825
"404",13,7,0.289363414058168
"405",13,8,0.155811069108244
"406",13,9,0
"407",13,10,0.0890348966332825
"408",13,11,0.467433207324733
"409",13,12,0.267104689899847
"410",13,13,0
"411",13,14,0
"412",13,15,0
"413",13,16,0.445174483166412
"414",13,17,0
"415",13,18,0
"416",13,19,0
"417",13,20,0
"418",13,21,0
"419",13,22,0
"420",13,23,0
"421",13,24,0
"422",13,25,0
"423",13,26,0
"424",13,27,0
"425",13,28,0
"426",13,29,0
"427",13,30,0
"428",13,31,0
"429",13,32,0
"430",14,0,0
"431",14,1,0.60691035790722
"432",14,2,0.237325948496484
"433",14,3,1.12012460679893
"434",14,4,0
"435",14,5,0
"436",14,6,0
"437",14,7,0
"438",14,8,0
"439",14,9,0
"440",14,10,0.041181241972578
"441",14,11,2.58787984249962
"442",14,12,1.12012460679893
"443",14,13,0
"444",14,14,2.28645339552624
"445",14,15,0
"446",14,16,0
"447",14,17,0
"448",14,18,0
"449",14,19,0
"450",14,20,0
"451",14,21,0
"452",14,22,0
"453",14,23,0
"454",14,24,0
"455",14,25,0
"456",14,26,0
"457",14,27,0
"458",14,28,0
"459",14,29,0
"460",14,30,0
"461",14,31,0
"462",14,32,0
"463",15,0,0
"464",15,1,0
"465",15,2,1.7395794468395
"466",15,3,0
"467",15,4,0
"468",15,5,0
"469",15,6,0
"470",15,7,0
"471",15,8,0
"472",15,9,0
"473",15,10,0.224781466363132
"474",15,11,0.830987884785993
"475",15,12,0.372728676714952
"476",15,13,0.377472098052851
"477",15,14,0.429436339579704
"478",15,15,2.05557033050294
"479",15,16,1.96944375716092
"480",15,17,0
"481",15,18,0
"482",15,19,0
"483",15,20,0
"484",15,21,0
"485",15,22,0
"486",15,23,0
"487",15,24,0
"488",15,25,0
"489",15,26,0
"490",15,27,0
"491",15,28,0
"492",15,29,0
"493",15,30,0
"494",15,31,0
"495",15,32,0
"496",16,0,0
"497",16,1,0
"498",16,2,1.75701099524111
"499",16,3,0
"500",16,4,0
"501",16,5,0
"502",16,6,0
"503",16,7,0
"504",16,8,0.109334962516698
"505",16,9,1.21004464933989
"506",16,10,0
"507",16,11,0
"508",16,12,1.80211489052286
"509",16,13,0.83504110685321
"510",16,14,0
"511",16,15,2.28645339552624
"512",16,16,0
"513",16,17,0
"514",16,18,0
"515",16,19,0
"516",16,20,0
"517",16,21,0
"518",16,22,0
"519",16,23,0
"520",16,24,0
"521",16,25,0
"522",16,26,0
"523",16,27,0
"524",16,28,0
"525",16,29,0
"526",16,30,0
"527",16,31,0
"528",16,32,0
"529",17,0,0
"530",17,1,1.65871245093802
"531",17,2,0
"532",17,3,0
"533",17,4,0
"534",17,5,0
"535",17,6,0
"536",17,7,0
"537",17,8,0
"538",17,9,2.59539712911478
"539",17,10,0.214656905415508
"540",17,11,0.0195142641286826
"541",17,12,0.390285282573651
"542",17,13,0.136599848900778
"543",17,14,0.0780570565147302
"544",17,15,0
"545",17,16,0
"546",17,17,0
"547",17,18,0
"548",17,19,0
"549",17,20,0
"550",17,21,0
"551",17,22,0
"552",17,23,0
"553",17,24,0
"554",17,25,0
"555",17,26,0
"556",17,27,0
"557",17,28,0
"558",17,29,0
"559",17,30,0
"560",17,31,0
"561",17,32,0
"562",18,0,0
"563",18,1,3.92042045471447
"564",18,2,0.997925206654592
"565",18,3,0
"566",18,4,0
"567",18,5,0
"568",18,6,0
"569",18,7,0.617763223167129
"570",18,8,0
"571",18,9,0.831604338878827
"572",18,10,0.0950404958718659
"573",18,11,0
"574",18,12,0
"575",18,13,0
"576",18,14,0
"577",18,15,0
"578",18,16,0
"579",18,17,0
"580",18,18,0
"581",18,19,0
"582",18,20,0
"583",18,21,0
"584",18,22,0
"585",18,23,0
"586",18,24,0
"587",18,25,0
"588",18,26,0
"589",18,27,0
"590",18,28,0
"591",18,29,0
"592",18,30,0
"593",18,31,0
"594",18,32,0
"595",19,0,0
"596",19,1,0
"597",19,2,2.44237133036707
"598",19,3,3.01215953986275
"599",19,4,0
"600",19,5,0
"601",19,6,0
"602",19,7,0
"603",19,8,2.54546912977018
"604",19,9,0
"605",19,10,0
"606",19,11,0
"607",19,12,0
"608",19,13,0
"609",19,14,0
"610",19,15,0
"611",19,16,0
"612",19,17,0
"613",19,18,0
"614",19,19,0
"615",19,20,0
"616",19,21,0
"617",19,22,0
"618",19,23,0
"619",19,24,0
"620",19,25,0
"621",19,26,0
"622",19,27,0
"623",19,28,0
"624",19,29,0
"625",19,30,0
"626",19,31,0
"627",19,32,0
"628",20,0,0
"629",20,1,0
"630",20,2,0.690817732566623
"631",20,3,0
"632",20,4,0
"633",20,5,0
"634",20,6,0.00833761809320055
"635",20,7,0.0424377726170031
"636",20,8,0.0173363100996975
"637",20,9,0
"638",20,10,0
"639",20,11,0
"640",20,12,1.01175761730146
"641",20,13,1.54408372095572
"642",20,14,1.0390003076287
"643",20,15,0
"644",20,16,0
"645",20,17,0
"646",20,18,0
"647",20,19,3.64622892073759
"648",20,20,0
"649",20,21,0
"650",20,22,0
"651",20,23,0
"652",20,24,0
"653",20,25,0
"654",20,26,0
"655",20,27,0
"656",20,28,0
"657",20,29,0
"658",20,30,0
"659",20,31,0
"660",20,32,0
