"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,5.22575100054446
"5",1,4,1.31656517455578
"6",1,5,0
"7",1,6,0
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0.303822732589794
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0.101274244196598
"23",1,22,0.101274244196598
"24",1,23,0
"25",1,24,0
"26",1,25,0
"27",1,26,0
"28",1,27,0
"29",1,28,0
"30",1,29,0
"31",1,30,0
"32",1,31,0
"33",1,32,0
"34",1,33,0
"35",1,34,0
"36",1,35,0
"37",2,0,0
"38",2,1,0.108509140142745
"39",2,2,0.345704284320892
"40",2,3,0
"41",2,4,1.11125209856973
"42",2,5,0
"43",2,6,0
"44",2,7,0
"45",2,8,0
"46",2,9,0
"47",2,10,0
"48",2,11,0
"49",2,12,0.969804221771403
"50",2,13,0.781861897391177
"51",2,14,0
"52",2,15,0
"53",2,16,0
"54",2,17,0
"55",2,18,0
"56",2,19,0
"57",2,20,0
"58",2,21,0
"59",2,22,3.73763565719709
"60",2,23,0
"61",2,24,0
"62",2,25,0.945232700606966
"63",2,26,0
"64",2,27,0
"65",2,28,0
"66",2,29,0
"67",2,30,0
"68",2,31,0
"69",2,32,0
"70",2,33,0
"71",2,34,0
"72",2,35,0
"73",3,0,0
"74",3,1,0
"75",3,2,0.230973142659787
"76",3,3,0.0947382611009516
"77",3,4,0
"78",3,5,0
"79",3,6,0
"80",3,7,0
"81",3,8,0
"82",3,9,0.39558116559961
"83",3,10,0
"84",3,11,0
"85",3,12,1.52463848936004
"86",3,13,4.25591055636219
"87",3,14,0.552925684310463
"88",3,15,0
"89",3,16,0
"90",3,17,0
"91",3,18,0
"92",3,19,0
"93",3,20,0
"94",3,21,0
"95",3,22,0.945232700606966
"96",3,23,0
"97",3,24,0
"98",3,25,0
"99",3,26,0
"100",3,27,0
"101",3,28,0
"102",3,29,0
"103",3,30,0
"104",3,31,0
"105",3,32,0
"106",3,33,0
"107",3,34,0
"108",3,35,0
"109",4,0,0
"110",4,1,0
"111",4,2,0.305669967943341
"112",4,3,0
"113",4,4,0
"114",4,5,0
"115",4,6,0.467495245089816
"116",4,7,0.0719223453984333
"117",4,8,0.0359611726992166
"118",4,9,0.575378763187466
"119",4,10,0.0359611726992166
"120",4,11,0.053941759048825
"121",4,12,3.43429199277519
"122",4,13,0.611339935886683
"123",4,14,0.485475831439425
"124",4,15,0.0179805863496083
"125",4,16,0
"126",4,17,0
"127",4,18,0
"128",4,19,0.0359611726992166
"129",4,20,0
"130",4,21,0.0179805863496083
"131",4,22,0
"132",4,23,0
"133",4,24,0
"134",4,25,0
"135",4,26,0
"136",4,27,0
"137",4,28,0
"138",4,29,0
"139",4,30,0
"140",4,31,0
"141",4,32,0
"142",4,33,0
"143",4,34,0
"144",4,35,0
"145",5,0,0
"146",5,1,0
"147",5,2,0
"148",5,3,0
"149",5,4,0
"150",5,5,0.131906608013463
"151",5,6,1.6708170348372
"152",5,7,0.0659533040067315
"153",5,8,0.0659533040067315
"154",5,9,0.703501909405136
"155",5,10,0.351750954702568
"156",5,11,0.087937738675642
"157",5,12,4.46284023778883
"158",5,13,0.087937738675642
"159",5,14,0.043968869337821
"160",5,15,0
"161",5,16,0
"162",5,17,0
"163",5,18,0
"164",5,19,0.043968869337821
"165",5,20,0
"166",5,21,0
"167",5,22,0
"168",5,23,0
"169",5,24,0
"170",5,25,0
"171",5,26,0
"172",5,27,0
"173",5,28,0
"174",5,29,0
"175",5,30,0
"176",5,31,0
"177",5,32,0
"178",5,33,0
"179",5,34,0
"180",5,35,0
"181",6,0,0
"182",6,1,0
"183",6,2,0
"184",6,3,0
"185",6,4,0
"186",6,5,0.243058186071835
"187",6,6,0.384842127947073
"188",6,7,0
"189",6,8,0
"190",6,9,0.222803337232516
"191",6,10,0
"192",6,11,1.1342715350019
"193",6,12,2.73440459330815
"194",6,13,0
"195",6,14,0
"196",6,15,0.0810193953572785
"197",6,16,2.02548488393196
"198",6,17,0.222803337232516
"199",6,18,0
"200",6,19,0
"201",6,20,0
"202",6,21,0
"203",6,22,0
"204",6,23,0
"205",6,24,0
"206",6,25,0
"207",6,26,0
"208",6,27,0
"209",6,28,0
"210",6,29,0
"211",6,30,0
"212",6,31,0
"213",6,32,0
"214",6,33,0
"215",6,34,0
"216",6,35,0
"217",7,0,0
"218",7,1,1.19846885607676
"219",7,2,0
"220",7,3,0.320520740578669
"221",7,4,0
"222",7,5,0
"223",7,6,0
"224",7,7,0
"225",7,8,0
"226",7,9,0
"227",7,10,0.0418070531189568
"228",7,11,0
"229",7,12,0.668912849903309
"230",7,13,0.069678421864928
"231",7,14,0.0418070531189568
"232",7,15,0.487748953054496
"233",7,16,1.22634022482273
"234",7,17,0.404134846816583
"235",7,18,0
"236",7,19,0
"237",7,20,0
"238",7,21,0
"239",7,22,0
"240",7,23,0
"241",7,24,0
"242",7,25,0
"243",7,26,0
"244",7,27,0
"245",7,28,0
"246",7,29,0
"247",7,30,0
"248",7,31,0
"249",7,32,0
"250",7,33,0
"251",7,34,0
"252",7,35,0
"253",8,0,0
"254",8,1,0.138544589725098
"255",8,2,0
"256",8,3,5.50219942051105
"257",8,4,0.692722948625492
"258",8,5,0
"259",8,6,0
"260",8,7,0
"261",8,8,0
"262",8,9,0
"263",8,10,0.514594190407509
"264",8,11,0
"265",8,12,0
"266",8,13,0.0197920842464426
"267",8,14,0
"268",8,15,0
"269",8,16,0
"270",8,17,0
"271",8,18,0
"272",8,19,0
"273",8,20,0
"274",8,21,0
"275",8,22,0
"276",8,23,0
"277",8,24,0
"278",8,25,0
"279",8,26,0
"280",8,27,0
"281",8,28,0
"282",8,29,0
"283",8,30,0
"284",8,31,0
"285",8,32,0
"286",8,33,0
"287",8,34,0
"288",8,35,0
"289",9,0,0
"290",9,1,0
"291",9,2,1.0125398387229
"292",9,3,3.99114339144224
"293",9,4,1.10585136862093
"294",9,5,0
"295",9,6,0
"296",9,7,0
"297",9,8,0
"298",9,9,0
"299",9,10,0
"300",9,11,0
"301",9,12,0
"302",9,13,1.89046540121393
"303",9,14,0
"304",9,15,0
"305",9,16,0
"306",9,17,0
"307",9,18,0
"308",9,19,0
"309",9,20,0
"310",9,21,0
"311",9,22,0
"312",9,23,0
"313",9,24,0
"314",9,25,0
"315",9,26,0
"316",9,27,0
"317",9,28,0
"318",9,29,0
"319",9,30,0
"320",9,31,0
"321",9,32,0
"322",9,33,0
"323",9,34,0
"324",9,35,0
"325",10,0,0
"326",10,1,1.16509632247736
"327",10,2,1.4563704030967
"328",10,3,3.90307268029916
"329",10,4,0
"330",10,5,0
"331",10,6,0
"332",10,7,0
"333",10,8,0
"334",10,9,0
"335",10,10,0
"336",10,11,0.0194182720412894
"337",10,12,0.0582548161238681
"338",10,13,0
"339",10,14,0
"340",10,15,0
"341",10,16,0.0582548161238681
"342",10,17,0.0194182720412894
"343",10,18,0.0194182720412894
"344",10,19,0
"345",10,20,0
"346",10,21,0
"347",10,22,0
"348",10,23,0
"349",10,24,0
"350",10,25,0
"351",10,26,0
"352",10,27,0
"353",10,28,0
"354",10,29,0
"355",10,30,0
"356",10,31,0
"357",10,32,0
"358",10,33,0
"359",10,34,0
"360",10,35,0
"361",11,0,0
"362",11,1,0
"363",11,2,3.63172795998534
"364",11,3,4.36827204001466
"365",11,4,0
"366",11,5,0
"367",11,6,0
"368",11,7,0
"369",11,8,0
"370",11,9,0
"371",11,10,0
"372",11,11,0
"373",11,12,0
"374",11,13,0
"375",11,14,0
"376",11,15,0
"377",11,16,0
"378",11,17,0
"379",11,18,0
"380",11,19,0
"381",11,20,0
"382",11,21,0
"383",11,22,0
"384",11,23,0
"385",11,24,0
"386",11,25,0
"387",11,26,0
"388",11,27,0
"389",11,28,0
"390",11,29,0
"391",11,30,0
"392",11,31,0
"393",11,32,0
"394",11,33,0
"395",11,34,0
"396",11,35,0
"397",12,0,0
"398",12,1,1.4149653214447
"399",12,2,0.869436522815417
"400",12,3,3.29022056673285
"401",12,4,0.545528798629281
"402",12,5,0
"403",12,6,0
"404",12,7,0
"405",12,8,0
"406",12,9,1.27858312178738
"407",12,10,0
"408",12,11,0.017047774957165
"409",12,12,0.0511433248714951
"410",12,13,0.10228664974299
"411",12,14,0
"412",12,15,0
"413",12,16,0
"414",12,17,0
"415",12,18,0
"416",12,19,0
"417",12,20,0
"418",12,21,0
"419",12,22,0
"420",12,23,0
"421",12,24,0
"422",12,25,0
"423",12,26,0
"424",12,27,0
"425",12,28,0
"426",12,29,0
"427",12,30,0
"428",12,31,0
"429",12,32,0
"430",12,33,0
"431",12,34,0
"432",12,35,0
"433",13,0,0
"434",13,1,0
"435",13,2,1.26487880067374
"436",13,3,6.73512119932626
"437",13,4,0
"438",13,5,0
"439",13,6,0
"440",13,7,0
"441",13,8,0
"442",13,9,0
"443",13,10,0
"444",13,11,0
"445",13,12,0
"446",13,13,0
"447",13,14,0
"448",13,15,0
"449",13,16,0
"450",13,17,0
"451",13,18,0
"452",13,19,0
"453",13,20,0
"454",13,21,0
"455",13,22,0
"456",13,23,0
"457",13,24,0
"458",13,25,0
"459",13,26,0
"460",13,27,0
"461",13,28,0
"462",13,29,0
"463",13,30,0
"464",13,31,0
"465",13,32,0
"466",13,33,0
"467",13,34,0
"468",13,35,0
"469",14,0,0
"470",14,1,0
"471",14,2,0
"472",14,3,1.33053996109375
"473",14,4,0
"474",14,5,0
"475",14,6,0
"476",14,7,0
"477",14,8,0
"478",14,9,0
"479",14,10,0
"480",14,11,0
"481",14,12,0
"482",14,13,0.0245039948046069
"483",14,14,0
"484",14,15,0.49494822755077
"485",14,16,0.782626907387978
"486",14,17,0.0444424103760081
"487",14,18,0.454721983855464
"488",14,19,1.15408474527408
"489",14,20,3.71413176965734
"490",14,21,0
"491",14,22,0
"492",14,23,0
"493",14,24,0
"494",14,25,0
"495",14,26,0
"496",14,27,0
"497",14,28,0
"498",14,29,0
"499",14,30,0
"500",14,31,0
"501",14,32,0
"502",14,33,0
"503",14,34,0
"504",14,35,0
"505",15,0,0
"506",15,1,0.234401556747534
"507",15,2,0.0356382485475985
"508",15,3,2.36060873039653
"509",15,4,0
"510",15,5,0
"511",15,6,0
"512",15,7,0
"513",15,8,0
"514",15,9,0
"515",15,10,0
"516",15,11,0
"517",15,12,0
"518",15,13,0
"519",15,14,0
"520",15,15,0.953456680483726
"521",15,16,1.27127852141842
"522",15,17,2.23561830867734
"523",15,18,0.90899795372885
"524",15,19,0
"525",15,20,0
"526",15,21,0
"527",15,22,0
"528",15,23,0
"529",15,24,0
"530",15,25,0
"531",15,26,0
"532",15,27,0
"533",15,28,0
"534",15,29,0
"535",15,30,0
"536",15,31,0
"537",15,32,0
"538",15,33,0
"539",15,34,0
"540",15,35,0
"541",16,0,0
"542",16,1,0.521281071853152
"543",16,2,1.82448375148603
"544",16,3,0
"545",16,4,0
"546",16,5,0
"547",16,6,0
"548",16,7,0
"549",16,8,0
"550",16,9,0
"551",16,10,0
"552",16,11,0
"553",16,12,0
"554",16,13,0
"555",16,14,0
"556",16,15,1.21632250099069
"557",16,16,0.0620572704587085
"558",16,17,0
"559",16,18,0.409577985027476
"560",16,19,1.10461941416501
"561",16,20,0.0868801786421919
"562",16,21,0
"563",16,22,0
"564",16,23,0
"565",16,24,0
"566",16,25,0
"567",16,26,0
"568",16,27,0
"569",16,28,0
"570",16,29,0
"571",16,30,0
"572",16,31,0
"573",16,32,0
"574",16,33,0
"575",16,34,0
"576",16,35,0
"577",17,0,0
"578",17,1,0.0783136572119174
"579",17,2,3.45885319352635
"580",17,3,0
"581",17,4,0
"582",17,5,0
"583",17,6,0
"584",17,7,0
"585",17,8,0
"586",17,9,0
"587",17,10,0
"588",17,11,0
"589",17,12,0
"590",17,13,0.0783136572119174
"591",17,14,0
"592",17,15,0
"593",17,16,0.665666086301298
"594",17,17,0.626509257695339
"595",17,18,0
"596",17,19,0.352411457453628
"597",17,20,0.20883641923178
"598",17,21,0.0130522762019862
"599",17,22,0
"600",17,23,0.0652613810099312
"601",17,24,0
"602",17,25,0
"603",17,26,0
"604",17,27,0
"605",17,28,0
"606",17,29,0
"607",17,30,0
"608",17,31,0
"609",17,32,0
"610",17,33,0
"611",17,34,0
"612",17,35,0
"613",18,0,0
"614",18,1,1.77827517053785
"615",18,2,0.651062494131344
"616",18,3,0
"617",18,4,0
"618",18,5,0
"619",18,6,0
"620",18,7,0
"621",18,8,0.223499065149566
"622",18,9,0
"623",18,10,0
"624",18,11,0
"625",18,12,0
"626",18,13,0
"627",18,14,0
"628",18,15,0.456715480957808
"629",18,16,0.155477610538828
"630",18,17,0
"631",18,18,0.0388694026347071
"632",18,19,0.087456155928091
"633",18,20,0
"634",18,21,0
"635",18,22,0
"636",18,23,0
"637",18,24,0
"638",18,25,0
"639",18,26,0
"640",18,27,0
"641",18,28,0
"642",18,29,0
"643",18,30,0
"644",18,31,0
"645",18,32,0
"646",18,33,0.30123787041898
"647",18,34,0.0388694026347071
"648",18,35,0
"649",19,0,0
"650",19,1,3.92538634863906
"651",19,2,3.34075433926729
"652",19,3,0
"653",19,4,0
"654",19,5,0
"655",19,6,0
"656",19,7,0
"657",19,8,0
"658",19,9,0
"659",19,10,0
"660",19,11,0
"661",19,12,0
"662",19,13,0
"663",19,14,0
"664",19,15,0
"665",19,16,0
"666",19,17,0
"667",19,18,0
"668",19,19,0
"669",19,20,0
"670",19,21,0
"671",19,22,0
"672",19,23,0
"673",19,24,0
"674",19,25,0
"675",19,26,0
"676",19,27,0
"677",19,28,0
"678",19,29,0
"679",19,30,0
"680",19,31,0
"681",19,32,0
"682",19,33,0
"683",19,34,0.116926401874355
"684",19,35,0
"685",20,0,0
"686",20,1,2.25083204709505
"687",20,2,3.82216762714254
"688",20,3,0
"689",20,4,0
"690",20,5,0
"691",20,6,0
"692",20,7,0
"693",20,8,0
"694",20,9,0
"695",20,10,0
"696",20,11,0
"697",20,12,0
"698",20,13,0
"699",20,14,0
"700",20,15,0
"701",20,16,0
"702",20,17,0
"703",20,18,0
"704",20,19,0
"705",20,20,0
"706",20,21,0
"707",20,22,0
"708",20,23,0
"709",20,24,0
"710",20,25,0
"711",20,26,0
"712",20,27,0
"713",20,28,0
"714",20,29,0
"715",20,30,0
"716",20,31,0
"717",20,32,0
"718",20,33,0
"719",20,34,0.0424685291904727
"720",20,35,0
"721",21,0,0
"722",21,1,3.99795812711182
"723",21,2,1.042945598377
"724",21,3,1.37128032379198
"725",21,4,0
"726",21,5,0
"727",21,6,0
"728",21,7,0
"729",21,8,0
"730",21,9,0
"731",21,10,0
"732",21,11,0
"733",21,12,0
"734",21,13,0
"735",21,14,0
"736",21,15,0
"737",21,16,0
"738",21,17,0
"739",21,18,0.0386276147547036
"740",21,19,0
"741",21,20,0
"742",21,21,0
"743",21,22,0
"744",21,23,0
"745",21,24,0
"746",21,25,0
"747",21,26,0
"748",21,27,0
"749",21,28,0
"750",21,29,0
"751",21,30,0
"752",21,31,0
"753",21,32,0
"754",21,33,0.0772552295094072
"755",21,34,0
"756",21,35,0
"757",22,0,0
"758",22,1,0.28347139793334
"759",22,2,0.894025178097458
"760",22,3,0.218054921487185
"761",22,4,0
"762",22,5,0
"763",22,6,0
"764",22,7,0
"765",22,8,0
"766",22,9,0
"767",22,10,0
"768",22,11,0
"769",22,12,0
"770",22,13,0
"771",22,14,0
"772",22,15,0
"773",22,16,0
"774",22,17,0
"775",22,18,0.043610984297437
"776",22,19,0
"777",22,20,0
"778",22,21,0.152638445041029
"779",22,22,0.0218054921487185
"780",22,23,0.0218054921487185
"781",22,24,0
"782",22,25,0
"783",22,26,0.305276890082059
"784",22,27,0.588748288015399
"785",22,28,2.26777118346672
"786",22,29,0.959441654543614
"787",22,30,0.610553780164118
"788",22,31,0.174443937189748
"789",22,32,0.109027460743592
"790",22,33,0.043610984297437
"791",22,34,0.501526319420525
"792",22,35,0.261665905784622
"793",23,0,0
"794",23,1,0
"795",23,2,0
"796",23,3,0.196298912922243
"797",23,4,0
"798",23,5,2.5799285698352
"799",23,6,0
"800",23,7,0
"801",23,8,0
"802",23,9,0
"803",23,10,0
"804",23,11,0
"805",23,12,0
"806",23,13,0
"807",23,14,0.0420640527690522
"808",23,15,0.0420640527690522
"809",23,16,0.0280427018460348
"810",23,17,0.0140213509230174
"811",23,18,0.0280427018460348
"812",23,19,0.238362965691296
"813",23,20,0
"814",23,21,0
"815",23,22,0
"816",23,23,0
"817",23,24,0.0280427018460348
"818",23,25,0
"819",23,26,0
"820",23,27,0
"821",23,28,0.112170807384139
"822",23,29,0.0140213509230174
"823",23,30,0.252384316614313
"824",23,31,0.0280427018460348
"825",23,32,0.0280427018460348
"826",23,33,0.476725931382591
"827",23,34,0.252384316614313
"828",23,35,0.0140213509230174
"829",24,0,0
"830",24,1,0
"831",24,2,0
"832",24,3,0
"833",24,4,0
"834",24,5,2.56454284563257
"835",24,6,0
"836",24,7,0
"837",24,8,0
"838",24,9,0.135658628493247
"839",24,10,0.150594758747755
"840",24,11,0.243251238709972
"841",24,12,0
"842",24,13,0
"843",24,14,0
"844",24,15,0
"845",24,16,0
"846",24,17,0.119121369880964
"847",24,18,0.224936154587829
"848",24,19,0
"849",24,20,0
"850",24,21,0
"851",24,22,0
"852",24,23,0
"853",24,24,0
"854",24,25,0
"855",24,26,0
"856",24,27,0
"857",24,28,0.0497884729889334
"858",24,29,1.84809303478837
"859",24,30,0.211037231962131
"860",24,31,0.249604067370574
"861",24,32,0.699336686518078
"862",24,33,0
"863",24,34,0
"864",24,35,1.50403551031958
"865",25,0,0
"866",25,1,0
"867",25,2,0
"868",25,3,1.68977727617703
"869",25,4,0.412770021661565
"870",25,5,0.0128990631769239
"871",25,6,0
"872",25,7,0
"873",25,8,0
"874",25,9,0
"875",25,10,0
"876",25,11,0.0644953158846196
"877",25,12,0.283779389892326
"878",25,13,0.116091568592315
"879",25,14,0.180586884476935
"880",25,15,0.116091568592315
"881",25,16,0
"882",25,17,0
"883",25,18,0
"884",25,19,0
"885",25,20,0
"886",25,21,0
"887",25,22,0
"888",25,23,0
"889",25,24,0
"890",25,25,0
"891",25,26,0
"892",25,27,0
"893",25,28,0.270880326715402
"894",25,29,0.103192505415391
"895",25,30,0.128990631769239
"896",25,31,0.29667845306925
"897",25,32,0.128990631769239
"898",25,33,0
"899",25,34,0.0128990631769239
"900",25,35,0.0644953158846196
"901",26,0,0
"902",26,1,0
"903",26,2,0
"904",26,3,1.17875307883355
"905",26,4,0.620396357280814
"906",26,5,0.28951830006438
"907",26,6,0
"908",26,7,0
"909",26,8,0
"910",26,9,0
"911",26,10,2.39886591481915
"912",26,11,0
"913",26,12,0
"914",26,13,0.537676842976706
"915",26,14,0
"916",26,15,0.28951830006438
"917",26,16,0.0206798785760271
"918",26,17,0.186118907184244
"919",26,18,0.0413597571520543
"920",26,19,0
"921",26,20,0
"922",26,21,0
"923",26,22,0
"924",26,23,0
"925",26,24,0
"926",26,25,0
"927",26,26,0
"928",26,27,0
"929",26,28,0
"930",26,29,0.165439028608217
"931",26,30,0.827195143041086
"932",26,31,0
"933",26,32,0.0620396357280814
"934",26,33,0.14475915003219
"935",26,34,0.268838421488353
"936",26,35,0
"937",27,0,0
"938",27,1,0.0650107713771596
"939",27,2,0.37046667888057
"940",27,3,0
"941",27,4,0
"942",27,5,0
"943",27,6,0
"944",27,7,0
"945",27,8,0
"946",27,9,0
"947",27,10,0.43256867920019
"948",27,11,0.201098661129477
"949",27,12,0.0351053111376736
"950",27,13,0.966836853426122
"951",27,14,0
"952",27,15,0.152271467003554
"953",27,16,0.0408696654211069
"954",27,17,1.50403551031958
"955",27,18,0.200704865033066
"956",27,19,0
"957",27,20,0
"958",27,21,0
"959",27,22,0
"960",27,23,0
"961",27,24,0
"962",27,25,0
"963",27,26,0
"964",27,27,0
"965",27,28,0
"966",27,29,0
"967",27,30,0.41807728701249
"968",27,31,0
"969",27,32,1.71507274228171
"970",27,33,0.948940753888652
"971",27,34,0.948940753888652
"972",27,35,0
"973",28,0,0
"974",28,1,0
"975",28,2,0.709577404255668
"976",28,3,0
"977",28,4,0
"978",28,5,0
"979",28,6,0
"980",28,7,0
"981",28,8,0
"982",28,9,0
"983",28,10,0.295411807070066
"984",28,11,0.0333761512778941
"985",28,12,0.0428986343178
"986",28,13,2.40886325105026
"987",28,14,3.56140178400303
"988",28,15,0
"989",28,16,0.948470968025285
"990",28,17,0
"991",28,18,0
"992",28,19,0
"993",28,20,0
"994",28,21,0
"995",28,22,0
"996",28,23,0
"997",28,24,0
"998",28,25,0
"999",28,26,0
"1000",28,27,0
"1001",28,28,0
"1002",28,29,0
"1003",28,30,0
"1004",28,31,0
"1005",28,32,0
"1006",28,33,0
"1007",28,34,0
"1008",28,35,0
"1009",29,0,0
"1010",29,1,3.41002087921894
"1011",29,2,0
"1012",29,3,0
"1013",29,4,0
"1014",29,5,0
"1015",29,6,0
