"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0.976471851041022
"3",1,2,5.45050019787056
"4",1,3,1.57302795108842
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",1,24,0
"26",1,25,0
"27",1,26,0
"28",1,27,0
"29",1,28,0
"30",1,29,0
"31",2,0,0
"32",2,1,0
"33",2,2,1.89655963046139
"34",2,3,1.74419649282862
"35",2,4,1.57302795108842
"36",2,5,2.78621592562157
"37",2,6,0
"38",2,7,0
"39",2,8,0
"40",2,9,0
"41",2,10,0
"42",2,11,0
"43",2,12,0
"44",2,13,0
"45",2,14,0
"46",2,15,0
"47",2,16,0
"48",2,17,0
"49",2,18,0
"50",2,19,0
"51",2,20,0
"52",2,21,0
"53",2,22,0
"54",2,23,0
"55",2,24,0
"56",2,25,0
"57",2,26,0
"58",2,27,0
"59",2,28,0
"60",2,29,0
"61",3,0,0
"62",3,1,0
"63",3,2,0.021612965014243
"64",3,3,2.0923073338538
"65",3,4,0.53436568688074
"66",3,5,0.434822120675292
"67",3,6,1.61997746034098
"68",3,7,0
"69",3,8,0.150858531058102
"70",3,9,0
"71",3,10,0.168645489553146
"72",3,11,0
"73",3,12,2.9774104126237
"74",3,13,0
"75",3,14,0
"76",3,15,0
"77",3,16,0
"78",3,17,0
"79",3,18,0
"80",3,19,0
"81",3,20,0
"82",3,21,0
"83",3,22,0
"84",3,23,0
"85",3,24,0
"86",3,25,0
"87",3,26,0
"88",3,27,0
"89",3,28,0
"90",3,29,0
"91",4,0,0
"92",4,1,0.0435571760780331
"93",4,2,3.34755423253454
"94",4,3,0.0584502276753058
"95",4,4,4.55043836371212
"96",4,5,0
"97",4,6,0
"98",4,7,0
"99",4,8,0
"100",4,9,0
"101",4,10,0
"102",4,11,0
"103",4,12,0
"104",4,13,0
"105",4,14,0
"106",4,15,0
"107",4,16,0
"108",4,17,0
"109",4,18,0
"110",4,19,0
"111",4,20,0
"112",4,21,0
