"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0.412888855706961
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,0.0344074046422467
"12",1,11,1.65155542282784
"13",1,12,1.30748137640538
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0.172037023211234
"19",1,18,0.0516111069633701
"20",1,19,0.361277748743591
"21",1,20,0.20644442785348
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",1,24,0
"26",1,25,0
"27",1,26,0
"28",1,27,0
"29",2,0,0
"30",2,1,0
"31",2,2,0.445877665818762
"32",2,3,0.261376562721343
"33",2,4,0
"34",2,5,0
"35",2,6,0
"36",2,7,0
"37",2,8,0
"38",2,9,0.246001470796558
"39",2,10,0.0153750919247849
"40",2,11,0.0307501838495698
"41",2,12,1.30688281360671
"42",2,13,0
"43",2,14,0
"44",2,15,0
"45",2,16,0
"46",2,17,0.184501103097419
"47",2,18,0
"48",2,19,0.123000735398279
"49",2,20,0.0153750919247849
"50",2,21,0.0153750919247849
"51",2,22,0.738004412389674
"52",2,23,0.169126011172634
"53",2,24,0
"54",2,25,0
"55",2,26,0
"56",2,27,0
"57",3,0,0
"58",3,1,0
"59",3,2,3.96201862440039
"60",3,3,4.03798137559961
"61",3,4,0
"62",3,5,0
"63",3,6,0
"64",3,7,0
"65",3,8,0
"66",3,9,0
"67",3,10,0
"68",3,11,0
"69",3,12,0
"70",3,13,0
"71",3,14,0
"72",3,15,0
"73",3,16,0
"74",3,17,0
"75",3,18,0
"76",3,19,0
"77",3,20,0
"78",3,21,0
"79",3,22,0
"80",3,23,0
"81",3,24,0
"82",3,25,0
"83",3,26,0
"84",3,27,0
"85",4,0,0
"86",4,1,1.45740052102084
"87",4,2,2.17522465824006
"88",4,3,1.43564827443844
"89",4,4,0.630815150889619
"90",4,5,0
"91",4,6,0
"92",4,7,0
"93",4,8,0
"94",4,9,0
"95",4,10,0
"96",4,11,0
"97",4,12,0
"98",4,13,0
"99",4,14,0
"100",4,15,0
"101",4,16,0
"102",4,17,0
"103",4,18,0
"104",4,19,0
"105",4,20,0
"106",4,21,0
"107",4,22,0
"108",4,23,0
"109",4,24,0
"110",4,25,0
"111",4,26,0
"112",4,27,0
"113",5,0,0
"114",5,1,0.102423546895868
"115",5,2,0.700368890351373
"116",5,3,0.0654318952768315
"117",5,4,0
"118",5,5,0.432508839137565
"119",5,6,4.40544722268573
"120",5,7,0
"121",5,8,0
"122",5,9,0
"123",5,10,0
"124",5,11,0
"125",5,12,0
"126",5,13,0
"127",5,14,2.29381960565263
"128",5,15,0
"129",5,16,0
"130",5,17,0
"131",5,18,0
"132",5,19,0
"133",5,20,0
"134",5,21,0
"135",5,22,0
"136",5,23,0
"137",5,24,0
"138",5,25,0
"139",5,26,0
"140",5,27,0
"141",6,0,0
"142",6,1,2.77517772810715
"143",6,2,5.22482227189285
"144",6,3,0
"145",6,4,0
"146",6,5,0
"147",6,6,0
"148",6,7,0
"149",6,8,0
"150",6,9,0
"151",6,10,0
"152",6,11,0
"153",6,12,0
"154",6,13,0
"155",6,14,0
"156",6,15,0
"157",6,16,0
"158",6,17,0
"159",6,18,0
"160",6,19,0
"161",6,20,0
"162",6,21,0
"163",6,22,0
"164",6,23,0
"165",6,24,0
"166",6,25,0
"167",6,26,0
"168",6,27,0
"169",7,0,0
"170",7,1,2.43659611669302
"171",7,2,0.10686825073215
"172",7,3,0
"173",7,4,0
"174",7,5,0.44884665307503
"175",7,6,0
"176",7,7,0
"177",7,8,0
"178",7,9,0
"179",7,10,0
"180",7,11,0.19236285131787
"181",7,12,0.76945140527148
"182",7,13,1.04730885717507
"183",7,14,0
"184",7,15,0
"185",7,16,0.14961555102501
"186",7,17,0
"187",7,18,0.04274730029286
"188",7,19,0.23511015161073
"189",7,20,0.06412095043929
"190",7,21,0.04274730029286
"191",7,22,0
"192",7,23,0.04274730029286
"193",7,24,0
"194",7,25,0
"195",7,26,0
"196",7,27,0
"197",8,0,0
"198",8,1,0.776243515182294
"199",8,2,0
"200",8,3,1.43306495110577
"201",8,4,0
"202",8,5,0.806099034996997
"203",8,6,0
"204",8,7,0
"205",8,8,0
"206",8,9,0
"207",8,10,0
"208",8,11,0.16420535898087
"209",8,12,0.0149277599073518
"210",8,13,0.16420535898087
"211",8,14,0
"212",8,15,0
"213",8,16,0
"214",8,17,0
"215",8,18,0
"216",8,19,0
"217",8,20,0
"218",8,21,0
"219",8,22,0.0298555198147036
"220",8,23,0
"221",8,24,0
"222",8,25,0
"223",8,26,0
"224",8,27,0
"225",9,0,0
"226",9,1,0
"227",9,2,0.036884172243806
"228",9,3,1.11627969121265
"229",9,4,0
"230",9,5,0
"231",9,6,0.0966628162454728
"232",9,7,0
"233",9,8,1.60378386442973
"234",9,9,0.163061093934469
"235",9,10,0
"236",9,11,0
"237",9,12,0
"238",9,13,0
"239",9,14,0
"240",9,15,0
"241",9,16,0.453869892270751
"242",9,17,0
"243",9,18,0
"244",9,19,0.873815043969739
"245",9,20,0.238090535611398
"246",9,21,0
"247",9,22,0
"248",9,23,0.64418287297405
"249",9,24,0.797581351900445
"250",9,25,1.97578866520749
"251",9,26,0
"252",9,27,0
"253",10,0,0
"254",10,1,0
"255",10,2,1.33580200763579
"256",10,3,4.36888325158508
"257",10,4,0
"258",10,5,2.29531474077913
"259",10,6,0
"260",10,7,0
"261",10,8,0
"262",10,9,0
"263",10,10,0
"264",10,11,0
"265",10,12,0
"266",10,13,0
"267",10,14,0
"268",10,15,0
"269",10,16,0
"270",10,17,0
"271",10,18,0
"272",10,19,0
"273",10,20,0
"274",10,21,0
"275",10,22,0
"276",10,23,0
"277",10,24,0
"278",10,25,0
"279",10,26,0
"280",10,27,0
"281",11,0,0
"282",11,1,0
"283",11,2,0.772778575486678
"284",11,3,0
"285",11,4,0
"286",11,5,0
"287",11,6,0
"288",11,7,0.489426431141563
"289",11,8,0.412148573592895
"290",11,9,0.154555715097336
"291",11,10,0.0772778575486678
"292",11,11,0
"293",11,12,0.154555715097336
"294",11,13,3.42598501799094
"295",11,14,0.515185716991119
"296",11,15,0
"297",11,16,0
"298",11,17,0
"299",11,18,0.0772778575486678
"300",11,19,0.0772778575486678
"301",11,20,0.0257592858495559
"302",11,21,0.0515185716991119
"303",11,22,0.540945002840675
"304",11,23,0.180315000946892
"305",11,24,0.206074286796448
"306",11,25,0.0515185716991119
"307",11,26,0.12879642924778
"308",11,27,0.0257592858495559
"309",12,0,0
"310",12,1,0
"311",12,2,0
"312",12,3,0.803074911393324
"313",12,4,0
"314",12,5,0
"315",12,6,0
"316",12,7,0
"317",12,8,0
"318",12,9,0
"319",12,10,0
"320",12,11,0
"321",12,12,0.259818353686075
"322",12,13,2.45646443485017
"323",12,14,0
"324",12,15,0
"325",12,16,0.448777156366858
"326",12,17,0.401537455696662
"327",12,18,0
"328",12,19,1.15737266641979
"329",12,20,0.519636707372151
"330",12,21,0.566876408042346
"331",12,22,0
"332",12,23,0
"333",12,24,0.0472397006701955
"334",12,25,0
"335",12,26,0
"336",12,27,0.0236198503350978
"337",13,0,0
"338",13,1,0
"339",13,2,0.577339249008615
"340",13,3,0.786407430141361
"341",13,4,0
"342",13,5,0
"343",13,6,0
"344",13,7,0.315039531749124
"345",13,8,0.798123883238132
"346",13,9,0.315039531749123
"347",13,10,0
"348",13,11,2.46076675971499
"349",13,12,0.47503974570372
"350",13,13,0
"351",13,14,0
"352",13,15,0
"353",13,16,0
"354",13,17,0.315039531749124
"355",13,18,0
"356",13,19,0
"357",13,20,0
"358",13,21,0.978602168472904
"359",13,22,0
"360",13,23,0.978602168472904
"361",13,24,0
"362",13,25,0
"363",13,26,0
"364",13,27,0
"365",14,0,0
"366",14,1,0
"367",14,2,0
"368",14,3,0
"369",14,4,0
"370",14,5,0.304090385566754
"371",14,6,0.180753736312703
"372",14,7,0.664940698810214
"373",14,8,0.872399899737444
"374",14,9,0.999213111099981
"375",14,10,2.04279566305419
"376",14,11,0.18852289102006
"377",14,12,0
"378",14,13,0
"379",14,14,0
"380",14,15,0
"381",14,16,0
"382",14,17,0
"383",14,18,0
"384",14,19,0
"385",14,20,0
"386",14,21,2.74728361439865
"387",14,22,0
"388",14,23,0
"389",14,24,0
"390",14,25,0
"391",14,26,0
"392",14,27,0
"393",15,0,0
"394",15,1,0
"395",15,2,0.0246397963469142
"396",15,3,0.168776772000705
"397",15,4,0.0866421817545619
"398",15,5,0.572445571681056
"399",15,6,0
"400",15,7,0.56353813206801
"401",15,8,0.585827894582266
"402",15,9,0
"403",15,10,0.0203143719936033
"404",15,11,1.37795477862385
"405",15,12,0.113006255376367
"406",15,13,0.760968462701116
"407",15,14,3.72588578287156
"408",15,15,0
"409",15,16,0
"410",15,17,0
"411",15,18,0
"412",15,19,0
"413",15,20,0
"414",15,21,0
"415",15,22,0
"416",15,23,0
"417",15,24,0
"418",15,25,0
"419",15,26,0
"420",15,27,0
"421",16,0,0
"422",16,1,0
"423",16,2,0
"424",16,3,1.38965244259231
"425",16,4,6.61034755740769
"426",16,5,0
"427",16,6,0
"428",16,7,0
"429",16,8,0
"430",16,9,0
"431",16,10,0
"432",16,11,0
"433",16,12,0
"434",16,13,0
"435",16,14,0
"436",16,15,0
"437",16,16,0
"438",16,17,0
"439",16,18,0
"440",16,19,0
"441",16,20,0
"442",16,21,0
"443",16,22,0
"444",16,23,0
"445",16,24,0
"446",16,25,0
"447",16,26,0
"448",16,27,0
"449",17,0,0
"450",17,1,0
"451",17,2,0
"452",17,3,3.8429689238284
"453",17,4,0
"454",17,5,0
"455",17,6,0
"456",17,7,0
"457",17,8,0
"458",17,9,0
"459",17,10,0
"460",17,11,0
"461",17,12,4.1570310761716
"462",17,13,0
"463",17,14,0
"464",17,15,0
"465",17,16,0
"466",17,17,0
"467",17,18,0
"468",17,19,0
"469",17,20,0
"470",17,21,0
"471",17,22,0
"472",17,23,0
"473",17,24,0
"474",17,25,0
"475",17,26,0
"476",17,27,0
"477",18,0,0
"478",18,1,0
"479",18,2,0.386389287743339
"480",18,3,4.45635645197318
"481",18,4,0.0257592858495559
"482",18,5,1.03037143398224
"483",18,6,0
"484",18,7,0
"485",18,8,0
"486",18,9,0.0772778575486678
"487",18,10,0
"488",18,11,0.489426431141563
"489",18,12,0.669741432088455
"490",18,13,0.231833572646004
"491",18,14,0
"492",18,15,0
"493",18,16,0
"494",18,17,0
"495",18,18,0
"496",18,19,0
"497",18,20,0
"498",18,21,0
"499",18,22,0
"500",18,23,0
"501",18,24,0
"502",18,25,0
"503",18,26,0
"504",18,27,0
"505",19,0,0
"506",19,1,0
"507",19,2,0
"508",19,3,0
"509",19,4,0
"510",19,5,0.206074286796448
"511",19,6,0.180315000946892
"512",19,7,0
"513",19,8,0
"514",19,9,0
"515",19,10,0.82429714718579
"516",19,11,0.360630001893783
"517",19,12,0.69550071793801
"518",19,13,2.65320644250426
"519",19,14,1.2879642924778
"520",19,15,0
"521",19,16,0
"522",19,17,0
"523",19,18,0.0772778575486678
"524",19,19,0.257592858495559
"525",19,20,0.82429714718579
"526",19,21,0
"527",19,22,0
"528",19,23,0
"529",19,24,0
"530",19,25,0
"531",19,26,0
"532",19,27,0
"533",20,0,0
"534",20,1,0
"535",20,2,0
"536",20,3,0.144488169365382
"537",20,4,0.0163950232900503
"538",20,5,0.00550756506860023
"539",20,6,1.43045737985019
"540",20,7,1.08974714574194
"541",20,8,5.31340471668384
"542",20,9,0
"543",20,10,0
"544",20,11,0
"545",20,12,0
"546",20,13,0
"547",20,14,0
"548",20,15,0
"549",20,16,0
"550",20,17,0
"551",20,18,0
"552",20,19,0
"553",20,20,0
"554",20,21,0
"555",20,22,0
"556",20,23,0
"557",20,24,0
"558",20,25,0
"559",20,26,0
"560",20,27,0
"561",21,0,0
"562",21,1,0
"563",21,2,0
"564",21,3,0.431705897610121
"565",21,4,1.94267653924554
"566",21,5,1.9186928782672
"567",21,6,0.0719509829350202
"568",21,7,1.05528108304696
"569",21,8,0.479673219566801
"570",21,9,0.0959346439133602
"571",21,10,0.287803931740081
"572",21,11,0
"573",21,12,0
"574",21,13,0
"575",21,14,0
"576",21,15,0
"577",21,16,0
"578",21,17,0
"579",21,18,0
"580",21,19,0
"581",21,20,0.239836609783401
"582",21,21,0.14390196587004
"583",21,22,0
"584",21,23,0
"585",21,24,0
"586",21,25,0
"587",21,26,0
"588",21,27,0
"589",22,0,0
"590",22,1,0
"591",22,2,0.0509792802738734
"592",22,3,0.0691391346747768
"593",22,4,0.230300888407074
"594",22,5,1.62916060366925
"595",22,6,1.1542158519344
"596",22,7,0
"597",22,8,0.0464655123571234
"598",22,9,0
"599",22,10,0.149303348440756
"600",22,11,0
"601",22,12,0
"602",22,13,0
"603",22,14,0
"604",22,15,0
"605",22,16,0
"606",22,17,0
"607",22,18,0.109059272056221
"608",22,19,4.56137610818653
"609",22,20,0
"610",22,21,0
"611",22,22,0
"612",22,23,0
"613",22,24,0
"614",22,25,0
"615",22,26,0
"616",22,27,0
"617",23,0,0
"618",23,1,0
"619",23,2,0.363301857195771
"620",23,3,3.79919829529672
"621",23,4,0
"622",23,5,0.316210291741281
"623",23,6,0.982238881175991
"624",23,7,2.53905067459024
"625",23,8,0
"626",23,9,0
"627",23,10,0
"628",23,11,0
"629",23,12,0
"630",23,13,0
"631",23,14,0
"632",23,15,0
"633",23,16,0
"634",23,17,0
"635",23,18,0
"636",23,19,0
"637",23,20,0
"638",23,21,0
"639",23,22,0
"640",23,23,0
"641",23,24,0
"642",23,25,0
"643",23,26,0
"644",23,27,0
"645",24,0,0
"646",24,1,0
"647",24,2,0
"648",24,3,0
"649",24,4,0
"650",24,5,0.238394168884027
"651",24,6,1.37338833698178
"652",24,7,0.935691156590382
"653",24,8,0
"654",24,9,0.683808070444672
"655",24,10,3.78709271692057
"656",24,11,0
"657",24,12,0.98162555017857
"658",24,13,0
"659",24,14,0
"660",24,15,0
"661",24,16,0
"662",24,17,0
"663",24,18,0
"664",24,19,0
"665",24,20,0
"666",24,21,0
"667",24,22,0
"668",24,23,0
"669",24,24,0
"670",24,25,0
"671",24,26,0
"672",24,27,0
"673",25,0,0
"674",25,1,0
"675",25,2,0
"676",25,3,0
"677",25,4,0
"678",25,5,4.60201175740485
"679",25,6,2.41574936141915
"680",25,7,0.982238881175991
"681",25,8,0
"682",25,9,0
"683",25,10,0
"684",25,11,0
"685",25,12,0
"686",25,13,0
"687",25,14,0
"688",25,15,0
"689",25,16,0
"690",25,17,0
"691",25,18,0
"692",25,19,0
"693",25,20,0
"694",25,21,0
"695",25,22,0
"696",25,23,0
"697",25,24,0
"698",25,25,0
"699",25,26,0
"700",25,27,0
"701",26,0,0
"702",26,1,0
"703",26,2,0
"704",26,3,0.0406356492183283
"705",26,4,0.0365379288806752
"706",26,5,0.57987038069861
"707",26,6,0.252008030642699
"708",26,7,0.391903057096962
"709",26,8,0
"710",26,9,0.719702263072572
"711",26,10,0.616876685443024
"712",26,11,1.8411764491809
"713",26,12,0.574572912238258
"714",26,13,2.94671664352797
"715",26,14,0
"716",26,15,0
"717",26,16,0
"718",26,17,0
"719",26,18,0
"720",26,19,0
"721",26,20,0
"722",26,21,0
"723",26,22,0
"724",26,23,0
"725",26,24,0
"726",26,25,0
"727",26,26,0
"728",26,27,0
"729",27,0,0
"730",27,1,0
"731",27,2,0
"732",27,3,0
"733",27,4,1.64325460801785
"734",27,5,2.52164176158046
"735",27,6,0
"736",27,7,0
"737",27,8,0
"738",27,9,2.27926394361889
"739",27,10,0
"740",27,11,1.55583968678281
"741",27,12,0
"742",27,13,0
"743",27,14,0
"744",27,15,0
"745",27,16,0
"746",27,17,0
"747",27,18,0
"748",27,19,0
"749",27,20,0
"750",27,21,0
"751",27,22,0
"752",27,23,0
"753",27,24,0
"754",27,25,0
"755",27,26,0
"756",27,27,0
"757",28,0,0
"758",28,1,0
"759",28,2,0
"760",28,3,0.287706806284833
"761",28,4,0
"762",28,5,0.232829115951641
"763",28,6,0.152520310464417
"764",28,7,0.18005147216522
"765",28,8,0.134147362655166
"766",28,9,0.820926383210495
"767",28,10,0.111932199878249
"768",28,11,2.81695941412073
"769",28,12,0.723876260679014
"770",28,13,2.53905067459024
"771",28,14,0
"772",28,15,0
"773",28,16,0
"774",28,17,0
"775",28,18,0
"776",28,19,0
"777",28,20,0
"778",28,21,0
"779",28,22,0
"780",28,23,0
"781",28,24,0
"782",28,25,0
"783",28,26,0
"784",28,27,0
"785",29,0,0
"786",29,1,0
"787",29,2,0
"788",29,3,0
"789",29,4,0
"790",29,5,1.97957990702497
"791",29,6,1.64019296920389
"792",29,7,0.858937568004906
"793",29,8,0.763796398060459
"794",29,9,0.476805103612509
"795",29,10,2.28068805409326
"796",29,11,0
"797",29,12,0
"798",29,13,0
"799",29,14,0
"800",29,15,0
"801",29,16,0
"802",29,17,0
"803",29,18,0
"804",29,19,0
"805",29,20,0
"806",29,21,0
"807",29,22,0
"808",29,23,0
"809",29,24,0
"810",29,25,0
"811",29,26,0
"812",29,27,0
"813",30,0,0
"814",30,1,0
"815",30,2,0.997341025848983
"816",30,3,0.462704776699759
"817",30,4,0.179237037424863
"818",30,5,0
"819",30,6,3.09779022475714
"820",30,7,0
"821",30,8,1.29844917291727
"822",30,9,1.96447776235198
"823",30,10,0
"824",30,11,0
"825",30,12,0
"826",30,13,0
"827",30,14,0
"828",30,15,0
"829",30,16,0
"830",30,17,0
"831",30,18,0
"832",30,19,0
"833",30,20,0
"834",30,21,0
"835",30,22,0
"836",30,23,0
"837",30,24,0
"838",30,25,0
"839",30,26,0
"840",30,27,0
"841",31,0,0
"842",31,1,0.0847365708541733
"843",31,2,0.100599185081446
"844",31,3,0.177728012384227
"845",31,4,2.55258983699048
"846",31,5,0.426839673542392
"847",31,6,0.541989713232697
"848",31,7,3.14668762113949
"849",31,8,0
"850",31,9,0
"851",31,10,0
"852",31,11,0.968829386775089
"853",31,12,0
"854",31,13,0
"855",31,14,0
"856",31,15,0
"857",31,16,0
"858",31,17,0
"859",31,18,0
"860",31,19,0
"861",31,20,0
"862",31,21,0
"863",31,22,0
"864",31,23,0
"865",31,24,0
"866",31,25,0
"867",31,26,0
"868",31,27,0
"869",32,0,0
"870",32,1,1.0152697167941
"871",32,2,0.118188004926101
"872",32,3,0.117885761363074
"873",32,4,0.490569342916729
"874",32,5,0
"875",32,6,2.67299243107518
"876",32,7,0
"877",32,8,0
"878",32,9,0
"879",32,10,0
"880",32,11,0
"881",32,12,0
"882",32,13,0
"883",32,14,0
"884",32,15,0
"885",32,16,0.11187772173945
"886",32,17,0
"887",32,18,0.121618007510641
"888",32,19,0
"889",32,20,0
"890",32,21,0
"891",32,22,3.35159901367473
"892",32,23,0
"893",32,24,0
"894",32,25,0
"895",32,26,0
"896",32,27,0
"897",33,0,0
"898",33,1,0
"899",33,2,0
"900",33,3,0.339572032958878
"901",33,4,0.867744964628618
"902",33,5,0.301100099162417
"903",33,6,6.49158290325009
"904",33,7,0
"905",33,8,0
"906",33,9,0
"907",33,10,0
"908",33,11,0
"909",33,12,0
"910",33,13,0
"911",33,14,0
"912",33,15,0
"913",33,16,0
"914",33,17,0
"915",33,18,0
"916",33,19,0
"917",33,20,0
"918",33,21,0
"919",33,22,0
"920",33,23,0
"921",33,24,0
"922",33,25,0
"923",33,26,0
"924",33,27,0
"925",34,0,0
"926",34,1,0
"927",34,2,0
"928",34,3,2.23139963986938
"929",34,4,0.721528850474895
"930",34,5,5.04707150965572
"931",34,6,0
"932",34,7,0
"933",34,8,0
"934",34,9,0
"935",34,10,0
"936",34,11,0
"937",34,12,0
"938",34,13,0
"939",34,14,0
"940",34,15,0
"941",34,16,0
"942",34,17,0
"943",34,18,0
"944",34,19,0
"945",34,20,0
"946",34,21,0
"947",34,22,0
"948",34,23,0
"949",34,24,0
"950",34,25,0
"951",34,26,0
"952",34,27,0
"953",35,0,0
"954",35,1,0
"955",35,2,0
"956",35,3,0.211659045269317
"957",35,4,0
"958",35,5,0.026828565543089
"959",35,6,0
"960",35,7,0.142457749177033
"961",35,8,3.11995029539941
"962",35,9,0
"963",35,10,0.178675944161333
"964",35,11,2.07087622814424
"965",35,12,2.24955217230557
"966",35,13,0
"967",35,14,0
"968",35,15,0
"969",35,16,0
"970",35,17,0
"971",35,18,0
"972",35,19,0
"973",35,20,0
"974",35,21,0
"975",35,22,0
"976",35,23,0
"977",35,24,0
"978",35,25,0
"979",35,26,0
"980",35,27,0
"981",36,0,0
"982",36,1,0.0847365708541733
"983",36,2,1.41030506160796
"984",36,3,0.013375464287775
"985",36,4,0.0271411508852771
"986",36,5,0.789057617115236
"987",36,6,0
"988",36,7,0
"989",36,8,2.95553618765248
"990",36,9,0
"991",36,10,0
"992",36,11,0.215460313186818
"993",36,12,2.50438763441028
"994",36,13,0
"995",36,14,0
"996",36,15,0
"997",36,16,0
"998",36,17,0
"999",36,18,0
"1000",36,19,0
"1001",36,20,0
"1002",36,21,0
"1003",36,22,0
"1004",36,23,0
