"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0
"5",1,4,0
"6",1,5,1.69964109533201
"7",1,6,0
"8",1,7,1.31257159158133
"9",1,8,3.4338780071128
"10",1,9,1.55390930597385
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",2,0,0
"24",2,1,0
"25",2,2,0
"26",2,3,0
"27",2,4,0
"28",2,5,0.588833986826211
"29",2,6,0.273177836885701
"30",2,7,0.551211693596856
"31",2,8,2.95658910766347
"32",2,9,0.520442967192504
"33",2,10,3.10974440783526
"34",2,11,0
"35",2,12,0
"36",2,13,0
"37",2,14,0
"38",2,15,0
"39",2,16,0
"40",2,17,0
"41",2,18,0
"42",2,19,0
"43",2,20,0
"44",2,21,0
"45",3,0,0
"46",3,1,0
"47",3,2,0
"48",3,3,0
"49",3,4,0.706517174788677
"50",3,5,0
"51",3,6,0.0584575111232995
"52",3,7,0.261455224143298
"53",3,8,1.10976801017552
"54",3,9,0.38486933004014
"55",3,10,1.1041628318694
"56",3,11,0.36490700090447
"57",3,12,1.25580524502125
"58",3,13,0
"59",3,14,0.218170331563457
"60",3,15,2.53588734037049
"61",3,16,0
"62",3,17,0
"63",3,18,0
"64",3,19,0
"65",3,20,0
"66",3,21,0
"67",4,0,0
"68",4,1,0
"69",4,2,0
"70",4,3,0
"71",4,4,0.113214743374155
"72",4,5,0
"73",4,6,0
"74",4,7,0.52608621583645
"75",4,8,0
"76",4,9,0.20899730646119
"77",4,10,2.98700125009658
"78",4,11,0
"79",4,12,2.20388525325067
"80",4,13,0
"81",4,14,0
"82",4,15,0.406905925007102
"83",4,16,0
"84",4,17,1.55390930597385
"85",4,18,0
"86",4,19,0
"87",4,20,0
"88",4,21,0
"89",5,0,0
"90",5,1,0
"91",5,2,0
"92",5,3,0
"93",5,4,0
"94",5,5,0
"95",5,6,3.06047811805194
"96",5,7,1.26722922075588
"97",5,8,0
"98",5,9,0
"99",5,10,0
"100",5,11,1.02812936778307
"101",5,12,0.0717299558918423
"102",5,13,0
"103",5,14,0
"104",5,15,0.478199705945615
"105",5,16,0.526019676540177
"106",5,17,0.239099852972808
"107",5,18,0
"108",5,19,0
"109",5,20,0
"110",5,21,0
"111",6,0,0
"112",6,1,1.08646604005248
"113",6,2,0.177785352008587
"114",6,3,0
"115",6,4,0
"116",6,5,0
"117",6,6,1.50129852807251
"118",6,7,0
"119",6,8,0
"120",6,9,0
"121",6,10,0
"122",6,11,0
"123",6,12,0
"124",6,13,0.118523568005725
"125",6,14,0.553109984026716
"126",6,15,0.691387480033395
"127",6,16,0.217293208010495
"128",6,17,0.750649264036257
"129",6,18,0.217293208010495
"130",6,19,0
"131",6,20,0
"132",6,21,0
"133",7,0,0
"134",7,1,0
"135",7,2,0
"136",7,3,0
"137",7,4,0
"138",7,5,0
"139",7,6,0
"140",7,7,0
"141",7,8,0
"142",7,9,0
"143",7,10,2.07475830685802
"144",7,11,0.326033448220546
"145",7,12,0.103737915342901
"146",7,13,0.652066896441092
"147",7,14,0
"148",7,15,0
"149",7,16,0.29639404383686
"150",7,17,0.029639404383686
"151",7,18,0.029639404383686
"152",7,19,0.074098510959215
"153",7,20,0
"154",7,21,0
"155",8,0,0
"156",8,1,0
"157",8,2,0
"158",8,3,0
"159",8,4,0
"160",8,5,0
"161",8,6,0
"162",8,7,0
"163",8,8,0.0250503118678201
"164",8,9,1.32233316343286
"165",8,10,0.468512193857449
"166",8,11,1.4183514420214
"167",8,12,4.76575288882047
"168",8,13,0
"169",8,14,0
"170",8,15,0
"171",8,16,0
"172",8,17,0
"173",8,18,0
"174",8,19,0
"175",8,20,0
"176",8,21,0
"177",9,0,0
"178",9,1,0
"179",9,2,0
"180",9,3,0
"181",9,4,0
"182",9,5,0
"183",9,6,0
"184",9,7,0
"185",9,8,0.515485674305074
"186",9,9,1.47159491046846
"187",9,10,4.05088914232074
"188",9,11,1.96203027290572
"189",9,12,0
"190",9,13,0
"191",9,14,0
"192",9,15,0
"193",9,16,0
"194",9,17,0
"195",9,18,0
"196",9,19,0
"197",9,20,0
"198",9,21,0
"199",10,0,0
"200",10,1,0
"201",10,2,0
"202",10,3,0
"203",10,4,0
"204",10,5,0
"205",10,6,0.0608827491206574
"206",10,7,0.695591576870345
"207",10,8,0.955816150214149
"208",10,9,0.540941498521516
"209",10,10,0.636215420946041
"210",10,11,4.12953746787443
"211",10,12,0
"212",10,13,0
"213",10,14,0
"214",10,15,0.98101513645286
"215",10,16,0
"216",10,17,0
"217",10,18,0
"218",10,19,0
"219",10,20,0
"220",10,21,0
"221",11,0,0
"222",11,1,0
"223",11,2,0
"224",11,3,0
"225",11,4,0
"226",11,5,0.0359104121344671
"227",11,6,0.0556654724583999
"228",11,7,0.118492938018366
"229",11,8,0.101532833181433
"230",11,9,0
"231",11,10,0.558652310896226
"232",11,11,0
"233",11,12,0.0942265372653119
"234",11,13,0.199799763159968
"235",11,14,1.16202520005462
"236",11,15,2.61636366994309
"237",11,16,3.05733086288812
"238",11,17,0
"239",11,18,0
"240",11,19,0
"241",11,20,0
"242",11,21,0
"243",12,0,0
"244",12,1,0
"245",12,2,0
"246",12,3,0
"247",12,4,0
"248",12,5,0
"249",12,6,0
"250",12,7,0
"251",12,8,0.144635913418738
"252",12,9,0.150433453952005
"253",12,10,1.32517194866618
"254",12,11,0.118492938018366
"255",12,12,0.0960002165878071
"256",12,13,0.0335305680277881
"257",12,14,0.389028703244914
"258",12,15,2.17370429387932
"259",12,16,3.56900196420488
"260",12,17,0
"261",12,18,0
"262",12,19,0
"263",12,20,0
"264",12,21,0
"265",13,0,0
"266",13,1,0
"267",13,2,0.549016516106898
"268",13,3,0.292637861911246
"269",13,4,0
"270",13,5,0.00816555803255085
"271",13,6,0.058540549088445
"272",13,7,0
"273",13,8,0.0972742211072673
"274",13,9,0.437645950357551
"275",13,10,0.438663285918753
"276",13,11,6.11805605747729
"277",13,12,0
"278",13,13,0
"279",13,14,0
"280",13,15,0
"281",13,16,0
"282",13,17,0
"283",13,18,0
"284",13,19,0
"285",13,20,0
"286",13,21,0
"287",14,0,0
"288",14,1,0
"289",14,2,1.42207035727193
"290",14,3,1.05346203610135
"291",14,4,0.391571715661708
"292",14,5,0
"293",14,6,0.599413422805923
"294",14,7,1.32954758510249
"295",14,8,0
"296",14,9,0
"297",14,10,0
"298",14,11,0
"299",14,12,3.20393488305659
"300",14,13,0
"301",14,14,0
"302",14,15,0
"303",14,16,0
"304",14,17,0
"305",14,18,0
"306",14,19,0
"307",14,20,0
"308",14,21,0
"309",15,0,0
"310",15,1,0
"311",15,2,0.447256266311811
"312",15,3,2.34907168194228
"313",15,4,1.17962812283713
"314",15,5,0
"315",15,6,4.02404392890877
"316",15,7,0
"317",15,8,0
"318",15,9,0
"319",15,10,0
"320",15,11,0
"321",15,12,0
"322",15,13,0
"323",15,14,0
"324",15,15,0
"325",15,16,0
"326",15,17,0
"327",15,18,0
"328",15,19,0
"329",15,20,0
"330",15,21,0
"331",16,0,0
"332",16,1,0
"333",16,2,0
"334",16,3,0.514135155865569
"335",16,4,0.00642703793964404
"336",16,5,0.643718073308959
"337",16,6,0.245530528560564
"338",16,7,0
"339",16,8,0
"340",16,9,0.024628098504009
"341",16,10,1.57926923502473
"342",16,11,0.121072088414056
"343",16,12,0.628915260933976
"344",16,13,0.468184710902045
"345",16,14,1.83915880263804
"346",16,15,1.92896100790841
"347",16,16,0
"348",16,17,0
"349",16,18,0
"350",16,19,0
"351",16,20,0
"352",16,21,0
"353",17,0,0
"354",17,1,0.2853218218515
"355",17,2,0
"356",17,3,0
"357",17,4,0.0164762118631455
"358",17,5,1.93003180034025
"359",17,6,0.0679268206174877
"360",17,7,0
"361",17,8,0
"362",17,9,0
"363",17,10,0.253832383921413
"364",17,11,2.95188104686675
"365",17,12,1.52951401436932
"366",17,13,0.965015900170127
"367",17,14,0
"368",17,15,0
"369",17,16,0
"370",17,17,0
"371",17,18,0
"372",17,19,0
"373",17,20,0
"374",17,21,0
"375",18,0,0
"376",18,1,0
"377",18,2,0.215231912913991
"378",18,3,0.010384012670389
"379",18,4,0.00522121152997872
"380",18,5,0.543416612986727
"381",18,6,0.244445999090158
"382",18,7,0.274113488770352
"383",18,8,0
"384",18,9,0.011266873219438
"385",18,10,1.25253062665998
"386",18,11,0.418973054751247
"387",18,12,0.11765748243032
"388",18,13,1.0488367091606
"389",18,14,2.89344151186261
"390",18,15,0
"391",18,16,0.964480503954205
"392",18,17,0
"393",18,18,0
"394",18,19,0
"395",18,20,0
"396",18,21,0
"397",19,0,0
"398",19,1,0
"399",19,2,0.221300259484854
"400",19,3,0.195623136982361
"401",19,4,0
"402",19,5,0.165481378134915
"403",19,6,0.00677482433504476
"404",19,7,0.0767836684451052
"405",19,8,0
"406",19,9,1.97377017184107
"407",19,10,0.22452132964823
"408",19,11,0
"409",19,12,0
"410",19,13,0.310665730277782
"411",19,14,2.33054958631119
"412",19,15,2.49452991453945
"413",19,16,0
"414",19,17,0
"415",19,18,0
"416",19,19,0
"417",19,20,0
"418",19,21,0
"419",20,0,0
"420",20,1,0.997583985674169
"421",20,2,0
"422",20,3,0.742388082362172
"423",20,4,0
"424",20,5,0
"425",20,6,0
"426",20,7,0
"427",20,8,0
"428",20,9,1.36877802685525
"429",20,10,3.38714562577741
"430",20,11,0.0231996275738179
"431",20,12,0.0463992551476358
"432",20,13,0.44079292390254
"433",20,14,0
"434",20,15,0
"435",20,16,0.162397393016725
"436",20,17,0
"437",20,18,0
"438",20,19,0
"439",20,20,0
"440",20,21,0
"441",21,0,0
"442",21,1,0
"443",21,2,0
"444",21,3,0
"445",21,4,0
"446",21,5,0
"447",21,6,0
"448",21,7,0
"449",21,8,0
"450",21,9,0
"451",21,10,1.8929966104891
"452",21,11,0.766990005974031
"453",21,12,0.473249152622275
"454",21,13,0.0163189362973198
"455",21,14,0
"456",21,15,0
"457",21,16,0.244784044459797
"458",21,17,0.293740853351757
"459",21,18,1.37079064897486
"460",21,19,0.473249152622275
"461",21,20,0.212146171865158
"462",21,21,0.0326378725946396
"463",22,0,0
"464",22,1,0
"465",22,2,0
"466",22,3,0
"467",22,4,0.10715803604917
"468",22,5,0.0948447670298073
"469",22,6,0.0434036239850321
"470",22,7,1.02508303411979
"471",22,8,1.18545219695271
"472",22,9,0
"473",22,10,0
"474",22,11,0.389543715567326
"475",22,12,4.21593988005231
"476",22,13,0.938574746243857
"477",22,14,0
"478",22,15,0
"479",22,16,0
"480",22,17,0
"481",22,18,0
"482",22,19,0
"483",22,20,0
"484",22,21,0
"485",23,0,0
"486",23,1,0
"487",23,2,0
"488",23,3,0
"489",23,4,0
"490",23,5,0.37976694289971
"491",23,6,0.515357750408437
"492",23,7,0.829094771131451
"493",23,8,0.152930028048115
"494",23,9,0.0601911151702424
"495",23,10,0
"496",23,11,0.216447470510883
"497",23,12,1.60051090680659
"498",23,13,0.67221383519406
"499",23,14,0
"500",23,15,0.938574746243856
"501",23,16,2.63491243358666
"502",23,17,0
"503",23,18,0
"504",23,19,0
"505",23,20,0
"506",23,21,0
"507",24,0,0
"508",24,1,0
"509",24,2,0
"510",24,3,0.0110839128998097
"511",24,4,0.438650917837758
"512",24,5,1.75932937669009
"513",24,6,0.038145540286443
"514",24,7,0
"515",24,8,0
"516",24,9,0
"517",24,10,0
"518",24,11,0.164331961178433
"519",24,12,0
"520",24,13,0
"521",24,14,0.291277399952837
"522",24,15,0.0273560239813161
"523",24,16,0.45560936113127
"524",24,17,3.87564075979819
"525",24,18,0.938574746243856
"526",24,19,0
"527",24,20,0
"528",24,21,0
"529",25,0,0
"530",25,1,0
"531",25,2,0
"532",25,3,0
"533",25,4,0
"534",25,5,3.7756061965325
"535",25,6,0.75834825314969
"536",25,7,0
"537",25,8,0
"538",25,9,0
"539",25,10,0
"540",25,11,0
"541",25,12,0
"542",25,13,0
"543",25,14,0
"544",25,15,0.532457284126378
"545",25,16,0.338836453534968
"546",25,17,0.274296176671165
"547",25,18,0
"548",25,19,0
"549",25,20,0
"550",25,21,0
"551",26,0,0
"552",26,1,0
"553",26,2,0.212120407509328
"554",26,3,0
"555",26,4,0
"556",26,5,0.204264096120093
"557",26,6,0
"558",26,7,0
"559",26,8,0
"560",26,9,0
"561",26,10,0
"562",26,11,0
"563",26,12,0
"564",26,13,0
"565",26,14,0
"566",26,15,0.329965078347843
"567",26,16,0.204264096120093
"568",26,17,0.699211713641858
"569",26,18,0
"570",26,19,0
"571",26,20,0
"572",26,21,0
"573",27,0,0
"574",27,1,0
"575",27,2,0.558823152072825
"576",27,3,0.00614091375904203
"577",27,4,0
"578",27,5,0
"579",27,6,0
"580",27,7,0
"581",27,8,0
"582",27,9,0
"583",27,10,0
"584",27,11,0
"585",27,12,0
"586",27,13,0
"587",27,14,0
"588",27,15,0
"589",27,16,0
"590",27,17,0
"591",27,18,0
"592",27,19,0
"593",27,20,0
"594",27,21,0
"595",28,0,0
"596",28,1,0
"597",28,2,0
"598",28,3,0
"599",28,4,0
"600",28,5,0
"601",28,6,0
"602",28,7,0
"603",28,8,0
"604",28,9,0
"605",28,10,0
"606",28,11,0
"607",28,12,0
"608",28,13,0
"609",28,14,0
"610",28,15,0
"611",28,16,0
"612",28,17,0
"613",28,18,0
"614",28,19,0
"615",28,20,0
"616",28,21,0
"617",29,0,0
"618",29,1,0
"619",29,2,0
"620",29,3,0
"621",29,4,0
"622",29,5,0
"623",29,6,0.101344862444777
"624",29,7,0
"625",29,8,0
"626",29,9,0
"627",29,10,0.333841899818088
"628",29,11,0
"629",29,12,0
"630",29,13,0
"631",29,14,0
"632",29,15,0
"633",29,16,0.00596146249675158
"634",29,17,0
"635",29,18,0
"636",29,19,0
"637",29,20,0
"638",29,21,0
"639",30,0,0
"640",30,1,0
"641",30,2,0.166677900922916
"642",30,3,0
"643",30,4,0
"644",30,5,0
"645",30,6,2.17871827634955
"646",30,7,0
"647",30,8,0
"648",30,9,0
"649",30,10,0
"650",30,11,0
"651",30,12,0.76195611850476
"652",30,13,0.0238111287032737
"653",30,14,0.38097805925238
"654",30,15,0.095244514813095
"655",30,16,0.154772336571279
"656",30,17,0
"657",30,18,0
"658",30,19,0
"659",30,20,0
"660",30,21,0
"661",31,0,0
"662",31,1,0.411949429610897
"663",31,2,0.180227875454767
"664",31,3,0
"665",31,4,0
"666",31,5,0.231721554156129
"667",31,6,0.74665834116975
"668",31,7,1.26159512818337
"669",31,8,0
"670",31,9,0
"671",31,10,0.0514936787013621
"672",31,11,2.13698766610653
"673",31,12,1.00412673467656
"674",31,13,0
"675",31,14,0.308962072208172
"676",31,15,0.025746839350681
"677",31,16,0
"678",31,17,0
"679",31,18,0
"680",31,19,0
"681",31,20,0
"682",31,21,0
"683",32,0,0
"684",32,1,4.11006199708226
"685",32,2,2.05503099854113
"686",32,3,0
"687",32,4,0
"688",32,5,0
"689",32,6,0.151105220480965
"690",32,7,0
"691",32,8,0
"692",32,9,0
"693",32,10,0.0302210440961931
"694",32,11,0.543978793731475
"695",32,12,0.483536705539089
"696",32,13,0
"697",32,14,0.151105220480965
"698",32,15,0.0604420881923861
"699",32,16,0.0302210440961931
"700",32,17,0
"701",32,18,0
"702",32,19,0
"703",32,20,0
"704",32,21,0
"705",33,0,0
"706",33,1,0
"707",33,2,0
"708",33,3,0
"709",33,4,0
"710",33,5,0
"711",33,6,0.939906017502923
"712",33,7,1.9021907497083
"713",33,8,0.290923291131857
"714",33,9,0
"715",33,10,0
"716",33,11,0.358059435239209
"717",33,12,0.850391158693121
"718",33,13,0
"719",33,14,0.559467867561264
"720",33,15,0.268544576429407
"721",33,16,0
"722",33,17,0.179029717619604
"723",33,18,0
"724",33,19,0
"725",33,20,0
"726",33,21,0
"727",34,0,0
"728",34,1,0
"729",34,2,0
"730",34,3,0
"731",34,4,0
"732",34,5,0
"733",34,6,0.00569917306890748
"734",34,7,0.0464212946278843
"735",34,8,0
"736",34,9,0
"737",34,10,0.22960356144869
"738",34,11,0
"739",34,12,0
"740",34,13,0
"741",34,14,0.199847158531747
"742",34,15,0.98562676859323
"743",34,16,0.743253510817677
"744",34,17,0.738009445170857
"745",34,18,5.05153908774101
"746",34,19,0
"747",34,20,0
"748",34,21,0
"749",35,0,0
"750",35,1,0
"751",35,2,0
"752",35,3,0
"753",35,4,0
"754",35,5,0.0612285375393432
"755",35,6,0.0306142687696716
"756",35,7,0
"757",35,8,0
"758",35,9,0
"759",35,10,0
"760",35,11,0
"761",35,12,0
"762",35,13,0
"763",35,14,0.397985494005731
"764",35,15,0.153071343848358
"765",35,16,0.18368561261803
"766",35,17,0.244914150157373
"767",35,18,2.02054173879832
"768",35,19,0
"769",35,20,0
"770",35,21,0
"771",36,0,0
"772",36,1,0
"773",36,2,0
"774",36,3,0
"775",36,4,0
"776",36,5,0.330941292067843
"777",36,6,4.34242537577636
"778",36,7,0
"779",36,8,0
"780",36,9,0
"781",36,10,0
"782",36,11,0
"783",36,12,0
"784",36,13,0
"785",36,14,0
"786",36,15,0
"787",36,16,3.3266333321558
"788",36,17,0
"789",36,18,0
"790",36,19,0
"791",36,20,0
"792",36,21,0
"793",37,0,0
"794",37,1,0
"795",37,2,0
"796",37,3,0
"797",37,4,0
"798",37,5,0.460410360437891
"799",37,6,0.7973364819092
"800",37,7,1.23870059186999
"801",37,8,0
"802",37,9,0
"803",37,10,3.17667799356955
"804",37,11,2.32687457221337
"805",37,12,0
"806",37,13,0
"807",37,14,0
"808",37,15,0
"809",37,16,0
"810",37,17,0
"811",37,18,0
"812",37,19,0
"813",37,20,0
"814",37,21,0
"815",38,0,0
"816",38,1,0
"817",38,2,0
"818",38,3,0
"819",38,4,0
"820",38,5,1.66911741518065
"821",38,6,0
"822",38,7,0.0365776119171099
"823",38,8,0
"824",38,9,0.0375277852492679
"825",38,10,1.20523809991196
"826",38,11,5.05153908774101
"827",38,12,0
"828",38,13,0
"829",38,14,0
"830",38,15,0
"831",38,16,0
"832",38,17,0
"833",38,18,0
"834",38,19,0
"835",38,20,0
"836",38,21,0
"837",39,0,0
"838",39,1,0
"839",39,2,0
"840",39,3,0
"841",39,4,0
"842",39,5,0
"843",39,6,0
"844",39,7,0
"845",39,8,0.466631686607365
"846",39,9,0
"847",39,10,0
"848",39,11,6.27036328878646
"849",39,12,0.0874934412388809
"850",39,13,0.0291644804129603
"851",39,14,0.0583289608259206
"852",39,15,0.0291644804129603
"853",39,16,0
"854",39,17,0
"855",39,18,0.349973764955523
"856",39,19,0
"857",39,20,0
"858",39,21,0
"859",40,0,0
"860",40,1,0
"861",40,2,0
"862",40,3,0
"863",40,4,0.421647490041327
"864",40,5,0
"865",40,6,0.038762870396564
"866",40,7,0
"867",40,8,0.21112781695378
"868",40,9,0.302298326600021
"869",40,10,0.0225905918026013
"870",40,11,1.99292124505894
"871",40,12,1.54385030322081
"872",40,13,0
"873",40,14,1.13992678371258
"874",40,15,0
"875",40,16,0
"876",40,17,2.32687457221337
"877",40,18,0
"878",40,19,0
"879",40,20,0
"880",40,21,0
