"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,14.286,3.79860896469572,25.902,2.06488772286228,8,0.515695304359101,164.792020329438,23,20.5990025411798
"2",2,8.04954814814815,3.46152371464376,23.101,2.13337142331824,8,0.619073295186948,109.957746179252,12,13.7447182724064
"3",3,8.28950561797753,2.74969847338162,13.277,3.75772514841863,7.06558179315334,0.764987008747036,62.7831191170648,6,8.88576779026217
"4",4,8.19725925925926,1.70721745375143,12.968,4.05786693868163,8,0.900461893596522,89.0632935110582,10,11.1329116888823
"5",5,10.4976254681648,3.32384786899025,16.28,3.78418800157651,7.06558179315334,0.76873756567917,78.6343681586336,13,11.1292134831461
"6",6,13.9826447876448,5.77949841756241,26.051,2.85295135772528,5.68395693577574,0.575122136148948,81.4956528224062,10,14.3378378378378
"7",7,9.42392222222222,1.55083884408477,10.435,7.74069265231486,8,1.43649705989506,82.9627706092594,10,10.3703463261574
"8",8,6.70219259259259,1.45420029503717,10.226,5.37111080425522,8,1.08923431399443,73.6142865867325,10,9.20178582334157
"9",9,6.29051111111111,0.887999638858116,10.238,4.23134401251297,8,1.0333742157288,67.0746239499481,6,8.38432799374351
"10",10,3.53101851851852,2.41757498310028,8.116,3.86717995485425,8,0.836491933293495,54.7631836432142,8,6.84539795540177
"11",11,2.36567711598746,1.60253963514495,9.715,2.82492174585474,8,0.617707137889425,48.3309201208402,7,6.04136501510502
"12",12,2.01202507836991,0.761143586399784,7.954,4.54502408639443,8,0.879139027889747,33.6819647415225,3,4.21024559269031
"13",13,2.11027044025157,0.629816098395828,5.319,3.75779418627646,8,0.818363755970761,27.3852449814534,3,3.42315562268168
"14",14,1.78103761755486,0.254906244625398,3.993,6.9352381213031,8,1.2931890289294,21.819185173759,2,2.72739814671987
"15",15,4.12990251572327,1.69298566272406,6.079,5.04765388674699,8,1.02086719642011,47.280681445388,6,5.9100851806735
"16",16,5.27294984326019,4.28650657016792,27.374,2.74919207120638,8,0.723234252571329,121.484530463646,5,15.1855663079557
"17",17,22.7602884615385,3.83955962443933,27.565,0.968243808250615,2.05504808281763,0.189201895928461,47.8391481586681,24,23.2788461538462
"18",18,24.5936197718631,1.46452660717347,27.29,1.29813017446567,3.31464306683952,0.300103225458512,83.074029563014,25,25.0627376425856
"19",19,20.1462248322148,4.80613402249766,26.926,2.20303668980484,5.0500379504757,0.463365105968189,104.390046224598,15,20.6711409395973
"20",20,14.5479528301887,3.05471365001245,26.695,3.23829776110881,8,0.728140241300605,167.330263956094,15,20.9162829945118
