"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,10.6046763848397,3.14723205738585,23.273,2.20446725801409,8,0.583289446521994,136.954220331192,23,17.119277541399
"2",2,10.3786034985423,2.58197066838208,16.513,2.00846024092888,8,0.550756197505966,116.233698514735,16,14.5292123143419
"3",3,12.4055263157895,2.48286820191953,25.895,2.0611810159977,8,0.586347763946727,145.353250183093,24,18.1691562728867
"4",4,3.97977551020408,3.3279161128453,23.047,2.848237113201,8,0.663754617012131,94.8358762983853,3,11.8544845372982
"5",5,9.17695280235988,6.45977515025474,25.747,2.98573644564301,7.0289212157846,0.704151971149229,68.0188084023049,3,9.67699115044248
"6",6,19.3130511182109,5.54794074617056,25.621,1.89984940273797,4.57425279274603,0.418139374800661,90.9808650518864,22,19.8897763578275
"7",7,20.6638709677419,4.95875572294768,25.729,1.70372950280263,4.3649268253621,0.36670188234777,92.4801270612202,22,21.1870967741935
"8",8,15.8821458333333,6.5760743572289,25.867,1.3110223914584,6.67429581106094,0.421138385854443,109.132682101098,9,16.3511904761905
"9",9,9.05930612244898,1.3793318694263,15.332,2.90415151016623,8,0.645400731394736,94.9956642997307,12,11.8744580374663
"10",10,9.87869005847953,2.24419780072016,14.501,2.99190016410762,8,0.704376729739316,104.857823557848,13,13.1072279447309
"11",11,9.40279569892473,2.24143344531253,18.527,1.98862168381114,8,0.578515723877597,114.313281733537,8,14.2891602166922
"12",12,7.5980035971223,1.38912808146039,9.647,3.53019100835065,8,0.878787714495971,76.7423208284953,10,9.59279010356192
"13",13,11.1889350180505,5.18508107452383,26.066,3.0092635549444,7.64739453871193,0.722714220946129,88.9665303285169,9,11.6335740072202
"14",14,17.7335395683453,5.92641988015544,25.482,4.25589715268716,8,0.855737760813699,186.58858225501,25,23.3235727818762
"15",15,12.5171870503597,2.46068034843216,23.394,3.46972854866311,8,0.707631972264492,131.358455858314,16,16.4198069822892
"16",16,15.9470611510791,4.02678657435189,25.629,2.76446381269067,8,0.595295675808224,178.785135618157,25,22.3481419522696
"17",17,14.6479460431655,3.41909371222297,21.005,3.12149450237945,8,0.66842891273491,152.116242914843,21,19.0145303643554
"18",18,8.73135971223022,2.13500767931116,16.263,1.77974193411021,8,0.51549848406302,103.573610113416,14,12.9467012641769
"19",19,9.66502877697842,3.09914571539221,19.488,2.8624787681355,8,0.620589397973362,118.783064565832,17,14.847883070729
"20",20,11.4668618181818,5.3967002058872,26.202,3.92662539098727,7.3457277722551,0.76727333558507,87.6812778633722,8,11.9363636363636
"21",21,11.6345372168285,3.88830691163037,25.256,3.71314114276285,8,0.909551764208066,147.498516377388,15,18.4373145471734
"22",22,8.3760551948052,0.374616494719932,10.478,5.82471835293134,8,1.14273490920302,75.7590798976814,9,9.46988498721017
"23",23,12.4151302931596,7.11251835858923,26.35,1.70091535111312,7.67913254105484,0.529396458310802,98.6405836340384,8,12.8452768729642
"24",24,6.34475838926175,3.09482136068611,26.242,2.26907731855822,5.98393841531284,0.557498200524726,41.0040343760698,6,6.85234899328859
"25",25,5.57822077922078,1.36367786966177,7.861,2.7678254216875,7.68009216107883,0.716022099100378,45.9808115098356,4,5.98701298701299
"26",26,4.73199350649351,2.01725274206403,9.171,5.86700482852273,8,1.13295198439379,57.6273971124654,7,7.20342463905817
"27",27,5.67098376623377,1.49347933285028,9.435,3.46730680038298,8,0.779519072030194,62.71598847745,8,7.83949855968126
"28",28,4.88199350649351,2.46016533301235,26.275,2.85724186922742,8,0.680587628283882,92.1051529785584,8,11.5131441223198
"29",29,5.68626298701299,4.58402337102653,23.59,2.50012602800796,8,0.614576339987422,123.208188118528,23,15.401023514816
"30",30,5.31615894039735,3.8226284100557,23.648,3.43731900079678,6.5700654319027,0.742673491767409,37.4841812555244,5,5.70529801324503
"31",31,14.4122678571429,8.66483769638026,25.969,1.09367483393518,3.65646511644001,0.26316245843966,53.9165369625061,5,14.7455357142857
"32",32,16.6277567567568,5.97542007870874,25.622,1.47713898572862,3.60356983331598,0.307371341322782,61.828817545498,21,17.1576576576577
"33",33,12.2848949416342,5.05824104037297,25.602,2.69913385715154,6.80075883615632,0.576978759823515,86.7295217334722,8,12.7529182879377
"34",34,12.5447325581395,4.68860728516476,26.383,2.86511814874013,7.04000459404717,0.6447184458977,92.6115333030856,11,13.1550387596899
"35",35,6.21204198473282,1.03730663717785,11.565,5.90984878762527,8,1.16531294841032,66.8607218919041,7,8.35759023648802
"36",36,8.68725287356322,2.98142040961786,22.654,1.99167901365805,8,0.618076130099552,117.41757719819,14,14.6771971497737
"37",37,11.1444671814672,1.44323145773138,13.902,2.79486111614505,7.31180837456129,0.690992861573014,85.3561877238844,12,11.6737451737452
"38",38,10.4838965517241,1.82339477371077,22.846,3.02299421718464,8,0.771671338573383,117.027600751266,11,14.6284500939082
"39",39,12.611816091954,5.72681716648571,24.82,2.89479649713672,8,0.619658136537937,164.817513941484,24,20.6021892426856
"40",40,21.7353012048193,1.77095859590956,26.491,2.03766653306092,5.51498876882792,0.486195616112387,122.669740145194,20,22.2429718875502
