"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,4.95871106941839,2.11894963443452,11.81,5.34147810591689,8,0.407737130185007,80.5429885876067,12,10.0678735734508
"2",2,7.41644908493665,2.6322332118045,13.472,3.51454847637771,8,0.352186170846248,90.698451074902,13,11.3373063843628
"3",3,10.2458133268006,3.29350811087669,18.673,1.88605160345456,5.61960777029307,0.196331952335984,60.0081046299129,13,10.6783439490446
"4",4,9.33583437051221,2.45348322438199,22.113,3.27748852397283,6.55811640476939,0.268849346168989,65.0992727752516,8,9.92651986596458
"5",5,9.50730682352941,5.47033486522002,194.05,2.79579659946957,7.67579815745844,0.278919810331251,77.3666272167169,8,10.0792941176471
"6",6,3.15697247301736,2.21218107216551,16.119,3.07319999504116,8,0.304175541012951,85.1927742284029,16,10.6490967785504
"7",7,2.02312482402628,0.238338815521974,2.466,8,8,0.572891899231546,20,2,2.5
"8",8,3.34985187539733,4.27244880697216,18.737,2.10011839510102,2.5768223365787,0.151709772761789,9.65939790695253,2,3.74856961220598
"9",9,2.30121304551854,1.8559829671386,19.084,4.56003540507116,8,0.408031951079014,78.4793981137903,2,9.80992476422379
"10",10,2.38403519474425,0.245480133501363,2.614,7.23560548435445,8,0.520755203846111,27.2356054843545,3,3.40445068554431
"11",11,1.57935849056604,0.182123854541481,2.658,4.20805738651422,8,0.38807874652074,23.0490771676816,2,2.8811346459602
"12",12,2.66682382022472,2.95525101802846,26.035,3.73507661371286,8,0.373392555216122,111.902674239006,2,13.9878342798758
"13",13,2.23075775280899,0.112109635342706,2.438,8,8,0.572891899231546,20,2,2.5
"14",14,3.21385887640449,3.24744318114843,14.962,3.28578963010159,8,0.332008826166074,66.6994995030705,2,8.33743743788382
"15",15,2.29937825696316,2.05650471961559,93.05,3.29207542284725,8,0.284835539507767,96.6369865103105,4,12.0796233137888
"16",16,2.29853528089888,0.669027087247912,6.15,2.28047280024554,8,0.280255145306724,36.0094206323621,6,4.50117757904526
"17",17,4.31474831460674,0.417189408151096,6.032,4.76571881859148,8,0.380375786273021,43.046191618837,5,5.38077395235463
"18",18,6.01052853932584,3.04100245390517,10.928,6.48877538617101,8,0.467024267601214,83.2761575319956,11,10.4095196914995
"19",19,6.36741168539326,5.18910284879795,21.188,3.55287324592111,8,0.294096290847057,122.363403257315,17,15.2954254071644
"20",20,5.46028764044944,6.33609445341698,17.403,5.47278243336857,8,0.411711510285493,117.10381104294,17,14.6379763803674
"21",21,1.90278586839266,0.127145836247152,2.12,8,8,0.572891899231546,20,2,2.5
"22",22,11.3450933621155,7.33647693361291,28.827,1.71100743150869,8,0.199044345480106,188.832224126677,29,23.6040280158346
"23",23,8.36541500269833,1.49509439697482,17.1,1.90483506299954,8,0.253408472664435,100.237215012711,17,12.5296518765889
"24",24,8.75529897463573,2.39416955716367,25.279,2.59648035848728,8,0.25256167271149,123.880522457989,18,15.4850653072486
"25",25,7.1717934528449,1.80816927874918,12.471,0.844798534938082,2.27705151328899,0.0870807476357384,17.9422075398247,9,7.87957911145752
"26",26,1.634,1.06197234866388,5.95,1.00608513460354,1.10821174634656,0.0721796268784544,2.04184219018646,1,1.84246575342466
"27",27,6.4761592012952,1.23879316882925,13.795,4.25700430240632,8,0.344398713507123,80.5916795758596,9,10.0739599469825
"28",28,2.50089823529412,2.1328780498177,68.05,2.2681384265619,4.61776685647333,0.199746400492819,13.3697932162128,2,2.89529411764706
"29",29,3.17942182514359,2.07559699457558,14.066,2.10897206176871,3.54587899226563,0.1617329434146,12.7929973725423,3,3.60784939374601
"30",30,4.48102861771058,1.41602235746711,15.394,4.22698929722829,8,0.38699823081646,77.0941098896326,5,9.63676373620408
"31",31,8.41867951403435,5.37903923979591,22.476,2.92534768030779,7.82825662880571,0.252571788260173,70.2919725402209,5,8.97926267281106
"32",32,3.79056527196653,0.812587158944934,5.567,4.03222776814915,8,0.345733336062191,44.3733957175766,5,5.54667446469707
"33",33,3.77991677122543,0.576515171042756,6.619,2.87223573934968,8,0.293438952852298,46.9483930393695,6,5.86854912992119
"34",34,4.29443430962343,1.3290000419194,6.811,6.35094131352654,8,0.461742170160664,55.1579850333425,7,6.89474812916781
"35",35,3.30766541196152,0.142337668427498,3.555,4.49307185166825,8,0.407140104647556,32.4930718516682,4,4.06163398145853
"36",36,2.76823849372385,0.432026038730175,3.693,4.49331335500955,8,0.398526764903359,32.2894360023927,4,4.03617950029909
"37",37,2.56565815899582,0.187108955658263,2.89,7.69422270687694,8,0.551316875634894,27.6942227068769,3,3.46177783835962
"38",38,2.40241589958159,0.264120761631706,2.985,5.15287220684663,7.95566186974382,0.409183807400741,22.046170946993,2,2.77112970711297
"39",39,1.64832635983264,0.418898659380798,2.985,5.46887853997198,8,0.417718742004251,24.9337767479979,3,3.11672209349974
"40",40,2.32486108786611,0.427995108922134,2.969,7.18367142310423,8,0.516629404720879,27.0667343259254,3,3.38334179074068
