"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,2.57188595165073
"4",1,3,0
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0.776953418690517
"16",1,15,1.9282055646334
"17",1,16,0.0567119283715706
"18",1,17,0.0283559641857853
"19",1,18,1.89701400402904
"20",1,19,0.104917067487406
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0.00850678925573559
"25",1,24,0
"26",1,25,0
"27",1,26,0
"28",1,27,0
"29",1,28,0
"30",1,29,0
"31",1,30,0
"32",1,31,0
"33",1,32,0
"34",1,33,0
"35",1,34,0
"36",1,35,0
"37",1,36,0
"38",1,37,0
"39",1,38,0
"40",1,39,0
"41",1,40,0
"42",1,41,0
"43",1,42,0
"44",1,43,0
"45",1,44,0
"46",1,45,0
"47",1,46,0
"48",1,47,0
"49",1,48,0
"50",1,49,0
"51",1,50,0
"52",1,51,0
"53",1,52,0
"54",1,53,0
"55",1,54,0
"56",1,55,0
"57",1,56,0
"58",1,57,0
"59",1,58,0
"60",1,59,0
"61",1,60,0
"62",1,61,0
"63",1,62,0
"64",1,63,0
"65",1,64,0
"66",1,65,0
"67",1,66,0
"68",1,67,0
"69",1,68,0
"70",1,69,0
"71",1,70,0
"72",2,0,0
"73",2,1,0.294773012298809
"74",2,2,0.155640150493771
"75",2,3,0.271191171314904
"76",2,4,0.0141491045903428
"77",2,5,0
"78",2,6,0.0165072886887333
"79",2,7,0.707455229517142
"80",2,8,2.33224407330818
"81",2,9,0
"82",2,10,0.235818409839047
"83",2,11,0
"84",2,12,0
"85",2,13,0
"86",2,14,0
"87",2,15,0
"88",2,16,0.445696794595799
"89",2,17,0.115551020821133
"90",2,18,0.410324033119942
"91",2,19,0.452771346890971
"92",2,20,0.1980874642648
"93",2,21,0.238176593937438
"94",2,22,0.00707455229517142
"95",2,23,0.044805497869419
"96",2,24,0
"97",2,25,0
"98",2,26,0
"99",2,27,0.0165072886887333
"100",2,28,0.00943273639356189
"101",2,29,0
"102",2,30,0
"103",2,31,0
"104",2,32,0
"105",2,33,0
"106",2,34,0
"107",2,35,0
"108",2,36,0
"109",2,37,0
"110",2,38,0
"111",2,39,0
"112",2,40,0
"113",2,41,0
"114",2,42,0
"115",2,43,0
"116",2,44,0
"117",2,45,0
"118",2,46,0
"119",2,47,0
"120",2,48,0
"121",2,49,0
"122",2,50,0
"123",2,51,0
"124",2,52,0
"125",2,53,0
"126",2,54,0.00235818409839047
"127",2,55,0
"128",2,56,0
"129",2,57,0
"130",2,58,0
"131",2,59,0
"132",2,60,0
"133",2,61,0
"134",2,62,0
"135",2,63,0
"136",2,64,0
"137",2,65,0
"138",2,66,0
"139",2,67,0
"140",2,68,0
"141",2,69,0
"142",2,70,0
"143",3,0,0
"144",3,1,0
"145",3,2,0
"146",3,3,0.418776215832299
"147",3,4,0.262013549547731
"148",3,5,0
"149",3,6,0.00456169946088714
"150",3,7,0.66132030309523
"151",3,8,0.412154062179627
"152",3,9,0.918346673288681
"153",3,10,0.0963419648042385
"154",3,11,0
"155",3,12,0.160664398559697
"156",3,13,0.732819866387079
"157",3,14,0.137781584701677
"158",3,15,0
"159",3,16,0
"160",3,17,4.19521968214285
"161",3,18,0
"162",3,19,0
"163",3,20,0
"164",3,21,0
"165",3,22,0
"166",3,23,0
"167",3,24,0
"168",3,25,0
"169",3,26,0
"170",3,27,0
"171",3,28,0
"172",3,29,0
"173",3,30,0
"174",3,31,0
"175",3,32,0
"176",3,33,0
"177",3,34,0
"178",3,35,0
"179",3,36,0
"180",3,37,0
"181",3,38,0
"182",3,39,0
"183",3,40,0
"184",3,41,0
"185",3,42,0
"186",3,43,0
"187",3,44,0
"188",3,45,0
"189",3,46,0
"190",3,47,0
"191",3,48,0
"192",3,49,0
"193",3,50,0
"194",3,51,0
"195",3,52,0
"196",3,53,0
"197",3,54,0
"198",3,55,0
"199",3,56,0
"200",3,57,0
"201",3,58,0
"202",3,59,0
"203",3,60,0
"204",3,61,0
"205",3,62,0
"206",3,63,0
"207",3,64,0
"208",3,65,0
"209",3,66,0
"210",3,67,0
"211",3,68,0
"212",3,69,0
"213",3,70,0
"214",4,0,0
"215",4,1,0
"216",4,2,0
"217",4,3,0.0724077605612163
"218",4,4,0.0231942585177225
"219",4,5,0
"220",4,6,0.0102893867904855
"221",4,7,0.307622518707778
"222",4,8,0.149236871837904
"223",4,9,1.86619623151858
"224",4,10,0
"225",4,11,0
"226",4,12,0.24822547547077
"227",4,13,0.868510609781299
"228",4,14,0
"229",4,15,0
"230",4,16,0
"231",4,17,0.540653436363584
"232",4,18,0.563455194694455
"233",4,19,1.23646218653888
"234",4,20,0
"235",4,21,0
"236",4,22,0
"237",4,23,0
"238",4,24,1.40916404614488
"239",4,25,0.704582023072442
"240",4,26,0
"241",4,27,0
"242",4,28,0
"243",4,29,0
"244",4,30,0
"245",4,31,0
"246",4,32,0
"247",4,33,0
"248",4,34,0
"249",4,35,0
"250",4,36,0
"251",4,37,0
"252",4,38,0
"253",4,39,0
"254",4,40,0
"255",4,41,0
"256",4,42,0
"257",4,43,0
"258",4,44,0
"259",4,45,0
"260",4,46,0
"261",4,47,0
"262",4,48,0
"263",4,49,0
"264",4,50,0
"265",4,51,0
"266",4,52,0
"267",4,53,0
"268",4,54,0
"269",4,55,0
"270",4,56,0
"271",4,57,0
"272",4,58,0
"273",4,59,0
"274",4,60,0
"275",4,61,0
"276",4,62,0
"277",4,63,0
"278",4,64,0
"279",4,65,0
"280",4,66,0
"281",4,67,0
"282",4,68,0
"283",4,69,0
"284",4,70,0
"285",5,0,0
"286",5,1,0.177285162321961
"287",5,2,0.0678553426759663
"288",5,3,0.287006630759104
"289",5,4,0.482355330309549
"290",5,5,0.00105391091927902
"291",5,6,0.136336984527094
"292",5,7,0.0557633584096439
"293",5,8,0.010241869924749
"294",5,9,1.11416592714302
"295",5,10,0.0155193394748039
"296",5,11,0.174440948123593
"297",5,12,0.398323957809966
"298",5,13,0
"299",5,14,0.265319767989591
"300",5,15,0
"301",5,16,0
"302",5,17,1.6271110351195
"303",5,18,1.36590232616767
"304",5,19,0
"305",5,20,0
"306",5,21,0
"307",5,22,0
"308",5,23,0
"309",5,24,0
"310",5,25,0
"311",5,26,0
"312",5,27,0
"313",5,28,0.185329313800032
"314",5,29,1.63598879452448
"315",5,30,0
"316",5,31,0
"317",5,32,0
"318",5,33,0
"319",5,34,0
"320",5,35,0
"321",5,36,0
"322",5,37,0
"323",5,38,0
"324",5,39,0
"325",5,40,0
"326",5,41,0
"327",5,42,0
"328",5,43,0
"329",5,44,0
"330",5,45,0
"331",5,46,0
"332",5,47,0
"333",5,48,0
"334",5,49,0
"335",5,50,0
"336",5,51,0
"337",5,52,0
"338",5,53,0
"339",5,54,0
"340",5,55,0
"341",5,56,0
"342",5,57,0
"343",5,58,0
"344",5,59,0
"345",5,60,0
"346",5,61,0
"347",5,62,0
"348",5,63,0
"349",5,64,0
"350",5,65,0
"351",5,66,0
"352",5,67,0
"353",5,68,0
"354",5,69,0
"355",5,70,0
"356",6,0,0
"357",6,1,0.079355090230412
"358",6,2,0
"359",6,3,0
"360",6,4,0
"361",6,5,0
"362",6,6,0
"363",6,7,0
"364",6,8,1.13795199390411
"365",6,9,0.341226887990771
"366",6,10,0.112684228127185
"367",6,11,0.266633103174184
"368",6,12,1.12049387405342
"369",6,13,0.168232791288473
"370",6,14,0.239652372495844
"371",6,15,0
"372",6,16,0
"373",6,17,0
"374",6,18,0.0126968144368659
"375",6,19,0
"376",6,20,0
"377",6,21,0
"378",6,22,0
"379",6,23,0
"380",6,24,0
"381",6,25,0
"382",6,26,0
"383",6,27,0
"384",6,28,0
"385",6,29,0.00634840721843296
"386",6,30,0.0079355090230412
"387",6,31,0
"388",6,32,0
"389",6,33,0
"390",6,34,0
"391",6,35,0
"392",6,36,0
"393",6,37,0
"394",6,38,0
"395",6,39,0
"396",6,40,0
"397",6,41,0
"398",6,42,0
"399",6,43,0
"400",6,44,0
"401",6,45,0
"402",6,46,0
"403",6,47,0
"404",6,48,0
"405",6,49,0
"406",6,50,0
"407",6,51,0
"408",6,52,0
"409",6,53,0
"410",6,54,0
"411",6,55,0
"412",6,56,0
"413",6,57,0
"414",6,58,0
"415",6,59,0
"416",6,60,0
"417",6,61,0
"418",6,62,0
"419",6,63,0
"420",6,64,0
"421",6,65,0
"422",6,66,0
"423",6,67,0
"424",6,68,0
"425",6,69,0
"426",6,70,0
"427",7,0,0
"428",7,1,0.379471132185495
"429",7,2,0.00121236783445845
"430",7,3,0
"431",7,4,0
"432",7,5,0
"433",7,6,0
"434",7,7,0
"435",7,8,0.207314899692395
"436",7,9,0
"437",7,10,0
"438",7,11,0.466761616266504
"439",7,12,0.958982957056635
"440",7,13,0.0775915414053409
"441",7,14,0.0109113105101261
"442",7,15,0
"443",7,16,0
"444",7,17,0
"445",7,18,0
"446",7,19,0
"447",7,20,0
"448",7,21,0
"449",7,22,0
"450",7,23,0
"451",7,24,0
"452",7,25,0
"453",7,26,0
"454",7,27,0
"455",7,28,0
"456",7,29,0
"457",7,30,0
"458",7,31,0
"459",7,32,0
"460",7,33,0
"461",7,34,0
"462",7,35,0
"463",7,36,0
"464",7,37,0
"465",7,38,0
"466",7,39,0
"467",7,40,0
"468",7,41,0
"469",7,42,0
"470",7,43,0
"471",7,44,0
"472",7,45,0
"473",7,46,0
"474",7,47,0
"475",7,48,0
"476",7,49,0
"477",7,50,0
"478",7,51,0
"479",7,52,0
"480",7,53,0
"481",7,54,0
"482",7,55,0
"483",7,56,0
"484",7,57,0
"485",7,58,0
"486",7,59,0
"487",7,60,0
"488",7,61,0
"489",7,62,0
"490",7,63,0
"491",7,64,0
"492",7,65,0
"493",7,66,0
"494",7,67,0
"495",7,68,0
"496",7,69,0
"497",7,70,0
"498",8,0,0
"499",8,1,0.840701908296087
"500",8,2,0
"501",8,3,0
"502",8,4,0
"503",8,5,0
"504",8,6,0
"505",8,7,0
"506",8,8,0
"507",8,9,0
"508",8,10,1.52895653722115
"509",8,11,1.23527133725638
"510",8,12,0.892264958671581
"511",8,13,0.307136430497504
"512",8,14,0.183833483947411
"513",8,15,0
"514",8,16,0
"515",8,17,0
"516",8,18,0.372150711405735
"517",8,19,0
"518",8,20,0
"519",8,21,0
"520",8,22,0
"521",8,23,0
"522",8,24,0.0067256152663687
"523",8,25,0
"524",8,26,0.0179349740436499
"525",8,27,0.0448374351091246
"526",8,28,0.132270433571918
"527",8,29,0
"528",8,30,0.0134512305327374
"529",8,31,0.029144332820931
"530",8,32,0.0112093587772812
"531",8,33,0
"532",8,34,0
"533",8,35,0
"534",8,36,0
"535",8,37,0
"536",8,38,0
"537",8,39,0
"538",8,40,0
"539",8,41,0
"540",8,42,0
"541",8,43,0
"542",8,44,0
"543",8,45,0
"544",8,46,0
"545",8,47,0
"546",8,48,0
"547",8,49,0
"548",8,50,0
"549",8,51,0
"550",8,52,0
"551",8,53,0
"552",8,54,0
"553",8,55,0
"554",8,56,0
"555",8,57,0
"556",8,58,0
"557",8,59,0
"558",8,60,0
"559",8,61,0
"560",8,62,0
"561",8,63,0
"562",8,64,0
"563",8,65,0
"564",8,66,0
"565",8,67,0
"566",8,68,0
"567",8,69,0
"568",8,70,0
"569",9,0,0
"570",9,1,0.0180193009732269
"571",9,2,0.745715240349659
"572",9,3,0.206453385417486
"573",9,4,0
"574",9,5,0
"575",9,6,0
"576",9,7,0
"577",9,8,0
"578",9,9,0.0111536948461904
"579",9,10,0.593616429115527
"580",9,11,0
"581",9,12,0
"582",9,13,0
"583",9,14,0.0798407853960421
"584",9,15,0
"585",9,16,0
"586",9,17,0
"587",9,18,0
"588",9,19,0.101838625054911
"589",9,20,0.0866598167699089
"590",9,21,0.00238334690800869
"591",9,22,0.0488794640364164
"592",9,23,0.130739177493237
"593",9,24,0
"594",9,25,0.00571067227037897
"595",9,26,0.713208640539003
"596",9,27,0.0352577653114908
"597",9,28,1.11077420897928
"598",9,29,1.17169525296266
"599",9,30,0.960042383110856
"600",9,31,0
"601",9,32,1.97801181046572
"602",9,33,0
"603",9,34,0
"604",9,35,0
"605",9,36,0
"606",9,37,0
"607",9,38,0
"608",9,39,0
"609",9,40,0
"610",9,41,0
"611",9,42,0
"612",9,43,0
"613",9,44,0
"614",9,45,0
"615",9,46,0
"616",9,47,0
"617",9,48,0
"618",9,49,0
"619",9,50,0
"620",9,51,0
"621",9,52,0
"622",9,53,0
"623",9,54,0
"624",9,55,0
"625",9,56,0
"626",9,57,0
"627",9,58,0
"628",9,59,0
"629",9,60,0
"630",9,61,0
"631",9,62,0
"632",9,63,0
"633",9,64,0
"634",9,65,0
"635",9,66,0
"636",9,67,0
"637",9,68,0
"638",9,69,0
"639",9,70,0
"640",10,0,0
"641",10,1,0
"642",10,2,0
"643",10,3,0.374050013552232
"644",10,4,0
"645",10,5,0
"646",10,6,0
"647",10,7,0.230759217728546
"648",10,8,7.39519076871922
"649",10,9,0
"650",10,10,0
"651",10,11,0
"652",10,12,0
"653",10,13,0
"654",10,14,0
"655",10,15,0
"656",10,16,0
"657",10,17,0
"658",10,18,0
"659",10,19,0
"660",10,20,0
"661",10,21,0
"662",10,22,0
"663",10,23,0
"664",10,24,0
"665",10,25,0
"666",10,26,0
"667",10,27,0
"668",10,28,0
"669",10,29,0
"670",10,30,0
"671",10,31,0
"672",10,32,0
"673",10,33,0
"674",10,34,0
"675",10,35,0
"676",10,36,0
"677",10,37,0
"678",10,38,0
"679",10,39,0
"680",10,40,0
"681",10,41,0
"682",10,42,0
"683",10,43,0
"684",10,44,0
"685",10,45,0
"686",10,46,0
"687",10,47,0
"688",10,48,0
"689",10,49,0
"690",10,50,0
"691",10,51,0
"692",10,52,0
"693",10,53,0
"694",10,54,0
"695",10,55,0
"696",10,56,0
"697",10,57,0
"698",10,58,0
"699",10,59,0
"700",10,60,0
"701",10,61,0
"702",10,62,0
"703",10,63,0
"704",10,64,0
"705",10,65,0
"706",10,66,0
"707",10,67,0
"708",10,68,0
"709",10,69,0
"710",10,70,0
"711",11,0,0
"712",11,1,2.42599141426408
"713",11,2,0.0927869226172715
"714",11,3,0
"715",11,4,0
"716",11,5,0
"717",11,6,0
"718",11,7,0.0309289742057572
"719",11,8,0.0676571310750938
"720",11,9,0
"721",11,10,0.22230200210388
"722",11,11,0.779023537807509
"723",11,12,0.0637910092993741
"724",11,13,0.00966530443929911
"725",11,14,0.0367281568693366
"726",11,15,0.133381201262328
"727",11,16,0
"728",11,17,0
"729",11,18,0
"730",11,19,0
"731",11,20,0
"732",11,21,0
"733",11,22,0
"734",11,23,0
"735",11,24,0
"736",11,25,0
"737",11,26,0
"738",11,27,0
"739",11,28,0
"740",11,29,0
"741",11,30,0
"742",11,31,0
"743",11,32,0
"744",11,33,0
"745",11,34,0
"746",11,35,0
"747",11,36,0
"748",11,37,0
"749",11,38,0
"750",11,39,0
"751",11,40,0
"752",11,41,0
"753",11,42,0
"754",11,43,0
"755",11,44,0
"756",11,45,0
"757",11,46,0
"758",11,47,0
"759",11,48,0
"760",11,49,0
"761",11,50,0
"762",11,51,0
"763",11,52,0
"764",11,53,0
"765",11,54,0
"766",11,55,0
"767",11,56,0
"768",11,57,0
"769",11,58,0
"770",11,59,0
"771",11,60,0
"772",11,61,0
"773",11,62,0
"774",11,63,0
"775",11,64,0
"776",11,65,0
"777",11,66,0
"778",11,67,0
"779",11,68,0
"780",11,69,0
"781",11,70,0
"782",12,0,0
"783",12,1,0
"784",12,2,0
"785",12,3,0
"786",12,4,0
"787",12,5,0
"788",12,6,0.993311885887895
"789",12,7,0
"790",12,8,0
"791",12,9,0.0568760180632626
"792",12,10,0.576042174444174
"793",12,11,1.07051312650929
"794",12,12,2.50369165189351
"795",12,13,2.79956514320187
"796",12,14,0
"797",12,15,0
"798",12,16,0
"799",12,17,0
"800",12,18,0
"801",12,19,0
"802",12,20,0
"803",12,21,0
"804",12,22,0
"805",12,23,0
"806",12,24,0
"807",12,25,0
"808",12,26,0
"809",12,27,0
"810",12,28,0
"811",12,29,0
"812",12,30,0
"813",12,31,0
"814",12,32,0
"815",12,33,0
"816",12,34,0
"817",12,35,0
"818",12,36,0
"819",12,37,0
"820",12,38,0
"821",12,39,0
"822",12,40,0
"823",12,41,0
"824",12,42,0
"825",12,43,0
"826",12,44,0
"827",12,45,0
"828",12,46,0
"829",12,47,0
"830",12,48,0
"831",12,49,0
"832",12,50,0
"833",12,51,0
"834",12,52,0
"835",12,53,0
"836",12,54,0
"837",12,55,0
"838",12,56,0
"839",12,57,0
"840",12,58,0
"841",12,59,0
"842",12,60,0
"843",12,61,0
"844",12,62,0
"845",12,63,0
"846",12,64,0
"847",12,65,0
"848",12,66,0
"849",12,67,0
"850",12,68,0
"851",12,69,0
"852",12,70,0
"853",13,0,0
"854",13,1,0
"855",13,2,0
"856",13,3,0
"857",13,4,0
"858",13,5,0
"859",13,6,0
"860",13,7,0
"861",13,8,0
"862",13,9,0.107226013028593
"863",13,10,0.0392294392483797
"864",13,11,5.28451910908129
"865",13,12,0
"866",13,13,1.43322304661482
"867",13,14,0
"868",13,15,0
"869",13,16,0
"870",13,17,1.13580239202691
"871",13,18,0
"872",13,19,0
"873",13,20,0
"874",13,21,0
"875",13,22,0
"876",13,23,0
"877",13,24,0
"878",13,25,0
"879",13,26,0
"880",13,27,0
"881",13,28,0
"882",13,29,0
"883",13,30,0
"884",13,31,0
"885",13,32,0
"886",13,33,0
"887",13,34,0
"888",13,35,0
"889",13,36,0
"890",13,37,0
"891",13,38,0
"892",13,39,0
"893",13,40,0
"894",13,41,0
"895",13,42,0
"896",13,43,0
"897",13,44,0
"898",13,45,0
"899",13,46,0
"900",13,47,0
"901",13,48,0
"902",13,49,0
"903",13,50,0
"904",13,51,0
"905",13,52,0
"906",13,53,0
"907",13,54,0
"908",13,55,0
"909",13,56,0
"910",13,57,0
"911",13,58,0
"912",13,59,0
"913",13,60,0
"914",13,61,0
"915",13,62,0
"916",13,63,0
"917",13,64,0
"918",13,65,0
"919",13,66,0
"920",13,67,0
"921",13,68,0
"922",13,69,0
"923",13,70,0
"924",14,0,0
"925",14,1,0
"926",14,2,0
"927",14,3,0
"928",14,4,0.0190943572129661
"929",14,5,0.0991277399441623
"930",14,6,0
"931",14,7,0.628978845007699
"932",14,8,0.0121349633972331
"933",14,9,0
"934",14,10,0.0460819983263964
"935",14,11,1.08684338059164
"936",14,12,0.23914659529239
"937",14,13,0.288005715163618
"938",14,14,3.20018852212263
"939",14,15,2.38039788294126
"940",14,16,0
"941",14,17,0
"942",14,18,0
"943",14,19,0
"944",14,20,0
"945",14,21,0
"946",14,22,0
"947",14,23,0
"948",14,24,0
"949",14,25,0
"950",14,26,0
"951",14,27,0
"952",14,28,0
"953",14,29,0
"954",14,30,0
"955",14,31,0
"956",14,32,0
"957",14,33,0
"958",14,34,0
"959",14,35,0
"960",14,36,0
"961",14,37,0
"962",14,38,0
"963",14,39,0
"964",14,40,0
"965",14,41,0
"966",14,42,0
"967",14,43,0
"968",14,44,0
"969",14,45,0
"970",14,46,0
"971",14,47,0
"972",14,48,0
"973",14,49,0
"974",14,50,0
"975",14,51,0
"976",14,52,0
"977",14,53,0
"978",14,54,0
"979",14,55,0
"980",14,56,0
"981",14,57,0
"982",14,58,0
"983",14,59,0
"984",14,60,0
"985",14,61,0
"986",14,62,0
"987",14,63,0
"988",14,64,0
"989",14,65,0
"990",14,66,0
"991",14,67,0
"992",14,68,0
"993",14,69,0
"994",14,70,0
"995",15,0,0
"996",15,1,0
"997",15,2,0.00904858000275442
"998",15,3,0.00455416448089996
"999",15,4,0.389474017173361
"1000",15,5,1.67654431477512
"1001",15,6,0
"1002",15,7,0.699869772618499
"1003",15,8,0
"1004",15,9,0
"1005",15,10,0
"1006",15,11,0
"1007",15,12,0
"1008",15,13,0.157153392127578
"1009",15,14,0.204028932819371
"1010",15,15,4.85932682600242
"1011",15,16,0
"1012",15,17,0
"1013",15,18,0
"1014",15,19,0
"1015",15,20,0
"1016",15,21,0
"1017",15,22,0
"1018",15,23,0
"1019",15,24,0
"1020",15,25,0
"1021",15,26,0
"1022",15,27,0
"1023",15,28,0
"1024",15,29,0
"1025",15,30,0
"1026",15,31,0
"1027",15,32,0
"1028",15,33,0
"1029",15,34,0
"1030",15,35,0
"1031",15,36,0
"1032",15,37,0
"1033",15,38,0
"1034",15,39,0
"1035",15,40,0
"1036",15,41,0
"1037",15,42,0
"1038",15,43,0
"1039",15,44,0
"1040",15,45,0
"1041",15,46,0
"1042",15,47,0
"1043",15,48,0
"1044",15,49,0
"1045",15,50,0
"1046",15,51,0
"1047",15,52,0
"1048",15,53,0
"1049",15,54,0
"1050",15,55,0
"1051",15,56,0
"1052",15,57,0
"1053",15,58,0
"1054",15,59,0
"1055",15,60,0
"1056",15,61,0
"1057",15,62,0
"1058",15,63,0
"1059",15,64,0
"1060",15,65,0
"1061",15,66,0
"1062",15,67,0
