"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,6.77077797833935,0.892992248117978,10.746,2.8627959467445,8,0.206035179393738,75.0566563372257,8,9.38208204215321
"2",2,7.73026857406553,1.30196632768148,13.407,2.76534240294036,6.43662404637139,0.19308305838654,52.9499208872357,8,8.22634979233964
"3",3,6.44136635141862,5.91024600038294,23.491,2.15686400948011,4.42157121943423,0.120508655532957,31.0137236628459,2,7.01418616226979
"4",4,6.3875785198556,5.30373048576331,15.453,4.98865735868697,8,0.268360560173759,108.022379041824,15,13.502797380228
"5",5,2.92419133574007,0.715477540846231,13.501,3.10435877802297,8,0.219833505580426,53.3113203239996,4,6.66391504049994
"6",6,3.1320920993228,0.114807991806835,3.345,8,8,0.403034177487903,28,3,3.5
"7",7,3.46337590252708,1.25623307744373,16.202,3.25600286671598,8,0.19471559936507,62.2117447038227,9,7.77646808797783
"8",8,2.90797878103837,1.17582224473801,6.467,4.35093348688485,8,0.23995588351465,44.4627203486404,6,5.55784004358005
"9",9,7.44381707317073,3.98944435929864,18.131,4.29554657493755,7.90551963168057,0.236960287706556,63.0691929784887,10,7.97786811201445
"10",10,10.5777373333333,4.49326536542215,24.14,0.830695624683457,2.18604111758805,0.0511933565117901,24.2461107155415,10,11.0913333333333
"11",11,11.6790903119869,3.99602917351528,24.337,2.05834468399836,3.97106202498944,0.111658776268923,48.2645964947472,9,12.1540777230432
"12",12,14.8030193648335,3.93396775489123,24.47,0.944221461651845,1.88115726387736,0.0509237020343184,28.4352001750076,12,15.1158017041053
"13",13,7.17660728476821,5.38490699431187,15.082,1.10717003028584,2.49899364085443,0.0664831416308146,18.762311858521,1,7.50794701986755
"14",14,12.4100014430014,2.16663925331194,17.768,3.37049626254401,8,0.220453103588492,133.633945562936,18,16.704243195367
"15",15,11.219583253128,2.08939489102443,18.615,2.30086644850203,8,0.180332142206396,130.556969494431,18,16.3196211868039
"16",16,10.826831,2.49492064381785,15.274,3.09726077675064,5.77847159841537,0.173410852229016,66.3137400634148,10,11.476
"17",17,11.4398843717001,4.47427361858738,21.727,3.21915543523354,4.50301358517897,0.166254042389488,53.0019439569138,12,11.7703273495248
"18",18,2.16392015392015,0.326232044480289,2.773,6.33222480041543,8,0.329685286323371,26.3322248004154,3,3.29152810005193
"19",19,2.63906544754572,0.384012213873481,4.849,3.18813088153324,8,0.229987129945457,35.9894098634376,5,4.49867623292971
"20",20,9.31264371689937,10.7961489422306,393.05,4.76867522950032,7.94906777822806,0.25064059133588,78.5128314571303,5,9.87698603755416
"21",21,5.05579078455791,5.03296992240156,21.257,2.48958227557506,8,0.177828878788925,132.054909833904,21,16.506863729238
"22",22,9.07442163172099,5.56247216911672,25.7,2.21230982256186,8,0.152558070013537,152.718335471121,24,19.0897919338902
"23",23,4.30935893709778,1.69051809818231,16.984,1.60823126237689,8,0.154827899037164,86.0188823887348,16,10.7523602985918
"24",24,7.55681483830057,7.07696538622019,24.492,3.58825341319094,6.65726545012014,0.196009148587034,53.299634767898,2,8.00623546818854
"25",25,12.6520310705843,7.89437965647211,25.824,0.530846975661167,1.84922105286202,0.0370684524109523,24.2300418096637,1,13.1028368794326
"26",26,16.6161172929209,1.45689850429349,21.826,4.52426978411394,8,0.241144025738511,165.564677491109,22,20.6955846863886
"27",27,17.0694967824968,2.42602070194042,23.211,1.50478613979313,3.1380000821773,0.089272747379222,55.1056238369172,16,17.5607464607465
"28",28,22.5658795180723,0.102308611870148,22.765,0.052659988366871,0.068831165896855,0.0027732623166308,1.60136122104611,23,23.2650602409639
"30",29,0,0,0,0,0,0,0,0,0
"29",30,1.80091788321168,0.147216507566203,2.147,0.505557215298523,0.505557215298523,0.0254696045551143,1.26389303824631,2,2.5
