"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,1.73030641781993
"3",1,2,2.25542428591453
"4",1,3,0
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",1,24,0
"26",1,25,0
"27",1,26,0
"28",1,27,0
"29",1,28,0
"30",1,29,0
"31",1,30,0
"32",1,31,0
"33",1,32,0
"34",1,33,0
"35",1,34,0
"36",1,35,0
"37",1,36,0
"38",1,37,0
"39",1,38,0
"40",1,39,0
"41",1,40,0
"42",1,41,0
"43",1,42,0
"44",1,43,0
"45",1,44,0
"46",1,45,0
"47",1,46,0
"48",1,47,0
"49",1,48,0
"50",1,49,0
"51",1,50,0
"52",1,51,0
"53",1,52,0
"54",1,53,0
"55",1,54,0
"56",1,55,0
"57",1,56,0
"58",1,57,0
"59",1,58,0
"60",1,59,0
"61",1,60,0
"62",1,61,0
"63",1,62,0
"64",1,63,0
"65",2,0,0
"66",2,1,0
"67",2,2,1.60873369428516
"68",2,3,1.81027920872042
"69",2,4,4.58098709699442
"70",2,5,0
"71",2,6,0
"72",2,7,0
"73",2,8,0
"74",2,9,0
"75",2,10,0
"76",2,11,0
"77",2,12,0
"78",2,13,0
"79",2,14,0
"80",2,15,0
"81",2,16,0
"82",2,17,0
"83",2,18,0
"84",2,19,0
"85",2,20,0
"86",2,21,0
"87",2,22,0
"88",2,23,0
"89",2,24,0
"90",2,25,0
"91",2,26,0
"92",2,27,0
"93",2,28,0
"94",2,29,0
"95",2,30,0
"96",2,31,0
"97",2,32,0
"98",2,33,0
"99",2,34,0
"100",2,35,0
"101",2,36,0
"102",2,37,0
"103",2,38,0
"104",2,39,0
"105",2,40,0
"106",2,41,0
"107",2,42,0
"108",2,43,0
"109",2,44,0
"110",2,45,0
"111",2,46,0
"112",2,47,0
"113",2,48,0
"114",2,49,0
"115",2,50,0
"116",2,51,0
"117",2,52,0
"118",2,53,0
"119",2,54,0
"120",2,55,0
"121",2,56,0
"122",2,57,0
"123",2,58,0
"124",2,59,0
"125",2,60,0
"126",2,61,0
"127",2,62,0
"128",2,63,0
"129",3,0,0
"130",3,1,0
"131",3,2,0.832228897486363
"132",3,3,1.38728517319419
"133",3,4,5.78048592931945
"134",3,5,0
"135",3,6,0
"136",3,7,0
"137",3,8,0
"138",3,9,0
"139",3,10,0
"140",3,11,0
"141",3,12,0
"142",3,13,0
"143",3,14,0
"144",3,15,0
"145",3,16,0
"146",3,17,0
"147",3,18,0
"148",3,19,0
"149",3,20,0
"150",3,21,0
"151",3,22,0
"152",3,23,0
"153",3,24,0
"154",3,25,0
"155",3,26,0
"156",3,27,0
"157",3,28,0
"158",3,29,0
"159",3,30,0
"160",3,31,0
"161",3,32,0
"162",3,33,0
"163",3,34,0
"164",3,35,0
"165",3,36,0
"166",3,37,0
"167",3,38,0
"168",3,39,0
"169",3,40,0
"170",3,41,0
"171",3,42,0
"172",3,43,0
"173",3,44,0
"174",3,45,0
"175",3,46,0
"176",3,47,0
"177",3,48,0
"178",3,49,0
"179",3,50,0
"180",3,51,0
"181",3,52,0
"182",3,53,0
"183",3,54,0
"184",3,55,0
"185",3,56,0
"186",3,57,0
"187",3,58,0
"188",3,59,0
"189",3,60,0
"190",3,61,0
"191",3,62,0
"192",3,63,0
"193",4,0,0
"194",4,1,0
"195",4,2,1.46989125143514
"196",4,3,0.287341750812314
"197",4,4,0.59915717696527
"198",4,5,1.76118668078796
"199",4,6,0.226934133193152
"200",4,7,0
"201",4,8,0
"202",4,9,0
"203",4,10,0
"204",4,11,0
"205",4,12,0
"206",4,13,0.896437328195261
"207",4,14,0
"208",4,15,0
"209",4,16,0
"210",4,17,0
"211",4,18,0
"212",4,19,0
"213",4,20,0
"214",4,21,2.7590516786109
"215",4,22,0
"216",4,23,0
"217",4,24,0
"218",4,25,0
"219",4,26,0
"220",4,27,0
"221",4,28,0
"222",4,29,0
"223",4,30,0
"224",4,31,0
"225",4,32,0
"226",4,33,0
"227",4,34,0
"228",4,35,0
"229",4,36,0
"230",4,37,0
"231",4,38,0
"232",4,39,0
"233",4,40,0
"234",4,41,0
"235",4,42,0
"236",4,43,0
"237",4,44,0
"238",4,45,0
"239",4,46,0
"240",4,47,0
"241",4,48,0
"242",4,49,0
"243",4,50,0
"244",4,51,0
"245",4,52,0
"246",4,53,0
"247",4,54,0
"248",4,55,0
"249",4,56,0
"250",4,57,0
"251",4,58,0
"252",4,59,0
"253",4,60,0
"254",4,61,0
"255",4,62,0
"256",4,63,0
"257",5,0,0
"258",5,1,0
"259",5,2,1.36258625942843
"260",5,3,0.0296588333017618
"261",5,4,1.449237330206
"262",5,5,5.15851757706381
"263",5,6,0
"264",5,7,0
"265",5,8,0
"266",5,9,0
"267",5,10,0
"268",5,11,0
"269",5,12,0
"270",5,13,0
"271",5,14,0
"272",5,15,0
"273",5,16,0
"274",5,17,0
"275",5,18,0
"276",5,19,0
"277",5,20,0
"278",5,21,0
"279",5,22,0
"280",5,23,0
"281",5,24,0
"282",5,25,0
"283",5,26,0
"284",5,27,0
"285",5,28,0
"286",5,29,0
"287",5,30,0
"288",5,31,0
"289",5,32,0
"290",5,33,0
"291",5,34,0
"292",5,35,0
"293",5,36,0
"294",5,37,0
"295",5,38,0
"296",5,39,0
"297",5,40,0
"298",5,41,0
"299",5,42,0
"300",5,43,0
"301",5,44,0
"302",5,45,0
"303",5,46,0
"304",5,47,0
"305",5,48,0
"306",5,49,0
"307",5,50,0
"308",5,51,0
"309",5,52,0
"310",5,53,0
"311",5,54,0
"312",5,55,0
"313",5,56,0
"314",5,57,0
"315",5,58,0
"316",5,59,0
"317",5,60,0
"318",5,61,0
"319",5,62,0
"320",5,63,0
"321",6,0,0
"322",6,1,0.0109780878075008
"323",6,2,0.00755170937128649
"324",6,3,0.695224867174723
"325",6,4,0.299434709062922
"326",6,5,0.718097098384463
"327",6,6,0
"328",6,7,0
"329",6,8,0
"330",6,9,0.0533485008118719
"331",6,10,0
"332",6,11,0
"333",6,12,0
"334",6,13,0
"335",6,14,0
"336",6,15,0.0165502731795986
"337",6,16,1.21152313539863
"338",6,17,0.0452626433001615
"339",6,18,0
"340",6,19,1.35212585841811
"341",6,20,1.90739068050831
"342",6,21,1.68251243658243
"343",6,22,0
"344",6,23,0
"345",6,24,0
"346",6,25,0
"347",6,26,0
"348",6,27,0
"349",6,28,0
"350",6,29,0
"351",6,30,0
"352",6,31,0
"353",6,32,0
"354",6,33,0
"355",6,34,0
"356",6,35,0
"357",6,36,0
"358",6,37,0
"359",6,38,0
"360",6,39,0
"361",6,40,0
"362",6,41,0
"363",6,42,0
"364",6,43,0
"365",6,44,0
"366",6,45,0
"367",6,46,0
"368",6,47,0
"369",6,48,0
"370",6,49,0
"371",6,50,0
"372",6,51,0
"373",6,52,0
"374",6,53,0
"375",6,54,0
"376",6,55,0
"377",6,56,0
"378",6,57,0
"379",6,58,0
"380",6,59,0
"381",6,60,0
"382",6,61,0
"383",6,62,0
"384",6,63,0
"385",7,0,0
"386",7,1,0
"387",7,2,1.00234000406555
"388",7,3,0.715634243893786
"389",7,4,0
"390",7,5,2.45188693845069
"391",7,6,0
"392",7,7,0
"393",7,8,0
"394",7,9,3.83013881358998
"395",7,10,0
"396",7,11,0
"397",7,12,0
"398",7,13,0
"399",7,14,0
"400",7,15,0
"401",7,16,0
"402",7,17,0
"403",7,18,0
"404",7,19,0
"405",7,20,0
"406",7,21,0
"407",7,22,0
"408",7,23,0
"409",7,24,0
"410",7,25,0
"411",7,26,0
"412",7,27,0
"413",7,28,0
"414",7,29,0
"415",7,30,0
"416",7,31,0
"417",7,32,0
"418",7,33,0
"419",7,34,0
"420",7,35,0
"421",7,36,0
"422",7,37,0
"423",7,38,0
"424",7,39,0
"425",7,40,0
"426",7,41,0
"427",7,42,0
"428",7,43,0
"429",7,44,0
"430",7,45,0
"431",7,46,0
"432",7,47,0
"433",7,48,0
"434",7,49,0
"435",7,50,0
