"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0.113587912236154
"5",1,4,0.35242236742355
"6",1,5,0
"7",1,6,0
"8",1,7,0
"9",1,8,0.122958679745867
"10",1,9,0.966864797811701
"11",1,10,1.34321907130076
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0.132429368541896
"17",1,16,2.49688099286316
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0.624776061325472
"23",1,22,1.84686074875143
"24",1,23,0
"25",1,24,0
"26",1,25,0
"27",1,26,0
"28",1,27,0
"29",1,28,0
"30",1,29,0
"31",1,30,0
"32",1,31,0
"33",1,32,0
"34",1,33,0
"35",1,34,0
"36",1,35,0
"37",1,36,0
"38",1,37,0
"39",1,38,0
"40",1,39,0
"41",1,40,0
"42",1,41,0
"43",1,42,0
"44",1,43,0
"45",1,44,0
"46",1,45,0
"47",1,46,0
"48",1,47,0
"49",1,48,0
"50",1,49,0
"51",1,50,0
"52",1,51,0
"53",1,52,0
"54",1,53,0
"55",1,54,0
"56",1,55,0
"57",1,56,0
"58",1,57,0
"59",2,0,0
"60",2,1,0.00131845149453072
"61",2,2,0.0795080692038207
"62",2,3,0
"63",2,4,0.0100241553610799
"64",2,5,2.26396038629692
"65",2,6,0.23650832344265
"66",2,7,1.58069641393953
"67",2,8,1.0365011760653
"68",2,9,0.230018422553221
"69",2,10,2.56146460164295
"70",2,11,0
"71",2,12,0
"72",2,13,0
"73",2,14,0
"74",2,15,0
"75",2,16,0
"76",2,17,0
"77",2,18,0
"78",2,19,0
"79",2,20,0
"80",2,21,0
"81",2,22,0
"82",2,23,0
"83",2,24,0
"84",2,25,0
"85",2,26,0
"86",2,27,0
"87",2,28,0
"88",2,29,0
"89",2,30,0
"90",2,31,0
"91",2,32,0
"92",2,33,0
"93",2,34,0
"94",2,35,0
"95",2,36,0
"96",2,37,0
"97",2,38,0
"98",2,39,0
"99",2,40,0
"100",2,41,0
"101",2,42,0
"102",2,43,0
"103",2,44,0
"104",2,45,0
"105",2,46,0
"106",2,47,0
"107",2,48,0
"108",2,49,0
"109",2,50,0
"110",2,51,0
"111",2,52,0
"112",2,53,0
"113",2,54,0
"114",2,55,0
"115",2,56,0
"116",2,57,0
"117",3,0,0
"118",3,1,0.037551082000948
"119",3,2,0.0696846963962907
"120",3,3,0.0241497433621175
"121",3,4,0.202694607167496
"122",3,5,3.27215146375901
"123",3,6,1.53591534641103
"124",3,7,2.85785306090311
"125",3,8,0
"126",3,9,0
"127",3,10,0
"128",3,11,0
"129",3,12,0
"130",3,13,0
"131",3,14,0
"132",3,15,0
"133",3,16,0
"134",3,17,0
"135",3,18,0
"136",3,19,0
"137",3,20,0
"138",3,21,0
"139",3,22,0
"140",3,23,0
"141",3,24,0
"142",3,25,0
"143",3,26,0
"144",3,27,0
"145",3,28,0
"146",3,29,0
"147",3,30,0
"148",3,31,0
"149",3,32,0
"150",3,33,0
"151",3,34,0
"152",3,35,0
"153",3,36,0
"154",3,37,0
"155",3,38,0
"156",3,39,0
"157",3,40,0
"158",3,41,0
"159",3,42,0
"160",3,43,0
"161",3,44,0
"162",3,45,0
"163",3,46,0
"164",3,47,0
"165",3,48,0
"166",3,49,0
"167",3,50,0
"168",3,51,0
"169",3,52,0
"170",3,53,0
"171",3,54,0
"172",3,55,0
"173",3,56,0
"174",3,57,0
"175",4,0,0
"176",4,1,0.000878780263178477
"177",4,2,0.253358495586943
"178",4,3,0.997276182151916
"179",4,4,3.51639030069895
"180",4,5,3.23209624129902
"181",4,6,0
"182",4,7,0
"183",4,8,0
"184",4,9,0
"185",4,10,0
"186",4,11,0
"187",4,12,0
"188",4,13,0
"189",4,14,0
"190",4,15,0
"191",4,16,0
"192",4,17,0
"193",4,18,0
"194",4,19,0
"195",4,20,0
"196",4,21,0
"197",4,22,0
"198",4,23,0
"199",4,24,0
"200",4,25,0
"201",4,26,0
"202",4,27,0
"203",4,28,0
"204",4,29,0
"205",4,30,0
"206",4,31,0
"207",4,32,0
"208",4,33,0
"209",4,34,0
"210",4,35,0
"211",4,36,0
"212",4,37,0
"213",4,38,0
"214",4,39,0
"215",4,40,0
"216",4,41,0
"217",4,42,0
"218",4,43,0
"219",4,44,0
"220",4,45,0
"221",4,46,0
"222",4,47,0
"223",4,48,0
"224",4,49,0
"225",4,50,0
"226",4,51,0
"227",4,52,0
"228",4,53,0
"229",4,54,0
"230",4,55,0
"231",4,56,0
"232",4,57,0
"233",5,0,0
"234",5,1,0
"235",5,2,1.3316404302052
"236",5,3,0.0597743834007323
"237",5,4,0.426722681499673
"238",5,5,0.483176265822586
"239",5,6,0.0298871917003662
"240",5,7,0.126190364957102
"241",5,8,0
"242",5,9,0
"243",5,10,0
"244",5,11,0
"245",5,12,0
"246",5,13,0
"247",5,14,0
"248",5,15,0
"249",5,16,0
"250",5,17,0
"251",5,18,0
"252",5,19,0
"253",5,20,0
"254",5,21,0
"255",5,22,0.685745009569513
"256",5,23,0.00332079907781846
"257",5,24,0
"258",5,25,0
"259",5,26,0
"260",5,27,0
"261",5,28,0
"262",5,29,0
"263",5,30,0
"264",5,31,0
"265",5,32,0
"266",5,33,0
"267",5,34,0
"268",5,35,0
"269",5,36,0
"270",5,37,0
"271",5,38,0
"272",5,39,0
"273",5,40,0
"274",5,41,0
"275",5,42,0
"276",5,43,0
"277",5,44,0
"278",5,45,0
"279",5,46,0
"280",5,47,0
"281",5,48,0
"282",5,49,0
"283",5,50,0
"284",5,51,0
"285",5,52,0
"286",5,53,0
"287",5,54,0
"288",5,55,0
"289",5,56,0
"290",5,57,0
"291",6,0,0
"292",6,1,0
"293",6,2,0
"294",6,3,0
"295",6,4,0
"296",6,5,0
"297",6,6,0.303263323390934
"298",6,7,0
"299",6,8,0
"300",6,9,0
"301",6,10,0.742197080930444
"302",6,11,0
"303",6,12,0
"304",6,13,0
"305",6,14,0.170785134751737
"306",6,15,0
"307",6,16,0.122901452111063
"308",6,17,0
"309",6,18,0
"310",6,19,0
"311",6,20,0.732620344402309
"312",6,21,0.73102422164762
"313",6,22,0.0766138922250781
"314",6,23,0.0399030688672282
"315",6,24,0.0159612275468913
"316",6,25,0
"317",6,26,0
"318",6,27,0
"319",6,28,0
"320",6,29,0
"321",6,30,0
"322",6,31,0
"323",6,32,0
"324",6,33,0
"325",6,34,0
"326",6,35,0
"327",6,36,0
"328",6,37,0
"329",6,38,0
"330",6,39,0
"331",6,40,0
"332",6,41,0
"333",6,42,0
"334",6,43,0
"335",6,44,0
"336",6,45,0
"337",6,46,0
"338",6,47,0
"339",6,48,0
"340",6,49,0
"341",6,50,0
"342",6,51,0
"343",6,52,0
"344",6,53,0
"345",6,54,0
"346",6,55,0
"347",6,56,0
"348",6,57,0
"349",7,0,0
"350",7,1,0
"351",7,2,0
"352",7,3,0
"353",7,4,0
"354",7,5,0
"355",7,6,0
"356",7,7,0
"357",7,8,0
"358",7,9,0
"359",7,10,0.0398206504476923
"360",7,11,0.100878981134154
"361",7,12,0.108843111223692
"362",7,13,0
"363",7,14,0.189811767134
"364",7,15,0
"365",7,16,0
"366",7,17,0
"367",7,18,0
"368",7,19,0
"369",7,20,0.0159282601790769
"370",7,21,0.516341100805077
"371",7,22,0.968969160893846
"372",7,23,0.0716771708058462
"373",7,24,0
"374",7,25,0
"375",7,26,0
"376",7,27,0
"377",7,28,0
"378",7,29,0
"379",7,30,0
"380",7,31,0
"381",7,32,0
"382",7,33,0
"383",7,34,0
"384",7,35,0
"385",7,36,0
"386",7,37,0
"387",7,38,0
"388",7,39,0
"389",7,40,0
"390",7,41,0
"391",7,42,0
"392",7,43,0
"393",7,44,0
"394",7,45,0
"395",7,46,0
"396",7,47,0
"397",7,48,0
"398",7,49,0
"399",7,50,0
"400",7,51,0
"401",7,52,0
"402",7,53,0
"403",7,54,0
"404",7,55,0
"405",7,56,0
"406",7,57,0
"407",8,0,0
"408",8,1,0
"409",8,2,0
"410",8,3,0
"411",8,4,0
"412",8,5,0
"413",8,6,0
"414",8,7,0
"415",8,8,0
"416",8,9,0
"417",8,10,0
"418",8,11,0
"419",8,12,0
"420",8,13,0
"421",8,14,0
"422",8,15,0
"423",8,16,0
"424",8,17,0
"425",8,18,0
"426",8,19,0
"427",8,20,0.086305233279401
"428",8,21,0.48480100175466
"429",8,22,0.369727357382125
"430",8,23,0.0692572859649514
"431",8,24,0
"432",8,25,0
"433",8,26,0
"434",8,27,0
"435",8,28,0
"436",8,29,0
"437",8,30,0
"438",8,31,0
"439",8,32,0
"440",8,33,0
"441",8,34,0
"442",8,35,0
"443",8,36,0
"444",8,37,0
"445",8,38,0
"446",8,39,0
"447",8,40,0
"448",8,41,0
"449",8,42,0
"450",8,43,0
"451",8,44,0
"452",8,45,0
"453",8,46,0
"454",8,47,0
"455",8,48,0
"456",8,49,0
"457",8,50,0
"458",8,51,0
"459",8,52,0
"460",8,53,0
"461",8,54,0
"462",8,55,0
"463",8,56,0
"464",8,57,0
"465",9,0,0
"466",9,1,0.775783184474275
"467",9,2,0.014182507942857
"468",9,3,0
"469",9,4,0.625448600279992
"470",9,5,0
"471",9,6,0
"472",9,7,0
"473",9,8,0
"474",9,9,0
"475",9,10,0
"476",9,11,0
"477",9,12,0
"478",9,13,0
"479",9,14,0
"480",9,15,0
"481",9,16,0.151752834988569
"482",9,17,0.00425475238285709
"483",9,18,0
"484",9,19,0
"485",9,20,0.0595665333599992
"486",9,21,0.514825038325707
"487",9,22,0.188627355639998
"488",9,23,0
"489",9,24,0
"490",9,25,0
"491",9,26,0
"492",9,27,0
"493",9,28,0
"494",9,29,0
"495",9,30,0
"496",9,31,0
"497",9,32,0
"498",9,33,0
"499",9,34,0
"500",9,35,0
"501",9,36,0
"502",9,37,0
"503",9,38,0
"504",9,39,0
"505",9,40,0
"506",9,41,0
"507",9,42,0
"508",9,43,0
"509",9,44,0
"510",9,45,0
"511",9,46,0
"512",9,47,0
"513",9,48,0
"514",9,49,0
"515",9,50,0
"516",9,51,0
"517",9,52,0
"518",9,53,0
"519",9,54,0
"520",9,55,0
"521",9,56,0
"522",9,57,0
"523",10,0,0
"524",10,1,0
"525",10,2,0
"526",10,3,0
"527",10,4,3.83238561252618
"528",10,5,1.60614978583087
"529",10,6,0
"530",10,7,0
"531",10,8,0
"532",10,9,0
"533",10,10,2.56146460164295
"534",10,11,0
"535",10,12,0
"536",10,13,0
"537",10,14,0
"538",10,15,0
"539",10,16,0
"540",10,17,0
"541",10,18,0
"542",10,19,0
"543",10,20,0
"544",10,21,0
"545",10,22,0
"546",10,23,0
"547",10,24,0
"548",10,25,0
"549",10,26,0
"550",10,27,0
"551",10,28,0
"552",10,29,0
"553",10,30,0
"554",10,31,0
"555",10,32,0
"556",10,33,0
"557",10,34,0
"558",10,35,0
"559",10,36,0
"560",10,37,0
"561",10,38,0
"562",10,39,0
"563",10,40,0
"564",10,41,0
"565",10,42,0
"566",10,43,0
"567",10,44,0
"568",10,45,0
"569",10,46,0
"570",10,47,0
"571",10,48,0
"572",10,49,0
"573",10,50,0
"574",10,51,0
"575",10,52,0
"576",10,53,0
"577",10,54,0
"578",10,55,0
"579",10,56,0
"580",10,57,0
"581",11,0,0
"582",11,1,0
"583",11,2,0.823900066500298
"584",11,3,1.48917188148594
"585",11,4,5.68692805201376
"586",11,5,0
"587",11,6,0
"588",11,7,0
"589",11,8,0
"590",11,9,0
"591",11,10,0
"592",11,11,0
"593",11,12,0
"594",11,13,0
"595",11,14,0
"596",11,15,0
"597",11,16,0
"598",11,17,0
"599",11,18,0
"600",11,19,0
"601",11,20,0
"602",11,21,0
"603",11,22,0
"604",11,23,0
"605",11,24,0
"606",11,25,0
"607",11,26,0
"608",11,27,0
"609",11,28,0
"610",11,29,0
"611",11,30,0
"612",11,31,0
"613",11,32,0
"614",11,33,0
"615",11,34,0
"616",11,35,0
"617",11,36,0
"618",11,37,0
"619",11,38,0
"620",11,39,0
"621",11,40,0
"622",11,41,0
"623",11,42,0
"624",11,43,0
"625",11,44,0
"626",11,45,0
"627",11,46,0
"628",11,47,0
"629",11,48,0
"630",11,49,0
"631",11,50,0
"632",11,51,0
"633",11,52,0
"634",11,53,0
"635",11,54,0
"636",11,55,0
"637",11,56,0
"638",11,57,0
"639",12,0,0
"640",12,1,0
"641",12,2,0.465088336268846
"642",12,3,1.93632835213743
"643",12,4,2.96024497193328
"644",12,5,1.90239247157126
"645",12,6,0
"646",12,7,0
"647",12,8,0
"648",12,9,0
"649",12,10,0
"650",12,11,0
"651",12,12,0
"652",12,13,0
"653",12,14,0
"654",12,15,0
"655",12,16,0
"656",12,17,0
"657",12,18,0
"658",12,19,0
"659",12,20,0
"660",12,21,0
"661",12,22,0
"662",12,23,0
"663",12,24,0
"664",12,25,0
"665",12,26,0
"666",12,27,0
"667",12,28,0
"668",12,29,0
"669",12,30,0
"670",12,31,0
"671",12,32,0
"672",12,33,0
"673",12,34,0
"674",12,35,0
"675",12,36,0
"676",12,37,0
"677",12,38,0
"678",12,39,0
"679",12,40,0
"680",12,41,0
"681",12,42,0
"682",12,43,0
"683",12,44,0
"684",12,45,0
"685",12,46,0
"686",12,47,0
"687",12,48,0
"688",12,49,0
"689",12,50,0
"690",12,51,0
"691",12,52,0
"692",12,53,0
"693",12,54,0
"694",12,55,0
"695",12,56,0
"696",12,57,0.735945868089198
"697",13,0,0
"698",13,1,0
"699",13,2,0.455463878114964
"700",13,3,0.534268441033846
"701",13,4,0.366217565177891
"702",13,5,0.0542463389845372
"703",13,6,0.0481699101563353
"704",13,7,0.589699005189315
"705",13,8,0
"706",13,9,0.215666710333866
"707",13,10,0.774913377507585
"708",13,11,0
"709",13,12,0
"710",13,13,0
"711",13,14,0.115178829573614
"712",13,15,1.71993124246682
"713",13,16,3.12624470146123
"714",13,17,0
"715",13,18,0
"716",13,19,0
"717",13,20,0
"718",13,21,0
"719",13,22,0
"720",13,23,0
"721",13,24,0
"722",13,25,0
"723",13,26,0
"724",13,27,0
"725",13,28,0
"726",13,29,0
"727",13,30,0
"728",13,31,0
"729",13,32,0
"730",13,33,0
"731",13,34,0
"732",13,35,0
"733",13,36,0
"734",13,37,0
"735",13,38,0
"736",13,39,0
"737",13,40,0
"738",13,41,0
"739",13,42,0
"740",13,43,0
"741",13,44,0
"742",13,45,0
"743",13,46,0
"744",13,47,0
"745",13,48,0
"746",13,49,0
"747",13,50,0
"748",13,51,0
"749",13,52,0
"750",13,53,0
"751",13,54,0
"752",13,55,0
"753",13,56,0
"754",13,57,0
"755",14,0,0
"756",14,1,0
"757",14,2,0
"758",14,3,1.07832500141041
"759",14,4,0.00628253581159515
"760",14,5,0
"761",14,6,0
"762",14,7,0
"763",14,8,0
"764",14,9,0.023896255193948
"765",14,10,0.154045647118983
"766",14,11,0.232275055416728
"767",14,12,0.130575703687526
"768",14,13,0
"769",14,14,0.770585554886079
"770",14,15,1.18833903793954
"771",14,16,0
"772",14,17,1.04139100078554
"773",14,18,1.04139100078554
"774",14,19,0
"775",14,20,0
"776",14,21,0
"777",14,22,0.43050073539286
"778",14,23,0
"779",14,24,0.193579084138678
"780",14,25,1.70881338743258
"781",14,26,0
"782",14,27,0
"783",14,28,0
"784",14,29,0
"785",14,30,0
"786",14,31,0
"787",14,32,0
"788",14,33,0
"789",14,34,0
"790",14,35,0
"791",14,36,0
"792",14,37,0
"793",14,38,0
"794",14,39,0
"795",14,40,0
"796",14,41,0
"797",14,42,0
"798",14,43,0
"799",14,44,0
"800",14,45,0
"801",14,46,0
"802",14,47,0
"803",14,48,0
"804",14,49,0
"805",14,50,0
"806",14,51,0
"807",14,52,0
"808",14,53,0
"809",14,54,0
"810",14,55,0
"811",14,56,0
"812",14,57,0
"813",15,0,0
"814",15,1,0
"815",15,2,0
"816",15,3,0.199722276518217
"817",15,4,0
"818",15,5,0
"819",15,6,0
"820",15,7,1.18928071911369
"821",15,8,0.0942932052340441
"822",15,9,0
"823",15,10,0.2583483843055
"824",15,11,0.0632716383140071
"825",15,12,0.380473494858018
"826",15,13,0
"827",15,14,0
"828",15,15,0.473565685706087
"829",15,16,0
"830",15,17,0
"831",15,18,0
"832",15,19,0
"833",15,20,0
"834",15,21,0.132891398071686
"835",15,22,2.08190849641752
"836",15,23,0
"837",15,24,0
"838",15,25,3.12624470146123
"839",15,26,0
"840",15,27,0
"841",15,28,0
"842",15,29,0
"843",15,30,0
"844",15,31,0
"845",15,32,0
"846",15,33,0
"847",15,34,0
"848",15,35,0
"849",15,36,0
"850",15,37,0
"851",15,38,0
"852",15,39,0
"853",15,40,0
"854",15,41,0
"855",15,42,0
"856",15,43,0
"857",15,44,0
"858",15,45,0
"859",15,46,0
"860",15,47,0
"861",15,48,0
"862",15,49,0
"863",15,50,0
"864",15,51,0
"865",15,52,0
"866",15,53,0
"867",15,54,0
"868",15,55,0
"869",15,56,0
"870",15,57,0
"871",16,0,0
"872",16,1,0
"873",16,2,0
"874",16,3,0
"875",16,4,0
"876",16,5,0
"877",16,6,0
"878",16,7,0.269021871026659
"879",16,8,0.820322084998359
"880",16,9,0.0321278810127879
"881",16,10,0
"882",16,11,0.0365010945378818
"883",16,12,0.529503763602231
"884",16,13,0
"885",16,14,0
"886",16,15,0.46295528268176
"887",16,16,1.55687671719704
"888",16,17,0
"889",16,18,0
"890",16,19,0
"891",16,20,0
"892",16,21,1.11198618133231
"893",16,22,3.18070512361097
"894",16,23,0
"895",16,24,0
"896",16,25,0
"897",16,26,0
"898",16,27,0
"899",16,28,0
"900",16,29,0
"901",16,30,0
"902",16,31,0
"903",16,32,0
"904",16,33,0
"905",16,34,0
"906",16,35,0
"907",16,36,0
"908",16,37,0
"909",16,38,0
"910",16,39,0
"911",16,40,0
"912",16,41,0
"913",16,42,0
"914",16,43,0
"915",16,44,0
"916",16,45,0
"917",16,46,0
"918",16,47,0
"919",16,48,0
"920",16,49,0
"921",16,50,0
"922",16,51,0
"923",16,52,0
"924",16,53,0
"925",16,54,0
"926",16,55,0
"927",16,56,0
"928",16,57,0
"929",17,0,0
"930",17,1,0.493993796763646
"931",17,2,0
"932",17,3,0
"933",17,4,0
"934",17,5,0
"935",17,6,0.113206911758336
"936",17,7,1.35230801864048
"937",17,8,0.819206379633046
"938",17,9,0
"939",17,10,0.240821975922277
"940",17,11,0
"941",17,12,0
"942",17,13,0
"943",17,14,0
"944",17,15,0.0226413823516671
"945",17,16,0.0370495347572735
"946",17,17,0.00411661497303038
"947",17,18,0
"948",17,19,0
"949",17,20,0
"950",17,21,0
"951",17,22,0
"952",17,23,0
"953",17,24,0
"954",17,25,0
"955",17,26,0
"956",17,27,0
"957",17,28,0
"958",17,29,0
"959",17,30,0
"960",17,31,0
"961",17,32,0
"962",17,33,0
"963",17,34,0
"964",17,35,0
"965",17,36,0
"966",17,37,0
"967",17,38,0
"968",17,39,0
"969",17,40,0
"970",17,41,0
"971",17,42,0
"972",17,43,0
"973",17,44,0
"974",17,45,0
"975",17,46,0
"976",17,47,0
"977",17,48,0
"978",17,49,0
"979",17,50,0
"980",17,51,0
"981",17,52,0
"982",17,53,0
"983",17,54,0
"984",17,55,0
"985",17,56,0
"986",17,57,0
"987",18,0,0
"988",18,1,0.141779778497151
"989",18,2,0
"990",18,3,0
"991",18,4,0
"992",18,5,0
"993",18,6,0
"994",18,7,0.0764281618461206
"995",18,8,0
"996",18,9,0
"997",18,10,0
"998",18,11,0
"999",18,12,0
"1000",18,13,0
"1001",18,14,0
"1002",18,15,0
"1003",18,16,0
"1004",18,17,0
"1005",18,18,0
"1006",18,19,0
"1007",18,20,0
"1008",18,21,0
"1009",18,22,0
"1010",18,23,0
"1011",18,24,0
"1012",18,25,0
"1013",18,26,0
"1014",18,27,0
"1015",18,28,0
"1016",18,29,0
"1017",18,30,0
"1018",18,31,0
"1019",18,32,0
"1020",18,33,0
"1021",18,34,0
"1022",18,35,0
"1023",18,36,0
"1024",18,37,0
"1025",18,38,0
"1026",18,39,0
"1027",18,40,0
"1028",18,41,0
"1029",18,42,0
"1030",18,43,0
"1031",18,44,0
"1032",18,45,0
"1033",18,46,0
"1034",18,47,0
"1035",18,48,0
"1036",18,49,0
"1037",18,50,0
"1038",18,51,0
"1039",18,52,0
"1040",18,53,0
"1041",18,54,0
"1042",18,55,0
"1043",18,56,0
"1044",18,57,0
"1045",19,0,0
"1046",19,1,0.157438799021667
"1047",19,2,2.33534218548806
"1048",19,3,0.168684427523215
"1049",19,4,0
"1050",19,5,0
"1051",19,6,0
"1052",19,7,2.72519064020838
"1053",19,8,0.206169855861707
"1054",19,9,0.922141537126909
"1055",19,10,0.311129055209485
"1056",19,11,0.0937135708462305
"1057",19,12,0
"1058",19,13,0
"1059",19,14,0
"1060",19,15,0
"1061",19,16,0
"1062",19,17,0
"1063",19,18,0
"1064",19,19,0
"1065",19,20,0
"1066",19,21,0
"1067",19,22,0
"1068",19,23,0
"1069",19,24,0
"1070",19,25,0
"1071",19,26,0
"1072",19,27,0
"1073",19,28,0
"1074",19,29,0
"1075",19,30,0
"1076",19,31,0
