"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,7.4286991904559,3.36690520503447,21.565,2.49688099286316,8,0.455782175061973,124.555866711988,16,15.5694833389985
"2",2,4.89799872122762,1.19465950845827,10.014,2.56146460164295,8,0.500374833503364,63.9809792089946,10,7.99762240112432
"3",3,4.34258755858543,1.05691144337122,7.065,3.27215146375901,8,0.594976357329519,50.6413689571329,5,6.33017111964161
"4",4,3.15668797953964,0.603493178824276,5.407,3.51639030069895,8,0.631994193664133,37.7254667271837,4,4.71568334089796
"5",5,7.51542744063325,7.9798873117893,22.515,1.3316404302052,3.14645712623299,0.209794063104514,24.7640289230617,2,7.87044854881267
"6",6,15.9264219684611,5.53692562225003,23.555,0.742197080930444,2.9352697458733,0.168449833397899,48.0568619595576,10,16.3722131593257
"7",7,19.663901055409,3.9506539273353,22.792,0.968969160893846,2.01227020262339,0.145139010337142,40.6051172615119,22,20.1787598944591
"8",8,21.427885021097,0.576145241634959,22.788,0.48480100175466,1.01009087838114,0.0801735397131991,22.1388905812271,21,21.9177215189873
"9",9,9.5463347509113,8.77591686303841,22.119,0.775783184474275,2.33444080739425,0.146687882128186,23.1259974516226,1,9.90643985419198
"10",10,3.99134782608696,0.427868174193652,9.617,3.83238561252618,8,0.631408190145632,52.9749373956886,4,6.62186717446107
"11",11,2.37258974358974,0.748163431344813,4.341,5.68692805201376,8,0.77385055229196,32.8630279855135,4,4.10787849818918
"12",12,2.79508444681988,1.40794736294442,57.1,2.96024497193328,8,0.526257726575228,74.0410184556236,4,9.25512730695296
"13",13,4.37690219134153,3.56353273036391,15.565,3.12624470146123,8,0.482471770111179,99.7882691747221,16,12.4735336468403
"14",14,6.88907268840192,4.97577281472984,24.642,1.70881338743258,8,0.362071717932477,135.036779218025,25,16.8795974022531
"15",15,8.54890165686798,4.88681142206403,24.695,3.12624470146123,8,0.511703404373298,155.375940410841,16,19.4219925513551
"16",16,10.1797284874399,3.62191511253249,21.599,3.18070512361097,8,0.494108849394131,144.672017152231,22,18.0840021440289
"17",17,6.83926101468625,2.74243568279075,16.62,1.35230801864048,3.08334461479976,0.215726645660442,22.145330247417,7,7.18224299065421
"18",18,3.4348730964467,2.8448545512006,7.374,0.141779778497151,0.218207940343272,0.0209936608311314,0.785880881591631,1,3.60152284263959
"19",19,5.70647887323944,3.00340534465847,11.098,2.72519064020838,6.91981007128566,0.479520609306559,41.9611884821082,7,6.06392199349946
"20",20,4.04510695187166,2.73342733711393,9.332,5.09226993174326,8,0.713090783433977,65.1201973565323,9,8.14002466956653
"21",21,9.69759071729958,4.55590298197975,16.352,4.45646685897886,8,0.631816647680984,119.527930159642,16,14.9409912699553
"22",22,11.0500168776371,1.69587281867752,16.389,4.4876420283625,8,0.620784316207331,119.337360745741,16,14.9171700932176
"23",23,12.0765891350211,2.2087813506202,15.852,6.20262853053131,8,0.817820741208051,124.924141727546,16,15.6155177159433
"24",24,5.83800725689405,3.55726238341162,8.984,1.52388972295906,2.4999048074257,0.234935010663297,15.9518599214036,9,6.38098693759071
"25",25,5.30725250924459,3.99328438749595,12.436,2.72004089323458,7.83719545036995,0.512327616814347,44.2513806504381,1,5.64632857897517
"26",26,5.59265400843882,2.44137379866699,11.15,2.20395713896974,8,0.473149434708355,76.3588669834628,11,9.54485837293286
"27",27,4.08187605485232,1.86963460427297,15.848,1.89904885247782,8,0.400335245875612,84.7824823185576,16,10.5978102898197
"28",28,9.41693407172996,2.67990294361716,14.617,3.12075005635999,8,0.548413927854106,105.309634320186,15,13.1637042900232
"29",29,9.90552705882353,2.63208124779057,16.683,2.17936761987549,4.24390029070828,0.352754177720164,44.5010391659799,11,10.4858823529412
"30",30,9.35877948175568,3.64153122548205,19.21,4.00192477348664,7.78563759944777,0.61013716039601,76.0427465060817,10,9.76705446853516
