"","xbin","zbin","vai"
"1",1,0,0
<<<<<<< HEAD
"2",1,1,0.00159760853064716
"3",1,2,2.28184369234489
=======
"2",1,1,0.0112279234655902
"3",1,2,2.27221337740995
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"4",1,3,0
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0
"9",1,8,0.857987109391384
"10",1,9,0.376315845162155
"11",1,10,0
"12",1,11,4.48225574457092
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",1,24,0
"26",1,25,0
"27",1,26,0
"28",1,27,0
"29",1,28,0
"30",1,29,0
"31",1,30,0
"32",1,31,0
"33",1,32,0
"34",1,33,0
"35",1,34,0
"36",1,35,0
"37",1,36,0
"38",1,37,0
"39",1,38,0
"40",1,39,0
"41",1,40,0
"42",1,41,0
"43",1,42,0
"44",1,43,0
"45",1,44,0
"46",1,45,0
"47",1,46,0
"48",1,47,0
"49",1,48,0
"50",1,49,0
"51",1,50,0
"52",1,51,0
"53",1,52,0
"54",1,53,0
"55",1,54,0
"56",1,55,0
"57",1,56,0
"58",1,57,0
"59",1,58,0
"60",1,59,0
"61",1,60,0
"62",1,61,0
"63",1,62,0
"64",1,63,0
"65",1,64,0
"66",1,65,0
"67",1,66,0
"68",1,67,0
"69",1,68,0
"70",1,69,0
"71",1,70,0
"72",1,71,0
"73",1,72,0
"74",1,73,0
"75",1,74,0
"76",1,75,0
"77",1,76,0
"78",1,77,0
"79",1,78,0
"80",1,79,0
"81",1,80,0
"82",1,81,0
"83",1,82,0
"84",1,83,0
"85",1,84,0
"86",1,85,0
"87",1,86,0
"88",1,87,0
"89",1,88,0
"90",1,89,0
"91",1,90,0
"92",1,91,0
"93",1,92,0
"94",1,93,0
"95",1,94,0
"96",1,95,0
"97",1,96,0
"98",1,97,0
"99",1,98,0
"100",1,99,0
"101",1,100,0
"102",1,101,0
"103",2,0,0
<<<<<<< HEAD
"104",2,1,0.296012425238352
"105",2,2,1.52117496303042
=======
"104",2,1,1.2087174030566
"105",2,2,0.608469985212168
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"106",2,3,0
"107",2,4,0
"108",2,5,0
"109",2,6,0
"110",2,7,0
<<<<<<< HEAD
"111",2,8,1.16760456621794
"112",2,9,2.50788304715826
"113",2,10,0.518021744167116
=======
"111",2,8,1.2333851051598
"112",2,9,2.63122155767424
"113",2,10,0.32890269470928
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"114",2,11,0
"115",2,12,0
"116",2,13,0
"117",2,14,0
"118",2,15,0
"119",2,16,0
"120",2,17,0
"121",2,18,0
"122",2,19,0
"123",2,20,0
"124",2,21,0
"125",2,22,0
"126",2,23,0
"127",2,24,0
"128",2,25,0
"129",2,26,0
"130",2,27,0
"131",2,28,0
"132",2,29,0
"133",2,30,0
"134",2,31,0
"135",2,32,0
"136",2,33,0
"137",2,34,0
"138",2,35,0
"139",2,36,0
"140",2,37,0
"141",2,38,0
"142",2,39,0
"143",2,40,0
"144",2,41,0
"145",2,42,0
"146",2,43,0
"147",2,44,0
