,plot,subplot,nsp,filename,mean.height,height.2,mean.height.var,mean.height.rms,transect.length,mode.el,max.el,mode.2,max.can.ht,mean.max.ht,mean.vai,mean.peak.vai,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,plot_1,mean.return.ht,sd.return.ht,sky.fraction,cover.fraction,max.ht,scan.density,rumple,clumping.index,enl
1,d,4,e,FORTE-1_45E_D4EW.CSV,6.146970124,2.872376952,8.250549356,6.769750906,40,6.075,6.826578101,3.532903941,13.952,8.06585,5.347128565,2.720808825,2,0.05,0.675,38.25685467,3.878992132,4.817704299,3.544315937,FORTE-1_45E_D4EW.CSV,4.275073018,2.833886291,26.09965404,73.90034596,13.952,556.55,4.025,0.885321464,10.93615186
2,d,4,e,FORTE-1_45E_D4SN.CSV,7.770713066,3.818953097,14.58440276,8.63734764,40,7.35,6.389761358,4.400174822,16.176,10.238225,5.395083572,2.706736169,2,0.05,0.679411765,35.02078107,4.004672491,4.356992002,4.316994452,FORTE-1_45E_D4SN.CSV,6.45048612,3.722275627,21.17557325,78.82442675,16.176,524.55,3.95,0.94509457,14.01887906
3,d,4,w,FORTE-1_45W_D4EW.CSV,5.760632817,2.934347249,8.610393775,6.448257469,40,5.25,7.042177749,3.19253938,15.379,7.847725,4.459416801,2.706029804,3,0.075,0.740625,17.72936544,2.460868411,3.416649252,4.0282366,FORTE-1_45W_D4EW.CSV,4.627323261,2.698637725,36.3406167,63.6593833,15.379,612.25,4.25,0.91408678,11.16531605
4,d,4,w,FORTE-1_45W_D4SN.CSV,5.35381545,3.030954149,9.186683055,6.133543499,40,5,7.690045635,3.374109569,16.073,7.47435,5.308056173,2.734420148,3,0.075,0.719117647,30.55289983,3.270776021,4.455886449,4.393978838,FORTE-1_45W_D4SN.CSV,4.273953213,2.995107427,21.79971233,78.20028767,16.073,556.325,3.4,0.841829295,10.90612855
5,d,2,e,FORTE-1_65E_D2EW.CSV,7.780808978,3.429150206,11.75907114,8.485639794,40,8.15,8,5.010501792,20.241,10.91185,6.860819209,3.475150595,0,0,0.708333333,181.2000144,9.098604724,9.920453943,4.796144951,FORTE-1_65E_D2EW.CSV,5.018361602,3.535458866,7.197648934,92.80235107,20.241,502.025,4.175,0.875381339,14.02781024
6,d,2,e,FORTE-1_65E_D2SN.CSV,9.525420617,4.943836531,24.44151965,10.70346297,40,8.175,6.607530485,5.786312319,21.431,14.852125,6.56054109,2.844131417,0,0,0.660227273,402.6925437,15.01110027,13.31763539,6.083678607,FORTE-1_65E_D2SN.CSV,6.546054489,5.111977505,6.790726366,93.20927363,21.431,486.45,4.425,0.96172543,19.49008066
7,d,2,w,FORTE-1_65W_D2EW.CSV,9.779876441,4.26839774,18.21921927,10.64940008,40,9.675,6.563695443,6.228089801,20.015,14.313625,7.260608333,3.286308538,0,0,0.655952381,378.2140658,15.47458806,11.77926951,5.361661681,FORTE-1_65W_D2EW.CSV,6.525152297,4.697420343,1.5625,98.4375,20.015,481.725,4,0.958952553,18.40074906
8,d,2,w,FORTE-1_65W_D2SN.CSV,7.94530462,3.943390257,15.55032672,8.84813167,40,8,6.17560505,5.751254044,20.256,13.200425,6.837169019,3.109365091,0,0,0.677380952,356.1303765,14.14412183,12.49296579,5.598183304,FORTE-1_65W_D2SN.CSV,5.121916184,4.168516221,4.464373224,95.53562678,20.256,510.275,6.35,0.934082347,17.09122644
9,d,1,e,FORTE-1_85E_D1EW.CSV,9.985327251,2.469739408,6.099612742,10.27880746,40,9.7,5.506230215,3.969111507,17.742,12.9592,6.879289651,3.184582751,0,0,0.675,137.694473,8.597785653,7.985772025,2.937632312,FORTE-1_85E_D1EW.CSV,7.016111234,3.371820826,6.116495253,93.88350475,17.742,505.725,3.575,0.897405486,13.95129202
10,d,1,e,FORTE-1_85E_D1SN.CSV,8.56009104,3.686958466,13.59366273,9.302095451,40,8.25,7.881746642,4.622963862,17.913,11.4794,5.34475346,2.70765652,0,0,0.693421053,78.95877098,6.464611486,6.096521082,3.918049795,FORTE-1_85E_D1SN.CSV,6.677831256,3.896096671,17.21549864,82.78450136,17.913,533.075,4.3,0.938662713,15.16876222
