"","Species","Subplot","Tag","Site","dbh","Health_status","Canopy_status","Date","Notes","SubplotID","group","plotID","Latitude","Longitude","component","a","b","se","source","ref","leaf.mass","genus","sla","leaf.area","fate","plot.side"
"1","PIST",412,"701","UMBS",8,"L","UN","06/26/2018","labeled as outside plot bc tripod is not exactly at center","D01E","D","D01",45.5609441,-84.7069487,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.170600034002338,"Pinus",12.5,2.13250042502922,"live","E"
"2","PIST",412,"659","UMBS",8.2,"L","OS","06/26/2018","","D01E","D","D01",45.5608903,-84.7065297,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.178428562573929,"Pinus",12.5,2.23035703217412,"live","E"
"3","PIST",412,"672","UMBS",8.4,"L","OS","06/26/2018","","D01E","D","D01",45.5610446,-84.706806,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.186414662877526,"Pinus",12.5,2.33018328596908,"live","E"
"4","PIST",412,"674","UMBS",8.5,"L","OS","06/26/2018","","D01E","D","D01",45.5607888,-84.7066701,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.190466584971676,"Pinus",12.5,2.38083231214595,"live","E"
"5","ACRU",412,"711","UMBS",8.6,"L","OS","06/26/2018","","D01E","D","D01",45.5610347,-84.7068177,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.02526574324182,"Acer",19,19.4800491215946,"live","E"
"6","ACRU",412,"663","UMBS",8.7,"L","OS","06/26/2018","662-663 share base","D01E","D","D01",45.5608983,-84.706631,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.04368269073493,"Acer",19,19.8299711239636,"live","E"
"7","PIST",412,"713","UMBS",8.9,"L","OS","06/26/2018","","D01E","D","D01",45.5610345,-84.7067945,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.207064786584888,"Pinus",12.5,2.5883098323111,"live","E"
"8","ACRU",412,"642","UMBS",9,"L","OS","06/26/2018","","D01E","D","D01",45.5609162,-84.7067368,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.09961915460115,"Acer",19,20.8927639374219,"live","E"
"9","FAGR",412,"668","UMBS",9,"L","UN","06/26/2018","667-668 share base, SW veg plot","D01E","D","D01",45.5608471,-84.7066781,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",0.83764014666654,"Fagus",35,29.3174051333289,"live","E"
"10","PIST",412,"666","UMBS",9.1,"L","UN","06/26/2018","","D01E","D","D01",45.5608307,-84.7065789,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.215597051360661,"Pinus",12.5,2.69496314200826,"live","E"
"11","ACRU",412,"678","UMBS",10,"L","OS","06/26/2018","share base w/ <8.0","D01E","D","D01",45.5607562,-84.7067292,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.29332845218794,"Acer",19,24.5732405915709,"live","E"
"12","PIST",412,"706","UMBS",10.1,"L","OS","06/26/2018","","D01E","D","D01",45.5609916,-84.7068241,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.260565278295031,"Pinus",12.5,3.25706597868789,"live","E"
"13","ACRU",412,"662","UMBS",10.2,"L","OS","06/26/2018","662-663 share base","D01E","D","D01",45.5609012,-84.7066311,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.33337742001258,"Acer",19,25.334170980239,"live","E"
"14","ACRU",412,"670","UMBS",10.2,"L","OS","06/26/2018","670-671 share base","D01E","D","D01",45.5608261,-84.706682,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.33337742001258,"Acer",19,25.334170980239,"live","E"
"15","PIST",412,"660","UMBS",10.6,"L","OS","06/26/2018","","D01E","D","D01",45.5608953,-84.7065896,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.284475824103641,"Pinus",12.5,3.55594780129551,"live","E"
"16","ACRU",412,"644","UMBS",10.7,"M","OS","06/26/2018","","D01E","D","D01",45.5609814,-84.7067509,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.43535672838668,"Acer",19,27.2717778393469,"live","E"
"17","ACRU",412,"650","UMBS",10.7,"L","OS","06/26/2018","clustered w <8.0","D01E","D","D01",45.561005,-84.7065686,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.43535672838668,"Acer",19,27.2717778393469,"live","E"
"18","ACRU",412,"671","UMBS",11.1,"L","OS","06/26/2018","670-671 share base","D01E","D","D01",45.5608231,-84.7066885,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.518819691525,"Acer",19,28.8575741389751,"live","E"
"19","PIST",412,"694","UMBS",11.3,"L","OS","06/26/2018","","D01E","D","D01",45.5608368,-84.7069131,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.319527424484366,"Pinus",12.5,3.99409280605458,"live","E"
"20","FAGR",412,"655","UMBS",11.4,"L","UN","06/26/2018","","D01E","D","D01",45.5609478,-84.7065167,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",1.2314815231072,"Fagus",35,43.1018533087521,"live","E"
"21","ACRU",412,"692","UMBS",11.7,"L","OS","06/26/2018","","D01E","D","D01",45.5608262,-84.7068651,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.64708138497441,"Acer",19,31.2945463145137,"live","E"
