"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0.125966131466042
"3",1,2,0.00294341404421194
"4",1,3,0
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0.0449742830663876
"9",1,8,0.186763429824862
"10",1,9,0.0687685490341255
"11",1,10,1.33492376379444
"12",1,11,0.265402469936555
"13",1,12,1.33451066147117
"14",1,13,3.73907136955495
"15",1,14,0.896675927807253
"16",2,0,0
"17",2,1,0
"18",2,2,0.0026700317308027
"19",2,3,0.397343830210451
"20",2,4,0
"21",2,5,0
"22",2,6,0
"23",2,7,0.720307026014575
"24",2,8,0.582890937893092
"25",2,9,0
"26",2,10,1.62559674415712
"27",2,11,2.15390385057369
"28",2,12,2.51728757942026
"29",2,13,0
"30",2,14,0
"31",3,0,0
"32",3,1,0
"33",3,2,0.141104982233755
"34",3,3,1.97959073666993
"35",3,4,0
"36",3,5,0
"37",3,6,1.35460736835397
"38",3,7,0.0398204283908444
"39",3,8,2.16622897786855
"40",3,9,0.896975296870302
"41",3,10,1.42167220961266
"42",3,11,0
"43",3,12,0
"44",3,13,0
"45",3,14,0
"46",4,0,0
"47",4,1,0
"48",4,2,0.669740928888363
"49",4,3,0.0831905807791539
"50",4,4,0.32989023344627
"51",4,5,0.0123793280982279
"52",4,6,2.69002778342176
"53",4,7,1.23607818877412
"54",4,8,2.97869295659211
"55",4,9,0
"56",4,10,0
"57",4,11,0
"58",4,12,0
"59",4,13,0
"60",4,14,0
"61",5,0,0
"62",5,1,0
"63",5,2,1.50732976007649
"64",5,3,5.59569494305321
"65",5,4,0
"66",5,5,0
"67",5,6,0.896975296870302
"68",5,7,0
"69",5,8,0
"70",5,9,0
"71",5,10,0
"72",5,11,0
"73",5,12,0
"74",5,13,0
"75",5,14,0
"76",6,0,0
"77",6,1,0.0489246089453098
"78",6,2,1.41016456304025
"79",6,3,2.2773176653929
"80",6,4,0.0488220172553134
"81",6,5,4.21477114536623
"82",6,6,0
"83",6,7,0
"84",6,8,0
"85",6,9,0
"86",6,10,0
"87",6,11,0
"88",6,12,0
"89",6,13,0
"90",6,14,0
"91",7,0,0
"92",7,1,1.22822532948599
"93",7,2,6.56130899699094
"94",7,3,0
"95",7,4,0
"96",7,5,0
"97",7,6,0
"98",7,7,0
"99",7,8,0
"100",7,9,0
"101",7,10,0
"102",7,11,0
"103",7,12,0
"104",7,13,0
"105",7,14,0
"106",8,0,0
"107",8,1,0
"108",8,2,1.57991572611368
"109",8,3,6.42008427388632
"110",8,4,0
"111",8,5,0
"112",8,6,0
"113",8,7,0
"114",8,8,0
"115",8,9,0
"116",8,10,0
"117",8,11,0
"118",8,12,0
"119",8,13,0
"120",8,14,0
"121",9,0,0
"122",9,1,0.00267644730898079
"123",9,2,4.33097035721417
"124",9,3,2.2446809858642
"125",9,4,0
"126",9,5,0
"127",9,6,0
"128",9,7,0
"129",9,8,0
"130",9,9,0
"131",9,10,0
"132",9,11,1.42167220961266
"133",9,12,0
"134",9,13,0
"135",9,14,0
"136",10,0,0
"137",10,1,0.791882120326493
"138",10,2,5.62397914027795
"139",10,3,1.21206446988749
"140",10,4,0.161608595984999
"141",10,5,0
"142",10,6,0
"143",10,7,0
"144",10,8,0
"145",10,9,0
"146",10,10,0
"147",10,11,0
"148",10,12,0
"149",10,13,0
"150",10,14,0
"151",11,0,0
"152",11,1,0.0192147498209677
"153",11,2,0.505322330667766
"154",11,3,2.60845802181742
"155",11,4,4.86700489769385
"156",11,5,0
"157",11,6,0
"158",11,7,0
"159",11,8,0
"160",11,9,0
"161",11,10,0
"162",11,11,0
"163",11,12,0
"164",11,13,0
"165",11,14,0
"166",12,0,0
"167",12,1,0.0513247976375532
"168",12,2,1.07796952839974
"169",12,3,1.32737993015073
"170",12,4,0
"171",12,5,4.20289636951561
"172",12,6,0
"173",12,7,0
"174",12,8,0
"175",12,9,0
"176",12,10,0
"177",12,11,0.494712599491617
"178",12,12,0.845716774804749
"179",12,13,0
"180",12,14,0
"181",13,0,0
"182",13,1,0
"183",13,2,0
"184",13,3,0.136549891137236
"185",13,4,0
"186",13,5,0
"187",13,6,0.0554733932745023
"188",13,7,0.0426718409803864
"189",13,8,0
"190",13,9,0.128015522941159
"191",13,10,0
"192",13,11,1.23321620433317
"193",13,12,0.21762638899997
"194",13,13,0.0213359204901932
"195",13,14,0
"196",14,0,0
"197",14,1,0
"198",14,2,1.07453295509031
"199",14,3,0.224019237987025
"200",14,4,0
"201",14,5,0
"202",14,6,0
"203",14,7,0
"204",14,8,0
"205",14,9,0
"206",14,10,0
"207",14,11,0
"208",14,12,0
"209",14,13,0
"210",14,14,0
"211",15,0,0
"212",15,1,0
"213",15,2,0
"214",15,3,0
"215",15,4,0
"216",15,5,0
"217",15,6,0
"218",15,7,0
"219",15,8,0
"220",15,9,0
"221",15,10,0.0437851621244066
"222",15,11,0.134274497181514
"223",15,12,0
"224",15,13,0
"225",15,14,0
"226",16,0,0
"227",16,1,0
"228",16,2,0
"229",16,3,0
"230",16,4,0
"231",16,5,0
"232",16,6,0
"233",16,7,0
"234",16,8,0
"235",16,9,0
"236",16,10,0
"237",16,11,0
"238",16,12,0
"239",16,13,0
"240",16,14,0
"241",17,0,0
"242",17,1,0
"243",17,2,0
"244",17,3,0
"245",17,4,0
"246",17,5,0
"247",17,6,0
"248",17,7,0
"249",17,8,0
"250",17,9,0
"251",17,10,0
"252",17,11,0
"253",17,12,0
"254",17,13,0
"255",17,14,0
"256",18,0,0
"257",18,1,0
"258",18,2,0
"259",18,3,0
"260",18,4,0
"261",18,5,0
"262",18,6,0
"263",18,7,0.208824000631614
"264",18,8,0
"265",18,9,0
"266",18,10,0
"267",18,11,0
"268",18,12,0
"269",18,13,0
"270",18,14,0
"271",19,0,0
"272",19,1,0
"273",19,2,0
"274",19,3,0
"275",19,4,0
"276",19,5,0
"277",19,6,0
"278",19,7,0.12478301420159
"279",19,8,0.303958624337205
"280",19,9,0.0287960802003668
"281",19,10,0
"282",19,11,0
"283",19,12,0.0991864984679302
"284",19,13,0
"285",19,14,0
"286",20,0,0
"287",20,1,0
"288",20,2,0
"289",20,3,1.09198536581739
"290",20,4,0.842388710773418
"291",20,5,0.665591080117268
"292",20,6,0
"293",20,7,0.0415994425073293
"294",20,8,0.155997909402485
"295",20,9,0.00519993031341616
"296",20,10,0
"297",20,11,0
"298",20,12,0
"299",20,13,0
"300",20,14,0
"301",21,0,0
"302",21,1,0
"303",21,2,0
"304",21,3,1.66976199598374
"305",21,4,0
"306",21,5,0.447828887811732
"307",21,6,0
"308",21,7,0.204721777285363
"309",21,8,0.236709554986201
"310",21,9,0
"311",21,10,0
"312",21,11,0
"313",21,12,0
"314",21,13,0
"315",21,14,0
"316",22,0,0
"317",22,1,0
"318",22,2,0.2977389502213
"319",22,3,0.595477900442599
"320",22,4,0
"321",22,5,0.101666958612151
"322",22,6,0.00726192561515365
"323",22,7,0.421191685678912
"324",22,8,1.54679015602773
"325",22,9,0.225119694069763
"326",22,10,0.0145238512303073
"327",22,11,0
"328",22,12,0
"329",22,13,0
"330",22,14,0
"331",23,0,0
"332",23,1,0
"333",23,2,0
"334",23,3,0
"335",23,4,0
"336",23,5,0
"337",23,6,0
"338",23,7,0.0182275978508833
"339",23,8,0.0145820782807066
"340",23,9,0
"341",23,10,0
"342",23,11,0
"343",23,12,0
"344",23,13,0
"345",23,14,0
"346",24,0,0
"347",24,1,0
"348",24,2,0
"349",24,3,0
"350",24,4,0
"351",24,5,0
"352",24,6,0.154202668298129
"353",24,7,0.178550458029412
"354",24,8,0
"355",24,9,0.125796913611631
"356",24,10,0.0121738948656417
"357",24,11,0
"358",24,12,0
"359",24,13,0
"360",24,14,0
"361",25,0,0
"362",25,1,0
"363",25,2,0
"364",25,3,0
"365",25,4,0
"366",25,5,0
"367",25,6,1.71643877716264
"368",25,7,0.453771170974032
"369",25,8,0
"370",25,9,0.480076746102961
"371",25,10,0.0394583626933941
"372",25,11,0
"373",25,12,0
"374",25,13,0
"375",25,14,0
"376",26,0,0
"377",26,1,0.26314955573255
"378",26,2,0
"379",26,3,0
"380",26,4,0
