"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0.00299050178686646
"3",1,2,1.10071475089996
"4",1,3,5.98527410119629
"5",1,4,0
"6",1,5,0.911020646116883
"7",1,6,0
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",2,0,0
"19",2,1,0.00600373857513234
"20",2,2,1.60423490302188
"21",2,3,6.38976135840299
"22",2,4,0
"23",2,5,0
"24",2,6,0
"25",2,7,0
"26",2,8,0
"27",2,9,0
"28",2,10,0
"29",2,11,0
"30",2,12,0
"31",2,13,0
"32",2,14,0
"33",2,15,0
"34",2,16,0
"35",3,0,0
"36",3,1,0
"37",3,2,0.563408850147291
"38",3,3,5.61386850070154
"39",3,4,1.82272264915117
"40",3,5,0
"41",3,6,0
"42",3,7,0
"43",3,8,0
"44",3,9,0
"45",3,10,0
"46",3,11,0
"47",3,12,0
"48",3,13,0
"49",3,14,0
"50",3,15,0
"51",3,16,0
"52",4,0,0
"53",4,1,0
"54",4,2,0
"55",4,3,1.85142843413035
"56",4,4,0.913033200393049
"57",4,5,0.228258300098262
"58",4,6,0.836947100360295
"59",4,7,0
"60",4,8,0
"61",4,9,0.64673185027841
"62",4,10,0
"63",4,11,0
"64",4,12,0.0760861000327541
"65",4,13,0
"66",4,14,0.266301350114639
"67",4,15,0.139491183393382
"68",4,16,0.304344400131016
"69",5,0,0
"70",5,1,0
"71",5,2,0
"72",5,3,0
"73",5,4,0
"74",5,5,0.683676957397782
"75",5,6,0.957499969586692
"76",5,7,0
"77",5,8,0
"78",5,9,0.442399236194396
"79",5,10,0
"80",5,11,0.154863074392974
"81",5,12,0
"82",5,13,0.27300765526517
"83",5,14,1.25632217891136
"84",5,15,0.762354903355832
"85",5,16,3.46987602489579
"86",6,0,0
"87",6,1,0
"88",6,2,0
"89",6,3,0
"90",6,4,0
"91",6,5,0.668708830580705
"92",6,6,1.22112047323433
"93",6,7,0
"94",6,8,0
"95",6,9,0
"96",6,10,0
