"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,10.4269258426966,4.96415397710952,18.368,1.47781260926369,5.97842373747584,0.451464931757148,64.7617789359602,4,10.8325842696629
"2",2,5.74936819172113,4.6452056372322,17.714,3.00440389464478,8,0.780388745900573,110.805484633006,18,13.8506855791257
"3",3,2.38263834422658,0.661799524990462,13.432,6.1390855862569,8,1.3485846346534,36.0876581914123,3,4.51095727392654
"4",4,2.10999782135076,0.311530616990937,2.894,5.56192779288525,8,1.30060789273239,25.5619277928852,3,3.19524097411066
"5",5,2.09849891067538,0.977561258815427,17.308,6.56369544334546,8,1.43409113650086,40.9700854731866,2,5.12126068414832
"6",6,8.81478826530612,6.42157833524341,18.002,1.50640103078188,3.64511854362036,0.374837785550666,33.8661268772075,2,9.29081632653061
"7",7,15.0975102040816,3.17857094684076,17.398,1.97702640696126,5.73597793072312,0.591728629357292,89.2328267431428,16,15.5566893424036
"8",8,5.49195433789954,4.50274110491203,15.779,2.6475222014155,5.52197487723804,0.591000136374382,32.5645230774106,2,5.8972602739726
"9",9,3.2872788671024,1.2729793409214,6.689,3.97248079867306,8,0.949054484415327,46.8633082017971,6,5.85791352522464
"10",10,2.89257952069717,1.07242104568604,6.495,4.25115143746208,8,0.992141339768826,42.1167917191443,6,5.26459896489304
"11",11,2.22391254752852,0.88375338509724,7.905,2.77945080349703,8,0.802704961996767,39.3380758422256,3,4.9172594802782
"12",12,2.03446322067594,0.854430600770497,4.037,2.04334258329055,5.5858767358432,0.622169158742325,14.4422121172248,2,2.58548707753479
"13",13,3.2769980952381,0.607026580209083,4.986,3.61765635567035,8,1.01090512037543,38.0574745807423,5,4.75718432259279
"14",14,3.20890114068441,0.573991881242261,5.571,2.54857506653589,8,0.845222153244585,37.4700020222059,4,4.68375025277574
"15",15,3.46077333333333,1.02632439296398,7.103,4.74176348827974,8,1.18530820225291,47.3539620867535,7,5.91924526084419
"16",16,2.67082699619772,0.456874444056266,7.063,5.37483360911213,8,1.23263193492466,35.646966437596,3,4.4558708046995
"17",17,2.52030857142857,0.726736942773158,4.786,4.94303578322782,8,1.14205537378507,36.2407333117554,5,4.53009166396943
"18",18,4.78086882129278,4.05506152755827,16.657,4.3415842276868,8,0.961634641606417,103.117064349335,17,12.8896330436669
"19",19,10.4903631067961,5.33682751239721,16.617,2.50914142834491,6.59289712039607,0.659949591845087,73.5652102958369,4,11.1582524271845
"20",20,4.62533477321814,4.90227862892856,17.313,1.69146056248733,4.01613456631607,0.426054554388351,19.8508076782167,1,4.94276457883369
"21",21,3.77717975206612,3.00961806294529,14.354,4.48337963903627,8,1.11638843102596,79.5041320911736,14,9.9380165113967
"22",22,9.39345962732919,5.33761854717152,16.925,2.84334441922531,8,0.805079078887755,118.188740255903,16,14.7735925319879
"23",23,12.4844492753623,2.62961850944234,18.695,2.31864750648296,8,0.683163084679738,133.007631365571,19,16.6259539206964
"24",24,9.85547058823529,3.37528295845836,17.599,2.61926643638807,6.85038914132265,0.706922739677228,70.0869645341204,10,10.2310924369748
"25",25,10.70016563147,3.47443899252214,19.758,3.50438435183574,8,0.813064054176707,136.243705233012,20,17.0304631541265
"26",26,3.87810559006211,4.03267235655225,18.489,3.1030247031297,8,0.882120396505623,94.6618521720066,18,11.8327315215008
"27",27,8.5129751552795,5.6046770646828,19.793,4.05752332844544,8,0.919002226203844,133.825785897356,20,16.7282232371696
"28",28,9.31949275362319,0.799029355040909,11.709,3.99015917833551,8,1.00041596726648,88.538416190093,10,11.0673020237616
"29",29,8.4035983436853,3.52228996619704,19.431,3.1030247031297,8,0.714383661745073,119.128527643847,18,14.8910659554809
"30",30,7.3725643153527,2.37320907264989,17.699,2.26763678195465,8,0.669528823042445,100.412519887221,10,12.5515649859027
"31",31,5.96095764705882,3.23147626584083,15.078,2.33971267529014,8,0.635459997699067,84.9332749128787,10,10.6166593641098
"32",32,9.43350247524753,3.10921256457419,19.478,1.28824139986216,5.47841605836119,0.352490604367215,54.5536331752155,8,9.95792079207921
"33",33,8.47449156626506,4.44923333072215,20.015,3.59162581391883,6.48054222946223,0.808421725092335,57.911062308339,8,8.93614457831325
"34",34,10.3552122641509,3.13023289751138,16.483,3.95993144177206,8,0.945815722829906,116.947067025846,16,14.6183833782308
"35",35,8.67734433962264,2.76066286012059,19.129,4.20093457534136,8,0.946672051974996,118.849069448627,19,14.8561336810784
"36",36,8.31054952830189,2.54742258422121,18.025,1.45220899164426,8,0.556431749704119,106.290575113001,13,13.2863218891251
"37",37,6.06710613207547,1.02705633691916,18.62,2.807484483416,8,0.835830578162821,77.1180216036126,7,9.63975270045157
"38",38,7.68671698113208,2.63491204048297,13.989,2.90441798328852,8,0.754707066589759,96.8455938732798,14,12.10569923416
"39",39,9.59604645476773,2.96851652812286,14.688,3.7048723597876,5.87322788819041,0.807492929536258,58.7968987486446,10,10.0110024449878
"40",40,10.7622692307692,4.50801384475477,16.471,1.22016963409225,4.66535448329389,0.349634556727937,52.6228060820765,14,11.2794871794872
