"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0.536110641977445
"3",1,2,0.452342893830977
"4",1,3,0
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0.0321487033909421
"9",1,8,0.173710875269
"10",1,9,0
"11",1,10,0.00744940498934327
"12",1,11,3.3283614556465
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,3.46987602489579
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",2,0,0
"23",2,1,0.248956616282849
"24",2,2,0
"25",2,3,0
"26",2,4,2.29040086980221
"27",2,5,0
"28",2,6,0.481316124813508
"29",2,7,2.88789674888105
"30",2,8,0
"31",2,9,0
"32",2,10,1.09540911164454
"33",2,11,0.149373969769709
"34",2,12,0
"35",2,13,0
"36",2,14,0
"37",2,15,0
"38",2,16,0
"39",2,17,0.0497913232565698
"40",2,18,0
"41",2,19,0
"42",2,20,0
"43",3,0,0
"44",3,1,0
"45",3,2,0
"46",3,3,0
"47",3,4,1.09163513455776
"48",3,5,0.655922773301693
"49",3,6,0.911703035716016
"50",3,7,0.424546892532776
"51",3,8,0.0641741639205976
"52",3,9,1.38084095948293
"53",3,10,2.55947400477222
"54",3,11,0
"55",3,12,0
"56",3,13,0
"57",3,14,0
"58",3,15,0
"59",3,16,0
"60",3,17,0
"61",3,18,0
"62",3,19,0.911703035716016
"63",3,20,0
"64",4,0,0
"65",4,1,0
"66",4,2,0
"67",4,3,0.203678572935529
"68",4,4,0.279479283409107
"69",4,5,1.7718201711626
"70",4,6,0.016749480820137
"71",4,7,5.72827249167262
"72",4,8,0
"73",4,9,0
"74",4,10,0
"75",4,11,0
"76",4,12,0
"77",4,13,0
"78",4,14,0
"79",4,15,0
"80",4,16,0
"81",4,17,0
"82",4,18,0
"83",4,19,0
"84",4,20,0
"85",5,0,0
"86",5,1,0.964466275700382
"87",5,2,0
"88",5,3,0.0869600740385591
"89",5,4,0
"90",5,5,0.893317124214289
"91",5,6,0.0948655353147917
"92",5,7,0.371556679982934
"93",5,8,0.0869600740385591
"94",5,9,0
"95",5,10,0.0158109225524653
"96",5,11,0
"97",5,12,0
"98",5,13,0
"99",5,14,0
"100",5,15,0.00790546127623264
"101",5,16,0
"102",5,17,0
"103",5,18,0
"104",5,19,0
"105",5,20,0
"106",6,0,0
"107",6,1,0
"108",6,2,0
"109",6,3,0
"110",6,4,0
"111",6,5,1.33532130340583
"112",6,6,0
"113",6,7,0.496417265393758
"114",6,8,0
"115",6,9,0
"116",6,10,0
"117",6,11,0.208724995498888
"118",6,12,0.0876869171591762
"119",6,13,0.0618851381684296
"120",6,14,0.0649424078811609
"121",6,15,2.37258432945559
"122",6,16,1.92796411897731
"123",6,17,0
"124",6,18,1.44447352405987
"125",6,19,0
"126",6,20,0
"127",7,0,0
"128",7,1,0.16623083486325
"129",7,2,0.25488853925208
"130",7,3,0
"131",7,4,0
"132",7,5,1.49561018602078
"133",7,6,0.387015958923752
"134",7,7,0.246750229360866
"135",7,8,0
"136",7,9,0
"137",7,10,0
"138",7,11,0
"139",7,12,0.472123871583643
"140",7,13,0
"141",7,14,0.378390948028505
"142",7,15,2.24227127284758
"143",7,16,2.35671815911954
"144",7,17,0
"145",7,18,0
"146",7,19,0
"147",7,20,0
"148",8,0,0
"149",8,1,0
"150",8,2,0.804968425948809
"151",8,3,0
"152",8,4,0
"153",8,5,0.0166786565876642
"154",8,6,0.357892657816307
"155",8,7,1.27258206134065
"156",8,8,0
"157",8,9,0
"158",8,10,0
"159",8,11,0
"160",8,12,0.100416449866628
"161",8,13,0.630550581342901
"162",8,14,2.46107631846159
"163",8,15,0
"164",8,16,0
"165",8,17,0
"166",8,18,2.35583484863545
"167",8,19,0
"168",8,20,0
"169",9,0,0
"170",9,1,0
"171",9,2,0.0181424869253607
"172",9,3,0
"173",9,4,0.0339254537750696
"174",9,5,0
"175",9,6,0
"176",9,7,0.213211460712319
"177",9,8,0.00736869965546601
"178",9,9,3.0139155806927
"179",9,10,0
"180",9,11,0
"181",9,12,0.0751810017787221
"182",9,13,0.121499500747562
"183",9,14,0.181710445502221
"184",9,15,0.961343245697226
"185",9,16,0
"186",9,17,0
"187",9,18,3.37370212451335
"188",9,19,0
"189",9,20,0
"190",10,0,0
"191",10,1,0
"192",10,2,0
"193",10,3,0
"194",10,4,0
"195",10,5,0
"196",10,6,0
"197",10,7,0
"198",10,8,0.0320043916278695
"199",10,9,5.28072461859846
"200",10,10,0
"201",10,11,0.0640087832557389
"202",10,12,0.128017566511478
"203",10,13,0.624085636743454
"204",10,14,0
"205",10,15,0.144019762325413
"206",10,16,0
"207",10,17,0.288039524650825
"208",10,18,0.336046112092629
"209",10,19,0
"210",10,20,0
"211",11,0,0
"212",11,1,1.06462402219566
"213",11,2,0
"214",11,3,0
"215",11,4,0
"216",11,5,0
"217",11,6,0.0275809332175041
"218",11,7,0
"219",11,8,0.110323732870016
"220",11,9,0
"221",11,10,0
"222",11,11,0
"223",11,12,0
"224",11,13,0.20409890580953
"225",11,14,0
"226",11,15,0.060678053078509
"227",11,16,0.154453226018023
"228",11,17,0.198582719166029
"229",11,18,0.187550345879028
"230",11,19,0
"231",11,20,0
"232",12,0,0
"233",12,1,0
"234",12,2,0
"235",12,3,0
"236",12,4,0
"237",12,5,0.0394052488626589
"238",12,6,4.74176494647329
"239",12,7,0
"240",12,8,0
"241",12,9,1.19529254883399
"242",12,10,0
"243",12,11,0.0262701659084393
"244",12,12,0.0394052488626589
"245",12,13,0.105080663633757
"246",12,14,0
"247",12,15,0
"248",12,16,0.459727903397687
"249",12,17,0.433457737489248
"250",12,18,0.315241990901271
"251",12,19,0
"252",12,20,0
"253",13,0,0
"254",13,1,0
"255",13,2,0
"256",13,3,0.0294481359361746
