"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,14.5508433179724,1.75847737211336,17.432,2.40991433875508,6.4165817363172,0.772048947419493,96.4852820534701,13,15.036866359447
"2",2,13.9830136986301,1.40085288169407,18.924,4.5753514792955,6.91035844114286,1.03730228446555,99.3482353969785,13,14.3767123287671
"3",3,15.7656531531532,1.72493192366444,19.089,4.62619556462796,8,1.13941025628743,146.931075998042,19,18.3663844997552
"4",4,11.6703985849057,3.98689051105463,18.142,2.48435611537904,5.54403680484586,0.604305562468665,67.260672934262,9,12.1320754716981
"5",5,8.23772747747748,1.09128146969771,10.44,3.79184853992222,8,1.11073111334104,78.6625389687455,10,9.83281737109319
"6",6,6.90808390022676,0.83278082609315,9.901,3.34778767712644,7.38187182806379,0.912597002245633,56.0001183691325,7,7.58616780045352
"7",7,7.14815765765766,3.04487264426334,18.197,3.9940772077862,8,0.987050030479446,109.640632964075,18,13.7050791205094
"8",8,7.51374099099099,2.07904209646118,18.173,3.63733020484606,8,0.982691951892089,97.8618491556413,12,12.2327311444552
"9",9,13.3367264957265,4.15019034391147,17.7,0.613900660686484,2.99276572084661,0.217336901663241,41.4510841934353,18,13.8504273504274
"10",10,14.9844203821656,3.77047111848136,17.54,1.31900901516205,2.3802806365568,0.322300561682874,36.6366124728631,17,15.3917197452229
"11",11,16.1939548387097,0.354147535524756,17.112,1.24937147627046,1.56803707548114,0.284361451625801,26.1811609764206,16,16.6967741935484
"12",12,8.03212741312741,5.65282171260414,16.4,1.26255451584652,4.80884734712131,0.400680333883938,40.9030529177924,16,8.50579150579151
"13",13,3.38340714285714,0.9616834032603,6.999,2.33006739426266,8,0.752940755045215,45.4026820429977,4,5.67533525537472
"14",14,4.52508944543828,1.78517351120373,9.493,5.06621140152523,8,1.15565678416314,62.8379937718045,9,7.85474922147556
"15",15,5.43585356454721,4.70100665077585,17.293,2.12307997994237,4.81169654842835,0.553350272897953,29.431080333306,5,6.11657032755299
"16",16,5.63323655913979,4.9724791537987,17.259,2.78774057141855,7.81688059724399,0.685937875680672,47.0413710493643,3,6.0179211469534
"17",17,10.6644836363636,4.2899838208077,18.58,2.38291555909076,6.75568844072124,0.680627688894297,75.4303322081257,13,11.1654545454545
"18",18,15.5543428571429,1.50909163177041,18.46,5.27591953225423,8,1.18851176491888,142.247034006143,18,17.7808792507679
"19",19,15.6662181818182,1.53509681163143,17.757,0.942772003946464,2.96299772668889,0.293182147360115,48.0409676868148,17,16.2136363636364
"20",20,11.6612831050228,4.94429506232944,17.84,2.02183429456743,2.93232920867727,0.454380762333871,35.9511594762487,14,12.2602739726027
"21",21,1.7000315581854,0.487072539855373,2.727,3.12154222724924,5.1383828221278,0.783377852512837,9.95751700737784,1,1.93786982248521
"22",22,2.7598293135436,2.37914290207779,14.434,3.93039305113676,8,0.971750087608021,70.1288900104546,14,8.76611125130683
"23",23,12.6380595238095,3.52504016705519,16.205,1.68670209829465,5.0005756325912,0.523217860807837,65.6623205089059,15,13.1309523809524
"24",24,5.70956238003839,4.73996450534881,16.471,2.14854155196384,6.01822660523204,0.557827270471756,37.0276878753768,2,6.15259117082534
"25",25,4.53526709401709,3.36826806969424,11.507,2.12561870014929,3.82611366026873,0.492334139731754,19.4575865629051,2,5.08547008547009
"26",26,4.08856215213358,2.55379279443912,12.524,3.95896825119077,8,0.954948715583939,75.039856836037,12,9.37998210450462
"27",27,8.24168773234201,5.70474823001477,16.891,4.75400780991843,8,1.07332207536672,121.200335811611,17,15.1500419764513
"28",28,5.23782875264271,5.3273098581203,15.033,2.50747602824704,3.95345387120283,0.564051096295466,23.2317654017088,2,5.87632135306554
"29",29,2.41547495361781,0.431041606966855,3.559,5.50671318295691,8,1.26182088505153,28.2887500785445,3,3.53609375981806
"30",30,2.65020817843866,0.470990118950497,3.615,4.62670989645489,8,1.16447226013981,31.8911053426833,4,3.98638816783541
"31",31,7.53749278350516,4.93267990528323,16.941,0.866425647141484,1.57384434031318,0.240160356760651,12.4982710860128,3,7.94123711340206
"35",32,0,0,0,0,0,0,0,0,0
"36",33,0,0,0,0,0,0,0,0,0
"37",34,0,0,0,0,0,0,0,0,0
"32",35,2.49428571428571,0.0361741817954661,2.54,0.0112764752530702,0.0157870653542982,0.00266599192134991,0.0439782534869737,2,2.78571428571429
"38",36,0,0,0,0,0,0,0,0,0
"39",37,0,0,0,0,0,0,0,0,0
"40",38,0,0,0,0,0,0,0,0,0
"33",39,9.63758910891089,0.188550650334308,11.561,0.45096715720589,0.514663083364914,0.101014082573506,5.34790996031166,10,10.3910891089109
"34",40,10.331992248062,0.21091887866414,10.657,0.213824797726478,0.313447714849041,0.0516737214297425,3.3908239230375,10,10.8178294573643
