"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0.0077290070659794
"3",1,2,0.368489526219332
"4",1,3,1.81886549402064
"5",1,4,0.0727241962504013
"6",1,5,0
"7",1,6,0
"8",1,7,5.73219177644365
"9",1,8,0
"10",1,9,0
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",2,0,0
"22",2,1,0
"23",2,2,0.94664845576705
"24",2,3,0.795502904005924
"25",2,4,0
"26",2,5,0
"27",2,6,0
"28",2,7,1.31257979160978
"29",2,8,0.190920696961422
"30",2,9,0
"31",2,10,0
"32",2,11,0
"33",2,12,0
"34",2,13,0
"35",2,14,0
"36",2,15,0
"37",2,16,0
"38",2,17,0
"39",2,18,0
"40",2,19,0
"41",3,0,0
"42",3,1,0
"43",3,2,0
"44",3,3,0
"45",3,4,0
"46",3,5,0
"47",3,6,0
"48",3,7,0.501737343855887
"49",3,8,0.359831832462303
"50",3,9,0.19765410515535
"51",3,10,0
"52",3,11,0
"53",3,12,0
"54",3,13,0
"55",3,14,0
"56",3,15,0
"57",3,16,0
"58",3,17,0
"59",3,18,0
"60",3,19,0
"61",4,0,0
"62",4,1,0
"63",4,2,0
"64",4,3,0
"65",4,4,0
"66",4,5,0
"67",4,6,0
"68",4,7,0.0498706630608182
"69",4,8,0.454183265023349
"70",4,9,2.2469747716133
"71",4,10,0.067178174190993
"72",4,11,1.09071767290017
"73",4,12,0
"74",4,13,0
"75",4,14,0
"76",4,15,0
"77",4,16,0.300729954303399
"78",4,17,3.79034549890796
"79",4,18,0
"80",4,19,0
"81",5,0,0
"82",5,1,0
"83",5,2,0
"84",5,3,0
"85",5,4,0
"86",5,5,0
"87",5,6,0
"88",5,7,0
"89",5,8,0.141019986224943
"90",5,9,0.877743076102985
"91",5,10,0.418342207141577
"92",5,11,1.3599898630286
"93",5,12,0.742933176910245
"94",5,13,0
"95",5,14,0
"96",5,15,0
"97",5,16,3.56797735247332
"98",5,17,0
"99",5,18,0.891994338118329
"100",5,19,0
"101",6,0,0
"102",6,1,0
"103",6,2,0.0156545181968601
"104",6,3,2.94304942100971
"105",6,4,0
"106",6,5,0
"107",6,6,0
"108",6,7,0
"109",6,8,0.297435845740343
"110",6,9,0.0313090363937203
"111",6,10,2.89608586641913
"112",6,11,1.39325211952055
"113",6,12,0.219163254756042
"114",6,13,0
"115",6,14,0
"116",6,15,0
"117",6,16,0
"118",6,17,0
"119",6,18,0
"120",6,19,0
"121",7,0,0
"122",7,1,0
"123",7,2,0.135629489730271
"124",7,3,1.076493334359
"125",7,4,0.0132711437253509
"126",7,5,0.498815512826449
"127",7,6,0
"128",7,7,0
"129",7,8,0
"130",7,9,0.0603527497230322
"131",7,10,0.380669853307884
"132",7,11,1.74369246311665
"133",7,12,1.41423210766521
"134",7,13,2.67684334554615
"135",7,14,0
"136",7,15,0
"137",7,16,0
"138",7,17,0
"139",7,18,0
"140",7,19,0
"141",8,0,0
"142",8,1,0
"143",8,2,0
"144",8,3,0.988471954588202
"145",8,4,0.134397043930098
"146",8,5,2.06566799806906
"147",8,6,0
"148",8,7,0
"149",8,8,0
"150",8,9,0
"151",8,10,0
"152",8,11,0
"153",8,12,0.198436557718123
"154",8,13,0.370330122698897
"155",8,14,0
"156",8,15,0.59553042073957
"157",8,16,1.57535331237742
"158",8,17,2.07181258987863
"159",8,18,0
"160",8,19,0
"161",9,0,0
"162",9,1,0
"163",9,2,0.71460774210816
"164",9,3,1.10122621729735
"165",9,4,1.72276046468424
"166",9,5,1.95645579534488
"167",9,6,2.50494978056538
"168",9,7,0
"169",9,8,0
"170",9,9,0
"171",9,10,0
"172",9,11,0
"173",9,12,0
"174",9,13,0
"175",9,14,0
"176",9,15,0
"177",9,16,0
"178",9,17,0
"179",9,18,0
"180",9,19,0
"181",10,0,0
"182",10,1,0
"183",10,2,1.44286864737295
"184",10,3,3.88028800708089
"185",10,4,2.67684334554615
"186",10,5,0
"187",10,6,0
"188",10,7,0
"189",10,8,0
"190",10,9,0
"191",10,10,0
"192",10,11,0
"193",10,12,0
"194",10,13,0
"195",10,14,0
"196",10,15,0
"197",10,16,0
"198",10,17,0
"199",10,18,0
"200",10,19,0
"201",11,0,0
"202",11,1,0
"203",11,2,2.02991078980551
"204",11,3,2.58471277739195
"205",11,4,3.38537643280254
"206",11,5,0
"207",11,6,0
"208",11,7,0
"209",11,8,0
"210",11,9,0
"211",11,10,0
"212",11,11,0
"213",11,12,0
"214",11,13,0
"215",11,14,0
"216",11,15,0
"217",11,16,0
"218",11,17,0
"219",11,18,0
"220",11,19,0
"221",12,0,0
"222",12,1,0
"223",12,2,1.61585785391784
"224",12,3,6.38414214608216
"225",12,4,0
"226",12,5,0
"227",12,6,0
"228",12,7,0
"229",12,8,0
"230",12,9,0
"231",12,10,0
"232",12,11,0
"233",12,12,0
"234",12,13,0
"235",12,14,0
"236",12,15,0
"237",12,16,0
"238",12,17,0
"239",12,18,0
"240",12,19,0
"241",13,0,0
"242",13,1,0
"243",13,2,3.51468845982584
"244",13,3,4.48531154017416
"245",13,4,0
"246",13,5,0
"247",13,6,0
"248",13,7,0
"249",13,8,0
"250",13,9,0
"251",13,10,0
"252",13,11,0
"253",13,12,0
"254",13,13,0
"255",13,14,0
"256",13,15,0
"257",13,16,0
"258",13,17,0
"259",13,18,0
"260",13,19,0
"261",14,0,0
"262",14,1,0
"263",14,2,2.39835724934664
"264",14,3,0.79945241644888
"265",14,4,0
"266",14,5,0
"267",14,6,0
"268",14,7,0
"269",14,8,0
"270",14,9,0
"271",14,10,0
"272",14,11,0
"273",14,12,0
"274",14,13,0.277587644600306
"275",14,14,0
"276",14,15,1.42124874035356
"277",14,16,0.455243737144501
"278",14,17,0.0111035057840122
"279",14,18,0
"280",14,19,0
"281",15,0,0
"282",15,1,0
"283",15,2,0
"284",15,3,0
"285",15,4,0
"286",15,5,0
"287",15,6,0
"288",15,7,0
"289",15,8,0
"290",15,9,0
"291",15,10,0
"292",15,11,0
"293",15,12,0.157230129735307
"294",15,13,0.116466762766894
"295",15,14,0.722093929154743
"296",15,15,0.751210619846467
"297",15,16,0.0407633669684129
"298",15,17,0
"299",15,18,0
"300",15,19,0
"301",16,0,0
"302",16,1,0
"303",16,2,0
"304",16,3,0
"305",16,4,0
"306",16,5,0
"307",16,6,0
"308",16,7,0
"309",16,8,0
"310",16,9,0
"311",16,10,0
"312",16,11,0
"313",16,12,0
"314",16,13,0
"315",16,14,0.416813048735579
"316",16,15,0.416813048735579
"317",16,16,0.673752599326005
"318",16,17,0.177002801517849
"319",16,18,0.0114195355817967
"320",16,19,0
"321",17,0,0
"322",17,1,0
"323",17,2,0
"324",17,3,0
"325",17,4,0
"326",17,5,0
"327",17,6,0
"328",17,7,0
"329",17,8,0
"330",17,9,0
"331",17,10,0.295938911398965
"332",17,11,0
"333",17,12,0
"334",17,13,0
"335",17,14,0.187226658231998
"336",17,15,0.404651164565932
"337",17,16,0.664352658242574
"338",17,17,0.392572025325158
"339",17,18,0.00603956962038704
"340",17,19,0
"341",18,0,0
"342",18,1,0
"343",18,2,0
"344",18,3,0.492808650767193
"345",18,4,0
"346",18,5,0
"347",18,6,0
"348",18,7,0.00369150645867475
"349",18,8,0.257009195991681
"350",18,9,0.0366538538561793
"351",18,10,4.91137202965424
"352",18,11,0
"353",18,12,0
"354",18,13,0.889167546001461
"355",18,14,0
"356",18,15,1.40929721727057
"357",18,16,0
"358",18,17,0
"359",18,18,0
"360",18,19,0
"361",19,0,0
"362",19,1,0
"363",19,2,0
"364",19,3,1.11653879725037
"365",19,4,0.0364801154379364
"366",19,5,0
"367",19,6,0
"368",19,7,0
"369",19,8,0.251267370049837
"370",19,9,0.220449098714877
"371",19,10,4.07679985527495
"372",19,11,0
"373",19,12,0
"374",19,13,0
"375",19,14,0
"376",19,15,0
"377",19,16,0.233881657149187
"378",19,17,2.06458310612284
"379",19,18,0
"380",19,19,0
"381",20,0,0
"382",20,1,0
"383",20,2,0.0565831438513614
"384",20,3,2.09987899257509
"385",20,4,0.701325248416441
"386",20,5,1.36390655390265
"387",20,6,1.71307425893537
"388",20,7,2.06523180231909
"389",20,8,0
"390",20,9,0
"391",20,10,0
"392",20,11,0
"393",20,12,0
"394",20,13,0
"395",20,14,0
"396",20,15,0
"397",20,16,0
"398",20,17,0
"399",20,18,0
"400",20,19,0
"401",21,0,0
"402",21,1,0
"403",21,2,0.476550948459708
"404",21,3,0.26056997459938
"405",21,4,0.166124150460582
"406",21,5,1.80145487406706
"407",21,6,0
"408",21,7,3.88015526763501
"409",21,8,1.41514478477826
"410",21,9,0
"411",21,10,0
"412",21,11,0
"413",21,12,0
"414",21,13,0
"415",21,14,0
"416",21,15,0
"417",21,16,0
"418",21,17,0
"419",21,18,0
"420",21,19,0
"421",22,0,0
"422",22,1,0
"423",22,2,0
"424",22,3,0
"425",22,4,0
"426",22,5,1.95502313728566
"427",22,6,0.516559720510704
"428",22,7,5.52841714220364
"429",22,8,0
"430",22,9,0
"431",22,10,0
"432",22,11,0
"433",22,12,0
"434",22,13,0
"435",22,14,0
"436",22,15,0
"437",22,16,0
"438",22,17,0
"439",22,18,0
"440",22,19,0
"441",23,0,0
"442",23,1,0
"443",23,2,0
"444",23,3,0
"445",23,4,0
"446",23,5,1.71222366580152
"447",23,6,0.62024428710157
"448",23,7,1.29290358438074
"449",23,8,0
"450",23,9,0
"451",23,10,0.104830020355195
"452",23,11,0
"453",23,12,0
"454",23,13,0
"455",23,14,0
"456",23,15,0
"457",23,16,0
"458",23,17,0
"459",23,18,0
"460",23,19,0
"461",24,0,0
"462",24,1,0
"463",24,2,0
"464",24,3,0
"465",24,4,0
"466",24,5,1.23021843215673
"467",24,6,1.39534842305025
"468",24,7,0
"469",24,8,0.0412824977233802
"470",24,9,0
"471",24,10,0.60272446676135
"472",24,11,0.0743084959020843
"473",24,12,0
"474",24,13,0
"475",24,14,0.0825649954467603
"476",24,15,0
"477",24,16,0
"478",24,17,0
"479",24,18,0
"480",24,19,0
"481",25,0,0
"482",25,1,0
"483",25,2,0
"484",25,3,0
"485",25,4,0.102490021987927
"486",25,5,0.0961388830347145
"487",25,6,0.777504573717883
"488",25,7,0.249387485048164
"489",25,8,0
"490",25,9,0
"491",25,10,4.26710117312027
"492",25,11,1.61423184746246
"493",25,12,0.893146015628583
"494",25,13,0
"495",25,14,0
"496",25,15,0
"497",25,16,0
"498",25,17,0
"499",25,18,0
"500",25,19,0
"501",26,0,0
"502",26,1,0
"503",26,2,0
"504",26,3,0.78146078599842
"505",26,4,0.140524501802503
"506",26,5,0
"507",26,6,0.250935012263901
"508",26,7,0.0326229406391743
"509",26,8,0
"510",26,9,2.14165424218159
