"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,1.14110294702772
"4",1,3,0.446189856649999
"5",1,4,1.13699139610059
"6",1,5,0
"7",1,6,0
"8",1,7,3.86011285778188
"9",1,8,0
"10",1,9,1.41560294243982
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",2,0,0
"23",2,1,0
"24",2,2,0.367349096114577
"25",2,3,5.84577920201755
"26",2,4,1.78687170186787
"27",2,5,0
"28",2,6,0
"29",2,7,0
"30",2,8,0
"31",2,9,0
"32",2,10,0
"33",2,11,0
"34",2,12,0
"35",2,13,0
"36",2,14,0
"37",2,15,0
"38",2,16,0
"39",2,17,0
"40",2,18,0
"41",2,19,0
"42",2,20,0
"43",3,0,0
"44",3,1,0
"45",3,2,0
"46",3,3,0.682900306419753
"47",3,4,0.0315184756809117
"48",3,5,0
"49",3,6,0.0420246342412156
"50",3,7,1.8806023822944
"51",3,8,0
"52",3,9,0.609357196497626
"53",3,10,1.20820823443495
"54",3,11,0
"55",3,12,0
"56",3,13,0.0735431099221272
"57",3,14,0
"58",3,15,0
"59",3,16,0
"60",3,17,0.294172439688509
"61",3,18,0
"62",3,19,0
"63",3,20,0
"64",4,0,0
"65",4,1,0
"66",4,2,0
"67",4,3,0
"68",4,4,0
"69",4,5,0
"70",4,6,0
"71",4,7,0
"72",4,8,0.0545924743556645
"73",4,9,0
"74",4,10,0.174695917938126
"75",4,11,0.0655109692267974
"76",4,12,0.616894960219008
"77",4,13,0.343932588440686
"78",4,14,0
"79",4,15,0.049133226920098
"80",4,16,0
"81",4,17,0.049133226920098
"82",4,18,0
"83",4,19,0
"84",4,20,0
"85",5,0,0
"86",5,1,0
"87",5,2,0.0666619834434863
"88",5,3,2.43893346581333
"89",5,4,0
"90",5,5,0
"91",5,6,0
"92",5,7,0
"93",5,8,0.0747429930253967
"94",5,9,0
"95",5,10,0
"96",5,11,0
"97",5,12,0
"98",5,13,0
"99",5,14,0
"100",5,15,0.0193831543086923
"101",5,16,0
"102",5,17,4.50684255247516
"103",5,18,0.893435850933935
"104",5,19,0
"105",5,20,0
"106",6,0,0
"107",6,1,0
"108",6,2,0
"109",6,3,4.01578391712109
"110",6,4,0
"111",6,5,0
"112",6,6,0
"113",6,7,0
"114",6,8,0
"115",6,9,0
"116",6,10,0
"117",6,11,0
"118",6,12,0
"119",6,13,0
"120",6,14,0
"121",6,15,0
"122",6,16,0.258655590884606
"123",6,17,3.7255604919943
"124",6,18,0
"125",6,19,0
"126",6,20,0
"127",7,0,0
"128",7,1,0
"129",7,2,0.0612002995449364
"130",7,3,6.15192799858719
"131",7,4,0
"132",7,5,0
"133",7,6,0
"134",7,7,0
"135",7,8,0
"136",7,9,1.78687170186787
"137",7,10,0
"138",7,11,0
"139",7,12,0
"140",7,13,0
"141",7,14,0
"142",7,15,0
"143",7,16,0
"144",7,17,0
"145",7,18,0
"146",7,19,0
"147",7,20,0
"148",8,0,0
"149",8,1,0
"150",8,2,0.760232161528823
"151",8,3,7.23976783847118
"152",8,4,0
"153",8,5,0
"154",8,6,0
"155",8,7,0
"156",8,8,0
"157",8,9,0
"158",8,10,0
"159",8,11,0
"160",8,12,0
"161",8,13,0
"162",8,14,0
"163",8,15,0
"164",8,16,0
"165",8,17,0
"166",8,18,0
"167",8,19,0
"168",8,20,0
"169",9,0,0
"170",9,1,4.13516965972291
"171",9,2,2.78104720072914
"172",9,3,0.131044108934881
"173",9,4,0
"174",9,5,0
"175",9,6,0
"176",9,7,0
"177",9,8,0
"178",9,9,0.0873627392899206
"179",9,10,0
"180",9,11,0
"181",9,12,0
"182",9,13,0
"183",9,14,0
"184",9,15,0
"185",9,16,0
"186",9,17,0
"187",9,18,0
"188",9,19,0
"189",9,20,0
"190",10,0,0
"191",10,1,2.63008591092188
"192",10,2,0
"193",10,3,0.236412216712079
"194",10,4,0.167458653504389
"195",10,5,0.305365779919769
"196",10,6,0
"197",10,7,0.11820610835604
"198",10,8,0.0788040722373598
"199",10,9,0.413721379246139
"200",10,10,0.14775763544505
"201",10,11,0.325066797979109
"202",10,12,0
"203",10,13,0
"204",10,14,0
"205",10,15,0
"206",10,16,0
"207",10,17,0
"208",10,18,0
"209",10,19,0
"210",10,20,0
"211",11,0,0
"212",11,1,0
"213",11,2,0
"214",11,3,0.0613056102699132
"215",11,4,0
"216",11,5,0.0571142658194196
"217",11,6,0.22311985226871
"218",11,7,0.214898376435126
"219",11,8,2.08596376748051
"220",11,9,0.614507327388375
"221",11,10,0.965299204596362
"222",11,11,1.51827931415513
"223",11,12,0.874098669112643
"224",11,13,0
"225",11,14,0.511314943361166
"226",11,15,0
"227",11,16,0.874098669112643
"228",11,17,0
"229",11,18,0
"230",11,19,0
"231",11,20,0
"232",12,0,0
"233",12,1,0
"234",12,2,1.0151646095289
"235",12,3,0
"236",12,4,0
"237",12,5,0
"238",12,6,0.114279610081
"239",12,7,0.692383554934942
"240",12,8,0.574178276835805
"241",12,9,0.141174107293017
"242",12,10,0.197216117533392
"243",12,11,1.8496486862771
"244",12,12,3.41595503751585
"245",12,13,0
"246",12,14,0
"247",12,15,0
"248",12,16,0
"249",12,17,0
"250",12,18,0
"251",12,19,0
"252",12,20,0
"253",13,0,0
"254",13,1,0
"255",13,2,1.196437355575
"256",13,3,1.79540634917361
"257",13,4,0
"258",13,5,0
"259",13,6,0.0735008421024212
"260",13,7,0.281474965970242
"261",13,8,0
"262",13,9,0
"263",13,10,0
"264",13,11,1.74868220848339
"265",13,12,0.132902552570899
"266",13,13,0
"267",13,14,0.317009923574225
"268",13,15,0.194446835246294
"269",13,16,2.26013896730391
"270",13,17,0
"271",13,18,0
"272",13,19,0
"273",13,20,0
"274",14,0,0
"275",14,1,0
"276",14,2,2.85656338036123
"277",14,3,5.14343661963877
"278",14,4,0
"279",14,5,0
"280",14,6,0
"281",14,7,0
"282",14,8,0
"283",14,9,0
"284",14,10,0
"285",14,11,0
"286",14,12,0
"287",14,13,0
"288",14,14,0
"289",14,15,0
"290",14,16,0
"291",14,17,0
"292",14,18,0
"293",14,19,0
"294",14,20,0
"295",15,0,0
"296",15,1,0
"297",15,2,4.22116061706297
"298",15,3,0.362884345421176
"299",15,4,0
"300",15,5,0
"301",15,6,3.41595503751585
"302",15,7,0
"303",15,8,0
"304",15,9,0
"305",15,10,0
"306",15,11,0
"307",15,12,0
"308",15,13,0
"309",15,14,0
"310",15,15,0
"311",15,16,0
"312",15,17,0
"313",15,18,0
"314",15,19,0
"315",15,20,0
"316",16,0,0
"317",16,1,0
"318",16,2,1.15007413358363
"319",16,3,0
"320",16,4,0
"321",16,5,0
"322",16,6,0
"323",16,7,2.56392673817267
"324",16,8,0.337636442886936
"325",16,9,0
"326",16,10,0.126613666082601
"327",16,11,0.242676193324985
"328",16,12,0
"329",16,13,0
"330",16,14,0.0105511388402168
"331",16,15,0.770233135335823
"332",16,16,0.443147831289104
"333",16,17,0.105511388402168
"334",16,18,0
"335",16,19,0
"336",16,20,0
"337",17,0,0
"338",17,1,0
"339",17,2,0
"340",17,3,0.216741266624016
"341",17,4,0.866965066496065
"342",17,5,0
"343",17,6,0
"344",17,7,2.92600709942422
"345",17,8,0.419936204084032
"346",17,9,0.555399495724042
"347",17,10,0.149009620804011
"348",17,11,2.05904203292816
"349",17,12,0
"350",17,13,0
"351",17,14,0.013546329164001
"352",17,15,0.243833924952018
"353",17,16,0.189648608296014
"354",17,17,0.013546329164001
"355",17,18,0
"356",17,19,0
"357",17,20,0
"358",18,0,0
"359",18,1,0
"360",18,2,0.0133956045636247
"361",18,3,0.457631465506039
"362",18,4,1.98578147768147
"363",18,5,0
"364",18,6,0
"365",18,7,0
"366",18,8,0
"367",18,9,3.79450924376547
"368",18,10,0.874341104241696
"369",18,11,0
"370",18,12,0
"371",18,13,0.874341104241696
"372",18,14,0
"373",18,15,0
"374",18,16,0
"375",18,17,0
"376",18,18,0
"377",18,19,0
"378",18,20,0
"379",19,0,0
"380",19,1,0.00222274520093252
"381",19,2,0.427547066211732
"382",19,3,5.31009122128342
"383",19,4,2.26013896730391
"384",19,5,0
"385",19,6,0
"386",19,7,0
"387",19,8,0
"388",19,9,0
"389",19,10,0
"390",19,11,0
"391",19,12,0
"392",19,13,0
"393",19,14,0
"394",19,15,0
"395",19,16,0
"396",19,17,0
"397",19,18,0
"398",19,19,0
"399",19,20,0
"400",20,0,0
"401",20,1,0
"402",20,2,0.0756593901324202
"403",20,3,0.611117528194418
"404",20,4,0.542659133517128
"405",20,5,0.678399758705709
"406",20,6,0
"407",20,7,0.232066139283675
"408",20,8,0
"409",20,9,1.20562434935276
"410",20,10,0
"411",20,11,1.74916820288697
"412",20,12,1.5191224934121
"413",20,13,0.511598903071345
"414",20,14,0
"415",20,15,0
"416",20,16,0.874584101443483
"417",20,17,0
"418",20,18,0
"419",20,19,0
"420",20,20,0
"421",21,0,0
"422",21,1,1.52904051106436
"423",21,2,0.792835820551892
"424",21,3,0
"425",21,4,0
"426",21,5,0
"427",21,6,0
"428",21,7,0
"429",21,8,0.266975327328698
"430",21,9,0
"431",21,10,0.137532744381451
"432",21,11,0.0809016143420298
"433",21,12,0
"434",21,13,0.137532744381451
"435",21,14,0
"436",21,15,0.129442582947248
"437",21,16,0.0889917757762328
"438",21,17,0.0970819372104358
"439",21,18,0
"440",21,19,0
"441",21,20,0
"442",22,0,0
"443",22,1,0
"444",22,2,0
"445",22,3,0
"446",22,4,0
"447",22,5,0
"448",22,6,0
"449",22,7,0
"450",22,8,0
"451",22,9,0
"452",22,10,0
"453",22,11,0
"454",22,12,0
"455",22,13,0
"456",22,14,0.00617118639513674
"457",22,15,0.685001689860178
"458",22,16,0.573920334747716
"459",22,17,0.56774914835258
"460",22,18,0.0493694911610939
"461",22,19,0
"462",22,20,0
"463",23,0,0
"464",23,1,0
"465",23,2,0
"466",23,3,0
"467",23,4,0
"468",23,5,0
"469",23,6,0
"470",23,7,0
"471",23,8,0
"472",23,9,0
"473",23,10,0
"474",23,11,0
"475",23,12,0.348963266822656
"476",23,13,0
"477",23,14,0
"478",23,15,0.722852481275502
"479",23,16,0.380120701360393
"480",23,17,0.4860559787887
"481",23,18,0
"482",23,19,0
"483",23,20,0
"484",24,0,0
"485",24,1,0
"486",24,2,0
"487",24,3,0
"488",24,4,0
"489",24,5,0
"490",24,6,0.109441739547426
"491",24,7,0.00572346508967322
"492",24,8,0.0378342996848933
"493",24,9,0.398151980284799
"494",24,10,0.122207173976156
"495",24,11,0.00887040785601198
"496",24,12,1.71148510694864
"497",24,13,0.0512904284643607
"498",24,14,0.0353621918426069
"499",24,15,1.00690326544002
"500",24,16,3.61812697486256
"501",24,17,0.894602966002851
"502",24,18,0
"503",24,19,0
"504",24,20,0
"505",25,0,0
"506",25,1,0
"507",25,2,0
"508",25,3,0
"509",25,4,0
"510",25,5,0
"511",25,6,1.86135115194029
"512",25,7,0.666901214866308
"513",25,8,0
"514",25,9,0.905791202281105
"515",25,10,0
"516",25,11,0.129398743183015
"517",25,12,0.00995374947561654
"518",25,13,0.169213741085481
"519",25,14,0.666901214866308
"520",25,15,0.0298612484268496
"521",25,16,0.00995374947561654
"522",25,17,0
"523",25,18,0
"524",25,19,0
"525",25,20,0
"526",26,0,0
"527",26,1,0
"528",26,2,0
"529",26,3,0.547688125782422
"530",26,4,0
"531",26,5,0.0652009673550503
"532",26,6,2.02122998800656
"533",26,7,0.117361741239091
"534",26,8,0.312964643304241
"535",26,9,0.0652009673550503
"536",26,10,0
"537",26,11,1.40834089486909
"538",26,12,0.0391205804130302
"539",26,13,0.0130401934710101
"540",26,14,0.365125417188282
"541",26,15,0
"542",26,16,0.339045030246262
"543",26,17,0.938893929912724
"544",26,18,0
"545",26,19,0
"546",26,20,0
"547",27,0,0
"548",27,1,0
"549",27,2,0
"550",27,3,0.860554195539216
"551",27,4,0
"552",27,5,1.16627739658604
"553",27,6,0.67938489121517
"554",27,7,2.29858554861133
"555",27,8,0
"556",27,9,0
"557",27,10,0
"558",27,11,0
"559",27,12,0
"560",27,13,0.147200059763287
"561",27,14,0.0792615706417699
"562",27,15,0.0113230815202528
"563",27,16,0
"564",27,17,0.0113230815202528
"565",27,18,0
"566",27,19,0
"567",27,20,0
"568",28,0,0
"569",28,1,0
"570",28,2,0
"571",28,3,0
"572",28,4,0
"573",28,5,0
"574",28,6,0.39850270814523
"575",28,7,0.111615663141263
"576",28,8,0.634694959483744
"577",28,9,0.0063714530558307
"578",28,10,0
"579",28,11,0
"580",28,12,0.170460794259238
"581",28,13,1.02459082066924
"582",28,14,0.801000694045317
"583",28,15,0.50822185681924
"584",28,16,0.850569668238314
"585",28,17,3.49397138214258
"586",28,18,0
"587",28,19,0
"588",28,20,0
"589",29,0,0
"590",29,1,0
"591",29,2,0
"592",29,3,0
"593",29,4,0
"594",29,5,0
"595",29,6,0
"596",29,7,0.0318692553057213
"597",29,8,1.29490109396591
"598",29,9,2.46820233736175
"599",29,10,0
"600",29,11,0
"601",29,12,0
"602",29,13,0.7099113986866
"603",29,14,0.0890449087817395
"604",29,15,0.198952919744142
"605",29,16,0
"606",29,17,0.37129377785726
"607",29,18,0.758620547765301
"608",29,19,2.07720376053158
"609",29,20,0
"610",30,0,0
"611",30,1,0
"612",30,2,0.0508296694098026
"613",30,3,0
"614",30,4,0
"615",30,5,0
"616",30,6,0.0729686059618939
"617",30,7,0.99983555482772
"618",30,8,1.04036829500862
"619",30,9,3.00017356649508
"620",30,10,0
"621",30,11,1.41791215414844
"622",30,12,0
"623",30,13,1.41791215414844
"624",30,14,0
"625",30,15,0
"626",30,16,0
"627",30,17,0
"628",30,18,0
"629",30,19,0
"630",30,20,0
"631",31,0,0
"632",31,1,0
"633",31,2,8
"634",31,3,0
"635",31,4,0
"636",31,5,0
"637",31,6,0
"638",31,7,0
"639",31,8,0
"640",31,9,0
"641",31,10,0
"642",31,11,0
"643",31,12,0
"644",31,13,0
"645",31,14,0
"646",31,15,0
"647",31,16,0
"648",31,17,0
"649",31,18,0
"650",31,19,0
"651",31,20,0
"652",32,0,0
"653",32,1,0.0492844365332286
"654",32,2,2.60636888909828
"655",32,3,0
"656",32,4,0
"657",32,5,0
"658",32,6,0
"659",32,7,1.92695437570628
"660",32,8,0
"661",32,9,0
"662",32,10,0.572142116046886
"663",32,11,2.84525018261533
"664",32,12,0
"665",32,13,0
"666",32,14,0
"667",32,15,0
"668",32,16,0
"669",32,17,0
"670",32,18,0
"671",32,19,0
"672",32,20,0
"673",33,0,0
"674",33,1,0.088957141752056
"675",33,2,2.74559108604164
"676",33,3,5.16545177220631
"677",33,4,0
"678",33,5,0
"679",33,6,0
"680",33,7,0
"681",33,8,0
"682",33,9,0
"683",33,10,0
"684",33,11,0
"685",33,12,0
"686",33,13,0
"687",33,14,0
"688",33,15,0
"689",33,16,0
"690",33,17,0
"691",33,18,0
"692",33,19,0
"693",33,20,0
"694",34,0,0
"695",34,1,0
"696",34,2,1.1197746292876
"697",34,3,2.5198158003789
"698",34,4,4.36040957033351
"699",34,5,0
"700",34,6,0
"701",34,7,0
"702",34,8,0
"703",34,9,0
"704",34,10,0
"705",34,11,0
"706",34,12,0
"707",34,13,0
"708",34,14,0
"709",34,15,0
"710",34,16,0
"711",34,17,0
"712",34,18,0
"713",34,19,0
"714",34,20,0
"715",35,0,0
"716",35,1,0
"717",35,2,0.0026893657909474
"718",35,3,0.472294692727385
"719",35,4,0.174021892367436
"720",35,5,0
"721",35,6,0.0451240486308908
"722",35,7,0.406647773241363
"723",35,8,0.500145341621798
"724",35,9,2.89234370563787
"725",35,10,0.401628661675264
"726",35,11,0
"727",35,12,0.585288717928154
"728",35,13,2.5198158003789
"729",35,14,0
"730",35,15,0
"731",35,16,0
"732",35,17,0
"733",35,18,0
"734",35,19,0
"735",35,20,0
"736",36,0,0
"737",36,1,0
"738",36,2,0
"739",36,3,0
"740",36,4,0
"741",36,5,0
"742",36,6,0
"743",36,7,0.54672155353878
"744",36,8,0.262589139586553
"745",36,9,0.24819573071408
"746",36,10,0.291998405289966
"747",36,11,0.440286134256521
"748",36,12,0.383274267040806
"749",36,13,2.609156681699
"750",36,14,0.112673569567246
"751",36,15,0
"752",36,16,1.30995152174042
"753",36,17,0
"754",36,18,1.79515299656663
"755",36,19,0
"756",36,20,0
"757",37,0,0
"758",37,1,0
"759",37,2,0
"760",37,3,0
"761",37,4,0
"762",37,5,0
"763",37,6,0
"764",37,7,0
"765",37,8,0
"766",37,9,0
"767",37,10,0.091837964214728
"768",37,11,1.3200851722713
"769",37,12,0.704831954338293
"770",37,13,0.208830827367761
"771",37,14,0.210450501328629
"772",37,15,2.94414778010039
"773",37,16,1.09719070907123
"774",37,17,0.525048593024347
"775",37,18,0
"776",37,19,0
"777",37,20,0.897576498283316
"778",38,0,0
"779",38,1,0
"780",38,2,0
"781",38,3,0
"782",38,4,0
"783",38,5,0
"784",38,6,0
"785",38,7,0
"786",38,8,0
"787",38,9,0
"788",38,10,0
"789",38,11,0.444333416623308
"790",38,12,0.720881986052266
"791",38,13,2.83210358073406
"792",38,14,0
"793",38,15,0
"794",38,16,0.0602401249038063
"795",38,17,0.273630307773906
"796",38,18,2.77123408562934
"797",38,19,0.897576498283316
"798",38,20,0
"799",39,0,0
"800",39,1,0
"801",39,2,0
"802",39,3,0
"803",39,4,0
"804",39,5,0
"805",39,6,0
"806",39,7,0
"807",39,8,0
"808",39,9,0
"809",39,10,0
"810",39,11,0.235745075828823
"811",39,12,0.729687139470167
"812",39,13,3.85050290520411
"813",39,14,0
"814",39,15,0
"815",39,16,0.0112259559918487
"816",39,17,0.0561297799592436
"817",39,18,0.101033603926639
"818",39,19,0.0785816919429411
"819",39,20,0
"820",40,0,0
"821",40,1,0
"822",40,2,2.56043854790757
"823",40,3,0
"824",40,4,0
"825",40,5,0
"826",40,6,0
"827",40,7,0
"828",40,8,0
"829",40,9,0
"830",40,10,0
"831",40,11,0
"832",40,12,0.40967016766521
"833",40,13,0.908955684507186
"834",40,14,0
"835",40,15,0.358461396707059
"836",40,16,0.166428505613992
"837",40,17,0.102417541916303
"838",40,18,1.44664777956777
"839",40,19,0
"840",40,20,0
